"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Property","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","HM Revenue and Customs","120","100","30600","26000"
"Leaver CS","2021","Property","Heterosexual / straight","Ministry of Defence","100","100","30620","31960"
"Leaver CS","2021","Property","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","HM Revenue and Customs","110","90","26880","24500"
"Leaver CS","2021","Property","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Scottish Government","60","50","29040","26530"
"Leaver CS","2021","Security","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","Ministry of Defence","220","210","29160","25680"
"Leaver CS","2021","Security","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Cabinet Office","40","40","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","Ministry of Defence","80","80","27280","24070"
"Leaver CS","2021","Unknown","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department for Education","230","220","43740","40210"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department for Transport","60","50","42860","35430"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department for Work and Pensions","2340","2010","26310","25110"
"Leaver CS","2021","Unknown","Heterosexual / straight","Department of Health and Social Care","70","40","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Home Office","960","830","30120","25350"
"Leaver CS","2021","Unknown","Heterosexual / straight","Ministry of Defence","960","890","29820","26670"
"Leaver CS","2021","Unknown","Heterosexual / straight","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Scottish Government","180","170","42630","35110"
"Leaver CS","2021","Unknown","Heterosexual / straight","Welsh Government","120","100","43830","37410"
"Leaver CS","2021","Unknown","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Department for Work and Pensions","150","140","26270","25110"
"Leaver CS","2021","Unknown","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Home Office","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Department for Work and Pensions","280","230","26360","26120"
"Leaver CS","2021","Unknown","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Home Office","190","160","32650","28000"
"Leaver CS","2021","Unknown","Undeclared","Ministry of Defence","150","140","30090","26670"
"Leaver CS","2021","Unknown","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","90","90","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Education","70","70","39440","36070"
"Leaver CS","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Transport","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Department for Work and Pensions","1620","1350","26680","26890"
"Leaver CS","2021","Unknown","Unknown","Department of Health and Social Care","190","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Foreign, Commonwealth and Development Office","110","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","HM Revenue and Customs","5430","4570","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Home Office","140","130","27030","24880"
"Leaver CS","2021","Unknown","Unknown","Ministry of Defence","350","340","34080","31490"
"Leaver CS","2021","Unknown","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Scottish Government","200","180","39060","30650"
"Leaver CS","2021","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Heterosexual / straight","UK Statistics Authority","50","50","29990","29540"
"Leaver CS","2022","Analysis","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Department of Health and Social Care","40","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","UK Statistics Authority","50","50","28560","23050"
"Leaver CS","2022","Analysis","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Cabinet Office","50","40","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Ministry of Defence","90","80","39420","36800"
"Leaver CS","2022","Commercial","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Heterosexual / straight","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
