"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","40-49","30","30","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Driver and Vehicle Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","30-39","30","30","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","40-49","50","50","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Education and Skills Funding Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","40","40","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","60","50","43620","39630"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","70","60","49640","46810"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","60","50","46250","44290"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Forestry and Land Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Actuary's Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Property Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","30-39","60","50","36610","31930"
"In post","2021","Finance","HM Courts and Tribunals Service","40-49","80","80","40960","36800"
"In post","2021","Finance","HM Courts and Tribunals Service","50-59","80","80","38610","34510"
"In post","2021","Finance","HM Courts and Tribunals Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","20-29","240","230","26590","21350"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","30-39","360","340","35280","31810"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","40-49","590","550","36010","31810"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","50-59","950","840","32770","28130"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","60-64","230","170","28230","21440"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","65+","60","50","24820","21440"
"In post","2021","Finance","HM Treasury (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","20-29","30","30","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","30-39","30","30","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Treasury (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Insolvency Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Maritime and Coastguard Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","20-29","180","180","33110","30750"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","30-39","300","290","38690","33300"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","40-49","380","360","39910","33300"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","50-59","580","570","38250","33300"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","60-64","120","110","38060","33630"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","65+","40","30","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","40-49","40","30","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","20-29","30","30","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","30-39","100","100","41690","36800"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","40-49","150","150","45480","42860"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","50-59","160","160","47540","42800"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","60-64","40","40","[c]","[c]"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","30-39","30","30","[c]","[c]"
"In post","2021","Finance","Public Health England","40-49","60","60","47490","41950"
"In post","2021","Finance","Public Health England","50-59","40","40","[c]","[c]"
"In post","2021","Finance","Public Health England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Queen Elizabeth II Centre","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Queen Elizabeth II Centre","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Forestry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Forestry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Forestry","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Forestry","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Serious Fraud Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Serious Fraud Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Serious Fraud Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Serious Fraud Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Space Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Valuation Office Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Vehicle Certification Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Veterinary Medicines Directorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Veterinary Medicines Directorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Veterinary Medicines Directorate","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Revenue Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Revenue Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Revenue Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Revenue Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wilton Park","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Rural Payments Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Rural Payments Agency","20-29","240","240","22390","21050"
"In post","2021","Grants Management","Rural Payments Agency","30-39","370","330","24270","21050"
"In post","2021","Grants Management","Rural Payments Agency","40-49","590","530","25970","24920"
"In post","2021","Grants Management","Rural Payments Agency","50-59","490","460","27690","25190"
"In post","2021","Grants Management","Rural Payments Agency","60-64","160","140","25260","21050"
"In post","2021","Grants Management","Rural Payments Agency","65+","40","40","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","20-29","230","230","30260","28000"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","30-39","320","310","38460","36340"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","40-49","270","260","43620","38890"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","50-59","240","230","44350","38460"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","60-64","50","40","37430","32000"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Companies House","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Office and Procurator Fiscal Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","30-39","30","30","[c]","[c]"
"In post","2021","Human Resources","Crown Prosecution Service","40-49","40","30","[c]","[c]"
