"Status","Year","Ethnicity","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","AA/AO","Male","1990","1900","22100","21260"
"Leaver CS","2022","Unknown","EO","Female","900","790","27290","27570"
"Leaver CS","2022","Unknown","EO","Male","900","840","27290","27570"
"Leaver CS","2022","Unknown","G6/G7","Female","340","260","60610","57190"
"Leaver CS","2022","Unknown","G6/G7","Male","440","380","60390","57430"
"Leaver CS","2022","Unknown","SCS","Female","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Male","70","50","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Female","720","590","36290","35640"
"Leaver CS","2022","Unknown","SEO/HEO","Male","840","710","37460","36550"
"Leaver CS","2022","Unknown","Unknown","Female","530","420","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Male","410","360","36510","33570"
"Leaver CS","2022","White","AA/AO","Female","6040","5000","21290","21260"
"Leaver CS","2022","White","AA/AO","Male","5060","4680","22270","21260"
"Leaver CS","2022","White","EO","Female","3850","3230","27390","27570"
"Leaver CS","2022","White","EO","Male","2920","2660","27960","27570"
"Leaver CS","2022","White","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","G6/G7","Female","1390","1220","59270","56330"
"Leaver CS","2022","White","G6/G7","Male","1470","1340","61280","59630"
"Leaver CS","2022","White","SCS","Female","220","190","95300","92500"
"Leaver CS","2022","White","SCS","Male","270","240","98680","94050"
"Leaver CS","2022","White","SEO/HEO","Female","2850","2510","37100","36540"
"Leaver CS","2022","White","SEO/HEO","Male","2930","2700","38060","37200"
"Leaver CS","2022","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Female","770","680","36120","28200"
"Leaver CS","2022","White","Unknown","Male","350","320","37850","39000"
"Leaver Dept.","2021","Asian","AA/AO","Female","120","110","21390","20920"
"Leaver Dept.","2021","Asian","AA/AO","Male","110","110","21430","20970"
"Leaver Dept.","2021","Asian","EO","Female","150","140","27410","27570"
"Leaver Dept.","2021","Asian","EO","Male","110","100","27770","27570"
"Leaver Dept.","2021","Asian","G6/G7","Female","70","60","58560","57440"
"Leaver Dept.","2021","Asian","G6/G7","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Female","180","170","35860","34560"
"Leaver Dept.","2021","Asian","SEO/HEO","Male","160","150","36360","35570"
"Leaver Dept.","2021","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Female","60","60","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Female","90","80","27660","27570"
"Leaver Dept.","2021","Black","EO","Male","60","50","27270","27570"
"Leaver Dept.","2021","Black","G6/G7","Female","40","30","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Female","120","110","36470","35850"
"Leaver Dept.","2021","Black","SEO/HEO","Male","70","60","36160","34700"
"Leaver Dept.","2021","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","G6/G7","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Mixed","G6/G7","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SEO/HEO","Female","70","70","35280","33640"
"Leaver Dept.","2021","Mixed","SEO/HEO","Male","60","50","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Female","40","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","G6/G7","Male","70","60","58810","56960"
"Leaver Dept.","2021","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Female","70","70","36870","36780"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Male","100","100","36250","36730"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Female","320","300","20970","20960"
"Leaver Dept.","2021","Unknown","AA/AO","Male","250","240","21140","20920"
"Leaver Dept.","2021","Unknown","EO","Female","250","230","27490","27570"
"Leaver Dept.","2021","Unknown","EO","Male","220","200","26770","27200"
"Leaver Dept.","2021","Unknown","G6/G7","Female","320","270","56280","54540"
"Leaver Dept.","2021","Unknown","G6/G7","Male","310","270","56150","54280"
"Leaver Dept.","2021","Unknown","SCS","Female","50","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Female","720","650","34180","32820"
"Leaver Dept.","2021","Unknown","SEO/HEO","Male","640","590","34260","32970"
"Leaver Dept.","2021","Unknown","Unknown","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","White","AA/AO","Female","670","610","20850","21010"
"Leaver Dept.","2021","White","AA/AO","Male","470","450","21000","21010"
"Leaver Dept.","2021","White","EO","Female","820","770","26520","27370"
"Leaver Dept.","2021","White","EO","Male","560","540","26510","27520"
"Leaver Dept.","2021","White","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","G6/G7","Female","700","650","57200","55500"
"Leaver Dept.","2021","White","G6/G7","Male","610","580","57510","55650"
"Leaver Dept.","2021","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","SCS","Female","140","130","89400","80380"
"Leaver Dept.","2021","White","SCS","Male","90","90","89560","81370"
"Leaver Dept.","2021","White","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","SEO/HEO","Female","1280","1210","35210","34140"
"Leaver Dept.","2021","White","SEO/HEO","Male","1060","1010","35490","34240"
"Leaver Dept.","2021","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Female","60","60","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","AA/AO","Female","230","210","21930","21420"
"Leaver Dept.","2022","Asian","AA/AO","Male","190","170","21620","21260"
"Leaver Dept.","2022","Asian","EO","Female","450","420","27470","27570"
"Leaver Dept.","2022","Asian","EO","Male","330","320","27760","27570"
"Leaver Dept.","2022","Asian","G6/G7","Female","180","160","57260","54700"
"Leaver Dept.","2022","Asian","G6/G7","Male","150","140","59190","54800"
"Leaver Dept.","2022","Asian","SCS","Female","60","50","102440","99720"
"Leaver Dept.","2022","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","SEO/HEO","Female","470","440","35940","35070"
"Leaver Dept.","2022","Asian","SEO/HEO","Male","340","320","36740","36420"
"Leaver Dept.","2022","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","AA/AO","Female","110","100","22030","21260"
"Leaver Dept.","2022","Black","AA/AO","Male","60","60","[c]","[c]"
"Leaver Dept.","2022","Black","EO","Female","290","270","27950","27570"
"Leaver Dept.","2022","Black","EO","Male","100","100","27750","27570"
"Leaver Dept.","2022","Black","G6/G7","Female","100","100","57060","53860"
"Leaver Dept.","2022","Black","G6/G7","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","Black","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Female","340","310","36630","36650"
"Leaver Dept.","2022","Black","SEO/HEO","Male","150","140","36060","35140"
"Leaver Dept.","2022","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Female","50","40","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Female","110","110","27420","27570"
"Leaver Dept.","2022","Mixed","EO","Male","60","50","27630","27570"
"Leaver Dept.","2022","Mixed","G6/G7","Female","70","60","56320","54700"
"Leaver Dept.","2022","Mixed","G6/G7","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Female","160","150","36450","35880"
"Leaver Dept.","2022","Mixed","SEO/HEO","Male","100","100","35780","36200"
"Leaver Dept.","2022","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","EO","Female","30","30","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","SEO/HEO","Female","50","50","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Female","60","50","21400","21590"
"Leaver Dept.","2022","Undeclared","AA/AO","Male","70","60","22020","21260"
"Leaver Dept.","2022","Undeclared","EO","Female","90","80","27220","27570"
"Leaver Dept.","2022","Undeclared","EO","Male","80","80","26650","27570"
"Leaver Dept.","2022","Undeclared","G6/G7","Female","150","140","57520","54880"
"Leaver Dept.","2022","Undeclared","G6/G7","Male","130","130","58690","55330"
"Leaver Dept.","2022","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Female","230","220","36200","36330"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Male","220","210","36630","36330"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Female","340","320","21680","21260"
"Leaver Dept.","2022","Unknown","AA/AO","Male","250","240","21350","21130"
"Leaver Dept.","2022","Unknown","EO","Female","430","310","27390","27570"
"Leaver Dept.","2022","Unknown","EO","Male","280","230","27560","27570"
"Leaver Dept.","2022","Unknown","G6/G7","Female","430","240","58090","54700"
"Leaver Dept.","2022","Unknown","G6/G7","Male","430","250","58980","55270"
"Leaver Dept.","2022","Unknown","SCS","Female","70","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS","Male","80","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","Female","990","720","34120","32000"
"Leaver Dept.","2022","Unknown","SEO/HEO","Male","870","670","34650","33020"
"Leaver Dept.","2022","Unknown","Unknown","Female","80","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Male","60","40","[c]","[c]"
"Leaver Dept.","2022","White","AA/AO","Female","1230","1120","21270","21260"
"Leaver Dept.","2022","White","AA/AO","Male","720","710","21460","21260"
"Leaver Dept.","2022","White","EO","Female","1830","1730","26690","27570"
"Leaver Dept.","2022","White","EO","Male","1160","1130","26750","27570"
"Leaver Dept.","2022","White","G6/G7","Female","1700","1550","57650","54700"
"Leaver Dept.","2022","White","G6/G7","Male","1310","1220","58430","56080"
"Leaver Dept.","2022","White","SCS","Female","280","230","97830","93740"
"Leaver Dept.","2022","White","SCS","Male","260","230","98400","95000"
"Leaver Dept.","2022","White","SEO/HEO","Female","3130","2880","35760","35440"
"Leaver Dept.","2022","White","SEO/HEO","Male","1990","1900","36200","35890"
"Leaver Dept.","2022","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Unknown","Female","100","80","[c]","[c]"
"Leaver Dept.","2022","White","Unknown","Male","60","50","[c]","[c]"
"New entrant CS","2021","Asian","AA/AO","Female","570","540","21590","21010"
"New entrant CS","2021","Asian","AA/AO","Male","560","550","22040","21010"
"New entrant CS","2021","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","EO","Female","1040","1010","28760","27850"
"New entrant CS","2021","Asian","EO","Male","870","860","28580","27570"
"New entrant CS","2021","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","G6/G7","Female","100","100","55260","53420"
"New entrant CS","2021","Asian","G6/G7","Male","150","140","59500","57000"
"New entrant CS","2021","Asian","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","SEO/HEO","Female","380","370","35160","34020"
"New entrant CS","2021","Asian","SEO/HEO","Male","350","350","35630","34710"
"New entrant CS","2021","Asian","Unknown","Female","40","30","[c]","[c]"
"New entrant CS","2021","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","AA/AO","Female","390","390","23070","22680"
"New entrant CS","2021","Black","AA/AO","Male","250","250","23290","22850"
"New entrant CS","2021","Black","EO","Female","950","930","29430","31060"
"New entrant CS","2021","Black","EO","Male","390","390","28980","29290"
"New entrant CS","2021","Black","G6/G7","Female","60","50","54200","52640"
"New entrant CS","2021","Black","G6/G7","Male","50","50","55320","53420"
"New entrant CS","2021","Black","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","SEO/HEO","Female","290","280","35430","34170"
"New entrant CS","2021","Black","SEO/HEO","Male","160","160","35610","34020"
"New entrant CS","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Female","80","70","24540","24020"
"New entrant CS","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","AA/AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","AA/AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","EO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","G6/G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","G6/G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","AA/AO","Female","290","280","22230","21010"
"New entrant CS","2021","Mixed","AA/AO","Male","180","180","22470","21010"
"New entrant CS","2021","Mixed","EO","Female","410","400","28500","27570"
"New entrant CS","2021","Mixed","EO","Male","220","210","28300","27570"
"New entrant CS","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","G6/G7","Female","60","60","55330","53530"
"New entrant CS","2021","Mixed","G6/G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","SEO/HEO","Female","170","160","34500","32980"
"New entrant CS","2021","Mixed","SEO/HEO","Male","130","130","35490","34060"
"New entrant CS","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Female","40","30","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","AA/AO","Female","60","60","21970","21010"
"New entrant CS","2021","Other ethnicity","AA/AO","Male","40","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","EO","Female","90","90","28930","29290"
"New entrant CS","2021","Other ethnicity","EO","Male","60","60","28850","29280"
"New entrant CS","2021","Other ethnicity","G6/G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","G6/G7","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SEO/HEO","Female","50","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","SEO/HEO","Male","40","40","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Female","130","120","20590","20140"
"New entrant CS","2021","Undeclared","AA/AO","Male","170","160","21550","21010"
"New entrant CS","2021","Undeclared","EO","Female","170","160","28230","27570"
"New entrant CS","2021","Undeclared","EO","Male","180","180","27400","27570"
"New entrant CS","2021","Undeclared","G6/G7","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","G6/G7","Male","70","70","58860","56880"
"New entrant CS","2021","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Female","110","100","35230","35220"
"New entrant CS","2021","Undeclared","SEO/HEO","Male","120","110","35550","33950"
"New entrant CS","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Female","3690","3540","21120","20600"
"New entrant CS","2021","Unknown","AA/AO","Male","3410","3350","21830","20810"
"New entrant CS","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Female","2110","2050","26870","27570"
"New entrant CS","2021","Unknown","EO","Male","1840","1820","26430","26160"
"New entrant CS","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Female","580","560","58250","55000"
"New entrant CS","2021","Unknown","G6/G7","Male","620","610","59500","56570"
"New entrant CS","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Female","110","110","85200","74000"
"New entrant CS","2021","Unknown","SCS","Male","160","150","91480","74090"
"New entrant CS","2021","Unknown","SEO/HEO","Female","1880","1840","33650","32790"
"New entrant CS","2021","Unknown","SEO/HEO","Male","1640","1620","34310","32940"
"New entrant CS","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","520","480","23070","22920"
"New entrant CS","2021","Unknown","Unknown","Male","250","230","24380","22350"
"New entrant CS","2021","White","AA/AO","Female","5890","5700","21210","21010"
"New entrant CS","2021","White","AA/AO","Male","4920","4880","21800","21010"
"New entrant CS","2021","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","EO","Female","6120","5930","27470","27570"
"New entrant CS","2021","White","EO","Male","4180","4150","27520","27570"
"New entrant CS","2021","White","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","G6/G7","Female","950","900","56620","53830"
"New entrant CS","2021","White","G6/G7","Male","1030","1010","57250","54760"
"New entrant CS","2021","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","SCS","Female","80","70","94430","89850"
"New entrant CS","2021","White","SCS","Male","120","100","98100","93000"
"New entrant CS","2021","White","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","SEO/HEO","Female","3390","3240","34850","33880"
"New entrant CS","2021","White","SEO/HEO","Male","2870","2840","35340","34020"
"New entrant CS","2021","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Female","730","680","23650","22920"
"New entrant CS","2021","White","Unknown","Male","270","260","30610","24020"
"New entrant CS","2022","Asian","AA/AO","Female","870","820","21820","21260"
"New entrant CS","2022","Asian","AA/AO","Male","780","760","22060","21260"
"New entrant CS","2022","Asian","EO","Female","910","880","27670","27570"
"New entrant CS","2022","Asian","EO","Male","810","810","27800","27570"
"New entrant CS","2022","Asian","G6/G7","Female","150","150","55270","53370"
"New entrant CS","2022","Asian","G6/G7","Male","150","150","57300","54700"
"New entrant CS","2022","Asian","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","SEO/HEO","Female","600","580","35610","34260"
"New entrant CS","2022","Asian","SEO/HEO","Male","560","550","35670","34260"
"New entrant CS","2022","Asian","Unknown","Female","190","170","26900","24770"
"New entrant CS","2022","Asian","Unknown","Male","80","70","30300","27060"
"New entrant CS","2022","Black","AA/AO","Female","420","400","22800","21260"
"New entrant CS","2022","Black","AA/AO","Male","270","260","23680","21470"
"New entrant CS","2022","Black","EO","Female","580","560","28470","27680"
"New entrant CS","2022","Black","EO","Male","290","290","27830","27570"
"New entrant CS","2022","Black","G6/G7","Female","70","70","54900","53370"
"New entrant CS","2022","Black","G6/G7","Male","50","50","[c]","[c]"
"New entrant CS","2022","Black","SCS","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","SCS","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","SEO/HEO","Female","320","310","35750","34710"
"New entrant CS","2022","Black","SEO/HEO","Male","260","250","36590","35900"
"New entrant CS","2022","Black","Unknown","Female","320","300","29740","27980"
"New entrant CS","2022","Black","Unknown","Male","150","140","31530","29670"
"New entrant CS","2022","Mixed","AA/AO","Female","290","280","22320","21260"
"New entrant CS","2022","Mixed","AA/AO","Male","190","190","22810","21280"
"New entrant CS","2022","Mixed","EO","Female","270","260","27230","27570"
"New entrant CS","2022","Mixed","EO","Male","190","180","27480","27500"
"New entrant CS","2022","Mixed","G6/G7","Female","60","60","53880","53130"
"New entrant CS","2022","Mixed","G6/G7","Male","40","40","[c]","[c]"
"New entrant CS","2022","Mixed","SCS","Female","[c]","[c]","[c]","[c]"
