"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Operational Delivery","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Defence Science and Technology Laboratory","Analysis","250","240","41950","46080"
"In post","2021","Operational Research","Defence Science and Technology Laboratory","No function","230","220","43430","46080"
"In post","2021","Operational Research","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Driver and Vehicle Standards Agency","Analysis","40","40","[c]","[c]"
"In post","2021","Operational Research","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","70","60","58060","58370"
"In post","2021","Operational Research","HM Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","Analysis","100","90","43790","38630"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Home Office (incl. agencies)","Unknown","90","80","46070","39900"
"In post","2021","Operational Research","Ministry of Defence (excl. agencies)","Unknown","80","80","43990","40580"
"In post","2021","Operational Research","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Justice (excl. agencies)","Analysis","100","100","47610","42190"
"In post","2021","Operational Research","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Planning Inspectorate","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","United Kingdom Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Valuation Office Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other","Attorney General's Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Companies House","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other","Defence Electronics and Components Agency","Project Delivery","30","30","[c]","[c]"
"In post","2021","Other","Defence Equipment and Support","Commercial","50","50","39920","39890"
"In post","2021","Other","Defence Equipment and Support","Communications","230","220","23990","20510"
"In post","2021","Other","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Defence Equipment and Support","Finance","120","100","40450","32860"
"In post","2021","Other","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Defence Equipment and Support","Project Delivery","2930","2810","31430","28290"
"In post","2021","Other","Defence Equipment and Support","Property","60","60","37690","35230"
"In post","2021","Other","Defence Equipment and Support","Unknown","40","40","[c]","[c]"
"In post","2021","Other","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Digital, Culture, Media and Sport","No function","90","90","40850","34330"
"In post","2021","Other","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for International Trade","No function","150","150","40210","33320"
"In post","2021","Other","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Department for Transport (excl. agencies)","No function","430","400","43670","32740"
"In post","2021","Other","Driver and Vehicle Licensing Agency","No function","50","50","34410","31860"
"In post","2021","Other","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","ESTYN","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","FCDO Services","Unknown","30","30","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","250","240","67040","67370"
"In post","2021","Other","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Actuary's Department","Analysis","170","160","69960","65470"
"In post","2021","Other","Government Actuary's Department","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Actuary's Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Legal Department","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Legal Department","Legal","340","330","30590","27580"
"In post","2021","Other","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Legal Department","Project Delivery","30","30","[c]","[c]"
"In post","2021","Other","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Property Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Property Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Land Registry","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs (excl. agencies)","Counter Fraud","340","300","38680","32520"
"In post","2021","Other","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs (excl. agencies)","No function","30","30","[c]","[c]"
"In post","2021","Other","HM Revenue and Customs (excl. agencies)","Project Delivery","100","90","39860","38630"
"In post","2021","Other","Home Office (incl. agencies)","Unknown","1790","1680","34890","30830"
"In post","2021","Other","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Medicines and Healthcare Products Regulatory Agency","Unknown","300","280","50080","46200"
"In post","2021","Other","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Ministry of Defence (excl. agencies)","Unknown","10510","10130","25470","21580"
"In post","2021","Other","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Ministry of Justice (excl. agencies)","No function","70","70","35560","33520"
"In post","2021","Other","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","National Savings and Investments","No function","80","80","54250","44360"
"In post","2021","Other","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office for Standards in Education, Children's Services and Skills","No function","250","240","28530","25880"
"In post","2021","Other","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Office of Gas and Electricity Markets","No function","510","500","43690","36890"
"In post","2021","Other","Royal Fleet Auxiliary","Unknown","1830","1830","37620","34460"
"In post","2021","Other","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other","Scottish Prison Service","No function","390","340","32250","30930"
"In post","2021","Other","Scottish Prison Service","Property","250","240","30070","28870"
"In post","2021","Other","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","The National Archives","No function","80","80","43040","35000"
"In post","2021","Other","UK Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Other","Welsh Government (excl. agencies)","Unknown","620","580","42660","37410"
"In post","2021","Planning","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","90","90","46410","42200"
"In post","2021","Planning","Planning Inspectorate","No function","30","30","[c]","[c]"
"In post","2021","Planning","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Planning Inspectorate","No function","340","300","57920","58810"
"In post","2021","Policy","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Companies House","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Crown Office and Procurator Fiscal Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Crown Prosecution Service","Unknown","40","40","[c]","[c]"
"In post","2021","Policy","Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Debt Management Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Project Delivery","50","40","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","3630","3550","49600","53380"
"In post","2021","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","70","70","51320","53380"
"In post","2021","Policy","Department for Digital, Culture, Media and Sport","No function","1080","1060","48480","51730"
"In post","2021","Policy","Department for Education (excl. agencies)","Analysis","260","250","44510","45250"
"In post","2021","Policy","Department for Education (excl. agencies)","No function","1890","1820","44600","40510"
"In post","2021","Policy","Department for Education (excl. agencies)","Project Delivery","190","180","44440","40580"
"In post","2021","Policy","Department for Education (excl. agencies)","Unknown","450","440","52160","46030"
"In post","2021","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","2470","2390","43010","38750"
"In post","2021","Policy","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for International Trade","No function","210","200","45390","38540"
"In post","2021","Policy","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Department for Transport (excl. agencies)","No function","960","940","48090","44480"
"In post","2021","Policy","Department of Health and Social Care (excl. agencies)","No function","1820","1780","47250","41890"
"In post","2021","Policy","Driver and Vehicle Licensing Agency","No function","140","130","30230","26780"
"In post","2021","Policy","Driver and Vehicle Standards Agency","No function","60","60","37840","33650"
"In post","2021","Policy","Education and Skills Funding Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Education and Skills Funding Agency","No function","180","170","46010","42520"
"In post","2021","Policy","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Food Standards Agency","No function","190","180","42590","38120"
"In post","2021","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","No function","3190","3160","49630","43300"
"In post","2021","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","840","820","54460","55060"
"In post","2021","Policy","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Health and Safety Executive","No function","80","80","47780","43780"
"In post","2021","Policy","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","HM Prison and Probation Service","No function","590","570","37780","31180"
"In post","2021","Policy","HM Revenue and Customs (excl. agencies)","Project Delivery","1120","1060","52510","52580"
"In post","2021","Policy","HM Treasury (excl. agencies)","Analysis","30","30","[c]","[c]"
"In post","2021","Policy","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","HM Treasury (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","HM Treasury (excl. agencies)","No function","1320","1300","48760","52500"
"In post","2021","Policy","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Home Office (incl. agencies)","Unknown","2120","2060","49990","45350"
"In post","2021","Policy","Insolvency Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Maritime and Coastguard Agency","No function","200","190","38830","38650"
"In post","2021","Policy","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Defence (excl. agencies)","Unknown","1060","1040","44080","41500"
"In post","2021","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","1260","1240","48360","48450"
"In post","2021","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","No function","650","630","43580","36800"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","National Infrastructure Commission","No function","30","30","[c]","[c]"
"In post","2021","Policy","Northern Ireland Office","No function","90","90","46600","41000"
"In post","2021","Policy","Office for Standards in Education, Children's Services and Skills","No function","70","60","51530","42850"
"In post","2021","Policy","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Office of Gas and Electricity Markets","No function","80","80","37760","34240"
"In post","2021","Policy","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Office of Qualifications and Examinations Regulation","No function","40","30","[c]","[c]"
"In post","2021","Policy","Office of Rail and Road","No function","70","60","57300","55500"
"In post","2021","Policy","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Rural Payments Agency","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Standards and Testing Agency","No function","30","30","[c]","[c]"
"In post","2021","Policy","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","The National Archives","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","UK Intellectual Property Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Policy","UK Intellectual Property Office","No function","80","80","45720","42920"
"In post","2021","Policy","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Policy","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Policy","UK Space Agency","Project Delivery","140","130","48800","49100"
"In post","2021","Policy","United Kingdom Statistics Authority","Human Resources","60","50","37220","36030"
"In post","2021","Policy","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Water Services Regulation Authority","No function","60","50","62140","60800"
"In post","2021","Policy","Welsh Government (excl. agencies)","Unknown","1600","1520","43090","37410"
"In post","2021","Policy","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Animal and Plant Health Agency","Project Delivery","30","30","[c]","[c]"
"In post","2021","Project Delivery","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Competition and Markets Authority","Project Delivery","380","360","60880","56360"
"In post","2021","Project Delivery","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Equipment and Support","Commercial","60","60","47010","42610"
"In post","2021","Project Delivery","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Equipment and Support","Finance","60","60","43620","39940"
"In post","2021","Project Delivery","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Equipment and Support","Project Delivery","2070","2010","39920","39000"
"In post","2021","Project Delivery","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Equipment and Support","Unknown","50","50","[c]","[c]"
"In post","2021","Project Delivery","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Defence Science and Technology Laboratory","Project Delivery","450","420","40740","37360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","40","40","[c]","[c]"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48530","51730"
"In post","2021","Project Delivery","Department for Education (excl. agencies)","Project Delivery","50","50","47490","49860"
"In post","2021","Project Delivery","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","230","230","42220","37110"
"In post","2021","Project Delivery","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for International Trade","No function","30","30","[c]","[c]"
"In post","2021","Project Delivery","Department for International Trade","Project Delivery","40","40","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
