"Status","Year","Responsibility_level","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","AA/AO","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Property","Female","80","70","20330","20170"
"Leaver CS","2021","AA/AO","Property","Male","100","100","21410","20810"
"Leaver CS","2021","AA/AO","Security","Female","50","50","24670","20920"
"Leaver CS","2021","AA/AO","Security","Male","270","260","27840","23540"
"Leaver CS","2021","AA/AO","Unknown","Female","3640","2840","21230","21010"
"Leaver CS","2021","AA/AO","Unknown","Male","2070","1890","21220","21010"
"Leaver CS","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data & Technology","Male","50","50","[c]","[c]"
"Leaver CS","2021","EO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","Female","40","30","[c]","[c]"
"Leaver CS","2021","EO","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Legal","Female","60","50","26450","26680"
"Leaver CS","2021","EO","Legal","Male","30","30","[c]","[c]"
"Leaver CS","2021","EO","No function","Female","590","530","26030","26380"
"Leaver CS","2021","EO","No function","Male","630","570","28280","26880"
"Leaver CS","2021","EO","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Project Delivery","Female","80","80","22940","23270"
"Leaver CS","2021","EO","Project Delivery","Male","120","120","21920","20650"
"Leaver CS","2021","EO","Property","Female","60","50","26190","26000"
"Leaver CS","2021","EO","Property","Male","110","90","26690","25970"
"Leaver CS","2021","EO","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Security","Male","40","40","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Female","2400","1930","27820","27570"
"Leaver CS","2021","EO","Unknown","Male","1750","1560","28150","27570"
"Leaver CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","Female","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Commercial","Male","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data & Technology","Female","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Digital, Data & Technology","Male","90","80","59020","57870"
"Leaver CS","2021","G6/G7","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Finance","Male","30","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","Female","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Legal","Female","130","110","59580","55610"
"Leaver CS","2021","G6/G7","Legal","Male","120","100","58290","55610"
"Leaver CS","2021","G6/G7","No function","Female","270","250","58670","55290"
"Leaver CS","2021","G6/G7","No function","Male","330","310","61660","58800"
"Leaver CS","2021","G6/G7","Project Delivery","Female","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Project Delivery","Male","90","90","58310","55730"
"Leaver CS","2021","G6/G7","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Property","Male","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Security","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Female","460","390","61150","59910"
"Leaver CS","2021","G6/G7","Unknown","Male","540","460","62560","60380"
"Leaver CS","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","No function","Female","60","50","101630","98480"
"Leaver CS","2021","SCS","No function","Male","80","70","109850","104930"
"Leaver CS","2021","SCS","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Female","70","50","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Male","100","70","93520","85850"
"Leaver CS","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Analysis","Female","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Analysis","Male","50","50","35230","34940"
"Leaver CS","2021","SEO/HEO","Commercial","Female","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Commercial","Male","60","60","38330","37640"
"Leaver CS","2021","SEO/HEO","Communications","Female","80","70","36170","35590"
"Leaver CS","2021","SEO/HEO","Communications","Male","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Digital, Data & Technology","Female","60","50","38130","38360"
"Leaver CS","2021","SEO/HEO","Digital, Data & Technology","Male","110","100","37830","38000"
"Leaver CS","2021","SEO/HEO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Finance","Female","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Finance","Male","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Human Resources","Female","70","70","39270","39910"
"Leaver CS","2021","SEO/HEO","Human Resources","Male","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Legal","Female","100","80","40680","41470"
"Leaver CS","2021","SEO/HEO","Legal","Male","60","50","40820","39100"
"Leaver CS","2021","SEO/HEO","No function","Female","680","610","36130","34530"
"Leaver CS","2021","SEO/HEO","No function","Male","730","670","37690","36470"
"Leaver CS","2021","SEO/HEO","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Project Delivery","Female","130","120","34410","33300"
"Leaver CS","2021","SEO/HEO","Project Delivery","Male","260","250","37380","37540"
"Leaver CS","2021","SEO/HEO","Property","Female","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Property","Male","120","110","38410","37620"
"Leaver CS","2021","SEO/HEO","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Security","Male","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Female","1300","1130","36260","35520"
"Leaver CS","2021","SEO/HEO","Unknown","Male","1290","1140","37220","36610"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","Female","490","420","[c]","[c]"
"Leaver CS","2021","Unknown","No function","Male","170","150","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Project Delivery","Male","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","250","230","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","290","280","35520","32700"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Analysis","Female","60","50","[c]","[c]"
"Leaver CS","2022","AA/AO","Analysis","Male","70","70","21120","19610"
"Leaver CS","2022","AA/AO","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Counter Fraud","Female","60","40","21810","21260"
"Leaver CS","2022","AA/AO","Counter Fraud","Male","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Debt","Female","120","90","21340","21260"
"Leaver CS","2022","AA/AO","Debt","Male","80","70","21380","21260"
"Leaver CS","2022","AA/AO","Digital, Data & Technology","Female","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Digital, Data & Technology","Male","70","70","21030","21170"
"Leaver CS","2022","AA/AO","Finance","Female","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Finance","Male","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Grants Management","Female","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Grants Management","Male","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Human Resources","Female","100","90","21470","21170"
"Leaver CS","2022","AA/AO","Human Resources","Male","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Legal","Female","110","100","22100","22200"
"Leaver CS","2022","AA/AO","Legal","Male","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","No function","Female","5500","4750","21120","21260"
"Leaver CS","2022","AA/AO","No function","Male","5000","4670","21390","21260"
"Leaver CS","2022","AA/AO","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Property","Female","130","120","20960","21100"
"Leaver CS","2022","AA/AO","Property","Male","110","110","20980","20830"
"Leaver CS","2022","AA/AO","Security","Female","90","80","25920","22330"
"Leaver CS","2022","AA/AO","Security","Male","440","420","29010","25680"
"Leaver CS","2022","AA/AO","Unknown","Female","2990","2430","21720","21260"
"Leaver CS","2022","AA/AO","Unknown","Male","2050","1880","21780","21260"
"Leaver CS","2022","EO","Analysis","Female","30","30","[c]","[c]"
"Leaver CS","2022","EO","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Commercial","Female","30","30","[c]","[c]"
"Leaver CS","2022","EO","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Communications","Female","50","40","[c]","[c]"
"Leaver CS","2022","EO","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Counter Fraud","Female","90","60","27850","27570"
"Leaver CS","2022","EO","Counter Fraud","Male","70","50","27860","27570"
"Leaver CS","2022","EO","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Digital, Data & Technology","Female","90","80","27340","26720"
"Leaver CS","2022","EO","Digital, Data & Technology","Male","140","130","27360","27130"
"Leaver CS","2022","EO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Finance","Female","50","30","[c]","[c]"
"Leaver CS","2022","EO","Finance","Male","40","40","[c]","[c]"
"Leaver CS","2022","EO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","Female","120","100","26640","27410"
"Leaver CS","2022","EO","Human Resources","Male","50","50","[c]","[c]"
"Leaver CS","2022","EO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","Female","60","60","28060","27460"
"Leaver CS","2022","EO","Legal","Male","40","30","[c]","[c]"
"Leaver CS","2022","EO","No function","Female","3710","3210","27720","27570"
"Leaver CS","2022","EO","No function","Male","2530","2350","28150","27570"
"Leaver CS","2022","EO","Project Delivery","Female","100","90","23900","23500"
"Leaver CS","2022","EO","Project Delivery","Male","140","130","22790","22730"
"Leaver CS","2022","EO","Property","Female","40","30","[c]","[c]"
"Leaver CS","2022","EO","Property","Male","60","50","25740","26030"
"Leaver CS","2022","EO","Security","Female","30","30","[c]","[c]"
"Leaver CS","2022","EO","Security","Male","90","80","33780","29250"
"Leaver CS","2022","EO","Unknown","Female","1470","1240","27670","27570"
"Leaver CS","2022","EO","Unknown","Male","1410","1270","28120","27570"
"Leaver CS","2022","G6/G7","Analysis","Female","50","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Analysis","Male","70","50","62690","58400"
"Leaver CS","2022","G6/G7","Commercial","Female","70","60","64030","64500"
"Leaver CS","2022","G6/G7","Commercial","Male","110","100","67610","65000"
"Leaver CS","2022","G6/G7","Communications","Female","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Communications","Male","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Female","120","100","58050","54700"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","Male","280","270","59030","57810"
"Leaver CS","2022","G6/G7","Finance","Female","50","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Finance","Male","60","50","58500","57560"
"Leaver CS","2022","G6/G7","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","Female","70","60","59090","58220"
"Leaver CS","2022","G6/G7","Human Resources","Male","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","Female","190","170","59050","55610"
"Leaver CS","2022","G6/G7","Legal","Male","150","140","58970","55610"
"Leaver CS","2022","G6/G7","No function","Female","960","860","58490","54720"
"Leaver CS","2022","G6/G7","No function","Male","820","750","59740","57480"
"Leaver CS","2022","G6/G7","Project Delivery","Female","110","100","58960","57460"
"Leaver CS","2022","G6/G7","Project Delivery","Male","150","140","60120","59410"
"Leaver CS","2022","G6/G7","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Property","Male","50","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Security","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Female","330","270","63010","61560"
"Leaver CS","2022","G6/G7","Unknown","Male","510","450","64450","62170"
"Leaver CS","2022","SCS","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","No function","Female","190","160","96710","93740"
"Leaver CS","2022","SCS","No function","Male","180","160","96430","92100"
"Leaver CS","2022","SCS","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Security","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Female","60","50","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Male","80","60","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Analysis","Female","90","80","35440","36000"
"Leaver CS","2022","SEO/HEO","Analysis","Male","140","130","36180","35700"
"Leaver CS","2022","SEO/HEO","Commercial","Female","100","70","37390","36780"
"Leaver CS","2022","SEO/HEO","Commercial","Male","110","90","37600","37610"
"Leaver CS","2022","SEO/HEO","Communications","Female","130","120","37770","37510"
"Leaver CS","2022","SEO/HEO","Communications","Male","80","80","39050","38000"
"Leaver CS","2022","SEO/HEO","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Counter Fraud","Female","40","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Counter Fraud","Male","40","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Digital, Data & Technology","Female","180","150","36980","36730"
"Leaver CS","2022","SEO/HEO","Digital, Data & Technology","Male","450","420","38400","37860"
"Leaver CS","2022","SEO/HEO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Finance","Female","110","80","38220","37790"
"Leaver CS","2022","SEO/HEO","Finance","Male","110","90","39140","38070"
"Leaver CS","2022","SEO/HEO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Human Resources","Female","160","140","37150","36790"
"Leaver CS","2022","SEO/HEO","Human Resources","Male","80","80","37820","36560"
"Leaver CS","2022","SEO/HEO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Legal","Female","70","70","40680","39480"
"Leaver CS","2022","SEO/HEO","Legal","Male","50","50","[c]","[c]"
"Leaver CS","2022","SEO/HEO","No function","Female","2130","1880","36540","36080"
"Leaver CS","2022","SEO/HEO","No function","Male","1640","1500","37440","36420"
"Leaver CS","2022","SEO/HEO","Project Delivery","Female","200","180","35250","34910"
"Leaver CS","2022","SEO/HEO","Project Delivery","Male","400","380","36810","37400"
"Leaver CS","2022","SEO/HEO","Property","Female","60","60","39650","40580"
"Leaver CS","2022","SEO/HEO","Property","Male","130","120","38530","37550"
"Leaver CS","2022","SEO/HEO","Security","Female","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Security","Male","100","90","41060","37610"
"Leaver CS","2022","SEO/HEO","Unknown","Female","1000","880","38260","37450"
"Leaver CS","2022","SEO/HEO","Unknown","Male","1200","1050","38650","37460"
"Leaver CS","2022","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Female","1360","1200","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Male","450","410","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Male","90","90","38750","39250"
"Leaver CS","2022","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Female","90","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Male","270","230","36440","33570"
"Leaver Dept.","2021","AA/AO","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Communications","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Human Resources","Female","40","30","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","No function","Female","400","380","20500","20100"
"Leaver Dept.","2021","AA/AO","No function","Male","290","280","20700","20260"
"Leaver Dept.","2021","AA/AO","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Property","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Property","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Security","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Security","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Female","710","650","21320","21010"
