"Status","Year","Ethnicity","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","60-64","Debt","500","380","23990","21690"
"In post","2022","White","60-64","Digital, Data & Technology","1000","870","39530","35980"
"In post","2022","White","60-64","Finance","650","540","36640","33300"
"In post","2022","White","60-64","Grants Management","120","90","25670","24920"
"In post","2022","White","60-64","Human Resources","700","570","35370","31990"
"In post","2022","White","60-64","Internal Audit","60","50","43380","43150"
"In post","2022","White","60-64","Legal","510","430","48320","53350"
"In post","2022","White","60-64","No function","17720","14030","29720","27570"
"In post","2022","White","60-64","Project Delivery","1590","1380","42390","40130"
"In post","2022","White","60-64","Property","810","730","36560","33300"
"In post","2022","White","60-64","Security","780","700","29030","23100"
"In post","2022","White","60-64","Unknown","4960","4380","32610","27370"
"In post","2022","White","65+","Analysis","60","50","46310","40520"
"In post","2022","White","65+","Commercial","60","50","38570","36840"
"In post","2022","White","65+","Communications","50","40","34550","29200"
"In post","2022","White","65+","Counter Fraud","370","260","30320","27570"
"In post","2022","White","65+","Debt","140","100","24550","21260"
"In post","2022","White","65+","Digital, Data & Technology","280","230","38320","34510"
"In post","2022","White","65+","Finance","150","120","34900","30380"
"In post","2022","White","65+","Grants Management","50","40","[c]","[c]"
"In post","2022","White","65+","Human Resources","150","120","33350","28920"
"In post","2022","White","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","White","65+","Legal","140","100","49120","55610"
"In post","2022","White","65+","No function","5250","3850","28990","26540"
"In post","2022","White","65+","Project Delivery","440","350","41400","39940"
"In post","2022","White","65+","Property","280","240","32820","29690"
"In post","2022","White","65+","Security","260","220","28220","24360"
"In post","2022","White","65+","Unknown","1700","1420","31100","26340"
"In post","2022","White","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","No function","110","110","23430","22680"
"Leaver CS","2021","Asian","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","20-29","Unknown","180","170","25970","25110"
"Leaver CS","2021","Asian","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","No function","100","90","31550","29470"
"Leaver CS","2021","Asian","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","30-39","Unknown","110","100","28000","27570"
"Leaver CS","2021","Asian","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","No function","70","60","36450","32330"
"Leaver CS","2021","Asian","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","40-49","Unknown","100","90","32790","27570"
"Leaver CS","2021","Asian","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","50-59","Unknown","120","110","29430","25340"
"Leaver CS","2021","Asian","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","60-64","Unknown","70","60","[c]","[c]"
"Leaver CS","2021","Asian","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","65+","Unknown","90","60","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","No function","40","40","[c]","[c]"
"Leaver CS","2021","Black","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","20-29","Unknown","70","60","26390","25110"
"Leaver CS","2021","Black","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","No function","40","40","[c]","[c]"
"Leaver CS","2021","Black","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","30-39","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","Black","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","No function","40","40","[c]","[c]"
"Leaver CS","2021","Black","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","40-49","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","Black","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","No function","40","40","[c]","[c]"
"Leaver CS","2021","Black","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","50-59","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Black","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Property","[c]","[c]","[c]","[c]"
