"Status","Year","Profession_of_post","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","EO","380","370","27000","26670"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","G6/G7","130","130","61880","59730"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","SEO/HEO","600","590","40290","40580"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","Unknown","110","110","28370","27370"
"In post","2021","Science and Engineering","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Public Health England","AA/AO","330","300","21630","21570"
"In post","2021","Science and Engineering","Public Health England","EO","240","230","25740","25370"
"In post","2021","Science and Engineering","Public Health England","G6/G7","620","580","58780","54180"
"In post","2021","Science and Engineering","Public Health England","SCS","40","30","[c]","[c]"
"In post","2021","Science and Engineering","Public Health England","SEO/HEO","1080","980","36850","37450"
"In post","2021","Science and Engineering","Submarine Delivery Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Submarine Delivery Agency","Unknown","700","690","41050","40140"
"In post","2021","Science and Engineering","UK Intellectual Property Office","EO","70","70","30200","29890"
"In post","2021","Science and Engineering","UK Intellectual Property Office","G6/G7","170","150","59850","59720"
"In post","2021","Science and Engineering","UK Intellectual Property Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Intellectual Property Office","SEO/HEO","120","120","41070","40800"
"In post","2021","Science and Engineering","UK Space Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Space Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","SEO/HEO","70","70","41350","39360"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Security","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","SEO/HEO","110","110","40220","42470"
"In post","2021","Security","Driver and Vehicle Licensing Agency","AA/AO","60","60","25220","25390"
"In post","2021","Security","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Driver and Vehicle Licensing Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Security","FCDO Services","AA/AO","80","80","25850","23340"
"In post","2021","Security","FCDO Services","EO","40","40","[c]","[c]"
"In post","2021","Security","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","SEO/HEO","70","70","39620","40490"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","90","90","36660","34770"
"In post","2021","Security","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","AA/AO","60","60","29130","27510"
"In post","2021","Security","HM Prison and Probation Service","EO","160","160","31520","29740"
"In post","2021","Security","HM Prison and Probation Service","G6/G7","30","30","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","SEO/HEO","360","350","41620","38160"
"In post","2021","Security","HM Prison and Probation Service","Unknown","60","60","36330","37170"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","G6/G7","60","50","57560","52770"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","SEO/HEO","90","80","36880","38630"
"In post","2021","Security","Home Office (incl. agencies)","AA/AO","150","150","22320","22210"
"In post","2021","Security","Home Office (incl. agencies)","EO","70","60","28380","28850"
"In post","2021","Security","Home Office (incl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","Security","Home Office (incl. agencies)","SEO/HEO","100","100","37330","35300"
"In post","2021","Security","Ministry of Defence (excl. agencies)","AA/AO","5020","4930","27010","21770"
"In post","2021","Security","Ministry of Defence (excl. agencies)","EO","680","670","34880","42660"
"In post","2021","Security","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Defence (excl. agencies)","SEO/HEO","290","290","46480","45200"
"In post","2021","Security","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Hydrographic Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department of Health and Social Care (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Department of Health and Social Care (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","HM Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","HM Revenue and Customs (excl. agencies)","G6/G7","40","30","[c]","[c]"
"In post","2021","Social Research","HM Revenue and Customs (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Social Research","Home Office (incl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Home Office (incl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Home Office (incl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Social Research","Home Office (incl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Ministry of Justice (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Ministry of Justice (excl. agencies)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Social Research","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","UK Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","United Kingdom Statistics Authority","G6/G7","110","110","51580","49120"
"In post","2021","Social Research","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","United Kingdom Statistics Authority","SEO/HEO","420","400","33880","32540"
"In post","2021","Social Research","Valuation Office Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Welsh Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Welsh Government (excl. agencies)","SEO/HEO","130","130","45970","47000"
"In post","2021","Statistics","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Defence Science and Technology Laboratory","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Statistics","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Transport (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Statistics","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department for Transport (excl. agencies)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Statistics","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department of Health and Social Care (excl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","Statistics","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Department of Health and Social Care (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","40","30","[c]","[c]"
"In post","2021","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Prison and Probation Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Revenue and Customs (excl. agencies)","G6/G7","90","90","56610","59160"
"In post","2021","Statistics","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Revenue and Customs (excl. agencies)","SEO/HEO","160","160","36540","36160"
"In post","2021","Statistics","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Home Office (incl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Home Office (incl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Home Office (incl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Home Office (incl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Statistics","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Medicines and Healthcare Products Regulatory Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Medicines and Healthcare Products Regulatory Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Defence (excl. agencies)","EO","50","50","[c]","[c]"
"In post","2021","Statistics","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Defence (excl. agencies)","SEO/HEO","90","90","40490","40640"
"In post","2021","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Statistics","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Justice (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Statistics","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Ministry of Justice (excl. agencies)","SEO/HEO","50","50","38540","40480"
"In post","2021","Statistics","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office for Standards in Education, Children's Services and Skills","SEO/HEO","80","80","36150","35010"
"In post","2021","Statistics","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Public Health England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Public Health England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
