"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","East Wales","60","60","32860","29540"
"In post","2021","Unknown","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","31780","28260"
"In post","2021","Unknown","Human Resources","Greater Manchester","70","60","32360","31810"
"In post","2021","Unknown","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Inner London - East","40","40","[c]","[c]"
"In post","2021","Unknown","Human Resources","Inner London - West","190","190","41160","35110"
"In post","2021","Unknown","Human Resources","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","West Central Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","Human Resources","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Inner London - West","180","180","51200","53360"
"In post","2021","Unknown","Intelligence Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Inner London - West","350","350","45470","40020"
"In post","2021","Unknown","International Trade","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Overseas","50","50","[c]","[c]"
"In post","2021","Unknown","International Trade","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","50","40","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Inner London - East","60","50","40410","37300"
"In post","2021","Unknown","Knowledge and Information Management","Inner London - West","50","50","41870","38660"
"In post","2021","Unknown","Knowledge and Information Management","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Unknown","Legal","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Derbyshire and Nottinghamshire","110","100","38800","32100"
"In post","2021","Unknown","Legal","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","East Anglia","110","100","29860","25560"
"In post","2021","Unknown","Legal","East Wales","90","80","44200","50500"
"In post","2021","Unknown","Legal","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Essex","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","110","100","41890","38550"
"In post","2021","Unknown","Legal","Greater Manchester","210","200","34960","31810"
"In post","2021","Unknown","Legal","Hampshire and Isle of Wight","60","50","47940","50520"
"In post","2021","Unknown","Legal","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Inner London - East","110","100","58220","59160"
"In post","2021","Unknown","Legal","Inner London - West","1010","930","56130","59160"
"In post","2021","Unknown","Legal","Kent","60","50","39840","31920"
"In post","2021","Unknown","Legal","Lancashire","40","30","[c]","[c]"
"In post","2021","Unknown","Legal","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Merseyside","60","60","51340","55610"
"In post","2021","Unknown","Legal","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","North Yorkshire","70","60","56470","55610"
"In post","2021","Unknown","Legal","Northern Ireland","50","40","[c]","[c]"
"In post","2021","Unknown","Legal","Northumberland and Tyne and Wear","70","60","37460","31810"
"In post","2021","Unknown","Legal","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Outer London - South","90","90","37080","36160"
"In post","2021","Unknown","Legal","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Unknown","Legal","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","West Central Scotland","70","70","43620","36810"
"In post","2021","Unknown","Legal","West Midlands","150","140","44600","46530"
"In post","2021","Unknown","Legal","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","West Yorkshire","130","120","42100","37780"
"In post","2021","Unknown","Medicine","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Unknown","Medicine","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Devon","50","40","[c]","[c]"
"In post","2021","Unknown","Medicine","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Gloucestershire, Wiltshire and Bath/Bristol area","50","40","[c]","[c]"
"In post","2021","Unknown","Medicine","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Unknown","Medicine","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Inner London - East","80","70","79820","81920"
"In post","2021","Unknown","Medicine","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Bedfordshire and Hertfordshire","320","300","28970","27530"
"In post","2021","Unknown","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","720","680","28840","27850"
"In post","2021","Unknown","Operational Delivery","Cheshire","440","410","29480","28860"
"In post","2021","Unknown","Operational Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Cumbria","460","420","23770","21050"
"In post","2021","Unknown","Operational Delivery","Derbyshire and Nottinghamshire","1150","1060","26400","25560"
"In post","2021","Unknown","Operational Delivery","Devon","660","610","29210","25450"
"In post","2021","Unknown","Operational Delivery","Dorset and Somerset","450","410","27960","26740"
"In post","2021","Unknown","Operational Delivery","East Anglia","950","870","27470","26580"
"In post","2021","Unknown","Operational Delivery","East Wales","2110","1900","25420","23050"
"In post","2021","Unknown","Operational Delivery","East Yorkshire and Northern Lincolnshire","470","440","26850","25560"
"In post","2021","Unknown","Operational Delivery","Eastern Scotland","1880","1750","28650","27010"
"In post","2021","Unknown","Operational Delivery","Essex","360","330","26250","24230"
"In post","2021","Unknown","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","880","800","29200","25930"
"In post","2021","Unknown","Operational Delivery","Greater Manchester","1580","1440","25960","24250"
"In post","2021","Unknown","Operational Delivery","Hampshire and Isle of Wight","1010","850","25920","23050"
"In post","2021","Unknown","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","360","340","26210","24920"
"In post","2021","Unknown","Operational Delivery","Highlands and Islands","60","60","29560","29040"
"In post","2021","Unknown","Operational Delivery","Inner London - East","1290","1220","36700","32310"
"In post","2021","Unknown","Operational Delivery","Inner London - West","1760","1680","33850","30220"
"In post","2021","Unknown","Operational Delivery","Kent","770","720","28050","27850"
"In post","2021","Unknown","Operational Delivery","Lancashire","1070","950","25810","23970"
"In post","2021","Unknown","Operational Delivery","Leicestershire, Rutland and Northamptonshire","710","640","25060","22850"
"In post","2021","Unknown","Operational Delivery","Lincolnshire","140","130","26850","26300"
"In post","2021","Unknown","Operational Delivery","Merseyside","1780","1570","25020","21950"
"In post","2021","Unknown","Operational Delivery","North Eastern Scotland","180","170","33090","32290"
"In post","2021","Unknown","Operational Delivery","North Yorkshire","170","160","27310","25010"
"In post","2021","Unknown","Operational Delivery","Northern Ireland","440","400","23990","21440"
"In post","2021","Unknown","Operational Delivery","Northumberland and Tyne and Wear","2600","2150","23280","21440"
"In post","2021","Unknown","Operational Delivery","Outer London - East and North East","380","360","29370","30150"
"In post","2021","Unknown","Operational Delivery","Outer London - South","500","470","29090","25850"
"In post","2021","Unknown","Operational Delivery","Outer London - West and North West","600","570","30960","28650"
"In post","2021","Unknown","Operational Delivery","Overseas","40","40","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Shropshire and Staffordshire","780","720","25650","23970"
"In post","2021","Unknown","Operational Delivery","South Yorkshire","480","450","26210","22850"
"In post","2021","Unknown","Operational Delivery","Southern Scotland","900","780","23300","21400"
"In post","2021","Unknown","Operational Delivery","Surrey, East and West Sussex","690","630","29060","27810"
"In post","2021","Unknown","Operational Delivery","Tees Valley and Durham","1120","1030","26440","24880"
"In post","2021","Unknown","Operational Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","West Central Scotland","1650","1540","27730","25870"
"In post","2021","Unknown","Operational Delivery","West Midlands","1500","1390","27470","23560"
"In post","2021","Unknown","Operational Delivery","West Wales and The Valleys","1200","1060","24030","21590"
"In post","2021","Unknown","Operational Delivery","West Yorkshire","1550","1420","25770","23240"
"In post","2021","Unknown","Operational Research","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Hampshire and Isle of Wight","50","50","[c]","[c]"
"In post","2021","Unknown","Operational Research","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Berkshire, Buckinghamshire and Oxfordshire","70","70","28270","22920"
"In post","2021","Unknown","Other","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Devon","40","40","[c]","[c]"
"In post","2021","Unknown","Other","Dorset and Somerset","40","30","[c]","[c]"
"In post","2021","Unknown","Other","East Anglia","110","110","25380","21580"
"In post","2021","Unknown","Other","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Eastern Scotland","310","290","33260","28870"
"In post","2021","Unknown","Other","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Gloucestershire, Wiltshire and Bath/Bristol area","240","230","30020","26500"
"In post","2021","Unknown","Other","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Unknown","Other","Hampshire and Isle of Wight","110","100","31910","26350"
"In post","2021","Unknown","Other","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Inner London - East","310","290","49330","41130"
"In post","2021","Unknown","Other","Inner London - West","430","420","40390","31940"
"In post","2021","Unknown","Other","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","North Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","Other","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Unknown","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Outer London - South","90","90","38060","30600"
"In post","2021","Unknown","Other","Outer London - West and North West","80","70","37910","31750"
"In post","2021","Unknown","Other","Overseas","230","230","47740","46620"
"In post","2021","Unknown","Other","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Unknown","Other","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","Other","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Unknown","Other","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Unknown","1830","1830","37620","34460"
"In post","2021","Unknown","Other","West Central Scotland","220","200","31610","28870"
"In post","2021","Unknown","Other","West Midlands","30","30","[c]","[c]"
"In post","2021","Unknown","Other","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","West Yorkshire","[c]","[c]","[c]","[c]"
