"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Knowledge and Information Management","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","EO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Attorney General's Departments","80","80","27570","26970"
"New entrant CS","2021","Legal","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","HM Revenue and Customs","50","50","26080","25560"
"New entrant CS","2021","Legal","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Attorney General's Departments","310","300","52400","50520"
"New entrant CS","2021","Legal","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Attorney General's Departments","140","140","40740","40000"
"New entrant CS","2021","Legal","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Ministry of Justice","130","130","27640","26550"
"New entrant CS","2021","Legal","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Scottish Government","30","30","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","AA/AO","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","Medicine","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","EO","Ministry of Defence","60","50","29740","30620"
"New entrant CS","2021","Medicine","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","G6/G7","Ministry of Defence","80","60","74570","76200"
"New entrant CS","2021","Medicine","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","SCS","Department of Health and Social Care","60","40","92780","84460"
"New entrant CS","2021","Medicine","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","SEO/HEO","Ministry of Defence","100","90","36630","37890"
"New entrant CS","2021","Medicine","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Attorney General's Departments","310","300","20420","20120"
"New entrant CS","2021","Operational Delivery","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for Business, Energy and Industrial Strategy","210","200","20980","20880"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for Environment, Food and Rural Affairs","240","230","21620","21050"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for Transport","430","390","21620","21590"
"New entrant CS","2021","Operational Delivery","AA/AO","Department for Work and Pensions","40","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Department of Health and Social Care","320","270","20320","19630"
"New entrant CS","2021","Operational Delivery","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","HM Land Registry","510","500","22530","22350"
"New entrant CS","2021","Operational Delivery","AA/AO","HM Revenue and Customs","470","460","20630","20140"
"New entrant CS","2021","Operational Delivery","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Home Office","520","510","21640","21430"
"New entrant CS","2021","Operational Delivery","AA/AO","Ministry of Defence","60","60","20570","20170"
"New entrant CS","2021","Operational Delivery","AA/AO","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Ministry of Justice","5670","5560","22340","22680"
"New entrant CS","2021","Operational Delivery","AA/AO","National Crime Agency","60","60","21860","20800"
"New entrant CS","2021","Operational Delivery","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Scottish Government","340","330","20740","20810"
"New entrant CS","2021","Operational Delivery","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","United Kingdom Statistics Authority","120","100","19460","19130"
"New entrant CS","2021","Operational Delivery","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","AA/AO","Welsh Government","50","50","20630","20500"
"New entrant CS","2021","Operational Delivery","EO","Attorney General's Departments","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Department for Business, Energy and Industrial Strategy","220","220","24430","24250"
"New entrant CS","2021","Operational Delivery","EO","Department for Education","50","50","25520","25000"
"New entrant CS","2021","Operational Delivery","EO","Department for Environment, Food and Rural Affairs","200","190","25590","24920"
"New entrant CS","2021","Operational Delivery","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Department for Transport","90","90","27490","26130"
"New entrant CS","2021","Operational Delivery","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Department of Health and Social Care","270","240","25410","26260"
"New entrant CS","2021","Operational Delivery","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","HM Revenue and Customs","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","HM Treasury","30","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Home Office","570","550","26140","24880"
"New entrant CS","2021","Operational Delivery","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Ministry of Justice","350","340","24390","24620"
"New entrant CS","2021","Operational Delivery","EO","National Crime Agency","610","610","30990","32260"
"New entrant CS","2021","Operational Delivery","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Scottish Government","50","50","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","United Kingdom Statistics Authority","90","90","23780","23050"
"New entrant CS","2021","Operational Delivery","EO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","EO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Department of Health and Social Care","170","160","56850","53110"
"New entrant CS","2021","Operational Delivery","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Ministry of Justice","70","70","52480","52850"
"New entrant CS","2021","Operational Delivery","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Business, Energy and Industrial Strategy","100","100","33830","33570"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Education","60","60","34390","36500"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Transport","40","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department for Work and Pensions","60","60","40320","36040"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Department of Health and Social Care","550","470","34640","32790"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","HM Revenue and Customs","60","60","32630","31810"
"New entrant CS","2021","Operational Delivery","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Home Office","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Ministry of Justice","450","440","33310","31790"
"New entrant CS","2021","Operational Delivery","SEO/HEO","National Crime Agency","200","190","42000","40210"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","UK Export Finance","30","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","SEO/HEO","United Kingdom Statistics Authority","200","200","32910","32540"
"New entrant CS","2021","Operational Delivery","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Unknown","Ministry of Justice","1430","1300","22910","22920"
"New entrant CS","2021","Operational Research","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SCS","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Home Office","60","50","22930","22210"
"New entrant CS","2021","Other","AA/AO","Ministry of Defence","530","510","20490","20920"
"New entrant CS","2021","Other","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Scottish Government","40","40","[c]","[c]"
"New entrant CS","2021","Other","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Attorney General's Departments","60","50","26910","26950"
"New entrant CS","2021","Other","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2021","Other","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Home Office","150","150","27520","28650"
"New entrant CS","2021","Other","EO","Ministry of Defence","250","250","24400","26350"
"New entrant CS","2021","Other","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","EO","Office of Gas and Electricity Markets","100","100","24550","23450"
"New entrant CS","2021","Other","EO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Home Office","40","40","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
