"Status","Year","Region_ITL2","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Finance","Finance","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Human Resources","Human Resources","110","100","36310","31180"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Grants Management","140","120","25060","24920"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","No function","1730","1650","27410","25300"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Unknown","130","120","24830","21580"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Other","Project Delivery","120","120","22990","20890"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Other","Unknown","150","140","22200","20920"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Policy","No function","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Project Delivery","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Property","Property","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Unknown","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Security","Security","150","150","32160","33250"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","Unknown","980","860","25400","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Operational Delivery","Legal","80","70","25010","22820"
"In post","2021","Highlands and Islands","Operational Delivery","No function","260","240","29730","28410"
"In post","2021","Highlands and Islands","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other","Unknown","170","160","21330","20520"
"In post","2021","Highlands and Islands","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Property","Property","40","40","[c]","[c]"
"In post","2021","Highlands and Islands","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Science and Engineering","Unknown","40","40","[c]","[c]"
"In post","2021","Highlands and Islands","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Security","Security","40","40","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Project Delivery","80","70","30790","28120"
"In post","2021","Highlands and Islands","Unknown","Property","290","270","29650","28120"
"In post","2021","Highlands and Islands","Unknown","Unknown","760","700","28090","27570"
"In post","2021","Highlands and Islands","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Commercial","Commercial","70","70","45720","42000"
"In post","2021","Inner London - East","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Communications","Communications","210","200","47650","41840"
"In post","2021","Inner London - East","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Counter Fraud","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Inner London - East","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Digital, Data and Technology","Digital, Data & Technology","590","580","49670","44930"
"In post","2021","Inner London - East","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Digital, Data and Technology","No function","30","30","[c]","[c]"
"In post","2021","Inner London - East","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Economics","Analysis","180","170","56040","55860"
"In post","2021","Inner London - East","Economics","No function","30","30","[c]","[c]"
"In post","2021","Inner London - East","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Finance","330","320","48720","44670"
"In post","2021","Inner London - East","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Human Resources","Human Resources","370","350","48440","43880"
"In post","2021","Inner London - East","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Intelligence Analysis","Analysis","30","30","[c]","[c]"
"In post","2021","Inner London - East","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Intelligence Analysis","Unknown","50","50","34830","29970"
"In post","2021","Inner London - East","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","No function","170","160","44240","41310"
"In post","2021","Inner London - East","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Legal","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Inner London - East","Legal","Legal","380","360","60170","59160"
"In post","2021","Inner London - East","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Medicine","No function","100","80","106120","104140"
"In post","2021","Inner London - East","Medicine","Unknown","170","160","64340","67750"
"In post","2021","Inner London - East","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Debt","240","220","27340","25630"
"In post","2021","Inner London - East","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","Legal","40","40","[c]","[c]"
"In post","2021","Inner London - East","Operational Delivery","No function","5320","5090","38100","35180"
"In post","2021","Inner London - East","Operational Delivery","Project Delivery","80","80","39860","39530"
"In post","2021","Inner London - East","Operational Delivery","Property","60","60","41130","32660"
"In post","2021","Inner London - East","Operational Delivery","Unknown","460","440","32770","29130"
"In post","2021","Inner London - East","Operational Research","Analysis","110","110","48280","42190"
"In post","2021","Inner London - East","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Other","No function","380","350","46980","38000"
"In post","2021","Inner London - East","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Other","Unknown","350","340","47210","41080"
"In post","2021","Inner London - East","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Policy","No function","160","150","47930","41820"
"In post","2021","Inner London - East","Policy","Project Delivery","230","210","55440","59160"
"In post","2021","Inner London - East","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Policy","Unknown","40","40","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Project Delivery","660","630","54640","52580"
"In post","2021","Inner London - East","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Property","Property","250","240","41020","36160"
"In post","2021","Inner London - East","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Science and Engineering","No function","240","200","51640","45780"
"In post","2021","Inner London - East","Science and Engineering","Unknown","140","130","49170","41080"
"In post","2021","Inner London - East","Security","Security","70","60","38070","36580"
"In post","2021","Inner London - East","Social Research","Analysis","80","80","49800","51180"
"In post","2021","Inner London - East","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Statistics","Analysis","170","160","49050","43330"
"In post","2021","Inner London - East","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Inner London - East","Tax","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Tax","No function","690","650","40270","36240"
"In post","2021","Inner London - East","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Commercial","100","100","60330","54700"
"In post","2021","Inner London - East","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Digital, Data & Technology","680","670","52580","54700"
"In post","2021","Inner London - East","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Human Resources","50","50","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","No function","150","150","42250","36160"
"In post","2021","Inner London - East","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Property","30","30","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Unknown","Unknown","2970","2770","30270","31060"
"In post","2021","Inner London - West","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Commercial","Commercial","450","440","50030","43840"
"In post","2021","Inner London - West","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Commercial","No function","100","100","52220","54110"
"In post","2021","Inner London - West","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Communications","1520","1490","46230","42500"
"In post","2021","Inner London - West","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","No function","90","90","44070","40220"
"In post","2021","Inner London - West","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Communications","Unknown","160","150","49750","44220"
"In post","2021","Inner London - West","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Counter Fraud","Counter Fraud","280","280","44820","40000"
"In post","2021","Inner London - West","Counter Fraud","No function","40","30","[c]","[c]"
"In post","2021","Inner London - West","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Analysis","80","70","46870","45250"
"In post","2021","Inner London - West","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Digital, Data & Technology","1450","1420","48910","45430"
"In post","2021","Inner London - West","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","No function","50","50","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Digital, Data and Technology","Unknown","210","200","61100","57740"
"In post","2021","Inner London - West","Economics","Analysis","890","880","46090","39640"
"In post","2021","Inner London - West","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Economics","Finance","70","70","44860","40650"
"In post","2021","Inner London - West","Economics","No function","380","370","48580","52290"
"In post","2021","Inner London - West","Economics","Project Delivery","60","60","52580","55340"
"In post","2021","Inner London - West","Economics","Unknown","130","130","45620","35610"
"In post","2021","Inner London - West","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Finance","1590","1550","49710","45200"
"In post","2021","Inner London - West","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","No function","160","160","49030","46300"
"In post","2021","Inner London - West","Finance","Project Delivery","30","30","[c]","[c]"
"In post","2021","Inner London - West","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Finance","Unknown","60","60","63690","57680"
"In post","2021","Inner London - West","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Human Resources","1450","1410","46360","41900"
"In post","2021","Inner London - West","Human Resources","No function","40","30","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Human Resources","Unknown","100","90","51810","43180"
"In post","2021","Inner London - West","Inspector of Education and Training","No function","230","230","66190","64500"
"In post","2021","Inner London - West","Intelligence Analysis","Analysis","180","180","54060","53360"
"In post","2021","Inner London - West","Intelligence Analysis","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Inner London - West","Intelligence Analysis","No function","40","40","[c]","[c]"
"In post","2021","Inner London - West","Intelligence Analysis","Security","150","140","46250","39240"
"In post","2021","Inner London - West","Intelligence Analysis","Unknown","290","290","44490","44500"
"In post","2021","Inner London - West","Internal Audit","Internal Audit","180","170","54730","53070"
"In post","2021","Inner London - West","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","International Trade","No function","1040","1030","47690","44030"
"In post","2021","Inner London - West","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Commercial","100","100","38150","35770"
"In post","2021","Inner London - West","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","No function","170","170","43460","38180"
"In post","2021","Inner London - West","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2021","Inner London - West","Legal","Counter Fraud","610","590","36650","36160"
"In post","2021","Inner London - West","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Legal","Legal","3280","3070","59590","59940"
"In post","2021","Inner London - West","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Delivery","Analysis","60","60","40630","32540"
"In post","2021","Inner London - West","Operational Delivery","Commercial","230","230","52690","47000"
"In post","2021","Inner London - West","Operational Delivery","Communications","60","60","48490","36480"
"In post","2021","Inner London - West","Operational Delivery","Counter Fraud","250","230","33770","32520"
"In post","2021","Inner London - West","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Delivery","Digital, Data & Technology","70","70","45270","40050"
"In post","2021","Inner London - West","Operational Delivery","Finance","100","90","41220","36160"
"In post","2021","Inner London - West","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Delivery","Human Resources","70","70","39460","36800"
"In post","2021","Inner London - West","Operational Delivery","Legal","850","790","30470","27760"
"In post","2021","Inner London - West","Operational Delivery","No function","5760","5570","35390","30850"
"In post","2021","Inner London - West","Operational Delivery","Project Delivery","270","260","40860","38600"
"In post","2021","Inner London - West","Operational Delivery","Property","70","70","42840","36800"
"In post","2021","Inner London - West","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Delivery","Unknown","930","870","38240","31520"
"In post","2021","Inner London - West","Operational Research","Analysis","160","160","50000","48870"
"In post","2021","Inner London - West","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Operational Research","Unknown","50","50","[c]","[c]"
"In post","2021","Inner London - West","Other","Analysis","190","180","64510","57250"
"In post","2021","Inner London - West","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Legal","310","290","30070","27580"
"In post","2021","Inner London - West","Other","No function","660","650","41170","34280"
"In post","2021","Inner London - West","Other","Project Delivery","160","160","61970","64840"
"In post","2021","Inner London - West","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Other","Unknown","880","860","35980","30500"
"In post","2021","Inner London - West","Planning","No function","90","90","46190","42140"
"In post","2021","Inner London - West","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Analysis","210","200","50730","47920"
"In post","2021","Inner London - West","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Human Resources","40","30","[c]","[c]"
"In post","2021","Inner London - West","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Legal","30","30","[c]","[c]"
"In post","2021","Inner London - West","Policy","No function","14500","14190","48470","46100"
"In post","2021","Inner London - West","Policy","Project Delivery","1110","1060","54940","55620"
"In post","2021","Inner London - West","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Policy","Unknown","2650","2580","51870","47480"
"In post","2021","Inner London - West","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
