"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","50-59","Intellectual Property Office","70","70","43780","42130"
"In post","2022","Unknown","50-59","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Ministry of Defence (excl. agencies)","770","750","34500","31470"
"In post","2022","Unknown","50-59","Ministry of Justice (excl. agencies)","130","120","44330","41750"
"In post","2022","Unknown","50-59","National Crime Agency","200","190","44470","40350"
"In post","2022","Unknown","50-59","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Royal Fleet Auxiliary","480","480","42550","37300"
"In post","2022","Unknown","50-59","Rural Payments Agency","160","150","26340","21300"
"In post","2022","Unknown","50-59","Scottish Courts and Tribunals Service","390","360","28360","23780"
"In post","2022","Unknown","50-59","Scottish Government (excl. agencies)","290","280","49610","47490"
"In post","2022","Unknown","50-59","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Scottish Prison Service","670","640","34550","35000"
"In post","2022","Unknown","50-59","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Social Security Scotland","120","120","29710","27230"
"In post","2022","Unknown","50-59","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","The Insolvency Service","130","120","33410","30020"
"In post","2022","Unknown","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","UK Health Security Agency","230","230","53630","49530"
"In post","2022","Unknown","50-59","UK Hydrographic Office","60","50","39910","33290"
"In post","2022","Unknown","50-59","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","UK Statistics Authority","180","140","30280","23430"
"In post","2022","Unknown","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Valuation Office Agency","100","90","30470","25000"
"In post","2022","Unknown","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","50-59","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Cabinet Office (excl. agencies)","80","70","53800","54700"
"In post","2022","Unknown","60-64","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2022","Unknown","60-64","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Department for Work and Pensions (excl. agencies)","350","290","26380","26120"
"In post","2022","Unknown","60-64","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Unknown","60-64","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2022","Unknown","60-64","Driver and Vehicle Standards Agency","60","60","27340","26700"
"In post","2022","Unknown","60-64","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","HM Courts and Tribunals Service","100","90","23270","20970"
"In post","2022","Unknown","60-64","HM Land Registry","40","30","[c]","[c]"
"In post","2022","Unknown","60-64","HM Prison and Probation Service","450","380","29480","28200"
"In post","2022","Unknown","60-64","HM Revenue and Customs (excl. agencies)","840","670","28740","22080"
"In post","2022","Unknown","60-64","Home Office","90","70","33600","34630"
"In post","2022","Unknown","60-64","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Ministry of Defence (excl. agencies)","180","170","30150","25990"
"In post","2022","Unknown","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","National Crime Agency","40","30","[c]","[c]"
"In post","2022","Unknown","60-64","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Royal Fleet Auxiliary","120","120","40070","37300"
"In post","2022","Unknown","60-64","Rural Payments Agency","50","40","25140","21300"
"In post","2022","Unknown","60-64","Scottish Courts and Tribunals Service","150","120","26150","23780"
"In post","2022","Unknown","60-64","Scottish Government (excl. agencies)","60","50","41780","35680"
"In post","2022","Unknown","60-64","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Scottish Prison Service","180","120","33950","35000"
"In post","2022","Unknown","60-64","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Social Security Scotland","30","30","[c]","[c]"
"In post","2022","Unknown","60-64","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","The Insolvency Service","40","30","[c]","[c]"
"In post","2022","Unknown","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","UK Health Security Agency","40","40","[c]","[c]"
"In post","2022","Unknown","60-64","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","UK Statistics Authority","60","40","23220","20350"
"In post","2022","Unknown","60-64","Valuation Office Agency","30","30","[c]","[c]"
"In post","2022","Unknown","60-64","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","60-64","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Department for Work and Pensions (excl. agencies)","70","60","25660","24250"
"In post","2022","Unknown","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","Unknown","65+","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","HM Prison and Probation Service","170","120","29270","28200"
"In post","2022","Unknown","65+","HM Revenue and Customs (excl. agencies)","280","210","29910","22080"
"In post","2022","Unknown","65+","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Ministry of Defence (excl. agencies)","70","60","27080","22330"
"In post","2022","Unknown","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Scottish Courts and Tribunals Service","60","40","26120","23780"
"In post","2022","Unknown","65+","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Scottish Prison Service","50","30","[c]","[c]"
"In post","2022","Unknown","65+","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Defence Equipment and Support","60","60","19300","19460"
"In post","2022","White","16-19","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Department for Work and Pensions (excl. agencies)","100","90","22850","21260"
"In post","2022","White","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2022","White","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","HM Prison and Probation Service","90","90","23520","23140"
"In post","2022","White","16-19","HM Revenue and Customs (excl. agencies)","70","60","22180","21250"
"In post","2022","White","16-19","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"In post","2022","White","20-29","Animal and Plant Health Agency","410","400","25690","24920"
"In post","2022","White","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Cabinet Office (excl. agencies)","1010","1010","37080","34550"
"In post","2022","White","20-29","Centre for Environment, Fisheries and Aquaculture Science","110","110","26110","25460"
"In post","2022","White","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Companies House","100","100","26200","24500"
"In post","2022","White","20-29","Competition and Markets Authority","90","90","42160","35030"
"In post","2022","White","20-29","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Crown Commercial Service","100","100","30730","30420"
"In post","2022","White","20-29","Crown Office and Procurator Fiscal Service","520","510","28020","27230"
"In post","2022","White","20-29","Crown Prosecution Service","730","720","27850","25480"
"In post","2022","White","20-29","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Defence Equipment and Support","1510","1500","27090","27350"
"In post","2022","White","20-29","Defence Science and Technology Laboratory","780","770","29710","29230"
"In post","2022","White","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","1320","1320","41770","40050"
"In post","2022","White","20-29","Department for Digital, Culture, Media and Sport","550","550","39380","34020"
"In post","2022","White","20-29","Department for Education (excl. agencies)","890","880","36200","34010"
"In post","2022","White","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","990","980","34900","32560"
"In post","2022","White","20-29","Department for International Trade","510","510","38860","38160"
"In post","2022","White","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","590","580","38950","35030"
"In post","2022","White","20-29","Department for Transport (excl. agencies)","500","500","40720","35430"
"In post","2022","White","20-29","Department for Work and Pensions (excl. agencies)","6620","6490","26370","27570"
"In post","2022","White","20-29","Department of Health and Social Care (excl. agencies)","600","600","38870","33450"
"In post","2022","White","20-29","Disclosure Scotland","50","50","[c]","[c]"
"In post","2022","White","20-29","Driver and Vehicle Licensing Agency","520","490","23080","21840"
"In post","2022","White","20-29","Driver and Vehicle Standards Agency","140","140","26370","26130"
"In post","2022","White","20-29","Education and Skills Funding Agency","220","220","33400","30090"
"In post","2022","White","20-29","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","FCDO Services","130","130","27350","26260"
"In post","2022","White","20-29","Food Standards Agency","110","110","32140","30350"
"In post","2022","White","20-29","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","620","610","35600","34770"
"In post","2022","White","20-29","Forestry and Land Scotland","80","80","27460","25940"
"In post","2022","White","20-29","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Government Legal Department","230","230","38070","33460"
"In post","2022","White","20-29","Government Property Agency","30","30","[c]","[c]"
"In post","2022","White","20-29","Health and Safety Executive","260","260","28720","26370"
"In post","2022","White","20-29","HM Courts and Tribunals Service","970","950","24360","20970"
"In post","2022","White","20-29","HM Land Registry","710","690","26100","27130"
"In post","2022","White","20-29","HM Prison and Probation Service","7940","7850","26080","25210"
"In post","2022","White","20-29","HM Revenue and Customs (excl. agencies)","5430","5350","29790","26820"
"In post","2022","White","20-29","HM Treasury (excl. agencies)","730","730","39150","32960"
"In post","2022","White","20-29","Home Office","2830","2780","28910","24890"
"In post","2022","White","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Intellectual Property Office","200","200","29960","27910"
"In post","2022","White","20-29","Legal Aid Agency","60","60","23350","20970"
"In post","2022","White","20-29","Maritime and Coastguard Agency","130","130","30030","26840"
"In post","2022","White","20-29","Medicines and Healthcare Products Regulatory Agency","70","70","35200","32640"
"In post","2022","White","20-29","Met Office","280","270","28380","30930"
"In post","2022","White","20-29","Ministry of Defence (excl. agencies)","2660","2650","30090","27670"
"In post","2022","White","20-29","Ministry of Justice (excl. agencies)","570","570","37160","34260"
"In post","2022","White","20-29","National Crime Agency","670","670","33690","32770"
"In post","2022","White","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Office for Standards in Education, Children's Services and Skills","110","110","29570","25880"
"In post","2022","White","20-29","Office of Gas and Electricity Markets","250","250","30300","29040"
"In post","2022","White","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","White","20-29","Office of the Public Guardian","80","80","23210","20970"
"In post","2022","White","20-29","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
