"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","Scottish Government","2790","2620","23620","23230"
"In post","2022","AA/AO","Heterosexual / straight","The National Archives","30","30","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","UK Statistics Authority","1010","710","20290","19860"
"In post","2022","AA/AO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Heterosexual / straight","Welsh Government","700","650","24300","24630"
"In post","2022","AA/AO","LGBO","Attorney General's Departments","80","70","22260","22200"
"In post","2022","AA/AO","LGBO","Cabinet Office","30","30","[c]","[c]"
"In post","2022","AA/AO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Department for Business, Energy and Industrial Strategy","70","70","20900","21130"
"In post","2022","AA/AO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Department for Environment, Food and Rural Affairs","110","100","21980","21300"
"In post","2022","AA/AO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Department for Transport","190","180","21720","21840"
"In post","2022","AA/AO","LGBO","Department for Work and Pensions","1180","1110","21490","21260"
"In post","2022","AA/AO","LGBO","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2022","AA/AO","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","HM Land Registry","70","70","22590","22600"
"In post","2022","AA/AO","LGBO","HM Revenue and Customs","700","660","21580","21250"
"In post","2022","AA/AO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Home Office","200","180","21840","21680"
"In post","2022","AA/AO","LGBO","Ministry of Defence","370","370","23840","21170"
"In post","2022","AA/AO","LGBO","Ministry of Justice","1890","1830","25280","24260"
"In post","2022","AA/AO","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Scottish Government","270","270","23050","22860"
"In post","2022","AA/AO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","AA/AO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","LGBO","Welsh Government","30","30","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Attorney General's Departments","60","50","22450","22200"
"In post","2022","AA/AO","Undeclared","Cabinet Office","30","30","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Department for Business, Energy and Industrial Strategy","80","70","21950","21850"
"In post","2022","AA/AO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Department for Environment, Food and Rural Affairs","140","130","21750","21300"
"In post","2022","AA/AO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Department for Transport","1140","910","21200","21840"
"In post","2022","AA/AO","Undeclared","Department for Work and Pensions","2650","2280","21410","21260"
"In post","2022","AA/AO","Undeclared","Department of Health and Social Care","110","90","21520","21820"
"In post","2022","AA/AO","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","AA/AO","Undeclared","HM Land Registry","60","50","23000","22600"
"In post","2022","AA/AO","Undeclared","HM Revenue and Customs","1210","1030","22000","22040"
"In post","2022","AA/AO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Home Office","680","590","22560","21680"
"In post","2022","AA/AO","Undeclared","Ministry of Defence","1520","1460","24060","21380"
"In post","2022","AA/AO","Undeclared","Ministry of Justice","3020","2740","24780","22030"
"In post","2022","AA/AO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Scottish Government","170","150","23530","23230"
"In post","2022","AA/AO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","UK Statistics Authority","60","50","20330","19860"
"In post","2022","AA/AO","Undeclared","Welsh Government","100","90","24320","24630"
"In post","2022","AA/AO","Unknown","Attorney General's Departments","290","250","22900","22200"
"In post","2022","AA/AO","Unknown","Cabinet Office","110","100","21770","21170"
"In post","2022","AA/AO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Department for Business, Energy and Industrial Strategy","510","460","21520","21130"
"In post","2022","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","890","820","21460","21300"
"In post","2022","AA/AO","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Department for Levelling Up, Housing and Communities","80","70","22210","22560"
"In post","2022","AA/AO","Unknown","Department for Transport","1060","960","22640","21840"
"In post","2022","AA/AO","Unknown","Department for Work and Pensions","6730","5560","21340","21260"
"In post","2022","AA/AO","Unknown","Department of Health and Social Care","80","70","22330","22970"
"In post","2022","AA/AO","Unknown","Foreign, Commonwealth and Development Office","90","80","26000","25220"
"In post","2022","AA/AO","Unknown","HM Land Registry","710","670","22680","22600"
"In post","2022","AA/AO","Unknown","HM Revenue and Customs","8510","7410","21670","21250"
"In post","2022","AA/AO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Home Office","890","870","22000","21680"
"In post","2022","AA/AO","Unknown","Ministry of Defence","1960","1900","24040","21270"
"In post","2022","AA/AO","Unknown","Ministry of Justice","8100","7520","25500","23960"
"In post","2022","AA/AO","Unknown","National Crime Agency","40","30","[c]","[c]"
"In post","2022","AA/AO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Scottish Government","3600","3360","23920","23330"
"In post","2022","AA/AO","Unknown","The National Archives","50","40","[c]","[c]"
"In post","2022","AA/AO","Unknown","UK Statistics Authority","410","300","20490","20350"
"In post","2022","AA/AO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Welsh Government","50","40","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Attorney General's Departments","1350","1280","27710","27350"
"In post","2022","EO","Heterosexual / straight","Cabinet Office","700","680","26520","26690"
"In post","2022","EO","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Charity Commission","50","50","24930","24440"
"In post","2022","EO","Heterosexual / straight","Competition and Markets Authority","60","60","28200","27920"
"In post","2022","EO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","1280","1220","26580","26290"
"In post","2022","EO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","140","130","26810","26180"
"In post","2022","EO","Heterosexual / straight","Department for Education","680","650","26200","25000"
"In post","2022","EO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1470","1400","26250","25310"
"In post","2022","EO","Heterosexual / straight","Department for International Trade","160","150","27370","26510"
"In post","2022","EO","Heterosexual / straight","Department for Levelling Up, Housing and Communities","280","270","27650","27850"
"In post","2022","EO","Heterosexual / straight","Department for Transport","2580","2430","27910","26780"
"In post","2022","EO","Heterosexual / straight","Department for Work and Pensions","33550","30520","28120","27570"
"In post","2022","EO","Heterosexual / straight","Department of Health and Social Care","950","890","26290","26880"
"In post","2022","EO","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Food Standards Agency","240","230","27060","26750"
"In post","2022","EO","Heterosexual / straight","Foreign, Commonwealth and Development Office","650","630","29660","29300"
"In post","2022","EO","Heterosexual / straight","HM Land Registry","1380","1220","27440","27130"
"In post","2022","EO","Heterosexual / straight","HM Revenue and Customs","9570","8880","27420","26820"
"In post","2022","EO","Heterosexual / straight","HM Treasury","190","180","26790","26750"
"In post","2022","EO","Heterosexual / straight","Home Office","10760","9940","26860","25580"
"In post","2022","EO","Heterosexual / straight","Ministry of Defence","7560","7310","27010","26670"
"In post","2022","EO","Heterosexual / straight","Ministry of Justice","7820","7450","28940","28310"
"In post","2022","EO","Heterosexual / straight","National Crime Agency","1880","1840","34160","34140"
"In post","2022","EO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","150","140","26350","25880"
"In post","2022","EO","Heterosexual / straight","Office of Gas and Electricity Markets","210","210","26010","25750"
"In post","2022","EO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Scottish Government","3040","2910","30320","30040"
"In post","2022","EO","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","UK Export Finance","60","60","29440","29000"
"In post","2022","EO","Heterosexual / straight","UK Statistics Authority","500","470","24630","23880"
"In post","2022","EO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Heterosexual / straight","Welsh Government","910","850","28850","29430"
"In post","2022","EO","LGBO","Attorney General's Departments","100","100","27770","27050"
"In post","2022","EO","LGBO","Cabinet Office","70","70","26210","26670"
"In post","2022","EO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Department for Business, Energy and Industrial Strategy","110","100","26190","25420"
"In post","2022","EO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Department for Education","60","50","26040","25000"
"In post","2022","EO","LGBO","Department for Environment, Food and Rural Affairs","130","120","26260","25310"
"In post","2022","EO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Department for Levelling Up, Housing and Communities","50","50","[c]","[c]"
"In post","2022","EO","LGBO","Department for Transport","140","140","27740","26700"
"In post","2022","EO","LGBO","Department for Work and Pensions","2160","2070","28090","27570"
"In post","2022","EO","LGBO","Department of Health and Social Care","90","80","25840","26880"
"In post","2022","EO","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","EO","LGBO","HM Land Registry","50","40","[c]","[c]"
"In post","2022","EO","LGBO","HM Revenue and Customs","700","680","27160","26820"
"In post","2022","EO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Home Office","460","440","26210","25220"
"In post","2022","EO","LGBO","Ministry of Defence","290","280","27220","26670"
"In post","2022","EO","LGBO","Ministry of Justice","490","490","29370","28310"
"In post","2022","EO","LGBO","National Crime Agency","130","130","33690","32770"
"In post","2022","EO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","EO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Scottish Government","250","240","29310","27940"
"In post","2022","EO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","UK Statistics Authority","30","30","[c]","[c]"
"In post","2022","EO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","LGBO","Welsh Government","50","40","[c]","[c]"
"In post","2022","EO","Undeclared","Attorney General's Departments","80","80","27850","27400"
"In post","2022","EO","Undeclared","Cabinet Office","60","60","27170","27500"
"In post","2022","EO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Department for Business, Energy and Industrial Strategy","140","140","26910","26380"
"In post","2022","EO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Department for Education","60","60","27140","26000"
"In post","2022","EO","Undeclared","Department for Environment, Food and Rural Affairs","160","150","26410","25530"
"In post","2022","EO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Department for Transport","790","700","27950","26780"
"In post","2022","EO","Undeclared","Department for Work and Pensions","3800","3400","28050","27570"
"In post","2022","EO","Undeclared","Department of Health and Social Care","300","280","26430","27270"
"In post","2022","EO","Undeclared","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","Foreign, Commonwealth and Development Office","50","50","30990","30540"
"In post","2022","EO","Undeclared","HM Land Registry","270","240","27420","27130"
"In post","2022","EO","Undeclared","HM Revenue and Customs","1050","960","27970","26820"
"In post","2022","EO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Home Office","1640","1480","27480","27370"
"In post","2022","EO","Undeclared","Ministry of Defence","1150","1110","28340","26930"
"In post","2022","EO","Undeclared","Ministry of Justice","1040","1000","29310","28310"
"In post","2022","EO","Undeclared","National Crime Agency","180","180","34170","34100"
"In post","2022","EO","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Scottish Government","160","160","30120","30040"
"In post","2022","EO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Welsh Government","110","110","28980","29430"
"In post","2022","EO","Unknown","Attorney General's Departments","340","310","28310","28430"
"In post","2022","EO","Unknown","Cabinet Office","220","210","26690","27500"
"In post","2022","EO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Charity Commission","50","50","25360","24440"
"In post","2022","EO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Department for Business, Energy and Industrial Strategy","430","420","26160","24570"
"In post","2022","EO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Department for Education","150","140","26570","26000"
"In post","2022","EO","Unknown","Department for Environment, Food and Rural Affairs","550","510","25710","25190"
"In post","2022","EO","Unknown","Department for International Trade","90","80","27940","26510"
"In post","2022","EO","Unknown","Department for Levelling Up, Housing and Communities","80","80","27520","27850"
"In post","2022","EO","Unknown","Department for Transport","760","740","27580","26470"
"In post","2022","EO","Unknown","Department for Work and Pensions","8880","7760","28120","27570"
"In post","2022","EO","Unknown","Department of Health and Social Care","230","210","27790","27400"
"In post","2022","EO","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Food Standards Agency","160","140","27210","26750"
"In post","2022","EO","Unknown","Foreign, Commonwealth and Development Office","120","120","28700","28270"
"In post","2022","EO","Unknown","HM Land Registry","660","600","27540","27130"
"In post","2022","EO","Unknown","HM Revenue and Customs","5430","5120","27350","26820"
"In post","2022","EO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Home Office","2070","1950","26950","24880"
"In post","2022","EO","Unknown","Ministry of Defence","1100","1050","26440","26500"
"In post","2022","EO","Unknown","Ministry of Justice","1400","1320","29960","28640"
"In post","2022","EO","Unknown","National Crime Agency","290","280","35140","36200"
"In post","2022","EO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office of Gas and Electricity Markets","80","80","26700","25690"
"In post","2022","EO","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Scottish Government","2740","2580","31630","30840"
"In post","2022","EO","Unknown","The National Archives","40","30","[c]","[c]"
"In post","2022","EO","Unknown","UK Statistics Authority","180","170","24600","23880"
"In post","2022","EO","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Welsh Government","40","40","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Attorney General's Departments","3470","3240","57340","55000"
"In post","2022","G6/G7","Heterosexual / straight","Cabinet Office","2030","2000","58120","54700"
"In post","2022","G6/G7","Heterosexual / straight","Chancellor's other departments","150","140","77300","70820"
"In post","2022","G6/G7","Heterosexual / straight","Charity Commission","40","40","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Competition and Markets Authority","360","340","65470","62890"
"In post","2022","G6/G7","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","2960","2860","57390","56380"
"In post","2022","G6/G7","Heterosexual / straight","Department for Digital, Culture, Media and Sport","680","670","56250","54460"
"In post","2022","G6/G7","Heterosexual / straight","Department for Education","2380","2290","55780","53420"
"In post","2022","G6/G7","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1900","1840","54340","53200"
"In post","2022","G6/G7","Heterosexual / straight","Department for International Trade","710","700","56520","53750"
"In post","2022","G6/G7","Heterosexual / straight","Department for Levelling Up, Housing and Communities","1300","1240","56370","53480"
"In post","2022","G6/G7","Heterosexual / straight","Department for Transport","1440","1410","59870","55320"
"In post","2022","G6/G7","Heterosexual / straight","Department for Work and Pensions","2940","2840","57080","54070"
"In post","2022","G6/G7","Heterosexual / straight","Department of Health and Social Care","2050","1950","57880","53860"
"In post","2022","G6/G7","Heterosexual / straight","Estyn","60","60","73580","75480"
"In post","2022","G6/G7","Heterosexual / straight","Food Standards Agency","190","190","55910","55300"
"In post","2022","G6/G7","Heterosexual / straight","Foreign, Commonwealth and Development Office","2120","2060","60210","58470"
"In post","2022","G6/G7","Heterosexual / straight","HM Land Registry","220","210","61690","60520"
"In post","2022","G6/G7","Heterosexual / straight","HM Revenue and Customs","6020","5810","59820","55210"
"In post","2022","G6/G7","Heterosexual / straight","HM Treasury","910","880","58220","55930"
"In post","2022","G6/G7","Heterosexual / straight","Home Office","2800","2730","60490","57680"
"In post","2022","G6/G7","Heterosexual / straight","Ministry of Defence","4160","4020","59030","56500"
"In post","2022","G6/G7","Heterosexual / straight","Ministry of Justice","2470","2410","62330","60280"
"In post","2022","G6/G7","Heterosexual / straight","National Crime Agency","300","300","65520","64410"
"In post","2022","G6/G7","Heterosexual / straight","Northern Ireland Office","30","30","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","530","520","72980","75500"
"In post","2022","G6/G7","Heterosexual / straight","Office of Gas and Electricity Markets","220","210","58740","57060"
"In post","2022","G6/G7","Heterosexual / straight","Office of Qualifications and Examinations Regulation","70","70","53280","49420"
"In post","2022","G6/G7","Heterosexual / straight","Office of Rail and Road","120","110","60790","59700"
"In post","2022","G6/G7","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Scottish Government","2490","2390","63950","62170"
"In post","2022","G6/G7","Heterosexual / straight","The National Archives","50","50","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","UK Export Finance","140","140","65720","64520"
"In post","2022","G6/G7","Heterosexual / straight","UK Statistics Authority","760","740","53730","51210"
"In post","2022","G6/G7","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","G6/G7","Heterosexual / straight","Welsh Government","860","820","62460","61440"
"In post","2022","G6/G7","LGBO","Attorney General's Departments","200","190","59400","55820"
"In post","2022","G6/G7","LGBO","Cabinet Office","230","220","57210","54700"
"In post","2022","G6/G7","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","G6/G7","LGBO","Department for Business, Energy and Industrial Strategy","240","240","57090","53750"
"In post","2022","G6/G7","LGBO","Department for Digital, Culture, Media and Sport","100","100","55740","52250"
"In post","2022","G6/G7","LGBO","Department for Education","170","170","56630","53850"
"In post","2022","G6/G7","LGBO","Department for Environment, Food and Rural Affairs","150","140","53540","52290"
"In post","2022","G6/G7","LGBO","Department for International Trade","80","80","56460","53720"
"In post","2022","G6/G7","LGBO","Department for Levelling Up, Housing and Communities","140","130","55480","53130"
"In post","2022","G6/G7","LGBO","Department for Transport","120","110","57650","54650"
"In post","2022","G6/G7","LGBO","Department for Work and Pensions","170","160","56720","54070"
"In post","2022","G6/G7","LGBO","Department of Health and Social Care","170","170","57860","53360"
"In post","2022","G6/G7","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Foreign, Commonwealth and Development Office","170","170","58710","56890"
"In post","2022","G6/G7","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","HM Revenue and Customs","380","370","59690","55800"
"In post","2022","G6/G7","LGBO","HM Treasury","80","80","56430","53850"
"In post","2022","G6/G7","LGBO","Home Office","170","160","60090","57460"
"In post","2022","G6/G7","LGBO","Ministry of Defence","150","140","57170","56500"
"In post","2022","G6/G7","LGBO","Ministry of Justice","190","180","61680","59290"
"In post","2022","G6/G7","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
