"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Declared disabled","240","230","37550","37320"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Declared non-disabled","1480","1430","40110","37360"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Undeclared","250","250","41800","46080"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Unknown","530","510","39690","37320"
"In post","2021","Defence Science and Technology Laboratory","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Declared non-disabled","70","70","51010","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Unknown","50","50","45250","45100"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Declared non-disabled","90","90","47060","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Declared non-disabled","200","200","48140","44300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Unknown","70","70","41170","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Declared non-disabled","140","140","52970","56490"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Declared non-disabled","100","100","47180","44450"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Declared disabled","50","50","46730","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Declared non-disabled","350","340","45710","41330"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Unknown","110","110","41390","39610"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Declared disabled","340","330","46700","40650"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Declared non-disabled","2590","2520","50820","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Undeclared","200","200","50850","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Unknown","620","610","45750","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Declared non-disabled","60","50","51300","49310"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Declared non-disabled","60","60","54100","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Declared non-disabled","50","50","56450","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Declared non-disabled","50","50","48130","37320"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Declared non-disabled","70","70","41900","34380"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Declared disabled","70","70","45170","37160"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Declared non-disabled","790","780","49070","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Undeclared","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Unknown","170","170","48340","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Declared non-disabled","160","150","48990","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Declared non-disabled","130","120","41160","38280"
"In post","2021","Department for Education (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Communications","Declared non-disabled","150","140","40190","36980"
"In post","2021","Department for Education (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Communications","Unknown","70","70","34630","29360"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Declared disabled","50","50","38450","36780"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Declared non-disabled","380","370","40790","37100"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","Unknown","110","110","41100","36640"
"In post","2021","Department for Education (excl. agencies)","Finance","Declared disabled","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Finance","Declared non-disabled","340","330","44500","42750"
"In post","2021","Department for Education (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Finance","Unknown","60","60","36340","30030"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Declared non-disabled","70","70","38010","36500"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Legal","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","Declared disabled","60","60","37520","33460"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","Declared non-disabled","420","410","42910","36960"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","Unknown","70","70","33140","29360"
"In post","2021","Department for Education (excl. agencies)","Policy","Declared disabled","270","260","43870","38000"
"In post","2021","Department for Education (excl. agencies)","Policy","Declared non-disabled","1850","1760","47290","46170"
"In post","2021","Department for Education (excl. agencies)","Policy","Undeclared","130","120","45140","40510"
"In post","2021","Department for Education (excl. agencies)","Policy","Unknown","560","550","41980","36500"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Property","Declared disabled","50","50","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Property","Declared non-disabled","400","390","52640","54400"
"In post","2021","Department for Education (excl. agencies)","Property","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Property","Unknown","80","80","43830","49860"
"In post","2021","Department for Education (excl. agencies)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Declared non-disabled","90","90","39050","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Declared non-disabled","170","160","41360","37360"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Unknown","60","60","43710","40540"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Declared disabled","70","70","43580","43320"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Declared non-disabled","470","450","44090","46970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Unknown","90","80","42620","39790"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Declared non-disabled","110","110","43860","35620"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Declared disabled","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Declared non-disabled","290","280","43740","39000"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Unknown","50","50","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Declared disabled","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Declared non-disabled","170","160","43270","38620"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Unknown","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Declared non-disabled","80","80","39470","37890"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Declared disabled","250","250","40060","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Declared non-disabled","1720","1660","43170","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Undeclared","80","70","40980","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Unknown","430","410","44490","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Declared disabled","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Declared non-disabled","160","150","42520","38380"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Declared disabled","50","50","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Declared non-disabled","260","250","38020","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Unknown","50","50","32170","29180"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","Declared non-disabled","120","120","43950","39920"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Declared non-disabled","60","60","37780","32560"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
