"Status","Year","Ethnicity","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Mixed","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Education","EO","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Education","G6/G7","70","60","56280","53760"
"In post","2021","Mixed","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Education","SEO/HEO","80","80","37160","37100"
"In post","2021","Mixed","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","EO","30","30","[c]","[c]"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","SEO/HEO","90","90","34410","33740"
"In post","2021","Mixed","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for International Trade","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for International Trade","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Transport","AA/AO","40","40","[c]","[c]"
"In post","2021","Mixed","Department for Transport","EO","50","50","28640","26780"
"In post","2021","Mixed","Department for Transport","G6/G7","30","30","[c]","[c]"
"In post","2021","Mixed","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Transport","SEO/HEO","80","80","36540","35060"
"In post","2021","Mixed","Department for Work and Pensions","AA/AO","480","440","21720","21010"
"In post","2021","Mixed","Department for Work and Pensions","EO","950","890","28720","27570"
"In post","2021","Mixed","Department for Work and Pensions","G6/G7","50","50","[c]","[c]"
"In post","2021","Mixed","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department for Work and Pensions","SEO/HEO","160","150","36990","36650"
"In post","2021","Mixed","Department of Health and Social Care","AA/AO","30","30","[c]","[c]"
"In post","2021","Mixed","Department of Health and Social Care","EO","70","60","26920","27140"
"In post","2021","Mixed","Department of Health and Social Care","G6/G7","80","80","56730","53810"
"In post","2021","Mixed","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Department of Health and Social Care","SEO/HEO","130","120","36850","37500"
"In post","2021","Mixed","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","G6/G7","100","100","57650","55630"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","SEO/HEO","120","120","36700","36360"
"In post","2021","Mixed","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Land Registry","AA/AO","30","30","[c]","[c]"
"In post","2021","Mixed","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Revenue and Customs","AA/AO","190","170","20780","20140"
"In post","2021","Mixed","HM Revenue and Customs","EO","180","170","26360","25560"
"In post","2021","Mixed","HM Revenue and Customs","G6/G7","120","120","58560","59160"
"In post","2021","Mixed","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Revenue and Customs","SEO/HEO","260","250","35150","34030"
"In post","2021","Mixed","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Treasury","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","HM Treasury","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Mixed","Home Office","AA/AO","160","140","22670","21430"
"In post","2021","Mixed","Home Office","EO","280","250","27390","27370"
"In post","2021","Mixed","Home Office","G6/G7","80","80","59880","57680"
"In post","2021","Mixed","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Home Office","SEO/HEO","190","190","37800","36620"
"In post","2021","Mixed","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Defence","AA/AO","130","120","23370","21580"
"In post","2021","Mixed","Ministry of Defence","EO","120","110","27070","26670"
"In post","2021","Mixed","Ministry of Defence","G6/G7","80","70","58980","56720"
"In post","2021","Mixed","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Defence","SEO/HEO","270","260","35780","34800"
"In post","2021","Mixed","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","G6/G7","30","30","[c]","[c]"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Housing, Communities and Local Government","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Ministry of Justice","AA/AO","680","640","24970","23970"
"In post","2021","Mixed","Ministry of Justice","EO","190","180","28160","26410"
"In post","2021","Mixed","Ministry of Justice","G6/G7","80","70","64740","60470"
"In post","2021","Mixed","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Ministry of Justice","SEO/HEO","270","260","37750","36800"
"In post","2021","Mixed","Ministry of Justice","Unknown","360","330","30530","30210"
"In post","2021","Mixed","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","National Crime Agency","EO","50","50","[c]","[c]"
"In post","2021","Mixed","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","National Crime Agency","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scottish Government","SEO/HEO","50","50","38760","37580"
"In post","2021","Mixed","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","United Kingdom Statistics Authority","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Attorney General's Departments","G6/G7","80","70","60210","59930"
"In post","2021","Other ethnicity","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","G6/G7","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Business, Energy and Industrial Strategy","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Work and Pensions","AA/AO","120","110","22030","21010"
"In post","2021","Other ethnicity","Department for Work and Pensions","EO","290","270","29310","29290"
"In post","2021","Other ethnicity","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department for Work and Pensions","SEO/HEO","50","50","40190","36650"
"In post","2021","Other ethnicity","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department of Health and Social Care","G6/G7","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Department of Health and Social Care","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Other ethnicity","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","G6/G7","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Revenue and Customs","AA/AO","60","50","21490","20140"
"In post","2021","Other ethnicity","HM Revenue and Customs","EO","50","50","27560","25630"
"In post","2021","Other ethnicity","HM Revenue and Customs","G6/G7","30","30","[c]","[c]"
"In post","2021","Other ethnicity","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Revenue and Customs","SEO/HEO","70","70","35770","36160"
"In post","2021","Other ethnicity","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","AA/AO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","EO","100","100","27650","28670"
"In post","2021","Other ethnicity","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Defence","AA/AO","70","60","22610","20920"
"In post","2021","Other ethnicity","Ministry of Defence","EO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Defence","SEO/HEO","70","70","37900","37640"
"In post","2021","Other ethnicity","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Justice","AA/AO","190","180","25420","23640"
"In post","2021","Other ethnicity","Ministry of Justice","EO","60","50","27930","26410"
"In post","2021","Other ethnicity","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Ministry of Justice","SEO/HEO","80","80","39500","37720"
"In post","2021","Other ethnicity","Ministry of Justice","Unknown","60","60","30260","30210"
"In post","2021","Other ethnicity","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
