"Status","Year","Profession_of_post","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Medicine","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Black","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","Medicine","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Medicine","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Medicine","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","Ministry of Defence","330","280","45070","39030"
"In post","2022","Medicine","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","White","Department for Transport","30","30","[c]","[c]"
"In post","2022","Medicine","White","Department of Health and Social Care","320","280","84210","82950"
"In post","2022","Medicine","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","White","Ministry of Defence","1170","1040","46790","39030"
"In post","2022","Medicine","White","Welsh Government","180","170","45920","41980"
"In post","2022","Operational Delivery","Asian","Attorney General's Departments","290","260","26160","24590"
"In post","2022","Operational Delivery","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Department for Business, Energy and Industrial Strategy","240","220","30660","26290"
"In post","2022","Operational Delivery","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Department for Education","190","180","38270","36500"
"In post","2022","Operational Delivery","Asian","Department for Environment, Food and Rural Affairs","100","90","26550","24370"
"In post","2022","Operational Delivery","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Department for Levelling Up, Housing and Communities","50","50","31750","31410"
"In post","2022","Operational Delivery","Asian","Department for Transport","240","230","31190","26780"
"In post","2022","Operational Delivery","Asian","Department for Work and Pensions","6190","5590","27360","27570"
"In post","2022","Operational Delivery","Asian","Department of Health and Social Care","430","390","34410","28970"
"In post","2022","Operational Delivery","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","HM Land Registry","170","160","27260","27130"
"In post","2022","Operational Delivery","Asian","HM Revenue and Customs","2170","1980","27160","26400"
"In post","2022","Operational Delivery","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Home Office","3110","2840","28360","28650"
"In post","2022","Operational Delivery","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Ministry of Justice","3660","3370","27680","24920"
"In post","2022","Operational Delivery","Asian","National Crime Agency","220","210","37470","36740"
"In post","2022","Operational Delivery","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Scottish Government","50","40","[c]","[c]"
"In post","2022","Operational Delivery","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","UK Export Finance","50","50","[c]","[c]"
"In post","2022","Operational Delivery","Asian","UK Statistics Authority","90","70","28330","23880"
"In post","2022","Operational Delivery","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Attorney General's Departments","200","180","27250","25480"
"In post","2022","Operational Delivery","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Department for Business, Energy and Industrial Strategy","120","110","32830","29320"
"In post","2022","Operational Delivery","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Department for Education","60","60","40740","36870"
"In post","2022","Operational Delivery","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Department for Transport","70","70","30450","30700"
"In post","2022","Operational Delivery","Black","Department for Work and Pensions","3140","2960","28830","29290"
"In post","2022","Operational Delivery","Black","Department of Health and Social Care","240","220","34880","32320"
"In post","2022","Operational Delivery","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","HM Land Registry","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Black","HM Revenue and Customs","600","570","28140","26400"
"In post","2022","Operational Delivery","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Home Office","1180","1090","29080","28670"
"In post","2022","Operational Delivery","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Ministry of Justice","3610","3450","29900","28200"
"In post","2022","Operational Delivery","Black","National Crime Agency","70","70","36500","36490"
"In post","2022","Operational Delivery","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","UK Statistics Authority","50","40","26570","23650"
"In post","2022","Operational Delivery","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Attorney General's Departments","70","60","26890","25650"
"In post","2022","Operational Delivery","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Department for Business, Energy and Industrial Strategy","70","60","35080","30950"
"In post","2022","Operational Delivery","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Department for Education","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Department for Environment, Food and Rural Affairs","50","50","26900","24920"
"In post","2022","Operational Delivery","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Department for Transport","90","80","27710","26530"
"In post","2022","Operational Delivery","Mixed","Department for Work and Pensions","1260","1170","27220","27570"
"In post","2022","Operational Delivery","Mixed","Department of Health and Social Care","100","90","36050","30460"
"In post","2022","Operational Delivery","Mixed","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","HM Land Registry","50","50","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","HM Revenue and Customs","290","270","27630","26590"
"In post","2022","Operational Delivery","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Home Office","430","390","28370","25630"
"In post","2022","Operational Delivery","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Ministry of Justice","1660","1570","29990","28070"
"In post","2022","Operational Delivery","Mixed","National Crime Agency","100","90","40000","37560"
"In post","2022","Operational Delivery","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","UK Statistics Authority","50","40","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Department for Work and Pensions","360","330","28640","27570"
"In post","2022","Operational Delivery","Other ethnicity","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","HM Revenue and Customs","80","70","29730","26820"
"In post","2022","Operational Delivery","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Home Office","140","130","28470","27370"
"In post","2022","Operational Delivery","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Ministry of Justice","440","420","30180","28310"
"In post","2022","Operational Delivery","Other ethnicity","National Crime Agency","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Attorney General's Departments","50","50","25970","25200"
"In post","2022","Operational Delivery","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Department for Business, Energy and Industrial Strategy","140","130","34940","30950"
"In post","2022","Operational Delivery","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Department for Education","50","50","41680","36870"
"In post","2022","Operational Delivery","Undeclared","Department for Environment, Food and Rural Affairs","200","190","28440","26420"
"In post","2022","Operational Delivery","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Department for Transport","650","610","28460","26840"
"In post","2022","Operational Delivery","Undeclared","Department for Work and Pensions","3140","2760","27000","27570"
"In post","2022","Operational Delivery","Undeclared","Department of Health and Social Care","160","150","41110","36820"
"In post","2022","Operational Delivery","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","HM Land Registry","180","150","31750","33840"
"In post","2022","Operational Delivery","Undeclared","HM Revenue and Customs","1020","910","27970","26400"
"In post","2022","Operational Delivery","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Home Office","1420","1310","29960","27370"
"In post","2022","Operational Delivery","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Ministry of Justice","1920","1790","29480","27980"
"In post","2022","Operational Delivery","Undeclared","National Crime Agency","180","180","39420","37560"
"In post","2022","Operational Delivery","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Scottish Government","330","310","34200","35000"
"In post","2022","Operational Delivery","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","UK Statistics Authority","50","40","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Undeclared","Welsh Government","80","70","41880","38160"
"In post","2022","Operational Delivery","Unknown","Attorney General's Departments","250","230","26290","25480"
"In post","2022","Operational Delivery","Unknown","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Charity Commission","70","70","28090","24440"
"In post","2022","Operational Delivery","Unknown","Department for Business, Energy and Industrial Strategy","770","730","27310","24030"
"In post","2022","Operational Delivery","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Department for Education","100","90","38030","36570"
"In post","2022","Operational Delivery","Unknown","Department for Environment, Food and Rural Affairs","1060","1000","24650","21300"
"In post","2022","Operational Delivery","Unknown","Department for International Trade","50","50","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Department for Levelling Up, Housing and Communities","60","60","28800","26050"
"In post","2022","Operational Delivery","Unknown","Department for Transport","1490","1390","24720","26130"
"In post","2022","Operational Delivery","Unknown","Department for Work and Pensions","4140","3780","26570","27570"
"In post","2022","Operational Delivery","Unknown","Department of Health and Social Care","1280","1230","47250","40650"
"In post","2022","Operational Delivery","Unknown","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Foreign, Commonwealth and Development Office","90","80","35690","33930"
"In post","2022","Operational Delivery","Unknown","HM Land Registry","810","760","25120","22600"
"In post","2022","Operational Delivery","Unknown","HM Revenue and Customs","6510","5910","25180","22080"
"In post","2022","Operational Delivery","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Home Office","2580","2460","26190","24880"
"In post","2022","Operational Delivery","Unknown","Ministry of Defence","70","70","30710","26030"
"In post","2022","Operational Delivery","Unknown","Ministry of Justice","10870","10230","26900","25120"
"In post","2022","Operational Delivery","Unknown","National Crime Agency","500","480","41070","39820"
"In post","2022","Operational Delivery","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Scottish Government","3360","3130","29050","27080"
"In post","2022","Operational Delivery","Unknown","The National Archives","40","40","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","UK Statistics Authority","520","420","24960","22860"
"In post","2022","Operational Delivery","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Welsh Government","70","70","34370","29430"
"In post","2022","Operational Delivery","White","Attorney General's Departments","2020","1870","27300","25480"
"In post","2022","Operational Delivery","White","Cabinet Office","150","150","41430","38980"
"In post","2022","Operational Delivery","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Charity Commission","210","190","32320","29160"
"In post","2022","Operational Delivery","White","Department for Business, Energy and Industrial Strategy","2650","2470","33130","28750"
"In post","2022","Operational Delivery","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Department for Education","1170","1130","43320","37100"
"In post","2022","Operational Delivery","White","Department for Environment, Food and Rural Affairs","3040","2820","27570","24920"
"In post","2022","Operational Delivery","White","Department for International Trade","70","60","45290","35560"
"In post","2022","Operational Delivery","White","Department for Levelling Up, Housing and Communities","540","510","35300","32780"
"In post","2022","Operational Delivery","White","Department for Transport","7050","6290","26060","26130"
"In post","2022","Operational Delivery","White","Department for Work and Pensions","50820","44970","26630","27570"
"In post","2022","Operational Delivery","White","Department of Health and Social Care","2180","2010","40010","36060"
"In post","2022","Operational Delivery","White","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Food Standards Agency","480","460","32230","28800"
"In post","2022","Operational Delivery","White","Foreign, Commonwealth and Development Office","420","390","34580","30220"
"In post","2022","Operational Delivery","White","HM Land Registry","3930","3500","29210","27130"
"In post","2022","Operational Delivery","White","HM Revenue and Customs","19210","17070","27980","26590"
"In post","2022","Operational Delivery","White","HM Treasury","140","130","38410","29750"
"In post","2022","Operational Delivery","White","Home Office","16390","15080","28290","25310"
"In post","2022","Operational Delivery","White","Ministry of Defence","730","690","36060","32710"
"In post","2022","Operational Delivery","White","Ministry of Justice","54560","50800","29270","27120"
"In post","2022","Operational Delivery","White","National Crime Agency","3680","3600","40620","37560"
"In post","2022","Operational Delivery","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Office for Standards in Education, Children's Services and Skills","170","160","30400","25880"
"In post","2022","Operational Delivery","White","Office of Gas and Electricity Markets","140","140","29830","25000"
"In post","2022","Operational Delivery","White","Office of Qualifications and Examinations Regulation","90","80","46230","38760"
"In post","2022","Operational Delivery","White","Office of Rail and Road","100","100","54680","55150"
"In post","2022","Operational Delivery","White","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Scottish Government","3740","3510","30980","30450"
"In post","2022","Operational Delivery","White","The National Archives","100","100","30280","28040"
"In post","2022","Operational Delivery","White","UK Export Finance","190","190","54540","49840"
"In post","2022","Operational Delivery","White","UK Statistics Authority","2300","1920","28090","23880"
"In post","2022","Operational Delivery","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","White","Welsh Government","1460","1370","38020","29430"
"In post","2022","Operational Research","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
