"Status","Year","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","EO","50","50","[c]","[c]"
"In post","2022","Water Services Regulation Authority","G6/G7","70","60","81520","77110"
"In post","2022","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","SEO/HEO","130","130","47090","45370"
"In post","2022","Welsh Government","AA/AO","870","800","24260","24630"
"In post","2022","Welsh Government","EO","1110","1040","28830","29430"
"In post","2022","Welsh Government","G6/G7","1110","1060","62460","61440"
"In post","2022","Welsh Government","SCS","190","190","87010","79790"
"In post","2022","Welsh Government","SEO/HEO","2690","2550","41400","38160"
"Leaver CS","2021","Attorney General's Departments","AA/AO","90","80","22100","21950"
"Leaver CS","2021","Attorney General's Departments","EO","50","40","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","G6/G7","220","190","59120","55610"
"Leaver CS","2021","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Cabinet Office","AA/AO","80","80","20750","20450"
"Leaver CS","2021","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","G6/G7","110","110","62420","58720"
"Leaver CS","2021","Cabinet Office","SCS","50","40","[c]","[c]"
"Leaver CS","2021","Cabinet Office","SEO/HEO","120","110","34240","33630"
"Leaver CS","2021","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","AA/AO","100","90","21980","21000"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","EO","90","80","25780","24570"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","G6/G7","110","110","58280","56220"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","180","170","36340","36530"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","EO","60","60","25990","26000"
"Leaver CS","2021","Department for Education","G6/G7","110","100","57270","54400"
"Leaver CS","2021","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","SEO/HEO","140","140","36940","36780"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","AA/AO","170","160","21720","21050"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","EO","130","120","24150","25100"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","G6/G7","90","80","56030","54830"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","150","140","36160","36030"
"Leaver CS","2021","Department for International Trade","AA/AO","50","50","[c]","[c]"
"Leaver CS","2021","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2021","Department for Transport","AA/AO","340","270","21180","21590"
"Leaver CS","2021","Department for Transport","EO","180","150","27560","26780"
"Leaver CS","2021","Department for Transport","G6/G7","60","50","64050","59120"
"Leaver CS","2021","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","SEO/HEO","140","140","36750","35210"
"Leaver CS","2021","Department for Work and Pensions","AA/AO","2080","1760","21210","21010"
"Leaver CS","2021","Department for Work and Pensions","EO","1880","1570","28070","27570"
"Leaver CS","2021","Department for Work and Pensions","G6/G7","140","130","58700","58140"
"Leaver CS","2021","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","SEO/HEO","400","350","36920","34350"
"Leaver CS","2021","Department of Health and Social Care","AA/AO","190","160","20680","20150"
"Leaver CS","2021","Department of Health and Social Care","EO","150","100","25930","26730"
"Leaver CS","2021","Department of Health and Social Care","G6/G7","220","150","57380","54030"
"Leaver CS","2021","Department of Health and Social Care","SCS","90","50","103470","104930"
"Leaver CS","2021","Department of Health and Social Care","SEO/HEO","370","310","36270","36330"
"Leaver CS","2021","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","AA/AO","50","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","EO","40","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","G6/G7","90","60","59340","58850"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","SEO/HEO","80","40","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","AA/AO","80","80","22460","22350"
"Leaver CS","2021","HM Land Registry","EO","90","70","27330","27130"
"Leaver CS","2021","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","SEO/HEO","80","60","36160","33840"
"Leaver CS","2021","HM Revenue and Customs","AA/AO","2510","2020","20570","20880"
"Leaver CS","2021","HM Revenue and Customs","EO","1290","1060","25800","25500"
"Leaver CS","2021","HM Revenue and Customs","G6/G7","350","310","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","SEO/HEO","1180","1030","40320","42390"
"Leaver CS","2021","HM Revenue and Customs","Unknown","340","340","[c]","[c]"
"Leaver CS","2021","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Home Office","AA/AO","450","350","21470","21430"
"Leaver CS","2021","Home Office","EO","490","430","26940","27240"
"Leaver CS","2021","Home Office","G6/G7","100","100","61820","59600"
"Leaver CS","2021","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","SEO/HEO","270","250","37330","36620"
"Leaver CS","2021","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","AA/AO","1060","1000","22400","20920"
"Leaver CS","2021","Ministry of Defence","EO","700","670","26760","26670"
"Leaver CS","2021","Ministry of Defence","G6/G7","210","190","61760","58240"
"Leaver CS","2021","Ministry of Defence","SCS","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","SEO/HEO","990","930","36780","36460"
"Leaver CS","2021","Ministry of Defence","Unknown","230","220","36270","33750"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","G6/G7","60","50","56780","58370"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","AA/AO","3970","3610","19980","19930"
"Leaver CS","2021","Ministry of Justice","EO","530","490","24560","24600"
"Leaver CS","2021","Ministry of Justice","G6/G7","140","130","62830","58870"
"Leaver CS","2021","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","SEO/HEO","560","490","35920","34090"
"Leaver CS","2021","Ministry of Justice","Unknown","660","570","[c]","[c]"
"Leaver CS","2021","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","EO","60","60","34370","34220"
"Leaver CS","2021","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","SEO/HEO","80","70","45020","44830"
"Leaver CS","2021","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","G6/G7","50","50","74560","75500"
"Leaver CS","2021","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","AA/AO","350","310","22450","22220"
"Leaver CS","2021","Scottish Government","EO","220","200","30420","30160"
"Leaver CS","2021","Scottish Government","G6/G7","110","110","64500","63960"
"Leaver CS","2021","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","SEO/HEO","240","220","39660","39420"
"Leaver CS","2021","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","AA/AO","160","110","19450","19130"
"Leaver CS","2021","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","SEO/HEO","80","80","34280","36030"
"Leaver CS","2021","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","AA/AO","150","140","22240","22200"
"Leaver CS","2022","Attorney General's Departments","EO","90","90","28110","27350"
"Leaver CS","2022","Attorney General's Departments","G6/G7","300","270","58390","55610"
"Leaver CS","2022","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","SEO/HEO","100","90","37050","38000"
"Leaver CS","2022","Cabinet Office","AA/AO","90","90","20330","20070"
"Leaver CS","2022","Cabinet Office","EO","80","80","26790","27500"
"Leaver CS","2022","Cabinet Office","G6/G7","310","300","62670","60640"
"Leaver CS","2022","Cabinet Office","SCS","80","80","104600","95160"
"Leaver CS","2022","Cabinet Office","SEO/HEO","260","250","35350","34640"
"Leaver CS","2022","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","AA/AO","140","120","21220","21130"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","EO","130","120","26390","26330"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","G6/G7","200","190","56710","53600"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","320","290","36980","36340"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","G6/G7","50","50","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","35420","34020"
"Leaver CS","2022","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","EO","110","110","26470","25000"
"Leaver CS","2022","Department for Education","G6/G7","140","130","57060","54400"
"Leaver CS","2022","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","SEO/HEO","170","170","36110","36500"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","AA/AO","240","220","21660","21300"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","EO","170","160","25670","25180"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","G6/G7","110","110","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","390","370","35620","35900"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","EO","80","80","[c]","[c]"
"Leaver CS","2022","Department for International Trade","G6/G7","60","60","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SEO/HEO","60","60","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","G6/G7","80","80","58290","54710"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","70","70","37320","36340"
"Leaver CS","2022","Department for Transport","AA/AO","500","420","21780","21840"
"Leaver CS","2022","Department for Transport","EO","380","340","27540","26780"
"Leaver CS","2022","Department for Transport","G6/G7","110","110","61390","57840"
"Leaver CS","2022","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","SEO/HEO","280","270","38320","35950"
"Leaver CS","2022","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","AA/AO","3400","2970","21410","21260"
"Leaver CS","2022","Department for Work and Pensions","EO","4520","3990","28230","27570"
"Leaver CS","2022","Department for Work and Pensions","G6/G7","250","230","59160","59590"
"Leaver CS","2022","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","SEO/HEO","680","600","37230","35310"
"Leaver CS","2022","Department of Health and Social Care","AA/AO","290","260","21100","19930"
"Leaver CS","2022","Department of Health and Social Care","EO","520","390","25740","25700"
"Leaver CS","2022","Department of Health and Social Care","G6/G7","820","620","57490","53830"
"Leaver CS","2022","Department of Health and Social Care","SCS","230","170","98990","95140"
"Leaver CS","2022","Department of Health and Social Care","SEO/HEO","1280","960","36240","36330"
"Leaver CS","2022","Department of Health and Social Care","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","AA/AO","80","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","EO","50","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","G6/G7","120","80","60690","60000"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SCS","30","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SEO/HEO","140","70","37860","38550"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","AA/AO","110","100","22810","22600"
"Leaver CS","2022","HM Land Registry","EO","120","90","27750","27130"
"Leaver CS","2022","HM Land Registry","G6/G7","30","30","[c]","[c]"
"Leaver CS","2022","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","SEO/HEO","150","130","37940","37290"
"Leaver CS","2022","HM Revenue and Customs","AA/AO","2770","2320","21780","22010"
"Leaver CS","2022","HM Revenue and Customs","EO","950","790","27250","27000"
"Leaver CS","2022","HM Revenue and Customs","G6/G7","330","290","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","SCS","40","40","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","SEO/HEO","880","750","39500","40520"
"Leaver CS","2022","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","G6/G7","80","70","[c]","[c]"
"Leaver CS","2022","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","SEO/HEO","100","90","[c]","[c]"
"Leaver CS","2022","Home Office","AA/AO","570","450","21990","21680"
"Leaver CS","2022","Home Office","EO","850","710","27470","27240"
"Leaver CS","2022","Home Office","G6/G7","190","180","62130","60670"
"Leaver CS","2022","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","SEO/HEO","450","420","37520","37190"
"Leaver CS","2022","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","AA/AO","1670","1580","23200","21170"
"Leaver CS","2022","Ministry of Defence","EO","980","930","26470","26670"
"Leaver CS","2022","Ministry of Defence","G6/G7","380","340","59920","56690"
"Leaver CS","2022","Ministry of Defence","SCS","30","30","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","SEO/HEO","1580","1500","37270","36960"
"Leaver CS","2022","Ministry of Defence","Unknown","390","390","36800","33570"
"Leaver CS","2022","Ministry of Justice","AA/AO","6250","5770","20640","20970"
"Leaver CS","2022","Ministry of Justice","EO","780","730","25530","25120"
"Leaver CS","2022","Ministry of Justice","G6/G7","200","190","60090","59000"
"Leaver CS","2022","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Justice","SEO/HEO","730","680","37390","36250"
"Leaver CS","2022","Ministry of Justice","Unknown","1800","1600","36380","31470"
"Leaver CS","2022","National Crime Agency","AA/AO","30","30","[c]","[c]"
"Leaver CS","2022","National Crime Agency","EO","130","120","33820","34140"
"Leaver CS","2022","National Crime Agency","G6/G7","30","30","[c]","[c]"
"Leaver CS","2022","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","SEO/HEO","120","120","44640","44910"
"Leaver CS","2022","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","70","70","75100","75500"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","80","80","45520","46360"
"Leaver CS","2022","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
