"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Department for Digital, Culture, Media and Sport","180","180","27400","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Department for Digital, Culture, Media and Sport","800","790","58650","56730"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Department for Digital, Culture, Media and Sport","120","120","86600","76510"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Department for Digital, Culture, Media and Sport","660","660","37010","34020"
"In post","2021","Department for Education","AA/AO","Department for Education (excl. agencies)","70","70","22200","21000"
"In post","2021","Department for Education","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Department for Education (excl. agencies)","740","710","26880","26000"
"In post","2021","Department for Education","EO","Education and Skills Funding Agency","170","170","25990","26000"
"In post","2021","Department for Education","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","G6/G7","Department for Education (excl. agencies)","2130","2050","56850","54400"
"In post","2021","Department for Education","G6/G7","Education and Skills Funding Agency","590","570","55370","51410"
"In post","2021","Department for Education","G6/G7","Institute for Apprenticeships and Technical Education","120","120","55910","53950"
"In post","2021","Department for Education","G6/G7","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2021","Department for Education","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Department for Education (excl. agencies)","230","220","83420","74380"
"In post","2021","Department for Education","SCS","Education and Skills Funding Agency","50","50","86150","78000"
"In post","2021","Department for Education","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SEO/HEO","Department for Education (excl. agencies)","2510","2430","35950","36500"
"In post","2021","Department for Education","SEO/HEO","Education and Skills Funding Agency","980","940","34840","36500"
"In post","2021","Department for Education","SEO/HEO","Institute for Apprenticeships and Technical Education","70","70","36980","36780"
"In post","2021","Department for Education","SEO/HEO","Standards and Testing Agency","70","70","36810","36870"
"In post","2021","Department for Education","SEO/HEO","Teaching Regulation Agency","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Animal and Plant Health Agency","810","760","21880","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","60","50","20510","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","170","160","22640","21100"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Rural Payments Agency","980","880","21000","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Animal and Plant Health Agency","770","730","26560","25670"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Centre for Environment, Fisheries and Aquaculture Science","120","110","25080","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","510","490","26750","25960"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Rural Payments Agency","620","570","25510","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Animal and Plant Health Agency","210","200","55200","54340"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","110","110","52200","48080"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","1850","1790","54560","53200"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Rural Payments Agency","100","100","52860","49830"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Veterinary Medicines Directorate","60","60","57620","56200"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","210","210","83580","76760"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Animal and Plant Health Agency","880","830","36120","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","320","300","32840","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","2660","2570","35070","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Rural Payments Agency","470","440","33060","31460"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Veterinary Medicines Directorate","50","50","37230","38160"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Department for International Trade","40","30","[c]","[c]"
"In post","2021","Department for International Trade","EO","Department for International Trade","250","250","27360","26510"
"In post","2021","Department for International Trade","G6/G7","Department for International Trade","1080","1060","55440","52460"
"In post","2021","Department for International Trade","SCS","Department for International Trade","180","170","86280","76730"
"In post","2021","Department for International Trade","SEO/HEO","Department for International Trade","1150","1140","35350","34830"
"In post","2021","Department for Transport","AA/AO","Department for Transport (excl. agencies)","150","130","28230","25730"
"In post","2021","Department for Transport","AA/AO","Driver and Vehicle Licensing Agency","4090","3460","20640","21590"
"In post","2021","Department for Transport","AA/AO","Driver and Vehicle Standards Agency","1120","1050","24520","23990"
"In post","2021","Department for Transport","AA/AO","Maritime and Coastguard Agency","290","270","24250","26590"
