"Status","Year","Responsibility_level","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","SCS","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","20-29","380","360","33580","32980"
"Leaver CS","2021","SEO/HEO","Female","30-39","450","410","36830","36800"
"Leaver CS","2021","SEO/HEO","Female","40-49","380","340","37000","36760"
"Leaver CS","2021","SEO/HEO","Female","50-59","720","660","37440","36960"
"Leaver CS","2021","SEO/HEO","Female","60-64","480","390","37470","35110"
"Leaver CS","2021","SEO/HEO","Female","65+","190","140","36700","35060"
"Leaver CS","2021","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Male","20-29","370","350","34040","33570"
"Leaver CS","2021","SEO/HEO","Male","30-39","400","390","36410","36420"
"Leaver CS","2021","SEO/HEO","Male","40-49","290","280","37490","37710"
"Leaver CS","2021","SEO/HEO","Male","50-59","730","700","38780","38170"
"Leaver CS","2021","SEO/HEO","Male","60-64","660","580","39120","38560"
"Leaver CS","2021","SEO/HEO","Male","65+","420","320","39200","37530"
"Leaver CS","2021","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","20-29","190","180","[c]","[c]"
"Leaver CS","2021","Unknown","Female","30-39","140","120","[c]","[c]"
"Leaver CS","2021","Unknown","Female","40-49","120","110","[c]","[c]"
"Leaver CS","2021","Unknown","Female","50-59","130","120","[c]","[c]"
"Leaver CS","2021","Unknown","Female","60-64","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","Female","65+","80","60","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","20-29","110","110","[c]","[c]"
"Leaver CS","2021","Unknown","Male","30-39","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","Male","40-49","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Male","50-59","110","110","41530","35120"
"Leaver CS","2021","Unknown","Male","60-64","90","80","43620","37580"
"Leaver CS","2021","Unknown","Male","65+","60","40","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Female","16-19","90","90","20850","21260"
"Leaver CS","2022","AA/AO","Female","20-29","2900","2750","21310","21260"
"Leaver CS","2022","AA/AO","Female","30-39","1360","1170","21490","21260"
"Leaver CS","2022","AA/AO","Female","40-49","1050","910","21710","21260"
"Leaver CS","2022","AA/AO","Female","50-59","1580","1300","21400","21260"
"Leaver CS","2022","AA/AO","Female","60-64","1160","850","21340","21260"
"Leaver CS","2022","AA/AO","Female","65+","1210","850","21230","21260"
"Leaver CS","2022","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Male","16-19","70","60","20620","21030"
"Leaver CS","2022","AA/AO","Male","20-29","2660","2590","21550","21260"
"Leaver CS","2022","AA/AO","Male","30-39","1520","1490","22530","21260"
"Leaver CS","2022","AA/AO","Male","40-49","850","820","22280","21260"
"Leaver CS","2022","AA/AO","Male","50-59","1170","1110","23230","21260"
"Leaver CS","2022","AA/AO","Male","60-64","810","700","23250","21260"
"Leaver CS","2022","AA/AO","Male","65+","980","760","21810","21260"
"Leaver CS","2022","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Female","20-29","1450","1380","27050","27570"
"Leaver CS","2022","EO","Female","30-39","930","840","27680","27570"
"Leaver CS","2022","EO","Female","40-49","790","690","27890","27570"
"Leaver CS","2022","EO","Female","50-59","1180","1020","27740","27570"
"Leaver CS","2022","EO","Female","60-64","880","660","27760","27570"
"Leaver CS","2022","EO","Female","65+","670","450","27790","27570"
"Leaver CS","2022","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Male","20-29","1080","1040","26420","27500"
"Leaver CS","2022","EO","Male","30-39","790","770","27820","27570"
"Leaver CS","2022","EO","Male","40-49","560","550","28120","27570"
"Leaver CS","2022","EO","Male","50-59","940","880","28690","27570"
"Leaver CS","2022","EO","Male","60-64","690","580","29250","27570"
"Leaver CS","2022","EO","Male","65+","600","460","28330","27570"
"Leaver CS","2022","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","20-29","110","100","54210","53420"
"Leaver CS","2022","G6/G7","Female","30-39","480","410","56940","54670"
"Leaver CS","2022","G6/G7","Female","40-49","490","410","59480","57490"
"Leaver CS","2022","G6/G7","Female","50-59","560","500","60410","57710"
"Leaver CS","2022","G6/G7","Female","60-64","310","260","61570","59630"
"Leaver CS","2022","G6/G7","Female","65+","80","60","62030","61530"
"Leaver CS","2022","G6/G7","Male","20-29","140","130","54320","53760"
"Leaver CS","2022","G6/G7","Male","30-39","520","480","57730","55030"
"Leaver CS","2022","G6/G7","Male","40-49","440","410","60510","58470"
"Leaver CS","2022","G6/G7","Male","50-59","520","490","62210","60640"
"Leaver CS","2022","G6/G7","Male","60-64","440","390","63360","61440"
"Leaver CS","2022","G6/G7","Male","65+","230","180","63930","62170"
"Leaver CS","2022","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","30-39","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","40-49","110","90","93400","88830"
"Leaver CS","2022","SCS","Female","50-59","120","110","101460","95140"
"Leaver CS","2022","SCS","Female","60-64","50","50","[c]","[c]"
"Leaver CS","2022","SCS","Female","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Male","30-39","40","30","[c]","[c]"
"Leaver CS","2022","SCS","Male","40-49","80","80","97380","92840"
"Leaver CS","2022","SCS","Male","50-59","130","110","99860","96150"
"Leaver CS","2022","SCS","Male","60-64","100","80","107010","107720"
"Leaver CS","2022","SCS","Male","65+","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Female","20-29","890","800","34390","33930"
"Leaver CS","2022","SEO/HEO","Female","30-39","1020","920","36700","36650"
"Leaver CS","2022","SEO/HEO","Female","40-49","670","590","37970","38000"
"Leaver CS","2022","SEO/HEO","Female","50-59","800","710","38210","37480"
"Leaver CS","2022","SEO/HEO","Female","60-64","660","550","38050","36540"
"Leaver CS","2022","SEO/HEO","Female","65+","290","220","37550","36130"
"Leaver CS","2022","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Male","20-29","890","810","34590","34020"
"Leaver CS","2022","SEO/HEO","Male","30-39","880","840","37150","36840"
"Leaver CS","2022","SEO/HEO","Male","40-49","550","530","38640","38180"
