"Status","Year","Function_of_post","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Unknown","280","280","31920","28330"
"In post","2022","Human Resources","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Human Resources","1870","1780","37680","33380"
"In post","2022","Human Resources","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Operational Delivery","290","280","29630","27570"
"In post","2022","Human Resources","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Tax","50","50","33010","33080"
"In post","2022","Human Resources","30-39","Unknown","380","360","39960","36360"
"In post","2022","Human Resources","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Human Resources","2180","2060","41880","37900"
"In post","2022","Human Resources","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Operational Delivery","360","340","30890","27570"
"In post","2022","Human Resources","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Unknown","330","310","43250","39770"
"In post","2022","Human Resources","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Human Resources","2540","2440","40690","36740"
"In post","2022","Human Resources","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Operational Delivery","510","480","31430","27570"
"In post","2022","Human Resources","50-59","Other","30","30","[c]","[c]"
"In post","2022","Human Resources","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Tax","80","70","37650","33400"
"In post","2022","Human Resources","50-59","Unknown","260","250","45180","39800"
"In post","2022","Human Resources","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Human Resources","560","480","36460","33300"
"In post","2022","Human Resources","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Operational Delivery","170","140","29610","27570"
"In post","2022","Human Resources","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Unknown","70","50","40830","35590"
"In post","2022","Human Resources","65+","Human Resources","130","100","34270","31270"
"In post","2022","Human Resources","65+","Operational Delivery","30","20","[c]","[c]"
"In post","2022","Human Resources","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","20-29","Internal Audit","40","40","[c]","[c]"
"In post","2022","Internal Audit","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","30-39","Internal Audit","120","120","43460","40580"
"In post","2022","Internal Audit","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","40-49","Internal Audit","180","170","47560","44020"
"In post","2022","Internal Audit","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","50-59","Internal Audit","300","290","50040","47100"
"In post","2022","Internal Audit","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","60-64","Internal Audit","70","60","44530","43710"
"In post","2022","Internal Audit","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","Legal","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","16-19","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Legal","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Legal","740","730","38940","40000"
"In post","2022","Legal","20-29","Operational Delivery","700","690","24370","23770"
"In post","2022","Legal","20-29","Other","150","150","27970","26950"
"In post","2022","Legal","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","Unknown","40","40","[c]","[c]"
"In post","2022","Legal","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Legal","2080","1990","52890","51830"
"In post","2022","Legal","30-39","Operational Delivery","460","420","26800","25480"
"In post","2022","Legal","30-39","Other","110","100","32480","27580"
"In post","2022","Legal","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","30-39","Tax","90","90","41860","35980"
"In post","2022","Legal","30-39","Unknown","90","80","54390","62120"
"In post","2022","Legal","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Legal","2340","2140","58830","58040"
"In post","2022","Legal","40-49","Operational Delivery","730","650","28310","26820"
"In post","2022","Legal","40-49","Other","70","70","37950","30720"
"In post","2022","Legal","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","40-49","Tax","90","80","40120","36550"
"In post","2022","Legal","40-49","Unknown","50","50","67540","70600"
"In post","2022","Legal","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Legal","2040","1900","61110","60710"
"In post","2022","Legal","50-59","Operational Delivery","1040","950","28770","28430"
"In post","2022","Legal","50-59","Other","100","90","41490","34440"
"In post","2022","Legal","50-59","Policy","50","50","[c]","[c]"
"In post","2022","Legal","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2022","Legal","50-59","Tax","100","100","42550","40350"
"In post","2022","Legal","50-59","Unknown","50","50","[c]","[c]"
"In post","2022","Legal","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Legal","410","350","60870","62120"
"In post","2022","Legal","60-64","Operational Delivery","230","200","27110","26400"
"In post","2022","Legal","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","60-64","Tax","30","30","[c]","[c]"
"In post","2022","Legal","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Legal","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","65+","Legal","150","110","60360","61000"
"In post","2022","Legal","65+","Operational Delivery","60","50","26150","25480"
"In post","2022","Legal","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","Legal","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Operational Delivery","520","490","21920","21260"
"In post","2022","No function","16-19","Other","30","30","[c]","[c]"
"In post","2022","No function","16-19","Policy","40","40","[c]","[c]"
"In post","2022","No function","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Tax","40","40","[c]","[c]"
"In post","2022","No function","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Commercial","40","40","[c]","[c]"
"In post","2022","No function","20-29","Communications","70","60","35650","32940"
"In post","2022","No function","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","No function","20-29","Economics","200","200","39630","34710"
"In post","2022","No function","20-29","Finance","30","30","[c]","[c]"
"In post","2022","No function","20-29","Geography","110","110","25600","26740"
"In post","2022","No function","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Intelligence Analysis","70","60","27770","26330"
"In post","2022","No function","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","International Trade","510","510","38390","38160"
"In post","2022","No function","20-29","Knowledge and Information Management","120","120","32570","29260"
"In post","2022","No function","20-29","Legal","160","160","32410","30450"
"In post","2022","No function","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Operational Delivery","30970","30350","26010","25110"
"In post","2022","No function","20-29","Operational Research","70","70","34360","30920"
"In post","2022","No function","20-29","Other","1300","1280","27630","27570"
"In post","2022","No function","20-29","Planning","40","40","[c]","[c]"
"In post","2022","No function","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Policy","6980","6950","38430","34710"
"In post","2022","No function","20-29","Project Delivery","130","130","37090","34020"
"In post","2022","No function","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Psychology","400","390","27700","27700"
"In post","2022","No function","20-29","Science and Engineering","1510","1500","29610","29230"
"In post","2022","No function","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","20-29","Tax","2700","2640","29290","26590"
"In post","2022","No function","20-29","Unknown","3440","3420","32500","29250"
"In post","2022","No function","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Commercial","130","120","43570","42630"
"In post","2022","No function","30-39","Communications","50","50","39960","36640"
"In post","2022","No function","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Digital, Data and Technology","50","50","43550","41990"
"In post","2022","No function","30-39","Economics","120","120","56340","57850"
"In post","2022","No function","30-39","Finance","50","50","[c]","[c]"
"In post","2022","No function","30-39","Geography","100","100","32700","33290"
"In post","2022","No function","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Inspector of Education and Training","100","100","58060","51360"
"In post","2022","No function","30-39","Intelligence Analysis","140","130","30920","27380"
"In post","2022","No function","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","International Trade","520","520","49710","51730"
"In post","2022","No function","30-39","Knowledge and Information Management","160","160","37050","31990"
"In post","2022","No function","30-39","Legal","230","220","38710","36050"
"In post","2022","No function","30-39","Medicine","120","110","64770","55860"
"In post","2022","No function","30-39","Operational Delivery","40980","38320","28470","27570"
"In post","2022","No function","30-39","Operational Research","80","70","44120","47010"
"In post","2022","No function","30-39","Other","1620","1540","32940","27570"
"In post","2022","No function","30-39","Planning","50","50","[c]","[c]"
"In post","2022","No function","30-39","Planning Inspectors","60","50","48420","47660"
"In post","2022","No function","30-39","Policy","6890","6710","48560","51720"
"In post","2022","No function","30-39","Project Delivery","140","130","44680","42940"
"In post","2022","No function","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Psychology","610","580","34970","31180"
"In post","2022","No function","30-39","Science and Engineering","1500","1440","39190","38070"
"In post","2022","No function","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","30-39","Tax","3460","3340","35840","33370"
"In post","2022","No function","30-39","Unknown","2080","2030","41390","34550"
"In post","2022","No function","30-39","Veterinarian","100","90","38220","37240"
"In post","2022","No function","40-49","Commercial","140","140","49320","46570"
"In post","2022","No function","40-49","Communications","80","70","45790","42850"
"In post","2022","No function","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","No function","40-49","Economics","40","40","[c]","[c]"
"In post","2022","No function","40-49","Finance","40","40","[c]","[c]"
"In post","2022","No function","40-49","Geography","90","80","33720","33290"
"In post","2022","No function","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Inspector of Education and Training","290","290","64260","64500"
"In post","2022","No function","40-49","Intelligence Analysis","90","90","32210","28640"
"In post","2022","No function","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","International Trade","270","270","53030","51970"
"In post","2022","No function","40-49","Knowledge and Information Management","200","190","37060","34260"
"In post","2022","No function","40-49","Legal","360","330","45110","43100"
"In post","2022","No function","40-49","Medicine","190","170","80520","83800"
"In post","2022","No function","40-49","Operational Delivery","45130","41460","29840","27570"
"In post","2022","No function","40-49","Operational Research","60","60","48440","47270"
"In post","2022","No function","40-49","Other","1700","1610","34790","27570"
"In post","2022","No function","40-49","Planning","30","30","[c]","[c]"
"In post","2022","No function","40-49","Planning Inspectors","110","100","53230","47660"
"In post","2022","No function","40-49","Policy","5000","4780","53420","53380"
"In post","2022","No function","40-49","Project Delivery","100","100","50900","51730"
"In post","2022","No function","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Psychology","330","310","44500","45600"
"In post","2022","No function","40-49","Science and Engineering","1620","1530","45200","45140"
"In post","2022","No function","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","40-49","Tax","2530","2430","37790","33370"
"In post","2022","No function","40-49","Unknown","1190","1150","45590","37610"
"In post","2022","No function","40-49","Veterinarian","150","140","43220","38300"
"In post","2022","No function","50-59","Commercial","180","180","52820","49530"
"In post","2022","No function","50-59","Communications","50","50","[c]","[c]"
"In post","2022","No function","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Geography","90","80","34060","33290"
"In post","2022","No function","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Inspector of Education and Training","380","370","65780","70500"
"In post","2022","No function","50-59","Intelligence Analysis","130","120","31410","28640"
"In post","2022","No function","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","International Trade","270","260","52040","48220"
"In post","2022","No function","50-59","Knowledge and Information Management","260","250","36400","33170"
"In post","2022","No function","50-59","Legal","470","420","48260","46400"
"In post","2022","No function","50-59","Medicine","170","160","93590","96510"
"In post","2022","No function","50-59","Operational Delivery","61670","56510","29570","27570"
"In post","2022","No function","50-59","Operational Research","50","50","54420","54060"
"In post","2022","No function","50-59","Other","2160","2020","32950","27570"
"In post","2022","No function","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Planning Inspectors","130","120","57610","58810"
"In post","2022","No function","50-59","Policy","3800","3700","50620","48200"
"In post","2022","No function","50-59","Project Delivery","100","100","49820","47630"
"In post","2022","No function","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Psychology","160","150","40120","31180"
"In post","2022","No function","50-59","Science and Engineering","1490","1420","46360","45870"
"In post","2022","No function","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","50-59","Tax","3100","2970","39820","35980"
"In post","2022","No function","50-59","Unknown","830","800","45390","35430"
"In post","2022","No function","50-59","Veterinarian","90","90","48510","50280"
"In post","2022","No function","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Geography","30","30","[c]","[c]"
"In post","2022","No function","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Inspector of Education and Training","90","80","70050","75500"
"In post","2022","No function","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","International Trade","50","50","[c]","[c]"
"In post","2022","No function","60-64","Knowledge and Information Management","70","60","32590","27570"
"In post","2022","No function","60-64","Legal","90","70","50810","47100"
"In post","2022","No function","60-64","Medicine","70","60","97020","111670"
"In post","2022","No function","60-64","Operational Delivery","19750","15680","27650","26780"
"In post","2022","No function","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Other","550","460","31500","27570"
"In post","2022","No function","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","No function","60-64","Policy","650","610","49610","43360"
"In post","2022","No function","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Science and Engineering","360","320","45940","45870"
"In post","2022","No function","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","60-64","Tax","880","690","39080","35980"
"In post","2022","No function","60-64","Unknown","170","150","38580","29970"
"In post","2022","No function","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Operational Delivery","6040","4440","26890","25110"
"In post","2022","No function","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Other","140","100","30880","27570"
"In post","2022","No function","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","No function","65+","Policy","190","160","43330","37660"
"In post","2022","No function","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Science and Engineering","150","110","46300","44770"
"In post","2022","No function","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","65+","Tax","240","170","38110","35980"
"In post","2022","No function","65+","Unknown","50","50","41790","30170"
"In post","2022","No function","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","16-19","Science and Engineering","80","80","18200","17140"
"In post","2022","Project Delivery","20-29","Commercial","130","130","27750","28220"
"In post","2022","Project Delivery","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Finance","40","40","[c]","[c]"
"In post","2022","Project Delivery","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Operational Delivery","250","240","29210","27570"
"In post","2022","Project Delivery","20-29","Other","420","410","25300","23650"
"In post","2022","Project Delivery","20-29","Policy","230","230","40880","38600"
"In post","2022","Project Delivery","20-29","Project Delivery","1610","1600","33800","33000"
"In post","2022","Project Delivery","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Science and Engineering","900","900","28470","27540"
"In post","2022","Project Delivery","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","Tax","50","50","[c]","[c]"
"In post","2022","Project Delivery","20-29","Unknown","80","80","38470","34550"
"In post","2022","Project Delivery","30-39","Commercial","220","210","36110","35300"
"In post","2022","Project Delivery","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","30-39","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","Project Delivery","30-39","Economics","40","40","[c]","[c]"
"In post","2022","Project Delivery","30-39","Finance","60","50","44490","45000"
