"Status","Year","Region_ITL1","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","South East (England)","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Driver and Vehicle Standards Agency","Department for Transport","510","480","29580","26830"
"In post","2022","South East (England)","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","FCDO Services","Foreign, Commonwealth and Development Office","790","760","38710","34390"
"In post","2022","South East (England)","Food Standards Agency","Food Standards Agency","100","100","43240","40720"
"In post","2022","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","270","260","32180","27130"
"In post","2022","South East (England)","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Health and Safety Executive","Department for Work and Pensions","90","90","42890","43830"
"In post","2022","South East (England)","HM Courts and Tribunals Service","Ministry of Justice","1260","1110","25980","21490"
"In post","2022","South East (England)","HM Prison and Probation Service","Ministry of Justice","8920","8450","30650","30210"
"In post","2022","South East (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2200","1980","31990","28920"
"In post","2022","South East (England)","Home Office","Home Office","4020","3710","28160","26160"
"In post","2022","South East (England)","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Maritime and Coastguard Agency","Department for Transport","730","710","36890","32180"
"In post","2022","South East (England)","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Met Office","Department for Business, Energy and Industrial Strategy","90","80","37350","37420"
"In post","2022","South East (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","7940","7700","33360","33000"
"In post","2022","South East (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","180","170","39110","36050"
"In post","2022","South East (England)","National Crime Agency","National Crime Agency","470","460","40410","39840"
"In post","2022","South East (England)","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","130","130","63580","64500"
"In post","2022","South East (England)","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Planning Inspectorate","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"In post","2022","South East (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","200","190","29830","25770"
"In post","2022","South East (England)","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","The Insolvency Service","Department for Business, Energy and Industrial Strategy","120","110","31480","26410"
"In post","2022","South East (England)","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","UK Health Security Agency","Department of Health and Social Care","490","430","44960","40030"
"In post","2022","South East (England)","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","UK Statistics Authority","UK Statistics Authority","2490","2040","29780","24250"
"In post","2022","South East (England)","Valuation Office Agency","HM Revenue and Customs","220","200","36770","33380"
"In post","2022","South East (England)","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","170","170","40360","38750"
"In post","2022","South East (England)","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Wilton Park","Foreign, Commonwealth and Development Office","80","80","34680","30700"
"In post","2022","South West (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","50","34280","31040"
"In post","2022","South West (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","440","420","29130","25100"
"In post","2022","South West (England)","Cabinet Office (excl. agencies)","Cabinet Office","240","240","54080","49700"
"In post","2022","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","160","160","33370","29750"
"In post","2022","South West (England)","Charity Commission","Charity Commission","40","30","[c]","[c]"
"In post","2022","South West (England)","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Crown Prosecution Service","Attorney General's Departments","320","300","40800","38180"
"In post","2022","South West (England)","Defence Equipment and Support","Ministry of Defence","8750","8420","38130","35780"
"In post","2022","South West (England)","Defence Science and Technology Laboratory","Ministry of Defence","2920","2830","40510","38070"
"In post","2022","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Department for Education (excl. agencies)","Department for Education","230","220","46070","42980"
"In post","2022","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1180","1120","40270","36970"
"In post","2022","South West (England)","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","150","150","41590","38710"
"In post","2022","South West (England)","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","5510","4780","26350","27570"
"In post","2022","South West (England)","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","80","80","49480","49530"
"In post","2022","South West (England)","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Driver and Vehicle Standards Agency","Department for Transport","580","540","32010","27930"
"In post","2022","South West (England)","Education and Skills Funding Agency","Department for Education","100","100","38650","36500"
"In post","2022","South West (England)","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Food Standards Agency","Food Standards Agency","120","110","35500","30350"
"In post","2022","South West (England)","Government Internal Audit Agency","HM Treasury","40","40","[c]","[c]"
"In post","2022","South West (England)","Government Legal Department","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","South West (England)","Government Property Agency","Cabinet Office","30","30","[c]","[c]"
"In post","2022","South West (England)","Health and Safety Executive","Department for Work and Pensions","90","80","43780","44840"
"In post","2022","South West (England)","HM Courts and Tribunals Service","Ministry of Justice","980","870","24970","20970"
"In post","2022","South West (England)","HM Land Registry","HM Land Registry","1580","1430","32790","31740"
"In post","2022","South West (England)","HM Prison and Probation Service","Ministry of Justice","4560","4240","29200","27120"
"In post","2022","South West (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1420","1350","37660","33370"
"In post","2022","South West (England)","Home Office","Home Office","450","410","29900","26790"
"In post","2022","South West (England)","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Legal Aid Agency","Ministry of Justice","80","70","30190","25120"
"In post","2022","South West (England)","Maritime and Coastguard Agency","Department for Transport","70","60","37740","35180"
"In post","2022","South West (England)","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Met Office","Department for Business, Energy and Industrial Strategy","1780","1690","40450","39650"
"In post","2022","South West (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","8280","7950","33760","33000"
"In post","2022","South West (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","140","130","39680","36610"
"In post","2022","South West (England)","National Crime Agency","National Crime Agency","470","450","37120","36410"
"In post","2022","South West (England)","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","310","300","46650","39850"
"In post","2022","South West (England)","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Planning Inspectorate","Department for Levelling Up, Housing and Communities","480","440","34410","27530"
"In post","2022","South West (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","290","270","27470","25340"
"In post","2022","South West (England)","Submarine Delivery Agency","Ministry of Defence","1650","1610","40870","39050"
"In post","2022","South West (England)","The Insolvency Service","Department for Business, Energy and Industrial Strategy","140","130","30770","26410"
"In post","2022","South West (England)","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","UK Health Security Agency","Department of Health and Social Care","1100","1020","38720","35440"
"In post","2022","South West (England)","UK Hydrographic Office","Ministry of Defence","900","860","35250","33290"
"In post","2022","South West (England)","UK Space Agency","Department for Business, Energy and Industrial Strategy","110","100","44510","49080"
"In post","2022","South West (England)","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Valuation Office Agency","HM Revenue and Customs","630","590","30450","26030"
"In post","2022","South West (England)","Vehicle Certification Agency","Department for Transport","120","110","33410","28980"
"In post","2022","South West (England)","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","480","470","37420","32000"
"In post","2022","Unknown","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","600","550","31150","27570"
"In post","2022","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","80","70","28840","24800"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","230","220","34290","28450"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","50","50","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Royal Fleet Auxiliary","Ministry of Defence","1760","1760","37450","34160"
"In post","2022","Wales","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","90","80","30970","30950"
"In post","2022","Wales","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","330","300","28300","24920"
"In post","2022","Wales","Cabinet Office (excl. agencies)","Cabinet Office","80","80","42000","37300"
"In post","2022","Wales","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Companies House","Department for Business, Energy and Industrial Strategy","1080","1000","31180","25460"
"In post","2022","Wales","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Crown Commercial Service","Cabinet Office","120","110","36290","31250"
"In post","2022","Wales","Crown Prosecution Service","Attorney General's Departments","400","370","40850","38180"
"In post","2022","Wales","Defence Electronics and Components Agency","Ministry of Defence","380","370","29870","29470"
"In post","2022","Wales","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","90","90","34540","30360"
"In post","2022","Wales","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Wales","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Department for Transport (excl. agencies)","Department for Transport","60","50","43280","39040"
"In post","2022","Wales","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","5720","5140","26050","27570"
"In post","2022","Wales","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Driver and Vehicle Licensing Agency","Department for Transport","6210","5500","26380","21840"
"In post","2022","Wales","Driver and Vehicle Standards Agency","Department for Transport","570","540","29370","26780"
"In post","2022","Wales","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Estyn","Estyn","110","100","58630","75480"
"In post","2022","Wales","Food Standards Agency","Food Standards Agency","150","150","36510","31050"
"In post","2022","Wales","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Health and Safety Executive","Department for Work and Pensions","90","90","40890","41480"
"In post","2022","Wales","HM Courts and Tribunals Service","Ministry of Justice","980","900","25280","20970"
"In post","2022","Wales","HM Land Registry","HM Land Registry","770","690","29440","27130"
"In post","2022","Wales","HM Prison and Probation Service","Ministry of Justice","3230","3060","29380","27120"
"In post","2022","Wales","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4380","4100","30210","26820"
"In post","2022","Wales","Home Office","Home Office","710","660","28920","25310"
"In post","2022","Wales","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","1660","1560","37990","31300"
"In post","2022","Wales","Legal Aid Agency","Ministry of Justice","50","50","[c]","[c]"
"In post","2022","Wales","Maritime and Coastguard Agency","Department for Transport","100","100","33230","31470"
"In post","2022","Wales","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Ministry of Defence (excl. agencies)","Ministry of Defence","760","730","25960","21830"
"In post","2022","Wales","Ministry of Justice (excl. agencies)","Ministry of Justice","160","160","39350","36050"
"In post","2022","Wales","National Crime Agency","National Crime Agency","70","70","39660","36410"
"In post","2022","Wales","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Wales","The Insolvency Service","Department for Business, Energy and Industrial Strategy","70","60","29010","26140"
"In post","2022","Wales","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Wales","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Wales","UK Statistics Authority","UK Statistics Authority","3010","2860","35760","31700"
"In post","2022","Wales","Valuation Office Agency","HM Revenue and Customs","280","260","37010","33370"
"In post","2022","Wales","Welsh Government (excl. agencies)","Welsh Government","5850","5520","41870","38160"
"In post","2022","Wales","Welsh Revenue Authority","Welsh Government","80","80","43730","39130"
"In post","2022","West Midlands (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","80","80","31660","30950"
"In post","2022","West Midlands (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","280","270","29680","26520"
"In post","2022","West Midlands (England)","Cabinet Office (excl. agencies)","Cabinet Office","150","150","58600","54010"
"In post","2022","West Midlands (England)","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Crown Commercial Service","Cabinet Office","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Crown Prosecution Service","Attorney General's Departments","590","550","40870","38180"
"In post","2022","West Midlands (England)","Defence Electronics and Components Agency","Ministry of Defence","60","50","26080","25830"
"In post","2022","West Midlands (England)","Defence Equipment and Support","Ministry of Defence","200","190","26880","23390"
"In post","2022","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","240","240","42520","36740"
"In post","2022","West Midlands (England)","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Department for Education (excl. agencies)","Department for Education","590","580","40120","36500"
"In post","2022","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","290","270","41100","37080"
"In post","2022","West Midlands (England)","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","320","310","37060","33950"
"In post","2022","West Midlands (England)","Department for Transport (excl. agencies)","Department for Transport","150","150","37710","31870"
"In post","2022","West Midlands (England)","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","7640","6730","26200","27570"
"In post","2022","West Midlands (England)","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","60","50","48610","49530"
"In post","2022","West Midlands (England)","Driver and Vehicle Licensing Agency","Department for Transport","120","110","23630","21840"
"In post","2022","West Midlands (England)","Driver and Vehicle Standards Agency","Department for Transport","410","390","28350","26780"
"In post","2022","West Midlands (England)","Education and Skills Funding Agency","Department for Education","570","550","41570","37100"
"In post","2022","West Midlands (England)","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Food Standards Agency","Food Standards Agency","120","120","32730","30350"
"In post","2022","West Midlands (England)","Government Internal Audit Agency","HM Treasury","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Government Property Agency","Cabinet Office","70","70","48830","42900"
"In post","2022","West Midlands (England)","Health and Safety Executive","Department for Work and Pensions","90","80","45420","46320"
"In post","2022","West Midlands (England)","HM Courts and Tribunals Service","Ministry of Justice","2000","1810","24590","20970"
"In post","2022","West Midlands (England)","HM Land Registry","HM Land Registry","610","560","30190","27130"
"In post","2022","West Midlands (England)","HM Prison and Probation Service","Ministry of Justice","6160","5810","29380","27120"
"In post","2022","West Midlands (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4510","4260","34280","33080"
"In post","2022","West Midlands (England)","Home Office","Home Office","1150","1070","28830","25310"
"In post","2022","West Midlands (England)","Institute for Apprenticeships and Technical Education","Department for Education","120","110","45230","49960"
"In post","2022","West Midlands (England)","Legal Aid Agency","Ministry of Justice","110","110","26040","21490"
"In post","2022","West Midlands (England)","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","2350","2270","31310","27590"
"In post","2022","West Midlands (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","510","490","35130","31740"
"In post","2022","West Midlands (England)","National Crime Agency","National Crime Agency","510","500","38240","36740"
"In post","2022","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","150","140","55270","51360"
"In post","2022","West Midlands (England)","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","290","280","44330","40190"
"In post","2022","West Midlands (England)","Office of Rail and Road","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Office of the Public Guardian","Ministry of Justice","1020","940","23710","20970"
"In post","2022","West Midlands (England)","Planning Inspectorate","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","180","170","25590","24920"
"In post","2022","West Midlands (England)","Standards and Testing Agency","Department for Education","50","50","40310","36870"
"In post","2022","West Midlands (England)","Teaching Regulation Agency","Department for Education","80","80","30420","26000"
"In post","2022","West Midlands (England)","The Insolvency Service","Department for Business, Energy and Industrial Strategy","390","370","30970","26410"
"In post","2022","West Midlands (England)","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","UK Health Security Agency","Department of Health and Social Care","350","320","41210","34530"
"In post","2022","West Midlands (England)","Valuation Office Agency","HM Revenue and Customs","260","240","35230","32390"
"In post","2022","West Midlands (England)","Water Services Regulation Authority","Water Services Regulation Authority","180","170","49710","43270"
"In post","2022","West Midlands (England)","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","70","60","31460","30950"
"In post","2022","Yorkshire and The Humber","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","220","210","28910","25400"
"In post","2022","Yorkshire and The Humber","Cabinet Office (excl. agencies)","Cabinet Office","870","840","38510","33300"
"In post","2022","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Crown Prosecution Service","Attorney General's Departments","840","780","39530","34480"
"In post","2022","Yorkshire and The Humber","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Education (excl. agencies)","Department for Education","1260","1200","41210","36780"
"In post","2022","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","750","720","39760","36520"
"In post","2022","Yorkshire and The Humber","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","120","120","42790","37300"
"In post","2022","Yorkshire and The Humber","Department for Transport (excl. agencies)","Department for Transport","140","140","39030","38650"
"In post","2022","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","9500","8490","30000","27570"
"In post","2022","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","960","920","43840","40500"
"In post","2022","Yorkshire and The Humber","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Driver and Vehicle Standards Agency","Department for Transport","460","430","27310","26780"
"In post","2022","Yorkshire and The Humber","Education and Skills Funding Agency","Department for Education","390","380","39430","36500"
"In post","2022","Yorkshire and The Humber","Food Standards Agency","Food Standards Agency","270","260","36650","31450"
"In post","2022","Yorkshire and The Humber","Government Internal Audit Agency","HM Treasury","70","60","45470","42020"
"In post","2022","Yorkshire and The Humber","Government Legal Department","Attorney General's Departments","90","80","52440","51250"
"In post","2022","Yorkshire and The Humber","Government Property Agency","Cabinet Office","50","50","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Health and Safety Executive","Department for Work and Pensions","390","370","38670","35910"
"In post","2022","Yorkshire and The Humber","HM Courts and Tribunals Service","Ministry of Justice","1180","1020","25250","20970"
"In post","2022","Yorkshire and The Humber","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","HM Land Registry","HM Land Registry","360","320","29250","27130"
"In post","2022","Yorkshire and The Humber","HM Prison and Probation Service","Ministry of Justice","7460","6970","29380","27120"
"In post","2022","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5160","4810","31690","26820"
"In post","2022","Yorkshire and The Humber","Home Office","Home Office","3830","3570","28790","25040"
"In post","2022","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Legal Aid Agency","Ministry of Justice","50","50","28510","25680"
"In post","2022","Yorkshire and The Humber","Maritime and Coastguard Agency","Department for Transport","70","70","38420","31780"
"In post","2022","Yorkshire and The Humber","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","Ministry of Defence","1980","1910","28520","26670"
"In post","2022","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","Ministry of Justice","590","580","40240","36050"
"In post","2022","Yorkshire and The Humber","National Crime Agency","National Crime Agency","270","270","38280","36410"
"In post","2022","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","110","100","63150","70500"
"In post","2022","Yorkshire and The Humber","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Planning Inspectorate","Department for Levelling Up, Housing and Communities","40","30","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Rural Payments Agency","Department for Environment, Food and Rural Affairs","290","270","26670","24920"
"In post","2022","Yorkshire and The Humber","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","The Insolvency Service","Department for Business, Energy and Industrial Strategy","110","110","32570","30940"
"In post","2022","Yorkshire and The Humber","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","UK Health Security Agency","Department of Health and Social Care","710","670","42170","36820"
"In post","2022","Yorkshire and The Humber","Valuation Office Agency","HM Revenue and Customs","420","390","34680","31900"
"In post","2022","Yorkshire and The Humber","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
