"Status","Year","Organisation","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Prison and Probation Service","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Human Resources","Heterosexual / straight","130","130","48150","48410"
"In post","2022","HM Prison and Probation Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Internal Audit","Heterosexual / straight","50","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Prison and Probation Service","No function","Heterosexual / straight","42080","39790","30440","28200"
"In post","2022","HM Prison and Probation Service","No function","LGBO","3140","3060","29910","27700"
"In post","2022","HM Prison and Probation Service","No function","Undeclared","4100","3820","31850","31650"
"In post","2022","HM Prison and Probation Service","No function","Unknown","11350","10460","28510","27120"
"In post","2022","HM Prison and Probation Service","Security","Heterosexual / straight","530","530","37770","35630"
"In post","2022","HM Prison and Probation Service","Security","LGBO","40","40","[c]","[c]"
"In post","2022","HM Prison and Probation Service","Security","Undeclared","80","80","43270","41020"
"In post","2022","HM Prison and Probation Service","Security","Unknown","130","130","40930","38160"
"In post","2022","HM Revenue and Customs (excl. agencies)","Analysis","Heterosexual / straight","520","500","47110","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Analysis","LGBO","70","60","44710","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","Analysis","Undeclared","60","50","46100","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Analysis","Unknown","100","90","40780","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","Commercial","Heterosexual / straight","90","80","37490","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Commercial","Unknown","40","40","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Communications","Heterosexual / straight","2620","2520","31070","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","Communications","LGBO","220","210","30790","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","Communications","Undeclared","200","190","30710","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","Communications","Unknown","1590","1540","29220","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","Counter Fraud","Heterosexual / straight","5880","5550","35790","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Counter Fraud","LGBO","340","320","35270","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","Counter Fraud","Undeclared","870","800","37340","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Counter Fraud","Unknown","2600","2460","32830","31020"
"In post","2022","HM Revenue and Customs (excl. agencies)","Debt","Heterosexual / straight","2280","2070","24880","21680"
"In post","2022","HM Revenue and Customs (excl. agencies)","Debt","LGBO","190","180","24020","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","Debt","Undeclared","280","240","24890","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","Debt","Unknown","1550","1410","23520","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Heterosexual / straight","1780","1720","42360","40180"
"In post","2022","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","LGBO","110","110","38670","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Undeclared","240","230","40780","35980"
"In post","2022","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Unknown","850","820","41100","37610"
"In post","2022","HM Revenue and Customs (excl. agencies)","Finance","Heterosexual / straight","1570","1430","36350","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Finance","LGBO","70","70","34400","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","Finance","Undeclared","240","210","32110","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","Finance","Unknown","820","730","31140","25330"
"In post","2022","HM Revenue and Customs (excl. agencies)","Human Resources","Heterosexual / straight","1100","1030","38440","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Human Resources","LGBO","90","80","37500","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","Human Resources","Undeclared","100","90","34660","32050"
"In post","2022","HM Revenue and Customs (excl. agencies)","Human Resources","Unknown","390","360","32880","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","Internal Audit","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Legal","Heterosexual / straight","790","750","43090","37930"
"In post","2022","HM Revenue and Customs (excl. agencies)","Legal","LGBO","60","60","51810","52080"
"In post","2022","HM Revenue and Customs (excl. agencies)","Legal","Undeclared","90","90","43830","33440"
"In post","2022","HM Revenue and Customs (excl. agencies)","Legal","Unknown","420","390","40380","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","No function","Heterosexual / straight","19260","17710","32010","28570"
"In post","2022","HM Revenue and Customs (excl. agencies)","No function","LGBO","1320","1270","31020","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","No function","Undeclared","2130","1920","33060","28920"
"In post","2022","HM Revenue and Customs (excl. agencies)","No function","Unknown","11110","10050","27720","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","Project Delivery","Heterosexual / straight","3270","3120","46600","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Project Delivery","LGBO","210","200","48670","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Project Delivery","Undeclared","350","330","44970","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Project Delivery","Unknown","1160","1100","44270","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Property","Heterosexual / straight","140","140","43930","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Property","Unknown","90","90","38400","37770"
"In post","2022","HM Revenue and Customs (excl. agencies)","Security","Heterosexual / straight","110","100","44020","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Security","Undeclared","30","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Security","Unknown","50","50","42010","40350"
"In post","2022","HM Revenue and Customs (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Communications","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Finance","Heterosexual / straight","80","80","50590","54950"
"In post","2022","HM Treasury (excl. agencies)","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Human Resources","Heterosexual / straight","80","80","42240","40430"
"In post","2022","HM Treasury (excl. agencies)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","No function","Heterosexual / straight","1370","1340","48320","52500"
"In post","2022","HM Treasury (excl. agencies)","No function","LGBO","160","160","46110","41870"
"In post","2022","HM Treasury (excl. agencies)","No function","Undeclared","200","200","44950","41500"
"In post","2022","HM Treasury (excl. agencies)","No function","Unknown","50","50","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Heterosexual / straight","27010","25200","32580","28650"
"In post","2022","Home Office","Unknown","LGBO","1190","1150","33810","28670"
"In post","2022","Home Office","Unknown","Undeclared","3910","3590","33220","28850"
"In post","2022","Home Office","Unknown","Unknown","4430","4290","32340","27370"
"In post","2022","Institute for Apprenticeships and Technical Education","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","No function","Heterosexual / straight","110","100","50260","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","No function","Unknown","50","50","45350","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Analysis","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Intellectual Property Office","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Digital, Data & Technology","Heterosexual / straight","120","120","47600","47940"
"In post","2022","Intellectual Property Office","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Digital, Data & Technology","Unknown","70","70","42270","39910"
"In post","2022","Intellectual Property Office","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Human Resources","Heterosexual / straight","50","40","38650","32100"
"In post","2022","Intellectual Property Office","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Legal","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Intellectual Property Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","No function","Heterosexual / straight","690","640","36360","30640"
"In post","2022","Intellectual Property Office","No function","LGBO","50","50","34380","30410"
"In post","2022","Intellectual Property Office","No function","Undeclared","50","50","38640","37600"
"In post","2022","Intellectual Property Office","No function","Unknown","370","350","36100","28750"
"In post","2022","Intellectual Property Office","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","No function","Heterosexual / straight","910","850","30420","25120"
"In post","2022","Legal Aid Agency","No function","LGBO","50","50","[c]","[c]"
"In post","2022","Legal Aid Agency","No function","Undeclared","120","110","30110","25120"
"In post","2022","Legal Aid Agency","No function","Unknown","80","70","25610","20970"
"In post","2022","Maritime and Coastguard Agency","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Digital, Data & Technology","Heterosexual / straight","80","80","37910","33540"
"In post","2022","Maritime and Coastguard Agency","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Human Resources","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","No function","Heterosexual / straight","720","700","38210","35040"
"In post","2022","Maritime and Coastguard Agency","No function","LGBO","30","30","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","No function","Undeclared","130","130","38250","36040"
"In post","2022","Maritime and Coastguard Agency","No function","Unknown","90","90","31640","26840"
"In post","2022","Maritime and Coastguard Agency","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Analysis","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","Heterosexual / straight","80","80","43770","40850"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","No function","Heterosexual / straight","470","460","49060","41950"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","No function","Undeclared","100","100","54200","53360"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","No function","Unknown","240","230","52420","45570"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Commercial","Heterosexual / straight","170","160","44620","45150"
"In post","2022","Met Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Communications","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Met Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Digital, Data & Technology","Heterosexual / straight","1000","950","38510","38200"
"In post","2022","Met Office","Digital, Data & Technology","LGBO","90","80","33710","36160"
"In post","2022","Met Office","Digital, Data & Technology","Undeclared","270","250","39070","39650"
