"Status","Year","Function_of_post","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","Surrey, East and West Sussex","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Surrey, East and West Sussex","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Surrey, East and West Sussex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Tees Valley and Durham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Tees Valley and Durham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Tees Valley and Durham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Tees Valley and Durham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Central Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Central Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Central Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Central Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Central Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Midlands","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Midlands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Midlands","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Midlands","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Midlands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Wales and The Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Wales and The Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Wales and The Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Wales and The Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Wales and The Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Yorkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","West Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Bedfordshire and Hertfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Bedfordshire and Hertfordshire","30-39","50","50","38060","36020"
"In post","2021","Legal","Bedfordshire and Hertfordshire","40-49","60","50","45030","43290"
"In post","2021","Legal","Bedfordshire and Hertfordshire","50-59","50","40","[c]","[c]"
"In post","2021","Legal","Bedfordshire and Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Bedfordshire and Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","20-29","30","30","[c]","[c]"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","30-39","40","40","[c]","[c]"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","40-49","50","40","[c]","[c]"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","50-59","60","50","46330","45100"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","60-64","30","20","[c]","[c]"
"In post","2021","Legal","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Derbyshire and Nottinghamshire","20-29","60","60","26200","23470"
"In post","2021","Legal","Derbyshire and Nottinghamshire","30-39","80","70","36700","31810"
"In post","2021","Legal","Derbyshire and Nottinghamshire","40-49","100","90","40160","37240"
"In post","2021","Legal","Derbyshire and Nottinghamshire","50-59","150","130","38940","31810"
"In post","2021","Legal","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Derbyshire and Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Devon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Devon","40-49","40","40","[c]","[c]"
"In post","2021","Legal","Devon","50-59","40","40","[c]","[c]"
"In post","2021","Legal","Devon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Devon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Dorset and Somerset","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Anglia","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Anglia","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Anglia","40-49","40","40","[c]","[c]"
"In post","2021","Legal","East Anglia","50-59","60","60","41760","43160"
"In post","2021","Legal","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Wales","20-29","40","40","[c]","[c]"
"In post","2021","Legal","East Wales","30-39","80","80","38960","38000"
"In post","2021","Legal","East Wales","40-49","110","100","42840","48080"
"In post","2021","Legal","East Wales","50-59","140","130","42820","41870"
"In post","2021","Legal","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","50-59","40","30","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","East Yorkshire and Northern Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Eastern Scotland","20-29","180","170","26840","22820"
"In post","2021","Legal","Eastern Scotland","30-39","310","290","35440","29350"
"In post","2021","Legal","Eastern Scotland","40-49","280","260","38750","30540"
"In post","2021","Legal","Eastern Scotland","50-59","320","300","33290","29350"
"In post","2021","Legal","Eastern Scotland","60-64","100","80","28640","22820"
"In post","2021","Legal","Eastern Scotland","65+","40","30","[c]","[c]"
"In post","2021","Legal","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Essex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Essex","30-39","40","30","[c]","[c]"
"In post","2021","Legal","Essex","40-49","70","60","41020","35640"
"In post","2021","Legal","Essex","50-59","70","60","45310","38630"
"In post","2021","Legal","Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Essex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","50","50","29710","25920"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","70","70","42110","39310"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","100","90","47580","49580"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","120","110","45790","45320"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Greater Manchester","20-29","50","50","31260","26060"
"In post","2021","Legal","Greater Manchester","30-39","140","130","39560","38000"
"In post","2021","Legal","Greater Manchester","40-49","200","180","42950","40850"
"In post","2021","Legal","Greater Manchester","50-59","200","180","42030","38630"
"In post","2021","Legal","Greater Manchester","60-64","40","30","[c]","[c]"
"In post","2021","Legal","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Hampshire and Isle of Wight","20-29","40","40","[c]","[c]"
"In post","2021","Legal","Hampshire and Isle of Wight","30-39","50","50","[c]","[c]"
"In post","2021","Legal","Hampshire and Isle of Wight","40-49","90","90","48090","50520"
"In post","2021","Legal","Hampshire and Isle of Wight","50-59","100","90","45050","45100"
"In post","2021","Legal","Hampshire and Isle of Wight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Hampshire and Isle of Wight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Herefordshire, Worcestershire and Warwickshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Herefordshire, Worcestershire and Warwickshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Herefordshire, Worcestershire and Warwickshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Herefordshire, Worcestershire and Warwickshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Herefordshire, Worcestershire and Warwickshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","50-59","40","30","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Highlands and Islands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Inner London - East","20-29","80","80","37850","34780"
"In post","2021","Legal","Inner London - East","30-39","180","170","57370","59160"
"In post","2021","Legal","Inner London - East","40-49","110","110","67500","64760"
"In post","2021","Legal","Inner London - East","50-59","90","80","60880","58590"
"In post","2021","Legal","Inner London - East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Inner London - East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Inner London - West","20-29","630","620","33890","29570"
"In post","2021","Legal","Inner London - West","30-39","1290","1230","51600","51770"
"In post","2021","Legal","Inner London - West","40-49","1280","1160","57160","60710"
"In post","2021","Legal","Inner London - West","50-59","1110","1050","57740","62120"
"In post","2021","Legal","Inner London - West","60-64","230","210","54040","58970"
"In post","2021","Legal","Inner London - West","65+","90","70","51200","61000"
"In post","2021","Legal","Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Kent","40-49","50","50","41210","40210"
"In post","2021","Legal","Kent","50-59","50","50","42490","40290"
"In post","2021","Legal","Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Kent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lancashire","30-39","30","30","[c]","[c]"
"In post","2021","Legal","Lancashire","40-49","120","110","37850","33730"
"In post","2021","Legal","Lancashire","50-59","120","110","38900","31810"
"In post","2021","Legal","Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","30-39","40","40","[c]","[c]"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","40-49","60","50","42570","48080"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","50-59","60","60","40160","40650"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Leicestershire, Rutland and Northamptonshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Merseyside","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Merseyside","20-29","70","70","26060","23470"
"In post","2021","Legal","Merseyside","30-39","80","70","40070","38760"
"In post","2021","Legal","Merseyside","40-49","100","90","41540","37840"
"In post","2021","Legal","Merseyside","50-59","140","130","42630","43460"
"In post","2021","Legal","Merseyside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Merseyside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","30-39","30","30","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Yorkshire","40-49","50","50","51250","54770"
"In post","2021","Legal","North Yorkshire","50-59","120","110","56370","55610"
"In post","2021","Legal","North Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","North Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northumberland and Tyne and Wear","20-29","30","30","[c]","[c]"
"In post","2021","Legal","Northumberland and Tyne and Wear","30-39","80","70","34240","31810"
"In post","2021","Legal","Northumberland and Tyne and Wear","40-49","80","70","39970","40590"
"In post","2021","Legal","Northumberland and Tyne and Wear","50-59","100","100","39970","35860"
"In post","2021","Legal","Northumberland and Tyne and Wear","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Northumberland and Tyne and Wear","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - East and North East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - South","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - South","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - South","40-49","40","30","[c]","[c]"
"In post","2021","Legal","Outer London - South","50-59","80","70","48940","48830"
"In post","2021","Legal","Outer London - South","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - South","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outer London - West and North West","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Shropshire and Staffordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Shropshire and Staffordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Shropshire and Staffordshire","40-49","40","30","[c]","[c]"
"In post","2021","Legal","Shropshire and Staffordshire","50-59","30","30","[c]","[c]"
"In post","2021","Legal","Shropshire and Staffordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","South Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","South Yorkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","South Yorkshire","40-49","50","50","36210","34480"
"In post","2021","Legal","South Yorkshire","50-59","60","50","39660","33310"
"In post","2021","Legal","South Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","South Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Southern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Southern Scotland","30-39","60","60","36950","29350"
"In post","2021","Legal","Southern Scotland","40-49","60","60","37290","29350"
"In post","2021","Legal","Southern Scotland","50-59","90","80","33820","27950"
"In post","2021","Legal","Southern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Southern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Surrey, East and West Sussex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Surrey, East and West Sussex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Surrey, East and West Sussex","30-39","40","30","[c]","[c]"
"In post","2021","Legal","Surrey, East and West Sussex","40-49","50","50","43310","40790"
"In post","2021","Legal","Surrey, East and West Sussex","50-59","70","60","47160","46530"
"In post","2021","Legal","Surrey, East and West Sussex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Surrey, East and West Sussex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tees Valley and Durham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tees Valley and Durham","30-39","30","30","[c]","[c]"
"In post","2021","Legal","Tees Valley and Durham","40-49","60","50","37210","36500"
"In post","2021","Legal","Tees Valley and Durham","50-59","70","60","44450","46210"
"In post","2021","Legal","Tees Valley and Durham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tees Valley and Durham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Central Scotland","20-29","70","70","30900","31810"
"In post","2021","Legal","West Central Scotland","30-39","170","160","37710","33550"
"In post","2021","Legal","West Central Scotland","40-49","160","140","45110","38630"
"In post","2021","Legal","West Central Scotland","50-59","170","150","39220","29350"
"In post","2021","Legal","West Central Scotland","60-64","70","50","34910","29350"
"In post","2021","Legal","West Central Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Midlands","20-29","70","70","25110","23470"
"In post","2021","Legal","West Midlands","30-39","140","130","36780","31810"
"In post","2021","Legal","West Midlands","40-49","200","180","44440","48080"
"In post","2021","Legal","West Midlands","50-59","220","200","43010","39730"
"In post","2021","Legal","West Midlands","60-64","50","40","[c]","[c]"
"In post","2021","Legal","West Midlands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","40-49","30","30","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","50-59","60","60","44250","43080"
"In post","2021","Legal","West Wales and The Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Wales and The Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Yorkshire","20-29","90","90","28140","25480"
"In post","2021","Legal","West Yorkshire","30-39","110","100","40360","38760"
"In post","2021","Legal","West Yorkshire","40-49","150","140","43040","43460"
"In post","2021","Legal","West Yorkshire","50-59","180","160","43470","42210"
"In post","2021","Legal","West Yorkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","West Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","No function","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Bedfordshire and Hertfordshire","20-29","360","350","27080","27850"
"In post","2021","No function","Bedfordshire and Hertfordshire","30-39","370","350","29730","30210"
"In post","2021","No function","Bedfordshire and Hertfordshire","40-49","320","300","31660","30400"
"In post","2021","No function","Bedfordshire and Hertfordshire","50-59","420","400","32260","28200"
"In post","2021","No function","Bedfordshire and Hertfordshire","60-64","120","110","27400","26610"
"In post","2021","No function","Bedfordshire and Hertfordshire","65+","40","30","[c]","[c]"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","20-29","770","760","27420","27850"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","30-39","770","730","31010","30810"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","40-49","770","730","34050","32040"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","50-59","1050","1000","33630","31810"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","60-64","270","230","32400","27550"
"In post","2021","No function","Berkshire, Buckinghamshire and Oxfordshire","65+","110","80","29480","25560"
"In post","2021","No function","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cheshire","20-29","450","440","27200","26300"
"In post","2021","No function","Cheshire","30-39","580","560","32070","31580"
"In post","2021","No function","Cheshire","40-49","540","520","34210","32990"
"In post","2021","No function","Cheshire","50-59","670","640","34510","31920"
"In post","2021","No function","Cheshire","60-64","150","120","31160","30800"
"In post","2021","No function","Cheshire","65+","30","20","[c]","[c]"
"In post","2021","No function","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cornwall and Isles of Scilly","30-39","40","30","[c]","[c]"
"In post","2021","No function","Cornwall and Isles of Scilly","40-49","60","60","31560","29180"
"In post","2021","No function","Cornwall and Isles of Scilly","50-59","110","100","29110","26750"
"In post","2021","No function","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cumbria","20-29","70","60","24190","22920"
"In post","2021","No function","Cumbria","30-39","120","100","26710","24800"
"In post","2021","No function","Cumbria","40-49","150","140","28520","25580"
"In post","2021","No function","Cumbria","50-59","210","190","28420","25200"
"In post","2021","No function","Cumbria","60-64","60","50","28710","26720"
"In post","2021","No function","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","No function","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Derbyshire and Nottinghamshire","20-29","1090","1070","25390","24440"
"In post","2021","No function","Derbyshire and Nottinghamshire","30-39","1380","1300","29180","27150"
"In post","2021","No function","Derbyshire and Nottinghamshire","40-49","1420","1320","32550","30350"
"In post","2021","No function","Derbyshire and Nottinghamshire","50-59","1930","1810","33500","30950"
"In post","2021","No function","Derbyshire and Nottinghamshire","60-64","460","370","30130","27130"
"In post","2021","No function","Derbyshire and Nottinghamshire","65+","120","80","31580","26950"
"In post","2021","No function","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Devon","20-29","380","370","24960","23840"
"In post","2021","No function","Devon","30-39","510","480","28500","26410"
"In post","2021","No function","Devon","40-49","510","480","31820","27380"
"In post","2021","No function","Devon","50-59","740","690","31520","27700"
"In post","2021","No function","Devon","60-64","210","160","29900","27200"
"In post","2021","No function","Devon","65+","70","40","27740","26780"
"In post","2021","No function","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","Dorset and Somerset","20-29","340","340","24540","23970"
"In post","2021","No function","Dorset and Somerset","30-39","460","440","28820","27150"
"In post","2021","No function","Dorset and Somerset","40-49","470","440","30820","28960"
"In post","2021","No function","Dorset and Somerset","50-59","690","640","29900","27520"
"In post","2021","No function","Dorset and Somerset","60-64","200","160","28240","27380"
"In post","2021","No function","Dorset and Somerset","65+","70","50","26970","26780"
"In post","2021","No function","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","No function","East Anglia","20-29","850","840","25710","25400"
"In post","2021","No function","East Anglia","30-39","1150","1080","29520","28400"
"In post","2021","No function","East Anglia","40-49","1250","1180","32490","30880"
"In post","2021","No function","East Anglia","50-59","1610","1530","32580","30400"
"In post","2021","No function","East Anglia","60-64","480","400","29120","26700"
"In post","2021","No function","East Anglia","65+","160","110","29380","26320"
"In post","2021","No function","East Wales","16-19","40","40","[c]","[c]"
"In post","2021","No function","East Wales","20-29","1600","1570","24750","23050"
"In post","2021","No function","East Wales","30-39","1980","1870","28730","25560"
"In post","2021","No function","East Wales","40-49","1690","1580","32630","27710"
