"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Home Office","Other","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","Inner London - West","170","160","42030","41570"
"New entrant CS","2021","Home Office","Policy","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Policy","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Inner London - West","30","30","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Merseyside","[c]","[c]","[c]","[c]"
