"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Prison Service","No function","2040","1920","32790","33650"
"In post","2021","EO","Scottish Prison Service","Property","30","30","[c]","[c]"
"In post","2021","EO","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Public Pensions Agency","Unknown","80","70","28210","29190"
"In post","2021","EO","Serious Fraud Office","Counter Fraud","30","30","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Security Scotland","Unknown","280","270","26940","26160"
"In post","2021","EO","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Student Awards Agency for Scotland","Unknown","60","50","28570","27150"
"In post","2021","EO","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","No function","50","50","[c]","[c]"
"In post","2021","EO","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Transport Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","EO","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Hydrographic Office","No function","190","180","27570","26740"
"In post","2021","EO","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","No function","400","380","25640","23320"
"In post","2021","EO","UK Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Intellectual Property Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Analysis","190","170","24160","23050"
"In post","2021","EO","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Digital, Data & Technology","90","80","23740","23050"
"In post","2021","EO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Human Resources","30","30","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","No function","420","390","23910","23050"
"In post","2021","EO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Valuation Office Agency","Property","910","830","26880","26000"
"In post","2021","EO","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Vehicle Certification Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Vehicle Certification Agency","No function","40","30","[c]","[c]"
"In post","2021","EO","Veterinary Medicines Directorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government (excl. agencies)","Unknown","1010","950","28710","28850"
"In post","2021","EO","Welsh Revenue Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Animal and Plant Health Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Animal and Plant Health Agency","No function","200","190","55240","54350"
"In post","2021","G6/G7","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Commercial","800","780","63320","56920"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Communications","120","120","59330","56610"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Counter Fraud","40","40","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Digital, Data & Technology","600","590","58330","56340"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Human Resources","270","260","57550","56520"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","No function","950","930","58240","54700"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Project Delivery","70","70","60190","58940"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Property","50","50","56400","54700"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Security","90","80","58620","54700"
"In post","2021","G6/G7","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Analysis","90","80","51850","48080"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Analysis","80","70","65500","61590"
"In post","2021","G6/G7","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Legal","110","110","67860","72430"
"In post","2021","G6/G7","Competition and Markets Authority","Project Delivery","180","170","66220","62890"
"In post","2021","G6/G7","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Criminal Injuries Compensation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Commercial","40","40","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","No function","70","70","54700","55000"
"In post","2021","G6/G7","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","Legal","160","150","67480","68470"
"In post","2021","G6/G7","Crown Office and Procurator Fiscal Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Human Resources","40","40","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Legal","2740","2530","57580","55610"
"In post","2021","G6/G7","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Equipment and Support","Commercial","80","80","58170","55420"
"In post","2021","G6/G7","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Equipment and Support","Finance","80","70","58780","56320"
"In post","2021","G6/G7","Defence Equipment and Support","Human Resources","50","40","[c]","[c]"
"In post","2021","G6/G7","Defence Equipment and Support","Project Delivery","1360","1330","56570","55080"
"In post","2021","G6/G7","Defence Equipment and Support","Property","50","50","58300","55830"
"In post","2021","G6/G7","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Analysis","200","190","49100","46130"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","No function","1190","1140","51050","46720"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Project Delivery","470","460","52280","47140"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","80","70","61930","57850"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","60","60","62770","62210"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","50","50","57390","53870"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","1990","1940","58430","55730"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","70","60","57610","56380"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Analysis","60","60","63180","60130"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Finance","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","No function","530","520","57320","53000"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Project Delivery","100","100","57710","54120"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Analysis","130","120","55510","53760"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Commercial","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Communications","50","40","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Digital, Data & Technology","110","110","55430","53420"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Finance","140","130","55420","53420"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Legal","50","50","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","No function","960","910","56440","54160"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Project Delivery","280","280","58870","58020"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Property","170","170","59210","61350"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Education (excl. agencies)","Unknown","170","160","56950","54400"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","80","80","53490","53200"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","320","310","52470","49350"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","140","140","55280","53540"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","110","100","53920","52290"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","990","950","55310","53870"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","90","80","54960","53460"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","90","90","54250","53200"
"In post","2021","G6/G7","Department for International Trade","Analysis","110","100","54090","51970"
"In post","2021","G6/G7","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Communications","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Digital, Data & Technology","50","50","56620","55080"
"In post","2021","G6/G7","Department for International Trade","Finance","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Human Resources","50","50","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","No function","750","740","55390","52450"
"In post","2021","G6/G7","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Analysis","170","160","58010","54760"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Finance","70","70","58410","54870"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Human Resources","40","30","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","No function","740","730","60960","55930"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Project Delivery","200","190","59580","57600"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Work and Pensions (excl. agencies)","Unknown","2760","2650","56700","54070"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Analysis","220","210","57280","53360"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Commercial","50","50","54960","53360"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Communications","60","60","58310","55070"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Finance","100","90","56780","53360"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Human Resources","30","30","[c]","[c]"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","No function","790","770","57860","53560"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
