"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Advisory, Conciliation and Arbitration Service","150","150","24530","24250"
"In post","2021","Unknown","EO","Animal and Plant Health Agency","70","60","26040","25390"
"In post","2021","Unknown","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Cabinet Office (excl. agencies)","180","180","27330","27500"
"In post","2021","Unknown","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Crown Prosecution Service","150","140","28150","28430"
"In post","2021","Unknown","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Defence Equipment and Support","230","220","21400","20230"
"In post","2021","Unknown","EO","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","27800","27680"
"In post","2021","Unknown","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Department for Education (excl. agencies)","130","120","26910","26000"
"In post","2021","Unknown","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","27060","27240"
"In post","2021","Unknown","EO","Department for International Trade","90","90","27280","26510"
"In post","2021","Unknown","EO","Department for Transport (excl. agencies)","100","100","28340","30270"
"In post","2021","Unknown","EO","Department for Work and Pensions (excl. agencies)","3190","3000","28240","27570"
"In post","2021","Unknown","EO","Department of Health and Social Care (excl. agencies)","250","240","26580","27270"
"In post","2021","Unknown","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Driver and Vehicle Licensing Agency","50","50","26640","26470"
"In post","2021","Unknown","EO","Driver and Vehicle Standards Agency","480","460","27430","26700"
"In post","2021","Unknown","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Food Standards Scotland","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Foreign, Commonwealth and Development Office (excl. agencies)","90","90","27720","26120"
"In post","2021","Unknown","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Government Legal Department","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Health and Safety Executive","50","50","28620","28600"
"In post","2021","Unknown","EO","HM Courts and Tribunals Service","180","170","23850","23130"
"In post","2021","Unknown","EO","HM Land Registry","200","180","27850","27130"
"In post","2021","Unknown","EO","HM Prison and Probation Service","470","460","30390","30810"
"In post","2021","Unknown","EO","HM Revenue and Customs (excl. agencies)","3560","3390","26060","25560"
"In post","2021","Unknown","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Home Office (incl. agencies)","640","630","26680","24890"
"In post","2021","Unknown","EO","Insolvency Service","70","70","25930","26290"
"In post","2021","Unknown","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Ministry of Defence (excl. agencies)","460","450","28680","26670"
"In post","2021","Unknown","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Ministry of Justice (excl. agencies)","130","130","25970","26410"
"In post","2021","Unknown","EO","National Crime Agency","300","290","34690","35060"
"In post","2021","Unknown","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Office of the Public Guardian","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Registers of Scotland","50","50","[c]","[c]"
"In post","2021","Unknown","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Rural Payments Agency","190","180","25080","25100"
"In post","2021","Unknown","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Scottish Courts and Tribunals Service","460","420","28640","29350"
"In post","2021","Unknown","EO","Scottish Government (excl. agencies)","200","190","27560","26650"
"In post","2021","Unknown","EO","Scottish Prison Service","1110","1040","32530","33650"
"In post","2021","Unknown","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Social Security Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","UK Hydrographic Office","60","50","27490","26740"
"In post","2021","Unknown","EO","UK Intellectual Property Office","190","180","24770","23320"
"In post","2021","Unknown","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","United Kingdom Statistics Authority","170","160","23660","23050"
"In post","2021","Unknown","EO","Valuation Office Agency","300","280","26620","25930"
"In post","2021","Unknown","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Cabinet Office (excl. agencies)","980","960","61500","56340"
"In post","2021","Unknown","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Crown Prosecution Service","280","260","57950","55610"
"In post","2021","Unknown","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Defence Equipment and Support","60","50","57220","54970"
"In post","2021","Unknown","G6/G7","Defence Science and Technology Laboratory","70","60","50770","46720"
"In post","2021","Unknown","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","210","210","57920","55220"
"In post","2021","Unknown","G6/G7","Department for Digital, Culture, Media and Sport","80","80","58980","58600"
"In post","2021","Unknown","G6/G7","Department for Education (excl. agencies)","240","240","57130","54400"
"In post","2021","Unknown","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","300","290","55080","53870"
"In post","2021","Unknown","G6/G7","Department for International Trade","290","290","55600","53160"
"In post","2021","Unknown","G6/G7","Department for Transport (excl. agencies)","200","190","59140","54760"
"In post","2021","Unknown","G6/G7","Department for Work and Pensions (excl. agencies)","220","220","58800","57220"
"In post","2021","Unknown","G6/G7","Department of Health and Social Care (excl. agencies)","680","660","57100","53360"
"In post","2021","Unknown","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Education and Skills Funding Agency","50","50","[c]","[c]"
"In post","2021","Unknown","G6/G7","Education Scotland","50","50","66360","69160"
"In post","2021","Unknown","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","570","560","56540","55060"
"In post","2021","Unknown","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Government Legal Department","220","200","64100","65630"
"In post","2021","Unknown","G6/G7","Health and Safety Executive","50","50","61330","59390"
"In post","2021","Unknown","G6/G7","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","HM Land Registry","50","50","61360","60520"
"In post","2021","Unknown","G6/G7","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Unknown","G6/G7","HM Revenue and Customs (excl. agencies)","980","950","57560","58650"
"In post","2021","Unknown","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Home Office (incl. agencies)","190","190","59580","57430"
"In post","2021","Unknown","G6/G7","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Met Office","60","50","52990","48570"
"In post","2021","Unknown","G6/G7","Ministry of Defence (excl. agencies)","240","220","65970","62570"
"In post","2021","Unknown","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","56460","53130"
"In post","2021","Unknown","G6/G7","Ministry of Justice (excl. agencies)","260","250","59480","58130"
"In post","2021","Unknown","G6/G7","National Crime Agency","60","50","61630","60990"
"In post","2021","Unknown","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Planning Inspectorate","40","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Public Health England","60","50","62060","54800"
"In post","2021","Unknown","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Courts and Tribunals Service","50","50","57730","55420"
"In post","2021","Unknown","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Government (excl. agencies)","300","290","60120","61010"
"In post","2021","Unknown","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Prison Service","50","50","[c]","[c]"
"In post","2021","Unknown","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Serious Fraud Office","50","50","59920","57890"
"In post","2021","Unknown","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","UK Intellectual Property Office","70","60","59810","59720"
"In post","2021","Unknown","G6/G7","United Kingdom Statistics Authority","130","130","52690","50090"
"In post","2021","Unknown","G6/G7","Valuation Office Agency","60","60","58170","55930"
"In post","2021","Unknown","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Cabinet Office (excl. agencies)","490","480","88880","73700"
"In post","2021","Unknown","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Department of Health and Social Care (excl. agencies)","120","110","93210","80000"
"In post","2021","Unknown","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Unknown","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Government Legal Department","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","HM Revenue and Customs (excl. agencies)","60","60","94100","83230"
"In post","2021","Unknown","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Advisory, Conciliation and Arbitration Service","120","110","34280","30950"
"In post","2021","Unknown","SEO/HEO","Animal and Plant Health Agency","80","70","35960","36590"
"In post","2021","Unknown","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Cabinet Office (excl. agencies)","2210","2200","31460","29250"
"In post","2021","Unknown","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Charity Commission","40","40","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Crown Commercial Service","70","70","30780","28340"
"In post","2021","Unknown","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Crown Prosecution Service","80","70","35530","34750"
"In post","2021","Unknown","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Defence Equipment and Support","320","310","35130","34600"
"In post","2021","Unknown","SEO/HEO","Defence Science and Technology Laboratory","150","150","32990","28660"
"In post","2021","Unknown","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","300","290","37730","37820"
"In post","2021","Unknown","SEO/HEO","Department for Digital, Culture, Media and Sport","80","80","36760","34020"
"In post","2021","Unknown","SEO/HEO","Department for Education (excl. agencies)","280","270","35770","36500"
"In post","2021","Unknown","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","410","390","35360","35900"
"In post","2021","Unknown","SEO/HEO","Department for International Trade","360","350","35310","34340"
"In post","2021","Unknown","SEO/HEO","Department for Transport (excl. agencies)","320","320","37930","35430"
"In post","2021","Unknown","SEO/HEO","Department for Work and Pensions (excl. agencies)","500","480","35630","35310"
"In post","2021","Unknown","SEO/HEO","Department of Health and Social Care (excl. agencies)","770","760","34740","32790"
"In post","2021","Unknown","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Driver and Vehicle Licensing Agency","70","70","38480","39280"
"In post","2021","Unknown","SEO/HEO","Driver and Vehicle Standards Agency","100","100","35600","33190"
"In post","2021","Unknown","SEO/HEO","Education and Skills Funding Agency","100","100","35240","36300"
"In post","2021","Unknown","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Food Standards Scotland","50","50","35640","32880"
"In post","2021","Unknown","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","410","400","37370","38600"
"In post","2021","Unknown","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Health and Safety Executive","150","140","46490","44820"
"In post","2021","Unknown","SEO/HEO","HM Courts and Tribunals Service","270","270","32660","30850"
"In post","2021","Unknown","SEO/HEO","HM Land Registry","150","140","38200","38450"
"In post","2021","Unknown","SEO/HEO","HM Prison and Probation Service","350","310","37480","36410"
"In post","2021","Unknown","SEO/HEO","HM Revenue and Customs (excl. agencies)","3450","3340","34300","31810"
"In post","2021","Unknown","SEO/HEO","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Home Office (incl. agencies)","360","350","37920","36950"
"In post","2021","Unknown","SEO/HEO","Insolvency Service","230","220","37060","36060"
"In post","2021","Unknown","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Met Office","170","160","38330","39650"
"In post","2021","Unknown","SEO/HEO","Ministry of Defence (excl. agencies)","830","810","39740","40000"
"In post","2021","Unknown","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","36110","34440"
"In post","2021","Unknown","SEO/HEO","Ministry of Justice (excl. agencies)","410","400","36410","36800"
"In post","2021","Unknown","SEO/HEO","National Crime Agency","290","290","44830","43710"
"In post","2021","Unknown","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Public Health England","60","50","37060","37140"
"In post","2021","Unknown","SEO/HEO","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Rural Payments Agency","100","100","32840","31600"
"In post","2021","Unknown","SEO/HEO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Scottish Courts and Tribunals Service","290","270","37810","35230"
"In post","2021","Unknown","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Scottish Government (excl. agencies)","540","520","37490","35180"
