"Status","Year","Ethnicity","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Declared disabled","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Hackney and Newham","100","90","29590","30330"
"In post","2021","Black","Declared disabled","Haringey and Islington","50","50","[c]","[c]"
"In post","2021","Black","Declared disabled","Harrow and Hillingdon","40","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Lambeth","50","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Lewisham and Southwark","60","60","30740","31060"
"In post","2021","Black","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Manchester","30","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Redbridge and Waltham Forest","30","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Tower Hamlets","60","60","37410","33790"
"In post","2021","Black","Declared disabled","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Wandsworth","40","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Westminster","410","400","36880","34020"
"In post","2021","Black","Declared disabled","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","York","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Barking & Dagenham and Havering","80","80","30920","31060"
"In post","2021","Black","Declared non-disabled","Barnet","160","150","32890","31060"
"In post","2021","Black","Declared non-disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","220","210","33870","33000"
"In post","2021","Black","Declared non-disabled","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Berkshire","70","60","31800","29290"
"In post","2021","Black","Declared non-disabled","Bexley and Greenwich","210","210","30750","31060"
"In post","2021","Black","Declared non-disabled","Birmingham","570","530","27840","25560"
"In post","2021","Black","Declared non-disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Brent","110","100","29410","31060"
"In post","2021","Black","Declared non-disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Bristol, City of","100","90","29940","27850"
"In post","2021","Black","Declared non-disabled","Bromley","80","80","29500","31060"
"In post","2021","Black","Declared non-disabled","Buckinghamshire CC","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Cambridgeshire CC","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Camden and City of London","360","350","30170","28670"
"In post","2021","Black","Declared non-disabled","Cardiff and Vale of Glamorgan","80","80","27910","25560"
"In post","2021","Black","Declared non-disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Central Hampshire","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Coventry","60","60","32840","30090"
"In post","2021","Black","Declared non-disabled","Croydon","1120","1070","33360","29570"
"In post","2021","Black","Declared non-disabled","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Dudley","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Ealing","70","70","31020","31060"
"In post","2021","Black","Declared non-disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Kent","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","East Surrey","80","70","32340","33590"
"In post","2021","Black","Declared non-disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Enfield","80","70","29880","31060"
"In post","2021","Black","Declared non-disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Essex Thames Gateway","60","50","26710","24180"
"In post","2021","Black","Declared non-disabled","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Glasgow City","70","70","28120","27570"
"In post","2021","Black","Declared non-disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Greater Manchester South West","140","130","27900","25560"
"In post","2021","Black","Declared non-disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Hackney and Newham","430","410","30270","31060"
"In post","2021","Black","Declared non-disabled","Haringey and Islington","280","270","30420","31060"
"In post","2021","Black","Declared non-disabled","Harrow and Hillingdon","210","190","30470","29950"
"In post","2021","Black","Declared non-disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Hertfordshire","120","110","32640","29290"
"In post","2021","Black","Declared non-disabled","Hounslow and Richmond upon Thames","140","130","31180","31060"
"In post","2021","Black","Declared non-disabled","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","160","150","30990","31060"
"In post","2021","Black","Declared non-disabled","Kent Thames Gateway","60","50","30210","29290"
"In post","2021","Black","Declared non-disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Lambeth","420","410","35240","31880"
"In post","2021","Black","Declared non-disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Leeds","190","180","28500","27570"
"In post","2021","Black","Declared non-disabled","Leicester","60","60","26790","22850"
"In post","2021","Black","Declared non-disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Lewisham and Southwark","330","320","30820","31060"
"In post","2021","Black","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Liverpool","60","50","25920","24890"
"In post","2021","Black","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Luton","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Manchester","210","200","29850","27570"
"In post","2021","Black","Declared non-disabled","Medway","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Merton, Kingston upon Thames and Sutton","70","70","30400","31060"
"In post","2021","Black","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Milton Keynes","80","70","29640","27570"
"In post","2021","Black","Declared non-disabled","Monmouthshire and Newport","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Nottingham","180","160","26990","25560"
"In post","2021","Black","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Overseas","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Oxfordshire","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Redbridge and Waltham Forest","140","130","30500","31060"
"In post","2021","Black","Declared non-disabled","Sandwell","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Sheffield","110","100","26840","24890"
"In post","2021","Black","Declared non-disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Solihull","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Staffordshire CC","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Tower Hamlets","420","410","38300","34550"
"In post","2021","Black","Declared non-disabled","Tyneside","90","80","27460","24710"
"In post","2021","Black","Declared non-disabled","Unknown","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Wandsworth","150","140","31160","31060"
"In post","2021","Black","Declared non-disabled","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Essex","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Northamptonshire","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Surrey","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Sussex (North East)","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Westminster","2660","2610","38900","34740"
"In post","2021","Black","Declared non-disabled","Wiltshire","60","60","34250","33000"
"In post","2021","Black","Declared non-disabled","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Wolverhampton","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","York","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Birmingham","30","30","[c]","[c]"
"In post","2021","Black","Undeclared","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Croydon","60","50","32610","30110"
"In post","2021","Black","Undeclared","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Derby","[c]","[c]","[c]","[c]"
