"Status","Year","Organisation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Valuation Office Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Property","EO","60","60","25190","24500"
"New entrant CS","2021","Valuation Office Agency","Property","SEO/HEO","60","60","34230","30000"
"New entrant CS","2021","Valuation Office Agency","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Policy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
