"Status","Year","Organisation","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Health and Safety Executive","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","LGBO","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","AA/AO","40","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","EO","70","60","28200","28990"
"In post","2021","Health and Safety Executive","Undeclared","G6/G7","90","80","62710","59150"
"In post","2021","Health and Safety Executive","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","SEO/HEO","220","210","45290","45070"
"In post","2021","Health and Safety Executive","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","EO","40","30","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","SEO/HEO","120","110","45980","41480"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","AA/AO","7290","6330","19950","19930"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","EO","2000","1870","24020","23670"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","G6/G7","510","490","55780","54810"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","SCS","60","60","84480","76750"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","SEO/HEO","1940","1830","33770","31780"
"In post","2021","HM Courts and Tribunals Service","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","LGBO","AA/AO","330","320","19620","19700"
"In post","2021","HM Courts and Tribunals Service","LGBO","EO","90","90","23640","23040"
"In post","2021","HM Courts and Tribunals Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","LGBO","SEO/HEO","90","90","33400","31350"
"In post","2021","HM Courts and Tribunals Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","AA/AO","1200","1050","20130","20100"
"In post","2021","HM Courts and Tribunals Service","Undeclared","EO","340","320","24460","24070"
"In post","2021","HM Courts and Tribunals Service","Undeclared","G6/G7","90","90","55160","53290"
"In post","2021","HM Courts and Tribunals Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","SEO/HEO","340","320","37120","36800"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","AA/AO","1650","1520","20080","19930"
"In post","2021","HM Courts and Tribunals Service","Unknown","EO","220","210","24030","23990"
"In post","2021","HM Courts and Tribunals Service","Unknown","G6/G7","50","50","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","SEO/HEO","350","340","34540","31410"
"In post","2021","HM Courts and Tribunals Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","AA/AO","850","790","22450","22350"
"In post","2021","HM Land Registry","Heterosexual / straight","EO","1220","1070","27490","27130"
"In post","2021","HM Land Registry","Heterosexual / straight","G6/G7","190","180","62350","60520"
"In post","2021","HM Land Registry","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Heterosexual / straight","SEO/HEO","1280","1150","37560","37290"
"In post","2021","HM Land Registry","LGBO","AA/AO","60","60","22350","22350"
"In post","2021","HM Land Registry","LGBO","EO","30","30","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","SEO/HEO","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","AA/AO","60","60","22860","22350"
"In post","2021","HM Land Registry","Undeclared","EO","320","270","27430","27130"
"In post","2021","HM Land Registry","Undeclared","G6/G7","40","30","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","SEO/HEO","280","250","37260","33840"
"In post","2021","HM Land Registry","Unknown","AA/AO","880","840","22460","22350"
"In post","2021","HM Land Registry","Unknown","EO","590","510","27580","27130"
"In post","2021","HM Land Registry","Unknown","G6/G7","70","70","62020","60520"
"In post","2021","HM Land Registry","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","SEO/HEO","420","380","37090","33840"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","AA/AO","18180","17300","26110","25400"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","EO","4290","4120","30790","31420"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","G6/G7","610","590","73150","70290"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","SCS","70","70","99210","1e+05"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","SEO/HEO","4750","4560","40990","38160"
"In post","2021","HM Prison and Probation Service","Heterosexual / straight","Unknown","9600","8890","30110","30210"
"In post","2021","HM Prison and Probation Service","LGBO","AA/AO","1370","1350","26360","25790"
"In post","2021","HM Prison and Probation Service","LGBO","EO","280","280","31240","31890"
"In post","2021","HM Prison and Probation Service","LGBO","G6/G7","30","30","[c]","[c]"
"In post","2021","HM Prison and Probation Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","LGBO","SEO/HEO","320","320","40440","38160"
"In post","2021","HM Prison and Probation Service","LGBO","Unknown","580","560","29240","27730"
"In post","2021","HM Prison and Probation Service","Undeclared","AA/AO","1890","1760","27000","26630"
"In post","2021","HM Prison and Probation Service","Undeclared","EO","580","560","31690","32240"
"In post","2021","HM Prison and Probation Service","Undeclared","G6/G7","60","60","75870","71900"
"In post","2021","HM Prison and Probation Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Undeclared","SEO/HEO","630","590","41500","38160"
"In post","2021","HM Prison and Probation Service","Undeclared","Unknown","910","840","31870","32090"
"In post","2021","HM Prison and Probation Service","Unknown","AA/AO","6970","6460","26770","25840"
"In post","2021","HM Prison and Probation Service","Unknown","EO","1090","1020","31660","33520"
"In post","2021","HM Prison and Probation Service","Unknown","G6/G7","80","70","70970","69130"
"In post","2021","HM Prison and Probation Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","SEO/HEO","760","710","41100","38160"
"In post","2021","HM Prison and Probation Service","Unknown","Unknown","990","890","26910","24020"
"In post","2021","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","AA/AO","9140","7880","20770","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","EO","8050","7400","26430","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","G6/G7","4870","4690","56910","52580"
"In post","2021","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","SCS","340","340","84380","78610"
"In post","2021","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","SEO/HEO","12210","11600","34780","32030"
"In post","2021","HM Revenue and Customs (excl. agencies)","LGBO","AA/AO","590","550","20590","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","LGBO","EO","500","480","26220","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","LGBO","G6/G7","280","270","57500","53450"
"In post","2021","HM Revenue and Customs (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","LGBO","SEO/HEO","720","700","34270","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","AA/AO","1240","1050","21120","21400"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","EO","1030","920","27030","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","G6/G7","650","620","58370","55850"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","SCS","30","30","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","SEO/HEO","1620","1520","35240","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","AA/AO","9790","8490","20680","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","EO","5100","4760","26280","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","G6/G7","1500","1440","57680","56690"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","SCS","90","80","89440","78810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","SEO/HEO","5170","4960","34510","31810"
"In post","2021","HM Treasury (excl. agencies)","Heterosexual / straight","AA/AO","50","40","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Heterosexual / straight","EO","150","140","26660","26750"
"In post","2021","HM Treasury (excl. agencies)","Heterosexual / straight","G6/G7","650","630","58510","56030"
"In post","2021","HM Treasury (excl. agencies)","Heterosexual / straight","SCS","130","120","83390","77000"
"In post","2021","HM Treasury (excl. agencies)","Heterosexual / straight","SEO/HEO","550","550","34510","32320"
"In post","2021","HM Treasury (excl. agencies)","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","LGBO","G6/G7","80","70","56520","53630"
"In post","2021","HM Treasury (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","LGBO","SEO/HEO","50","50","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","G6/G7","110","100","58630","57000"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","SEO/HEO","120","110","33850","32320"
"In post","2021","HM Treasury (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","AA/AO","6760","5960","21980","21430"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","EO","11420","10470","26910","25900"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","G6/G7","2600","2540","60900","57680"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","SCS","240","240","91940","83880"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","SEO/HEO","6980","6740","36530","35200"
"In post","2021","Home Office (incl. agencies)","Heterosexual / straight","Unknown","190","190","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","LGBO","AA/AO","250","230","21550","21430"
"In post","2021","Home Office (incl. agencies)","LGBO","EO","450","430","26410","25310"
"In post","2021","Home Office (incl. agencies)","LGBO","G6/G7","140","140","60280","57680"
"In post","2021","Home Office (incl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","LGBO","SEO/HEO","310","310","36320","35200"
"In post","2021","Home Office (incl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Undeclared","AA/AO","800","690","22380","21430"
"In post","2021","Home Office (incl. agencies)","Undeclared","EO","1820","1640","27480","27370"
"In post","2021","Home Office (incl. agencies)","Undeclared","G6/G7","430","420","60980","57740"
"In post","2021","Home Office (incl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Undeclared","SEO/HEO","1120","1080","37010","36440"
"In post","2021","Home Office (incl. agencies)","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Unknown","AA/AO","520","500","21830","21430"
"In post","2021","Home Office (incl. agencies)","Unknown","EO","670","650","26670","24890"
"In post","2021","Home Office (incl. agencies)","Unknown","G6/G7","200","200","59780","57430"
"In post","2021","Home Office (incl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Unknown","SEO/HEO","370","370","37750","36590"
"In post","2021","Home Office (incl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Heterosexual / straight","AA/AO","260","250","21320","20880"
"In post","2021","Insolvency Service","Heterosexual / straight","EO","100","90","26120","26290"
"In post","2021","Insolvency Service","Heterosexual / straight","G6/G7","90","90","59920","57640"
"In post","2021","Insolvency Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Heterosexual / straight","SEO/HEO","450","430","38360","39170"
"In post","2021","Insolvency Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","AA/AO","350","340","21120","20880"
"In post","2021","Insolvency Service","Unknown","EO","100","90","26100","26290"
"In post","2021","Insolvency Service","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","SEO/HEO","300","290","37540","37940"
"In post","2021","Institute for Apprenticeships and Technical Education","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Heterosexual / straight","G6/G7","80","80","56330","54030"
"In post","2021","Institute for Apprenticeships and Technical Education","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Heterosexual / straight","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Heterosexual / straight","AA/AO","320","290","19760","19930"
"In post","2021","Legal Aid Agency","Heterosexual / straight","EO","270","250","23890","22570"
"In post","2021","Legal Aid Agency","Heterosexual / straight","G6/G7","80","80","58000","54450"
"In post","2021","Legal Aid Agency","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Heterosexual / straight","SEO/HEO","260","250","35030","34990"
"In post","2021","Legal Aid Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Undeclared","AA/AO","60","50","19960","19930"
"In post","2021","Legal Aid Agency","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","Legal Aid Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Unknown","AA/AO","60","60","19420","18890"
"In post","2021","Legal Aid Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Heterosexual / straight","AA/AO","180","170","24100","24590"
"In post","2021","Maritime and Coastguard Agency","Heterosexual / straight","EO","180","180","28800","26780"
"In post","2021","Maritime and Coastguard Agency","Heterosexual / straight","G6/G7","120","120","60440","57710"
"In post","2021","Maritime and Coastguard Agency","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Heterosexual / straight","SEO/HEO","410","390","40330","38750"
"In post","2021","Maritime and Coastguard Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Undeclared","SEO/HEO","70","70","41310","39040"
"In post","2021","Maritime and Coastguard Agency","Unknown","AA/AO","60","60","24550","26590"
"In post","2021","Maritime and Coastguard Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Unknown","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","AA/AO","30","30","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","EO","140","140","27610","27400"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","G6/G7","250","240","58610","53860"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","SCS","70","70","87300","84310"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","SEO/HEO","300","300","37660","40450"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","G6/G7","50","50","60290","59170"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","SEO/HEO","50","50","39530","40930"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","EO","50","50","28330","27840"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","G6/G7","120","110","60400","55220"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","SCS","50","40","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","SEO/HEO","130","130","38640","40450"
"In post","2021","Met Office","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Unknown","AA/AO","100","100","23440","21430"
"In post","2021","Met Office","Unknown","EO","190","180","26190","25780"
"In post","2021","Met Office","Unknown","G6/G7","560","530","52270","48540"
"In post","2021","Met Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Unknown","SEO/HEO","1240","1180","37690","38300"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","AA/AO","11820","11350","22530","20920"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","EO","5640","5480","28460","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","G6/G7","1960","1880","62730","59730"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","SCS","230","220","88280","79690"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","SEO/HEO","8620","8390","38250","37640"
"In post","2021","Ministry of Defence (excl. agencies)","Heterosexual / straight","Unknown","350","340","39230","36610"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","AA/AO","360","350","23160","20920"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","EO","180","180","28890","26670"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","G6/G7","60","60","62320","59410"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","SEO/HEO","280","280","38200","37640"
"In post","2021","Ministry of Defence (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","AA/AO","1660","1590","23910","21130"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","EO","840","810","29500","26930"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","G6/G7","340","320","62880","59730"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","SCS","40","40","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","SEO/HEO","1510","1460","38560","37640"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","Unknown","60","50","45990","41620"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","AA/AO","1770","1710","24170","21130"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","EO","590","570","28610","26930"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","G6/G7","280","250","65170","59730"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","SEO/HEO","1010","980","39660","40000"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","Unknown","60","60","36780","35680"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","AA/AO","50","40","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","EO","200","200","28500","27850"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","G6/G7","770","750","56860","53560"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","SCS","110","110","84850","76700"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","SEO/HEO","830","810","36130","35780"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","G6/G7","90","90","56910","53650"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","SEO/HEO","90","80","35930","33960"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","G6/G7","80","80","56760","53640"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","SEO/HEO","90","80","37770","38130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","G6/G7","60","50","56690","53130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","SEO/HEO","50","50","[c]","[c]"
