"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","Welsh Government","EO","460","450","28840","29430"
"In post","2022","Male","Welsh Government","G6/G7","520","500","63180","61440"
"In post","2022","Male","Welsh Government","SCS","110","100","89610","81760"
"In post","2022","Male","Welsh Government","SEO/HEO","1010","990","41640","38160"
"In post","2022","Unknown","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Attorney General's Departments","AA/AO","60","60","22250","21950"
"Leaver CS","2021","Female","Attorney General's Departments","EO","30","30","[c]","[c]"
"Leaver CS","2021","Female","Attorney General's Departments","G6/G7","120","100","58940","55610"
"Leaver CS","2021","Female","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Cabinet Office","AA/AO","50","50","20720","20370"
"Leaver CS","2021","Female","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Cabinet Office","G6/G7","50","40","[c]","[c]"
"Leaver CS","2021","Female","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Cabinet Office","SEO/HEO","50","50","34170","33630"
"Leaver CS","2021","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","AA/AO","50","50","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","EO","50","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","60","50","35860","34500"
"Leaver CS","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Education","EO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Education","G6/G7","60","50","58410","54400"
"Leaver CS","2021","Female","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Education","SEO/HEO","80","70","36790","36780"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","AA/AO","100","90","21780","21050"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","EO","70","70","23730","24920"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","90","80","35910","35900"
"Leaver CS","2021","Female","Department for International Trade","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Female","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Transport","AA/AO","190","140","20850","21590"
"Leaver CS","2021","Female","Department for Transport","EO","60","50","27170","26700"
"Leaver CS","2021","Female","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Transport","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Department for Work and Pensions","AA/AO","1310","1040","21150","21010"
"Leaver CS","2021","Female","Department for Work and Pensions","EO","1200","970","28040","27570"
"Leaver CS","2021","Female","Department for Work and Pensions","G6/G7","70","70","56970","56050"
"Leaver CS","2021","Female","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department for Work and Pensions","SEO/HEO","240","210","35660","34290"
"Leaver CS","2021","Female","Department of Health and Social Care","AA/AO","140","120","20710","20150"
"Leaver CS","2021","Female","Department of Health and Social Care","EO","100","70","25790","25260"
"Leaver CS","2021","Female","Department of Health and Social Care","G6/G7","120","80","55650","52680"
"Leaver CS","2021","Female","Department of Health and Social Care","SCS","30","[c]","[c]","[c]"
"Leaver CS","2021","Female","Department of Health and Social Care","SEO/HEO","220","170","36270","36180"
"Leaver CS","2021","Female","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Land Registry","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Female","HM Land Registry","EO","60","40","27320","27130"
"Leaver CS","2021","Female","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Land Registry","SEO/HEO","50","40","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","AA/AO","1690","1280","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","EO","780","620","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","G6/G7","150","140","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","SEO/HEO","590","510","[c]","[c]"
"Leaver CS","2021","Female","HM Revenue and Customs","Unknown","230","220","[c]","[c]"
"Leaver CS","2021","Female","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Home Office","AA/AO","270","200","21490","21430"
"Leaver CS","2021","Female","Home Office","EO","230","200","26900","27240"
"Leaver CS","2021","Female","Home Office","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Female","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Home Office","SEO/HEO","120","110","36860","36450"
"Leaver CS","2021","Female","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Defence","AA/AO","460","410","21180","20920"
"Leaver CS","2021","Female","Ministry of Defence","EO","230","210","25800","26670"
"Leaver CS","2021","Female","Ministry of Defence","G6/G7","70","60","62210","58240"
"Leaver CS","2021","Female","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Defence","SEO/HEO","340","310","35870","35480"
"Leaver CS","2021","Female","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Justice","AA/AO","1850","1640","19740","19830"
"Leaver CS","2021","Female","Ministry of Justice","EO","270","250","24420","24440"
"Leaver CS","2021","Female","Ministry of Justice","G6/G7","50","50","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Ministry of Justice","SEO/HEO","300","260","36150","34820"
"Leaver CS","2021","Female","Ministry of Justice","Unknown","490","420","[c]","[c]"
"Leaver CS","2021","Female","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office for Standards in Education","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Government","AA/AO","190","160","22260","22220"
"Leaver CS","2021","Female","Scottish Government","EO","80","70","28970","29120"
"Leaver CS","2021","Female","Scottish Government","G6/G7","60","50","65200","64060"
"Leaver CS","2021","Female","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Scottish Government","SEO/HEO","110","90","39040","37940"
"Leaver CS","2021","Female","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","The National Archives","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","AA/AO","70","50","19330","19130"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","United Kingdom Statistics Authority","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Female","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Attorney General's Departments","G6/G7","100","90","59340","55610"
"Leaver CS","2021","Male","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Cabinet Office","G6/G7","70","60","61520","58250"
"Leaver CS","2021","Male","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Cabinet Office","SEO/HEO","60","60","34290","33680"
"Leaver CS","2021","Male","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","EO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","G6/G7","70","60","58850","56870"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","110","36580","37830"
"Leaver CS","2021","Male","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Education","G6/G7","50","50","56050","54160"
"Leaver CS","2021","Male","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Education","SEO/HEO","70","60","37130","37030"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","AA/AO","70","70","21630","21050"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","EO","50","50","24730","25260"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","G6/G7","50","50","56990","57450"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Environment, Food and Rural Affairs","SEO/HEO","70","70","36470","36520"
"Leaver CS","2021","Male","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Transport","AA/AO","140","130","21620","21590"
"Leaver CS","2021","Male","Department for Transport","EO","120","100","27750","26780"
"Leaver CS","2021","Male","Department for Transport","G6/G7","50","50","[c]","[c]"
"Leaver CS","2021","Male","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Transport","SEO/HEO","100","90","38410","35490"
"Leaver CS","2021","Male","Department for Work and Pensions","AA/AO","770","720","21300","21010"
"Leaver CS","2021","Male","Department for Work and Pensions","EO","680","610","28110","27570"
"Leaver CS","2021","Male","Department for Work and Pensions","G6/G7","70","60","60450","58140"
"Leaver CS","2021","Male","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department for Work and Pensions","SEO/HEO","160","150","38740","35380"
"Leaver CS","2021","Male","Department of Health and Social Care","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Male","Department of Health and Social Care","EO","40","[c]","[c]","[c]"
"Leaver CS","2021","Male","Department of Health and Social Care","G6/G7","80","50","58860","55130"
"Leaver CS","2021","Male","Department of Health and Social Care","SCS","40","30","[c]","[c]"
"Leaver CS","2021","Male","Department of Health and Social Care","SEO/HEO","110","90","35440","35540"
"Leaver CS","2021","Male","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","G6/G7","60","40","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","SEO/HEO","50","30","[c]","[c]"
"Leaver CS","2021","Male","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Land Registry","AA/AO","40","40","[c]","[c]"
"Leaver CS","2021","Male","HM Land Registry","EO","30","30","[c]","[c]"
"Leaver CS","2021","Male","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Land Registry","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Male","HM Revenue and Customs","AA/AO","820","740","[c]","[c]"
"Leaver CS","2021","Male","HM Revenue and Customs","EO","510","440","25730","25500"
"Leaver CS","2021","Male","HM Revenue and Customs","G6/G7","200","180","[c]","[c]"
"Leaver CS","2021","Male","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Revenue and Customs","SEO/HEO","590","520","[c]","[c]"
"Leaver CS","2021","Male","HM Revenue and Customs","Unknown","110","110","[c]","[c]"
"Leaver CS","2021","Male","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Home Office","AA/AO","180","150","21430","21430"
"Leaver CS","2021","Male","Home Office","EO","260","240","26980","27240"
"Leaver CS","2021","Male","Home Office","G6/G7","60","60","[c]","[c]"
"Leaver CS","2021","Male","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Home Office","SEO/HEO","150","140","37670","36700"
"Leaver CS","2021","Male","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Defence","AA/AO","610","590","23320","20520"
"Leaver CS","2021","Male","Ministry of Defence","EO","470","460","27240","26940"
"Leaver CS","2021","Male","Ministry of Defence","G6/G7","140","130","61520","58240"
"Leaver CS","2021","Male","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Defence","SEO/HEO","650","610","37260","36730"
"Leaver CS","2021","Male","Ministry of Defence","Unknown","200","200","36780","33790"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Male","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
