"Status","Year","Parent_department","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared disabled","Unknown","660","530","26430","26890"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Operational Delivery","80","70","44810","44800"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Declared non-disabled","Unknown","2910","2420","26260","25110"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","Unknown","130","110","26650","25180"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Unknown","700","670","27220","27570"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Knowledge and Information Management","50","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Operational Delivery","190","180","38740","32650"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Science and Engineering","190","180","32210","29070"
"Leaver CS","2021","Department of Health and Social Care","Declared non-disabled","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Operational Delivery","50","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Science and Engineering","70","60","39580","35610"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Unknown","210","60","44710","40010"
"Leaver CS","2021","ESTYN","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Operational Delivery","110","80","29660","27130"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Unknown","Operational Delivery","60","50","23280","22350"
"Leaver CS","2021","HM Land Registry","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared disabled","Unknown","620","500","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Property","110","90","31940","26500"
"Leaver CS","2021","HM Revenue and Customs","Declared non-disabled","Unknown","2700","2240","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Undeclared","Unknown","340","290","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Property","60","40","28000","25500"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Unknown","1780","1530","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Policy","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Operational Delivery","60","50","26560","24890"
"Leaver CS","2021","Home Office","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared disabled","Unknown","60","50","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Operational Delivery","410","330","26420","24890"
"Leaver CS","2021","Home Office","Declared non-disabled","Other","40","40","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Policy","40","30","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Declared non-disabled","Unknown","400","350","30850","25120"
"Leaver CS","2021","Home Office","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
