"Status","Year","Region_ITL3","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","City of Edinburgh","Male","Student Awards Agency for Scotland","110","110","31230","27150"
"In post","2021","City of Edinburgh","Male","Transport Scotland","60","60","46560","46600"
"In post","2021","City of Edinburgh","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Crown Office and Procurator Fiscal Service","60","60","32270","29040"
"In post","2021","Clackmannanshire and Fife","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Department for Work and Pensions (excl. agencies)","290","240","25720","27570"
"In post","2021","Clackmannanshire and Fife","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Ministry of Defence (excl. agencies)","120","110","29880","26670"
"In post","2021","Clackmannanshire and Fife","Female","Scottish Courts and Tribunals Service","50","40","24280","22820"
"In post","2021","Clackmannanshire and Fife","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Scottish Prison Service","140","130","29440","28410"
"In post","2021","Clackmannanshire and Fife","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Defence Equipment and Support","60","60","35580","35950"
"In post","2021","Clackmannanshire and Fife","Male","Department for Work and Pensions (excl. agencies)","110","100","26880","27570"
"In post","2021","Clackmannanshire and Fife","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Ministry of Defence (excl. agencies)","190","180","33300","33300"
"In post","2021","Clackmannanshire and Fife","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Scottish Prison Service","260","240","31810","33650"
"In post","2021","Clackmannanshire and Fife","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","Department for Work and Pensions (excl. agencies)","90","80","27490","27570"
"In post","2021","Conwy and Denbighshire","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","HM Prison and Probation Service","60","50","29350","25560"
"In post","2021","Conwy and Denbighshire","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Female","Welsh Government (excl. agencies)","270","250","38680","37410"
"In post","2021","Conwy and Denbighshire","Male","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Male","Welsh Government (excl. agencies)","150","140","41840","37410"
"In post","2021","Cornwall and Isles of Scilly","Female","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Department for Work and Pensions (excl. agencies)","570","490","25360","27570"
"In post","2021","Cornwall and Isles of Scilly","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","HM Courts and Tribunals Service","50","40","21980","20100"
"In post","2021","Cornwall and Isles of Scilly","Female","HM Prison and Probation Service","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Ministry of Defence (excl. agencies)","160","150","26310","21130"
"In post","2021","Cornwall and Isles of Scilly","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Department for Work and Pensions (excl. agencies)","260","240","25760","27570"
"In post","2021","Cornwall and Isles of Scilly","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Ministry of Defence (excl. agencies)","300","290","24550","21950"
"In post","2021","Cornwall and Isles of Scilly","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","Department for Education (excl. agencies)","260","250","38490","36500"
"In post","2021","Coventry","Female","Department for Work and Pensions (excl. agencies)","280","240","25920","27570"
"In post","2021","Coventry","Female","Education and Skills Funding Agency","330","320","41580","37100"
"In post","2021","Coventry","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Coventry","Female","HM Land Registry","170","150","29860","27130"
"In post","2021","Coventry","Female","HM Prison and Probation Service","50","50","[c]","[c]"
"In post","2021","Coventry","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","Institute for Apprenticeships and Technical Education","60","60","42300","37110"
"In post","2021","Coventry","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Female","Office of Qualifications and Examinations Regulation","150","150","43160","39250"
"In post","2021","Coventry","Female","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2021","Coventry","Female","Teaching Regulation Agency","40","40","[c]","[c]"
"In post","2021","Coventry","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","Department for Education (excl. agencies)","220","220","41520","36960"
"In post","2021","Coventry","Male","Department for Work and Pensions (excl. agencies)","150","140","25800","27570"
"In post","2021","Coventry","Male","Education and Skills Funding Agency","250","240","42560","37100"
"In post","2021","Coventry","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","HM Land Registry","100","90","32670","27130"
"In post","2021","Coventry","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","Institute for Apprenticeships and Technical Education","30","30","[c]","[c]"
"In post","2021","Coventry","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","Office of Qualifications and Examinations Regulation","110","100","48970","46660"
"In post","2021","Coventry","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Coventry","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Croydon","Female","Department for Work and Pensions (excl. agencies)","170","160","30530","31060"
"In post","2021","Croydon","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","HM Courts and Tribunals Service","130","120","26560","22450"
"In post","2021","Croydon","Female","HM Land Registry","200","190","39500","37290"
"In post","2021","Croydon","Female","HM Prison and Probation Service","480","460","36550","31180"
"In post","2021","Croydon","Female","HM Revenue and Customs (excl. agencies)","1050","970","37640","36160"
"In post","2021","Croydon","Female","Home Office (incl. agencies)","3020","2770","36940","34170"
"In post","2021","Croydon","Female","Insolvency Service","40","30","[c]","[c]"
"In post","2021","Croydon","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Female","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Croydon","Female","Valuation Office Agency","100","90","36170","33750"
"In post","2021","Croydon","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Department for Work and Pensions (excl. agencies)","70","70","29950","31060"
"In post","2021","Croydon","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","HM Courts and Tribunals Service","60","60","23610","21300"
"In post","2021","Croydon","Male","HM Land Registry","170","170","43690","37290"
"In post","2021","Croydon","Male","HM Prison and Probation Service","250","250","41260","33900"
"In post","2021","Croydon","Male","HM Revenue and Customs (excl. agencies)","1180","1140","40610","36160"
"In post","2021","Croydon","Male","Home Office (incl. agencies)","2300","2270","40560","35200"
"In post","2021","Croydon","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Croydon","Male","Valuation Office Agency","100","100","38080","35100"
"In post","2021","Darlington","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Department for Education (excl. agencies)","340","320","36770","36500"
"In post","2021","Darlington","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Darlington","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Education and Skills Funding Agency","100","90","37110","36500"
"In post","2021","Darlington","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Darlington","Female","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Darlington","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Department for Education (excl. agencies)","200","200","40660","37100"
"In post","2021","Darlington","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Education and Skills Funding Agency","70","70","38470","36780"
"In post","2021","Darlington","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Department for Work and Pensions (excl. agencies)","420","350","24330","21010"
"In post","2021","Derby","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","HM Courts and Tribunals Service","100","90","21710","19830"
"In post","2021","Derby","Female","HM Prison and Probation Service","100","90","29310","28200"
"In post","2021","Derby","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Department for Work and Pensions (excl. agencies)","210","200","24220","21010"
"In post","2021","Derby","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Derby","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Animal and Plant Health Agency","130","120","26050","21050"
"In post","2021","Devon CC","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Crown Prosecution Service","50","50","38720","36240"
"In post","2021","Devon CC","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","70","60","35200","35900"
"In post","2021","Devon CC","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Department for Work and Pensions (excl. agencies)","970","780","24800","25190"
"In post","2021","Devon CC","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","HM Courts and Tribunals Service","70","60","24070","20260"
"In post","2021","Devon CC","Female","HM Prison and Probation Service","370","330","28090","24840"
"In post","2021","Devon CC","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Met Office","650","600","38190","38300"
"In post","2021","Devon CC","Female","Ministry of Defence (excl. agencies)","160","140","24690","21130"
"In post","2021","Devon CC","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Female","Public Health England","30","30","[c]","[c]"
"In post","2021","Devon CC","Female","Rural Payments Agency","110","90","27050","25610"
"In post","2021","Devon CC","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Animal and Plant Health Agency","70","70","29510","24920"
"In post","2021","Devon CC","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Crown Prosecution Service","50","50","[c]","[c]"
"In post","2021","Devon CC","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Devon CC","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Department for Work and Pensions (excl. agencies)","430","400","25970","27570"
"In post","2021","Devon CC","Male","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Devon CC","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","HM Prison and Probation Service","670","630","29120","27150"
"In post","2021","Devon CC","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Met Office","1070","1040","41730","40100"
"In post","2021","Devon CC","Male","Ministry of Defence (excl. agencies)","250","250","23710","20520"
"In post","2021","Devon CC","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Male","Rural Payments Agency","110","100","28500","25890"
"In post","2021","Devon CC","Male","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Dorset CC","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Centre for Environment, Fisheries and Aquaculture Science","70","60","31190","29270"
"In post","2021","Dorset CC","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Department for Work and Pensions (excl. agencies)","60","50","26550","27570"
"In post","2021","Dorset CC","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","HM Land Registry","200","170","29040","27130"
"In post","2021","Dorset CC","Female","HM Prison and Probation Service","360","330","27170","25790"
"In post","2021","Dorset CC","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","Ministry of Defence (excl. agencies)","200","190","26650","26350"
"In post","2021","Dorset CC","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Centre for Environment, Fisheries and Aquaculture Science","70","70","34900","29750"
"In post","2021","Dorset CC","Male","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Dorset CC","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Dorset CC","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","HM Land Registry","90","80","29500","27130"
"In post","2021","Dorset CC","Male","HM Prison and Probation Service","570","550","29540","28220"
"In post","2021","Dorset CC","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","Ministry of Defence (excl. agencies)","360","360","31430","32670"
"In post","2021","Dorset CC","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Female","Department for Work and Pensions (excl. agencies)","700","570","24670","26120"
"In post","2021","Dudley","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Female","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Dudley","Female","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Dudley","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","Department for Work and Pensions (excl. agencies)","280","260","25460","27570"
"In post","2021","Dudley","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","Female","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2021","Dumfries and Galloway","Female","Department for Work and Pensions (excl. agencies)","60","50","26410","27570"
"In post","2021","Dumfries and Galloway","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
