"Status","Year","Region_ITL2","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Greater Manchester","Legal","Unknown","230","220","36750","33370"
"In post","2022","Greater Manchester","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Delivery","Declared disabled","1490","1350","27270","26820"
"In post","2022","Greater Manchester","Operational Delivery","Declared non-disabled","7740","7180","27730","26820"
"In post","2022","Greater Manchester","Operational Delivery","Undeclared","740","680","27970","27380"
"In post","2022","Greater Manchester","Operational Delivery","Unknown","1770","1660","26450","24880"
"In post","2022","Greater Manchester","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Other","Declared disabled","120","110","24630","21260"
"In post","2022","Greater Manchester","Other","Declared non-disabled","610","560","27510","27370"
"In post","2022","Greater Manchester","Other","Undeclared","40","40","[c]","[c]"
"In post","2022","Greater Manchester","Other","Unknown","50","50","32230","27570"
"In post","2022","Greater Manchester","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Policy","Declared disabled","90","90","39650","36500"
"In post","2022","Greater Manchester","Policy","Declared non-disabled","590","570","43500","38240"
"In post","2022","Greater Manchester","Policy","Undeclared","50","50","41960","36780"
"In post","2022","Greater Manchester","Policy","Unknown","250","240","36300","32870"
"In post","2022","Greater Manchester","Project Delivery","Declared disabled","30","30","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Declared non-disabled","290","270","44180","40520"
"In post","2022","Greater Manchester","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Project Delivery","Unknown","70","70","39600","40180"
"In post","2022","Greater Manchester","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Declared non-disabled","180","170","41470","36500"
"In post","2022","Greater Manchester","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Property","Unknown","60","60","34660","29360"
"In post","2022","Greater Manchester","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Psychology","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Greater Manchester","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Declared non-disabled","90","80","33820","28590"
"In post","2022","Greater Manchester","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Science and Engineering","Unknown","50","40","[c]","[c]"
"In post","2022","Greater Manchester","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Declared non-disabled","110","110","37430","33370"
"In post","2022","Greater Manchester","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Declared non-disabled","80","80","37480","33370"
"In post","2022","Greater Manchester","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Tax","Declared disabled","130","130","37370","33370"
"In post","2022","Greater Manchester","Tax","Declared non-disabled","1140","1100","35530","33370"
"In post","2022","Greater Manchester","Tax","Undeclared","90","80","40780","38020"
"In post","2022","Greater Manchester","Tax","Unknown","640","610","29980","26820"
"In post","2022","Greater Manchester","Unknown","Declared disabled","80","70","36960","33690"
"In post","2022","Greater Manchester","Unknown","Declared non-disabled","520","510","36820","33080"
"In post","2022","Greater Manchester","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Greater Manchester","Unknown","Unknown","390","380","39050","33080"
"In post","2022","Greater Manchester","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Greater Manchester","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Declared non-disabled","180","180","35520","34800"
"In post","2022","Hampshire and Isle of Wight","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Declared non-disabled","110","110","34580","33300"
"In post","2022","Hampshire and Isle of Wight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Declared non-disabled","90","80","28400","27570"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Declared disabled","60","60","35470","33300"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Declared non-disabled","320","310","37840","33300"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Undeclared","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Digital, Data and Technology","Unknown","140","130","37970","36040"
"In post","2022","Hampshire and Isle of Wight","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Declared disabled","60","60","33870","33300"
"In post","2022","Hampshire and Isle of Wight","Finance","Declared non-disabled","520","510","36550","33300"
"In post","2022","Hampshire and Isle of Wight","Finance","Undeclared","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Finance","Unknown","90","90","39310","33300"
"In post","2022","Hampshire and Isle of Wight","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Geography","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Declared disabled","40","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Declared non-disabled","180","170","34460","31690"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Declared non-disabled","50","50","27320","26410"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Declared non-disabled","100","100","31350","29230"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Declared non-disabled","160","150","49220","53050"
"In post","2022","Hampshire and Isle of Wight","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Legal","Unknown","50","50","47380","53050"
"In post","2022","Hampshire and Isle of Wight","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Medicine","Declared non-disabled","120","110","52620","40760"
"In post","2022","Hampshire and Isle of Wight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Medicine","Unknown","60","50","50590","39630"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Declared disabled","770","660","26880","26310"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Declared non-disabled","3660","3240","28380","26820"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Undeclared","460","400","28710","27570"
"In post","2022","Hampshire and Isle of Wight","Operational Delivery","Unknown","1230","1020","25970","23820"
"In post","2022","Hampshire and Isle of Wight","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Operational Research","Declared non-disabled","410","390","43630","47010"
"In post","2022","Hampshire and Isle of Wight","Other","Declared disabled","170","160","26430","22540"
"In post","2022","Hampshire and Isle of Wight","Other","Declared non-disabled","1120","1080","28240","26350"
"In post","2022","Hampshire and Isle of Wight","Other","Undeclared","150","140","29070","26350"
"In post","2022","Hampshire and Isle of Wight","Other","Unknown","190","190","26000","21830"
"In post","2022","Hampshire and Isle of Wight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Declared non-disabled","250","240","39630","38650"
"In post","2022","Hampshire and Isle of Wight","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Policy","Unknown","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Declared disabled","120","110","34160","33300"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Declared non-disabled","800","760","40170","40000"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Undeclared","50","50","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Project Delivery","Unknown","110","110","41450","37450"
"In post","2022","Hampshire and Isle of Wight","Property","Declared disabled","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","Declared non-disabled","230","220","37640","34000"
"In post","2022","Hampshire and Isle of Wight","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Property","Unknown","50","50","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Declared disabled","70","70","36220","34360"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Declared non-disabled","900","870","40330","38070"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Undeclared","30","30","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Science and Engineering","Unknown","50","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Security","Declared disabled","60","60","28390","26670"
"In post","2022","Hampshire and Isle of Wight","Security","Declared non-disabled","480","470","29110","26350"
"In post","2022","Hampshire and Isle of Wight","Security","Undeclared","50","50","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Security","Unknown","120","120","31100","30210"
"In post","2022","Hampshire and Isle of Wight","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Social Research","Declared non-disabled","120","120","40550","38340"
"In post","2022","Hampshire and Isle of Wight","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Social Research","Unknown","70","70","36090","36840"
"In post","2022","Hampshire and Isle of Wight","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Statistics","Declared non-disabled","110","110","41580","38340"
"In post","2022","Hampshire and Isle of Wight","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Statistics","Unknown","50","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Tax","Declared disabled","40","40","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Tax","Declared non-disabled","210","190","35000","33370"
"In post","2022","Hampshire and Isle of Wight","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Tax","Unknown","80","70","29530","26820"
"In post","2022","Hampshire and Isle of Wight","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Unknown","Declared non-disabled","130","120","54950","49240"
"In post","2022","Hampshire and Isle of Wight","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Unknown","Unknown","70","70","61120","64630"
"In post","2022","Hampshire and Isle of Wight","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Hampshire and Isle of Wight","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Counter Fraud","Declared non-disabled","50","40","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Digital, Data and Technology","Declared non-disabled","100","100","30710","26930"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Finance","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Human Resources","Declared non-disabled","70","70","37140","31740"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Declared disabled","330","300","27860","27570"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Declared non-disabled","1950","1820","27850","26610"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Undeclared","290","270","29490","28860"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Delivery","Unknown","190","180","26470","24260"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Other","Declared disabled","60","50","22980","21260"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Other","Declared non-disabled","380","350","22940","21260"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Other","Undeclared","40","30","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Other","Unknown","40","40","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Policy","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Property","Declared non-disabled","30","30","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Security","Declared non-disabled","90","90","31460","28890"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Security","Unknown","40","30","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Highlands and Islands","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
