"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Finance","UK Export Finance","UK Export Finance","60","60","47310","39960"
"In post","2022","Finance","UK Statistics Authority","UK Statistics Authority","50","50","36440","30210"
"In post","2022","Finance","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Department for Environment, Food and Rural Affairs","Rural Payments Agency","2320","2130","25170","21300"
"In post","2022","Grants Management","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Attorney General's Departments","Crown Prosecution Service","180","170","41440","38180"
"In post","2022","Human Resources","Attorney General's Departments","Government Legal Department","70","60","37680","31410"
"In post","2022","Human Resources","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Cabinet Office","Cabinet Office (excl. agencies)","1150","1100","39530","35590"
"In post","2022","Human Resources","Cabinet Office","Crown Commercial Service","40","30","[c]","[c]"
"In post","2022","Human Resources","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Competition and Markets Authority","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","Companies House","60","50","37260","39820"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","110","47240","45970"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","60","50","36910","31050"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","Met Office","70","70","39240","37420"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","The Insolvency Service","50","40","[c]","[c]"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","80","80","43900","35520"
"In post","2022","Human Resources","Department for Education","Department for Education (excl. agencies)","150","140","35280","29780"
"In post","2022","Human Resources","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","310","300","41530","37410"
"In post","2022","Human Resources","Department for International Trade","Department for International Trade","130","120","44620","40540"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","80","80","42470","35100"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Transport","Department for Transport (excl. agencies)","100","90","44140","38650"
"In post","2022","Human Resources","Department for Transport","Driver and Vehicle Licensing Agency","190","180","31740","30730"
"In post","2022","Human Resources","Department for Transport","Driver and Vehicle Standards Agency","120","120","35660","33350"
"In post","2022","Human Resources","Department for Transport","Maritime and Coastguard Agency","40","30","[c]","[c]"
"In post","2022","Human Resources","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","1510","1410","34220","31060"
"In post","2022","Human Resources","Department for Work and Pensions","Health and Safety Executive","110","100","39730","39330"
"In post","2022","Human Resources","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","160","150","38610","32790"
"In post","2022","Human Resources","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2022","Human Resources","Department of Health and Social Care","UK Health Security Agency","270","260","43110","36820"
"In post","2022","Human Resources","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Food Standards Agency","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office","FCDO Services","40","40","[c]","[c]"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","290","290","47450","42890"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","100","100","39260","33840"
"In post","2022","Human Resources","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","1680","1560","36870","33370"
"In post","2022","Human Resources","HM Revenue and Customs","Valuation Office Agency","90","90","40660","34000"
"In post","2022","Human Resources","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Treasury","HM Treasury (excl. agencies)","100","90","41420","38000"
"In post","2022","Human Resources","HM Treasury","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Ministry of Defence","Defence Equipment and Support","230","210","37380","32700"
"In post","2022","Human Resources","Ministry of Defence","Defence Science and Technology Laboratory","90","80","35030","29230"
"In post","2022","Human Resources","Ministry of Defence","Ministry of Defence (excl. agencies)","1820","1710","31710","26670"
"In post","2022","Human Resources","Ministry of Defence","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Ministry of Justice","HM Courts and Tribunals Service","70","70","42020","36110"
"In post","2022","Human Resources","Ministry of Justice","HM Prison and Probation Service","160","160","47280","46550"
"In post","2022","Human Resources","Ministry of Justice","Ministry of Justice (excl. agencies)","940","910","40050","35940"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","170","160","40590","39800"
"In post","2022","Human Resources","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","60","60","39860","32010"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Scottish Government","Crown Office and Procurator Fiscal Service","50","40","[c]","[c]"
"In post","2022","Human Resources","Scottish Government","Registers of Scotland","40","40","[c]","[c]"
"In post","2022","Human Resources","Scottish Government","Scottish Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2022","Human Resources","Scottish Government","Scottish Prison Service","130","130","35630","35000"
"In post","2022","Human Resources","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","150","130","38660","33520"
"In post","2022","Human Resources","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Internal Audit","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","70","60","47280","43430"
"In post","2022","Internal Audit","HM Treasury","Government Internal Audit Agency","370","350","49180","47060"
"In post","2022","Internal Audit","HM Treasury","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence","Ministry of Defence (excl. agencies)","140","140","39050","36460"
"In post","2022","Internal Audit","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Justice","HM Prison and Probation Service","60","60","48200","48410"
"In post","2022","Internal Audit","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Departments","Attorney General's Office","30","30","[c]","[c]"
"In post","2022","Legal","Attorney General's Departments","Crown Prosecution Service","6320","5870","41550","38000"
"In post","2022","Legal","Attorney General's Departments","Government Legal Department","2470","2290","55090","52040"
"In post","2022","Legal","Attorney General's Departments","HM Crown Prosecution Service Inspectorate","30","30","[c]","[c]"
"In post","2022","Legal","Attorney General's Departments","Serious Fraud Office","60","60","58930","55170"
"In post","2022","Legal","Cabinet Office","Cabinet Office (excl. agencies)","60","60","79770","79760"
"In post","2022","Legal","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","Competition and Markets Authority","170","160","68110","71370"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","50","50","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","The Insolvency Service","60","60","49150","47890"
"In post","2022","Legal","Department for Education","Department for Education (excl. agencies)","70","70","53380","58980"
"In post","2022","Legal","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","60","60","29680","27570"
"In post","2022","Legal","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department of Health and Social Care","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","FCDO Services","60","40","50380","53430"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","62850","67480"
"In post","2022","Legal","HM Land Registry","HM Land Registry","270","250","49180","56750"
"In post","2022","Legal","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","1370","1290","42710","35690"
"In post","2022","Legal","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Treasury","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","National Crime Agency","50","50","55030","60960"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","80","80","63160","64320"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","Crown Office and Procurator Fiscal Service","720","690","54240","53490"
"In post","2022","Legal","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Government","Scottish Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","Legal","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Legal","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","UK Supreme Court","30","30","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","Serious Fraud Office","60","50","44270","38390"
"In post","2022","No function","Cabinet Office","Cabinet Office (excl. agencies)","4010","3980","41050","32000"
"In post","2022","No function","Cabinet Office","Crown Commercial Service","200","200","41550","39350"
"In post","2022","No function","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","No function","Chancellor's other departments","National Savings and Investments","60","60","56890","42660"
"In post","2022","No function","Charity Commission","Charity Commission","310","290","31430","29160"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","810","740","31040","30950"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","Companies House","540","490","27050","22740"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","5130","5020","49110","49490"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","1170","1100","36290","30530"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","The Insolvency Service","1160","1090","28880","25060"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1590","1560","46650","51730"
"In post","2022","No function","Department for Education","Department for Education (excl. agencies)","3310","3160","45060","40510"
"In post","2022","No function","Department for Education","Education and Skills Funding Agency","1090","1050","42500","37100"
"In post","2022","No function","Department for Education","Institute for Apprenticeships and Technical Education","180","170","48780","49960"
"In post","2022","No function","Department for Education","Standards and Testing Agency","130","120","41970","40780"
"In post","2022","No function","Department for Education","Teaching Regulation Agency","80","80","30800","26000"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","2710","2570","30560","27960"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","4110","3970","42340","38750"
"In post","2022","No function","Department for International Trade","Department for International Trade","2010","1990","47110","42460"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","2440","2390","45400","39600"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","Planning Inspectorate","710","640","43620","43740"
"In post","2022","No function","Department for Transport","Department for Transport (excl. agencies)","2110","2050","48670","43360"
"In post","2022","No function","Department for Transport","Driver and Vehicle Licensing Agency","4740","4090","22900","21840"
"In post","2022","No function","Department for Transport","Driver and Vehicle Standards Agency","4100","3850","28470","26780"
"In post","2022","No function","Department for Transport","Maritime and Coastguard Agency","980","950","37480","34730"
"In post","2022","No function","Department for Transport","Vehicle Certification Agency","170","160","35990","34290"
"In post","2022","No function","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","70740","63160","26500","27570"
"In post","2022","No function","Department for Work and Pensions","Health and Safety Executive","2240","2120","43080","40230"
"In post","2022","No function","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","1890","1820","49220","49530"
"In post","2022","No function","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","830","800","50810","45570"
"In post","2022","No function","Department of Health and Social Care","UK Health Security Agency","5800","5380","43000","36830"
"In post","2022","No function","Food Standards Agency","Food Standards Agency","1060","1030","35970","30810"
"In post","2022","No function","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","3600","3550","48330","40450"
"In post","2022","No function","HM Land Registry","HM Land Registry","5220","4700","28670","27130"
"In post","2022","No function","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","33820","30950","30630","26820"
"In post","2022","No function","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Treasury","HM Treasury (excl. agencies)","1780","1750","47750","52500"
"In post","2022","No function","HM Treasury","National Infrastructure Commission","50","40","[c]","[c]"
"In post","2022","No function","HM Treasury","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","No function","Ministry of Defence","Defence Electronics and Components Agency","360","340","28480","28810"
"In post","2022","No function","Ministry of Defence","Defence Equipment and Support","120","110","37510","34150"
"In post","2022","No function","Ministry of Defence","Defence Science and Technology Laboratory","2740","2660","41120","38320"
"In post","2022","No function","Ministry of Defence","UK Hydrographic Office","540","510","31460","30970"
"In post","2022","No function","Ministry of Justice","Criminal Injuries Compensation Authority","320","300","27530","25120"
"In post","2022","No function","Ministry of Justice","HM Courts and Tribunals Service","15290","13800","26020","21650"
"In post","2022","No function","Ministry of Justice","HM Prison and Probation Service","60670","57130","30150","28200"
"In post","2022","No function","Ministry of Justice","Legal Aid Agency","1150","1070","30010","25120"
"In post","2022","No function","Ministry of Justice","Ministry of Justice (excl. agencies)","2130","2070","41790","38370"
"In post","2022","No function","Ministry of Justice","Office of the Public Guardian","1430","1320","23980","20970"
"In post","2022","No function","National Crime Agency","National Crime Agency","4780","4670","40370","37560"
"In post","2022","No function","Northern Ireland Office","Northern Ireland Office","120","120","46610","41750"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","1410","1360","52600","51360"
"In post","2022","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","870","860","40300","33400"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","220","210","45260","40370"
"In post","2022","No function","Office of Rail and Road","Office of Rail and Road","240","230","55150","55000"
"In post","2022","No function","Office of the Secretary of State for Scotland","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40","40","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","30","30","[c]","[c]"
"In post","2022","No function","Scottish Government","Crown Office and Procurator Fiscal Service","1490","1390","28000","23230"
"In post","2022","No function","Scottish Government","Registers of Scotland","920","870","32050","30840"
"In post","2022","No function","Scottish Government","Scottish Courts and Tribunals Service","1710","1550","27320","23780"
"In post","2022","No function","Scottish Government","Scottish Prison Service","3940","3680","32560","35000"
"In post","2022","No function","The National Archives","The National Archives","340","320","33940","30300"
"In post","2022","No function","UK Statistics Authority","UK Statistics Authority","2610","2130","27030","23430"
"In post","2022","No function","Water Services Regulation Authority","Water Services Regulation Authority","100","100","54190","51630"
"In post","2022","No function","Welsh Government","Welsh Revenue Authority","30","30","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","Government Legal Department","30","30","[c]","[c]"
"In post","2022","Project Delivery","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Cabinet Office","Cabinet Office (excl. agencies)","190","190","66540","56540"
"In post","2022","Project Delivery","Cabinet Office","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Competition and Markets Authority","Competition and Markets Authority","380","360","61910","56640"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","90","80","41990","39580"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","49850","52080"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","50","50","47270","41470"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","Met Office","410","400","41310","39650"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","The Insolvency Service","50","50","[c]","[c]"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","UK Space Agency","180","180","46680","40220"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Education","Department for Education (excl. agencies)","80","80","44130","41990"
"In post","2022","Project Delivery","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","120","110","28280","24920"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","60","60","33250","29270"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","Rural Payments Agency","150","140","37350","35900"
"In post","2022","Project Delivery","Department for International Trade","Department for International Trade","60","60","49490","51710"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","160","160","45370","48200"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Transport","Department for Transport (excl. agencies)","410","410","51660","54110"
"In post","2022","Project Delivery","Department for Transport","Driver and Vehicle Licensing Agency","100","90","34640","30730"
"In post","2022","Project Delivery","Department for Transport","Driver and Vehicle Standards Agency","90","80","37130","33370"
"In post","2022","Project Delivery","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","1440","1280","34930","32130"
"In post","2022","Project Delivery","Department for Work and Pensions","Health and Safety Executive","50","50","39600","39330"
"In post","2022","Project Delivery","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Estyn","Estyn","90","90","65310","75480"
"In post","2022","Project Delivery","Food Standards Agency","Food Standards Agency","40","30","[c]","[c]"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","FCDO Services","70","70","38360","34070"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","1790","1730","52830","53610"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","Wilton Park","40","40","[c]","[c]"
"In post","2022","Project Delivery","HM Land Registry","HM Land Registry","180","180","38710","38550"
"In post","2022","Project Delivery","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","4990","4750","46030","40520"
"In post","2022","Project Delivery","HM Revenue and Customs","Valuation Office Agency","80","70","41650","40160"
"In post","2022","Project Delivery","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","HM Treasury","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Defence","Defence Equipment and Support","8850","8540","36910","34370"
"In post","2022","Project Delivery","Ministry of Defence","Defence Science and Technology Laboratory","1030","980","41980","38960"
"In post","2022","Project Delivery","Ministry of Defence","Ministry of Defence (excl. agencies)","2680","2610","43720","40580"
"In post","2022","Project Delivery","Ministry of Defence","Submarine Delivery Agency","1610","1570","41020","39800"
"In post","2022","Project Delivery","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Ministry of Justice","Ministry of Justice (excl. agencies)","260","260","41920","41750"
"In post","2022","Project Delivery","National Crime Agency","National Crime Agency","90","90","45130","45480"
"In post","2022","Project Delivery","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","UK Statistics Authority","UK Statistics Authority","250","240","41100","36840"
"In post","2022","Project Delivery","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
