"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","HM Courts and Tribunals Service","110","100","22260","20970"
"In post","2022","Unknown","South West (England)","HM Land Registry","490","450","29860","27130"
"In post","2022","Unknown","South West (England)","HM Prison and Probation Service","740","680","27180","24800"
"In post","2022","Unknown","South West (England)","HM Revenue and Customs (excl. agencies)","330","310","34810","33080"
"In post","2022","Unknown","South West (England)","Home Office","50","40","[c]","[c]"
"In post","2022","Unknown","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Ministry of Defence (excl. agencies)","710","670","32380","26670"
"In post","2022","Unknown","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","National Crime Agency","60","60","35920","35280"
"In post","2022","Unknown","South West (England)","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Unknown","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Planning Inspectorate","130","110","29060","26050"
"In post","2022","Unknown","South West (England)","Rural Payments Agency","100","90","26510","24920"
"In post","2022","Unknown","South West (England)","Submarine Delivery Agency","130","120","37170","35630"
"In post","2022","Unknown","South West (England)","The Insolvency Service","40","40","[c]","[c]"
"In post","2022","Unknown","South West (England)","UK Health Security Agency","140","130","48160","40960"
"In post","2022","Unknown","South West (England)","UK Hydrographic Office","220","210","33960","33290"
"In post","2022","Unknown","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Valuation Office Agency","170","160","27110","22040"
"In post","2022","Unknown","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Cabinet Office (excl. agencies)","300","300","34900","29250"
"In post","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","100","90","30970","27570"
"In post","2022","Unknown","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Unknown","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Royal Fleet Auxiliary","1760","1760","37450","34160"
"In post","2022","Unknown","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Animal and Plant Health Agency","50","40","[c]","[c]"
"In post","2022","Unknown","Wales","Cabinet Office (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Unknown","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Companies House","210","190","27510","22740"
"In post","2022","Unknown","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Crown Prosecution Service","90","80","43930","52410"
"In post","2022","Unknown","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Department for Work and Pensions (excl. agencies)","1120","960","25030","27570"
"In post","2022","Unknown","Wales","Driver and Vehicle Licensing Agency","730","660","24410","21840"
"In post","2022","Unknown","Wales","Driver and Vehicle Standards Agency","180","170","27590","26130"
"In post","2022","Unknown","Wales","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","HM Courts and Tribunals Service","150","130","23370","20970"
"In post","2022","Unknown","Wales","HM Land Registry","210","190","28880","27130"
"In post","2022","Unknown","Wales","HM Prison and Probation Service","570","530","28040","25880"
"In post","2022","Unknown","Wales","HM Revenue and Customs (excl. agencies)","1290","1190","27930","26820"
"In post","2022","Unknown","Wales","Home Office","90","90","29550","24880"
"In post","2022","Unknown","Wales","Intellectual Property Office","520","490","37170","30770"
"In post","2022","Unknown","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Ministry of Defence (excl. agencies)","60","50","26410","21170"
"In post","2022","Unknown","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","UK Statistics Authority","800","750","34400","30810"
"In post","2022","Unknown","Wales","Valuation Office Agency","60","60","32610","26880"
"In post","2022","Unknown","Wales","Welsh Government (excl. agencies)","150","140","39860","31210"
"In post","2022","Unknown","Wales","Welsh Revenue Authority","80","80","43730","39130"
"In post","2022","Unknown","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Cabinet Office (excl. agencies)","110","110","56390","53260"
"In post","2022","Unknown","West Midlands (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Crown Prosecution Service","140","130","43220","49770"
"In post","2022","Unknown","West Midlands (England)","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for Education (excl. agencies)","120","110","39340","36500"
"In post","2022","Unknown","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Department for Work and Pensions (excl. agencies)","1670","1410","25610","27570"
"In post","2022","Unknown","West Midlands (England)","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Driver and Vehicle Standards Agency","100","90","26830","26470"
"In post","2022","Unknown","West Midlands (England)","Education and Skills Funding Agency","130","130","41820","38140"
"In post","2022","Unknown","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","HM Courts and Tribunals Service","260","240","23890","20970"
"In post","2022","Unknown","West Midlands (England)","HM Land Registry","150","140","27760","27130"
"In post","2022","Unknown","West Midlands (England)","HM Prison and Probation Service","1080","980","27430","25610"
"In post","2022","Unknown","West Midlands (England)","HM Revenue and Customs (excl. agencies)","1360","1290","31560","26900"
"In post","2022","Unknown","West Midlands (England)","Home Office","150","150","26840","24880"
"In post","2022","Unknown","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Ministry of Defence (excl. agencies)","200","200","30180","26350"
"In post","2022","Unknown","West Midlands (England)","Ministry of Justice (excl. agencies)","90","80","33370","30450"
"In post","2022","Unknown","West Midlands (England)","National Crime Agency","60","60","39600","37140"
"In post","2022","Unknown","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Office of Qualifications and Examinations Regulation","60","60","48780","46660"
"In post","2022","Unknown","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Office of the Public Guardian","190","180","22130","20970"
"In post","2022","Unknown","West Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Rural Payments Agency","100","100","25790","21300"
"In post","2022","Unknown","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","The Insolvency Service","170","160","27240","21130"
"In post","2022","Unknown","West Midlands (England)","UK Health Security Agency","60","60","49060","40060"
"In post","2022","Unknown","West Midlands (England)","Valuation Office Agency","60","50","31890","29530"
"In post","2022","Unknown","West Midlands (England)","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Cabinet Office (excl. agencies)","330","320","43360","33300"
"In post","2022","Unknown","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Crown Prosecution Service","190","170","42840","48080"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Education (excl. agencies)","120","110","39440","36500"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","38460","35900"
"In post","2022","Unknown","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","1790","1560","29630","27570"
"In post","2022","Unknown","Yorkshire and The Humber","Driver and Vehicle Standards Agency","120","110","25280","26130"
"In post","2022","Unknown","Yorkshire and The Humber","Education and Skills Funding Agency","60","50","39910","36500"
"In post","2022","Unknown","Yorkshire and The Humber","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","HM Courts and Tribunals Service","110","100","24100","20970"
"In post","2022","Unknown","Yorkshire and The Humber","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","HM Land Registry","70","70","28360","27130"
"In post","2022","Unknown","Yorkshire and The Humber","HM Prison and Probation Service","1300","1200","27280","25480"
"In post","2022","Unknown","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","1810","1690","28330","26590"
"In post","2022","Unknown","Yorkshire and The Humber","Home Office","520","500","28320","24880"
"In post","2022","Unknown","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","180","180","27290","26350"
"In post","2022","Unknown","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","80","80","39530","36050"
"In post","2022","Unknown","Yorkshire and The Humber","National Crime Agency","60","50","38440","36740"
"In post","2022","Unknown","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Rural Payments Agency","140","130","24800","21300"
"In post","2022","Unknown","Yorkshire and The Humber","The Insolvency Service","50","50","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","UK Health Security Agency","350","340","43820","37450"
"In post","2022","Unknown","Yorkshire and The Humber","Valuation Office Agency","80","80","31700","27000"
"In post","2022","Unknown","Yorkshire and The Humber","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Department for Work and Pensions (excl. agencies)","130","110","25000","26120"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","HM Courts and Tribunals Service","80","70","22650","19570"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","HM Prison and Probation Service","250","230","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Ministry of Defence (excl. agencies)","130","120","29280","29930"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Department for Work and Pensions (excl. agencies)","140","120","26220","26000"
"Leaver CS","2021","Heterosexual / straight","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","HM Courts and Tribunals Service","50","40","23070","20100"
"Leaver CS","2021","Heterosexual / straight","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","HM Prison and Probation Service","270","260","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Home Office (incl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Ministry of Defence (excl. agencies)","130","120","30120","26800"
"Leaver CS","2021","Heterosexual / straight","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Public Health England","70","70","36240","25260"
"Leaver CS","2021","Heterosexual / straight","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Cabinet Office (excl. agencies)","100","90","50620","44070"
"Leaver CS","2021","Heterosexual / straight","London","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Competition and Markets Authority","70","60","50710","46140"
"Leaver CS","2021","Heterosexual / straight","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Crown Prosecution Service","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","48760","43080"
"Leaver CS","2021","Heterosexual / straight","London","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for Education (excl. agencies)","70","70","49850","45700"
"Leaver CS","2021","Heterosexual / straight","London","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for International Trade","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for Transport (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Department for Work and Pensions (excl. agencies)","230","220","30800","31060"
"Leaver CS","2021","Heterosexual / straight","London","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Government Legal Department","70","60","51360","51250"
"Leaver CS","2021","Heterosexual / straight","London","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","HM Courts and Tribunals Service","150","140","30070","23500"
"Leaver CS","2021","Heterosexual / straight","London","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","HM Prison and Probation Service","240","220","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","HM Treasury (excl. agencies)","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Home Office (incl. agencies)","400","360","37520","30160"
"Leaver CS","2021","Heterosexual / straight","London","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","London","Ministry of Defence (excl. agencies)","90","80","45330","38230"
"Leaver CS","2021","Heterosexual / straight","London","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","44270","40750"
"Leaver CS","2021","Heterosexual / straight","London","Ministry of Justice (excl. agencies)","80","70","42270","36800"
