"Status","Year","Age","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Monmouthshire and Newport","Analysis","330","310","37050","37020"
"In post","2021","30-39","Monmouthshire and Newport","Commercial","30","30","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Digital, Data & Technology","190","190","39250","36220"
"In post","2021","30-39","Monmouthshire and Newport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Human Resources","80","70","33790","30130"
"In post","2021","30-39","Monmouthshire and Newport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","No function","620","580","30840","27680"
"In post","2021","30-39","Monmouthshire and Newport","Project Delivery","50","50","41400","39120"
"In post","2021","30-39","Monmouthshire and Newport","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Monmouthshire and Newport","Unknown","150","130","26390","27570"
"In post","2021","30-39","Na h-Eileanan Siar","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Na h-Eileanan Siar","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Newry, Mourne and Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and North East Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and North East Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and North East Lincolnshire","Unknown","130","110","24980","25040"
"In post","2021","30-39","North and West Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","No function","80","70","27280","27150"
"In post","2021","30-39","North and West Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North and West Norfolk","Unknown","40","30","[c]","[c]"
"In post","2021","30-39","North Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","No function","40","40","[c]","[c]"
"In post","2021","30-39","North Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Hampshire","Unknown","80","80","29330","27570"
"In post","2021","30-39","North Lanarkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","Counter Fraud","60","60","27940","25560"
"In post","2021","30-39","North Lanarkshire","Debt","100","90","22010","20140"
"In post","2021","30-39","North Lanarkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","Finance","70","60","23960","20140"
"In post","2021","30-39","North Lanarkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","No function","130","120","28550","28410"
"In post","2021","30-39","North Lanarkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Lanarkshire","Unknown","110","90","23830","21010"
"In post","2021","30-39","North Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Northamptonshire","Unknown","90","80","24220","21010"
"In post","2021","30-39","North Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Nottinghamshire","No function","160","150","28850","27150"
"In post","2021","30-39","North Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Nottinghamshire","Unknown","50","50","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","No function","80","70","29740","30210"
"In post","2021","30-39","North Yorkshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Security","40","40","[c]","[c]"
"In post","2021","30-39","North Yorkshire CC","Unknown","110","110","27890","27570"
"In post","2021","30-39","Northumberland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northumberland","Unknown","40","30","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Commercial","40","40","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","No function","160","160","26520","24920"
"In post","2021","30-39","Norwich and East Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Norwich and East Norfolk","Unknown","70","60","26200","27570"
"In post","2021","30-39","Nottingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Nottingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Nottingham","Communications","140","140","28500","25560"
"In post","2021","30-39","Nottingham","Counter Fraud","90","90","32230","31810"
"In post","2021","30-39","Nottingham","Debt","60","50","20900","20140"
"In post","2021","30-39","Nottingham","Digital, Data & Technology","50","50","42820","40320"
"In post","2021","30-39","Nottingham","Finance","40","40","[c]","[c]"
"In post","2021","30-39","Nottingham","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Nottingham","Human Resources","90","80","36450","31810"
"In post","2021","30-39","Nottingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Nottingham","Legal","80","70","36700","31810"
"In post","2021","30-39","Nottingham","No function","850","810","29230","26630"
"In post","2021","30-39","Nottingham","Project Delivery","50","40","[c]","[c]"
"In post","2021","30-39","Nottingham","Property","40","40","[c]","[c]"
"In post","2021","30-39","Nottingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Nottingham","Unknown","100","100","25680","27570"
"In post","2021","30-39","Orkney Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Orkney Islands","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Orkney Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","No function","500","500","47700","50770"
"In post","2021","30-39","Overseas","Project Delivery","240","240","52410","53000"
"In post","2021","30-39","Overseas","Property","40","40","[c]","[c]"
"In post","2021","30-39","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Unknown","230","230","41790","40120"
"In post","2021","30-39","Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","No function","260","240","31630","30400"
"In post","2021","30-39","Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Oxfordshire","Unknown","130","120","27840","26670"
"In post","2021","30-39","Perth and Kinross and Stirling","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","No function","160","160","28560","26780"
"In post","2021","30-39","Perth and Kinross and Stirling","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Perth and Kinross and Stirling","Unknown","70","60","31330","28170"
"In post","2021","30-39","Peterborough","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","No function","70","70","28830","22920"
"In post","2021","30-39","Peterborough","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Peterborough","Unknown","160","130","24460","21430"
"In post","2021","30-39","Plymouth","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","Digital, Data & Technology","100","90","38200","38450"
"In post","2021","30-39","Plymouth","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Plymouth","No function","100","90","25500","22920"
"In post","2021","30-39","Plymouth","Project Delivery","60","60","34780","36100"
"In post","2021","30-39","Plymouth","Property","80","70","24230","21100"
"In post","2021","30-39","Plymouth","Security","50","50","28050","25140"
"In post","2021","30-39","Plymouth","Unknown","150","140","28350","27570"
"In post","2021","30-39","Portsmouth","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","No function","130","120","24970","20760"
"In post","2021","30-39","Portsmouth","Project Delivery","50","50","40170","40000"
"In post","2021","30-39","Portsmouth","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Portsmouth","Security","90","90","31010","29890"
"In post","2021","30-39","Portsmouth","Unknown","220","200","29450","27570"
"In post","2021","30-39","Powys","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Powys","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Powys","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Powys","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Powys","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Powys","Unknown","70","60","30400","27570"
"In post","2021","30-39","Redbridge and Waltham Forest","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Redbridge and Waltham Forest","No function","50","50","28030","26810"
"In post","2021","30-39","Redbridge and Waltham Forest","Unknown","130","120","29650","31060"
"In post","2021","30-39","Sandwell","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sandwell","Unknown","80","70","27310","27570"
"In post","2021","30-39","Scottish Borders","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Borders","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Borders","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Borders","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Borders","Unknown","100","90","29020","27570"
"In post","2021","30-39","Sefton","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Counter Fraud","120","120","31830","26980"
"In post","2021","30-39","Sefton","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","30-39","Sefton","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","No function","450","410","26440","21400"
"In post","2021","30-39","Sefton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sefton","Unknown","490","460","26050","25040"
"In post","2021","30-39","Sheffield","Analysis","40","30","[c]","[c]"
"In post","2021","30-39","Sheffield","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Digital, Data & Technology","80","80","43710","45000"
"In post","2021","30-39","Sheffield","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","No function","320","290","35490","33510"
"In post","2021","30-39","Sheffield","Project Delivery","30","30","[c]","[c]"
"In post","2021","30-39","Sheffield","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Sheffield","Unknown","1090","1010","29650","25310"
"In post","2021","30-39","Shetland Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shetland Islands","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shetland Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","No function","90","80","27770","26300"
"In post","2021","30-39","Shropshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Shropshire CC","Unknown","60","60","26380","27120"
"In post","2021","30-39","Solihull","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","Counter Fraud","30","30","[c]","[c]"
"In post","2021","30-39","Solihull","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Solihull","Unknown","270","250","27540","25310"
"In post","2021","30-39","Somerset","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Digital, Data & Technology","60","60","34840","33290"
"In post","2021","30-39","Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","No function","180","180","31930","33290"
"In post","2021","30-39","Somerset","Project Delivery","40","40","[c]","[c]"
"In post","2021","30-39","Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Somerset","Unknown","90","80","26480","27570"
"In post","2021","30-39","South and West Derbyshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South and West Derbyshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South and West Derbyshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South and West Derbyshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South and West Derbyshire","No function","170","160","30070","29020"
"In post","2021","30-39","South and West Derbyshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South and West Derbyshire","Unknown","40","40","[c]","[c]"
"In post","2021","30-39","South Ayrshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Ayrshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Ayrshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Ayrshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Ayrshire","Unknown","30","30","[c]","[c]"
"In post","2021","30-39","South Hampshire","Analysis","120","110","38320","37020"
"In post","2021","30-39","South Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","30-39","South Hampshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","No function","250","220","28760","29540"
"In post","2021","30-39","South Hampshire","Project Delivery","70","70","31100","29540"
"In post","2021","30-39","South Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Hampshire","Unknown","90","90","33380","27570"
"In post","2021","30-39","South Lanarkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Debt","80","70","22240","20140"
"In post","2021","30-39","South Lanarkshire","Digital, Data & Technology","70","70","36640","33930"
"In post","2021","30-39","South Lanarkshire","Finance","40","30","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Legal","30","30","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","No function","360","330","24740","21490"
"In post","2021","30-39","South Lanarkshire","Project Delivery","160","160","40070","33930"
"In post","2021","30-39","South Lanarkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Lanarkshire","Unknown","30","30","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","No function","120","120","29890","27890"
"In post","2021","30-39","South Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Teesside","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South Teesside","No function","60","50","23300","21170"
"In post","2021","30-39","South Teesside","Unknown","110","100","24730","25040"
"In post","2021","30-39","South West Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","No function","80","80","27130","25150"
"In post","2021","30-39","South West Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West Wales","Unknown","210","190","29470","27570"
"In post","2021","30-39","Southampton","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","30-39","Southampton","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","No function","150","130","33120","29470"
"In post","2021","30-39","Southampton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southampton","Unknown","50","40","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","No function","30","30","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Southend-on-Sea","Unknown","40","30","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","No function","560","530","28160","26810"
"In post","2021","30-39","Staffordshire CC","Project Delivery","30","30","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Staffordshire CC","Unknown","130","120","28080","27570"
"In post","2021","30-39","Stoke-on-Trent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Stoke-on-Trent","No function","120","110","21400","18880"
"In post","2021","30-39","Stoke-on-Trent","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Stoke-on-Trent","Unknown","80","70","27270","27570"
"In post","2021","30-39","Suffolk","Analysis","120","110","32490","29750"
