"Status","Year","Organisation","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scottish Forestry","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","AA/AO","Heterosexual / straight","470","450","23700","23340"
"In post","2021","Scottish Government (excl. agencies)","AA/AO","LGBO","40","40","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","AA/AO","Unknown","380","360","23890","23340"
"In post","2021","Scottish Government (excl. agencies)","EO","Heterosexual / straight","790","760","28300","28170"
"In post","2021","Scottish Government (excl. agencies)","EO","LGBO","50","50","27600","27150"
"In post","2021","Scottish Government (excl. agencies)","EO","Undeclared","50","50","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","EO","Unknown","280","260","28330","28170"
"In post","2021","Scottish Government (excl. agencies)","G6/G7","Heterosexual / straight","1450","1390","62200","61010"
"In post","2021","Scottish Government (excl. agencies)","G6/G7","LGBO","100","90","62250","61010"
"In post","2021","Scottish Government (excl. agencies)","G6/G7","Undeclared","120","110","62100","61010"
"In post","2021","Scottish Government (excl. agencies)","G6/G7","Unknown","460","430","62300","61010"
"In post","2021","Scottish Government (excl. agencies)","SCS","Heterosexual / straight","120","110","89950","83230"
"In post","2021","Scottish Government (excl. agencies)","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","SCS","Unknown","60","60","91200","83230"
"In post","2021","Scottish Government (excl. agencies)","SEO/HEO","Heterosexual / straight","2280","2180","39170","38540"
"In post","2021","Scottish Government (excl. agencies)","SEO/HEO","LGBO","200","190","36720","35110"
"In post","2021","Scottish Government (excl. agencies)","SEO/HEO","Undeclared","140","130","38980","38540"
"In post","2021","Scottish Government (excl. agencies)","SEO/HEO","Unknown","810","770","38900","38540"
"In post","2021","Scottish Housing Regulator","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","AA/AO","Heterosexual / straight","380","350","24600","25870"
"In post","2021","Scottish Prison Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","AA/AO","Unknown","1120","1070","23440","22430"
"In post","2021","Scottish Prison Service","EO","Heterosexual / straight","750","710","33000","33650"
"In post","2021","Scottish Prison Service","EO","LGBO","50","50","[c]","[c]"
"In post","2021","Scottish Prison Service","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Scottish Prison Service","EO","Unknown","1300","1220","32620","33650"
"In post","2021","Scottish Prison Service","G6/G7","Heterosexual / straight","60","60","61400","55110"
"In post","2021","Scottish Prison Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","G6/G7","Unknown","60","60","59820","55110"
"In post","2021","Scottish Prison Service","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SEO/HEO","Heterosexual / straight","350","310","40600","39500"
"In post","2021","Scottish Prison Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SEO/HEO","Unknown","320","270","41170","39500"
"In post","2021","Scottish Public Pensions Agency","AA/AO","Heterosexual / straight","70","70","24040","24110"
"In post","2021","Scottish Public Pensions Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","AA/AO","Unknown","60","50","23990","24110"
"In post","2021","Scottish Public Pensions Agency","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","EO","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Serious Fraud Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","G6/G7","Heterosexual / straight","120","120","61470","58700"
"In post","2021","Serious Fraud Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","G6/G7","Unknown","50","50","59720","58000"
"In post","2021","Serious Fraud Office","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","SEO/HEO","Heterosexual / straight","140","140","37540","40000"
"In post","2021","Serious Fraud Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","SEO/HEO","Unknown","50","50","[c]","[c]"
"In post","2021","Serious Fraud Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","AA/AO","Heterosexual / straight","260","250","21210","20060"
"In post","2021","Social Security Scotland","AA/AO","LGBO","40","40","[c]","[c]"
"In post","2021","Social Security Scotland","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","AA/AO","Unknown","100","90","20670","20060"
"In post","2021","Social Security Scotland","EO","Heterosexual / straight","210","200","26880","26160"
"In post","2021","Social Security Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Social Security Scotland","G6/G7","Heterosexual / straight","100","100","59700","61010"
"In post","2021","Social Security Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SEO/HEO","Heterosexual / straight","240","240","36320","35110"
"In post","2021","Social Security Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","SEO/HEO","Unknown","50","50","36380","35110"
"In post","2021","Standards and Testing Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SEO/HEO","Heterosexual / straight","60","60","36790","36960"
"In post","2021","Standards and Testing Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","AA/AO","Unknown","90","90","22080","22230"
"In post","2021","Student Awards Agency for Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","EO","Unknown","40","30","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Unknown","Heterosexual / straight","1390","1360","41600","39860"
"In post","2021","Submarine Delivery Agency","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Unknown","Undeclared","220","210","44110","41580"
"In post","2021","Submarine Delivery Agency","Unknown","Unknown","140","140","39450","36670"
"In post","2021","Teaching Regulation Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","Unknown","50","50","21550","21100"
"In post","2021","The National Archives","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","The National Archives","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","EO","Unknown","40","40","[c]","[c]"
"In post","2021","The National Archives","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","The National Archives","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","G6/G7","Unknown","40","30","[c]","[c]"
"In post","2021","The National Archives","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","Heterosexual / straight","120","120","35490","34770"
"In post","2021","The National Archives","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","Unknown","110","110","36830","34770"
"In post","2021","Transport Scotland","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Transport Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Transport Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","G6/G7","Heterosexual / straight","100","100","63810","64010"
"In post","2021","Transport Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SEO/HEO","Heterosexual / straight","160","150","39640","38540"
"In post","2021","Transport Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","SEO/HEO","Unknown","80","70","41900","43040"
"In post","2021","UK Export Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","EO","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","UK Export Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","Heterosexual / straight","100","90","66770","65330"
"In post","2021","UK Export Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SEO/HEO","Heterosexual / straight","160","160","42600","42280"
"In post","2021","UK Export Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","AA/AO","Heterosexual / straight","50","50","20380","20170"
"In post","2021","UK Hydrographic Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","EO","Heterosexual / straight","150","140","27490","26740"
"In post","2021","UK Hydrographic Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","EO","Unknown","60","50","27550","26740"
"In post","2021","UK Hydrographic Office","G6/G7","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","UK Hydrographic Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","SEO/HEO","Heterosexual / straight","310","290","36910","33330"
"In post","2021","UK Hydrographic Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","SEO/HEO","Undeclared","50","50","37860","35340"
"In post","2021","UK Hydrographic Office","SEO/HEO","Unknown","100","100","37240","34000"
"In post","2021","UK Intellectual Property Office","AA/AO","Heterosexual / straight","100","90","20840","21140"
"In post","2021","UK Intellectual Property Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","AA/AO","Unknown","80","70","20740","21140"
"In post","2021","UK Intellectual Property Office","EO","Heterosexual / straight","220","210","25860","24750"
"In post","2021","UK Intellectual Property Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","EO","Unknown","220","210","25030","23320"
"In post","2021","UK Intellectual Property Office","G6/G7","Heterosexual / straight","200","190","60150","59720"
"In post","2021","UK Intellectual Property Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","G6/G7","Unknown","110","100","60130","59720"
"In post","2021","UK Intellectual Property Office","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SEO/HEO","Heterosexual / straight","290","270","38280","39280"
"In post","2021","UK Intellectual Property Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","UK Intellectual Property Office","SEO/HEO","Unknown","140","130","38930","40640"
"In post","2021","UK Space Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","G6/G7","Heterosexual / straight","60","60","56770","54370"
"In post","2021","UK Space Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","G6/G7","Undeclared","40","30","[c]","[c]"
"In post","2021","UK Space Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","SEO/HEO","Heterosexual / straight","70","70","37580","38380"
"In post","2021","UK Space Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","UK Space Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","AA/AO","Heterosexual / straight","910","620","19590","19520"
"In post","2021","United Kingdom Statistics Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","AA/AO","Undeclared","60","40","19450","19130"
"In post","2021","United Kingdom Statistics Authority","AA/AO","Unknown","460","350","19730","19520"
"In post","2021","United Kingdom Statistics Authority","EO","Heterosexual / straight","480","450","24020","23050"
"In post","2021","United Kingdom Statistics Authority","EO","LGBO","40","40","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","EO","Unknown","230","220","23900","23050"
"In post","2021","United Kingdom Statistics Authority","G6/G7","Heterosexual / straight","640","610","52630","50090"
"In post","2021","United Kingdom Statistics Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","G6/G7","Unknown","230","220","53060","50090"
"In post","2021","United Kingdom Statistics Authority","SCS","Heterosexual / straight","50","50","82990","76510"
"In post","2021","United Kingdom Statistics Authority","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","Heterosexual / straight","1440","1380","33580","32780"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","LGBO","120","120","33640","32540"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","Undeclared","80","80","33950","32680"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","Unknown","660","630","33240","32540"
"In post","2021","Valuation Office Agency","AA/AO","Heterosexual / straight","430","380","21270","21100"
"In post","2021","Valuation Office Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
