"Status","Year","Region_ITL3","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Greater Manchester South West","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester South West","Unknown","Department for Work and Pensions (excl. agencies)","640","590","25200","27570"
"In post","2021","Greater Manchester South West","Unknown","Home Office (incl. agencies)","850","820","32870","29870"
"In post","2021","Greater Manchester South West","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwent Valleys","No function","HM Courts and Tribunals Service","70","70","19930","18880"
"In post","2021","Gwent Valleys","No function","HM Prison and Probation Service","80","70","29120","28300"
"In post","2021","Gwent Valleys","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwent Valleys","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwent Valleys","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Gwent Valleys","Unknown","Department for Work and Pensions (excl. agencies)","690","620","25870","27570"
"In post","2021","Gwent Valleys","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwent Valleys","Unknown","Welsh Government (excl. agencies)","230","210","38110","37410"
"In post","2021","Gwynedd","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","No function","Animal and Plant Health Agency","70","60","26640","22190"
"In post","2021","Gwynedd","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","No function","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Gwynedd","No function","HM Prison and Probation Service","60","60","27640","24320"
"In post","2021","Gwynedd","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Unknown","Department for Work and Pensions (excl. agencies)","430","390","23440","21010"
"In post","2021","Gwynedd","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Unknown","Welsh Government (excl. agencies)","110","100","29970","28850"
"In post","2021","Hackney and Newham","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Counter Fraud","HM Revenue and Customs (excl. agencies)","130","120","39850","36160"
"In post","2021","Hackney and Newham","Counter Fraud","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Hackney and Newham","Debt","HM Revenue and Customs (excl. agencies)","170","150","26180","25630"
"In post","2021","Hackney and Newham","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Human Resources","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Hackney and Newham","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Legal","HM Revenue and Customs (excl. agencies)","100","90","51490","43400"
"In post","2021","Hackney and Newham","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","No function","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Hackney and Newham","No function","HM Prison and Probation Service","120","120","29930","26810"
"In post","2021","Hackney and Newham","No function","HM Revenue and Customs (excl. agencies)","700","660","38440","36160"
"In post","2021","Hackney and Newham","No function","Insolvency Service","150","140","39440","34500"
"In post","2021","Hackney and Newham","Project Delivery","HM Revenue and Customs (excl. agencies)","110","100","50220","42540"
"In post","2021","Hackney and Newham","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hackney and Newham","Unknown","Department for Work and Pensions (excl. agencies)","1200","1100","28960","31060"
"In post","2021","Hackney and Newham","Unknown","Home Office (incl. agencies)","130","120","32350","30460"
"In post","2021","Hackney and Newham","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","No function","HM Courts and Tribunals Service","310","300","23960","23360"
"In post","2021","Haringey and Islington","No function","HM Prison and Probation Service","660","640","34170","34940"
"In post","2021","Haringey and Islington","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Unknown","Department for Work and Pensions (excl. agencies)","450","420","30780","31060"
"In post","2021","Haringey and Islington","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Haringey and Islington","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Communications","Defence Equipment and Support","170","170","23760","21190"
"In post","2021","Harrow and Hillingdon","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Driver and Vehicle Standards Agency","80","70","32760","30780"
"In post","2021","Harrow and Hillingdon","No function","HM Courts and Tribunals Service","60","60","23190","22450"
"In post","2021","Harrow and Hillingdon","No function","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Harrow and Hillingdon","Unknown","Department for Work and Pensions (excl. agencies)","500","460","30920","31060"
"In post","2021","Harrow and Hillingdon","Unknown","Home Office (incl. agencies)","2240","1980","31280","29080"
"In post","2021","Harrow and Hillingdon","Unknown","Ministry of Defence (excl. agencies)","90","80","28980","25640"
"In post","2021","Hartlepool and Stockton-on-Tees","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","HM Prison and Probation Service","720","690","28880","26830"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hartlepool and Stockton-on-Tees","Unknown","Department for Work and Pensions (excl. agencies)","790","690","25160","27570"
"In post","2021","Hartlepool and Stockton-on-Tees","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Legal","Crown Prosecution Service","180","170","41280","35020"
"In post","2021","Heart of Essex","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","No function","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","Heart of Essex","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","No function","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Heart of Essex","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","No function","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Heart of Essex","No function","HM Courts and Tribunals Service","130","110","21760","20650"
"In post","2021","Heart of Essex","No function","HM Prison and Probation Service","450","430","30340","30680"
"In post","2021","Heart of Essex","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Unknown","Department for Work and Pensions (excl. agencies)","150","140","29830","29290"
"In post","2021","Heart of Essex","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heart of Essex","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","No function","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, County of","Security","Ministry of Defence (excl. agencies)","80","80","35580","39070"
"In post","2021","Herefordshire, County of","Unknown","Department for Work and Pensions (excl. agencies)","80","70","27780","27570"
"In post","2021","Herefordshire, County of","Unknown","Ministry of Defence (excl. agencies)","190","180","24960","21250"
"In post","2021","Hertfordshire","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Debt","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Finance","Ministry of Defence (excl. agencies)","70","70","45930","39840"
"In post","2021","Hertfordshire","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Legal","Crown Prosecution Service","170","150","42580","40000"
"In post","2021","Hertfordshire","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Hertfordshire","No function","HM Courts and Tribunals Service","150","130","22240","21900"
"In post","2021","Hertfordshire","No function","HM Prison and Probation Service","540","520","30360","30210"
"In post","2021","Hertfordshire","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","No function","National Crime Agency","80","80","39990","39840"
"In post","2021","Hertfordshire","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Project Delivery","Ministry of Defence (excl. agencies)","100","100","44800","43890"
"In post","2021","Hertfordshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Security","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Hertfordshire","Unknown","Department for Work and Pensions (excl. agencies)","730","670","29560","29290"
"In post","2021","Hertfordshire","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hertfordshire","Unknown","Medicines and Healthcare Products Regulatory Agency","300","290","44550","41010"
"In post","2021","Hertfordshire","Unknown","Ministry of Defence (excl. agencies)","150","150","39820","37460"
"In post","2021","Hounslow and Richmond upon Thames","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Digital, Data & Technology","The National Archives","100","100","40120","39390"
"In post","2021","Hounslow and Richmond upon Thames","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Hounslow and Richmond upon Thames","No function","Animal and Plant Health Agency","70","70","32550","31460"
"In post","2021","Hounslow and Richmond upon Thames","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","43510","40220"
