"Status","Year","Region_ITL1","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","G6/G7","Analysis","1440","1380","62160","59160"
"In post","2021","London","G6/G7","Commercial","660","650","65510","61480"
"In post","2021","London","G6/G7","Communications","700","680","59600","58250"
"In post","2021","London","G6/G7","Counter Fraud","370","350","61760","59160"
"In post","2021","London","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Digital, Data & Technology","1490","1460","60230","58620"
"In post","2021","London","G6/G7","Finance","890","870","61620","59680"
"In post","2021","London","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","Human Resources","870","840","60450","59160"
"In post","2021","London","G6/G7","Internal Audit","80","70","62470","59730"
"In post","2021","London","G6/G7","Legal","3060","2840","61340","61860"
"In post","2021","London","G6/G7","No function","11080","10780","59150","56640"
"In post","2021","London","G6/G7","Project Delivery","2360","2280","60960","59160"
"In post","2021","London","G6/G7","Property","340","330","61520","61590"
"In post","2021","London","G6/G7","Security","200","200","62310","59730"
"In post","2021","London","G6/G7","Unknown","4100","3970","61680","58240"
"In post","2021","London","SCS","Analysis","120","110","91600","82020"
"In post","2021","London","SCS","Commercial","360","350","98860","84350"
"In post","2021","London","SCS","Communications","120","110","90370","83110"
"In post","2021","London","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS","Digital, Data & Technology","130","130","93040","86870"
"In post","2021","London","SCS","Finance","170","170","91800","86050"
"In post","2021","London","SCS","Human Resources","160","150","89270","82010"
"In post","2021","London","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS","Legal","360","350","89160","82500"
"In post","2021","London","SCS","No function","2030","1930","89270","79170"
"In post","2021","London","SCS","Project Delivery","420","410","94030","85370"
"In post","2021","London","SCS","Property","40","40","[c]","[c]"
"In post","2021","London","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS","Unknown","720","700","90330","83240"
"In post","2021","London","SEO/HEO","Analysis","1570","1550","37890","36160"
"In post","2021","London","SEO/HEO","Commercial","590","580","41320","40650"
"In post","2021","London","SEO/HEO","Communications","1160","1140","38830","38750"
"In post","2021","London","SEO/HEO","Counter Fraud","1050","1020","38390","36580"
"In post","2021","London","SEO/HEO","Debt","40","30","[c]","[c]"
"In post","2021","London","SEO/HEO","Digital, Data & Technology","1380","1350","39160","39030"
"In post","2021","London","SEO/HEO","Finance","1080","1060","39300","39210"
"In post","2021","London","SEO/HEO","Human Resources","1140","1120","38420","37640"
"In post","2021","London","SEO/HEO","Internal Audit","100","90","44750","45200"
"In post","2021","London","SEO/HEO","Legal","750","720","38870","38580"
"In post","2021","London","SEO/HEO","No function","15140","14810","37320","36240"
"In post","2021","London","SEO/HEO","Project Delivery","1840","1800","38690","38600"
"In post","2021","London","SEO/HEO","Property","500","480","40060","37550"
"In post","2021","London","SEO/HEO","Security","400","390","41170","39220"
"In post","2021","London","SEO/HEO","Unknown","7220","7020","39290","38560"
