"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","South West (England)","Female","Undeclared","1030","940","32300","28170"
"In post","2022","South West (England)","Female","Unknown","2660","2450","33040","28190"
"In post","2022","South West (England)","Male","Declared disabled","2250","2160","34360","31650"
"In post","2022","South West (England)","Male","Declared non-disabled","17400","16940","37180","33520"
"In post","2022","South West (England)","Male","Undeclared","1570","1510","36380","33300"
"In post","2022","South West (England)","Male","Unknown","3150","3080","35650","32760"
"In post","2022","Unknown","Female","Declared disabled","100","90","29970","27570"
"In post","2022","Unknown","Female","Declared non-disabled","470","440","32710","30190"
"In post","2022","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Unknown","430","420","34110","30780"
"In post","2022","Unknown","Male","Declared disabled","50","50","36830","30650"
"In post","2022","Unknown","Male","Declared non-disabled","380","370","34100","29290"
"In post","2022","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Unknown","1830","1820","37900","33570"
"In post","2022","Wales","Female","Declared disabled","2440","2130","28570","26780"
"In post","2022","Wales","Female","Declared non-disabled","15350","13760","31230","27570"
"In post","2022","Wales","Female","Undeclared","870","770","28900","26780"
"In post","2022","Wales","Female","Unknown","3060","2800","28910","24880"
"In post","2022","Wales","Male","Declared disabled","1390","1310","30970","27570"
"In post","2022","Wales","Male","Declared non-disabled","10960","10620","34330","29430"
"In post","2022","Wales","Male","Undeclared","1040","980","32340","29450"
"In post","2022","Wales","Male","Unknown","2790","2730","31770","27370"
"In post","2022","Wales","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Female","Declared disabled","2550","2270","29260","27570"
"In post","2022","West Midlands (England)","Female","Declared non-disabled","12940","11650","30180","27570"
"In post","2022","West Midlands (England)","Female","Undeclared","940","850","29400","27570"
"In post","2022","West Midlands (England)","Female","Unknown","2740","2570","30720","26800"
"In post","2022","West Midlands (England)","Male","Declared disabled","1480","1400","30780","27570"
"In post","2022","West Midlands (England)","Male","Declared non-disabled","9220","8950","32400","27570"
"In post","2022","West Midlands (England)","Male","Undeclared","1000","950","31950","30140"
"In post","2022","West Midlands (England)","Male","Unknown","2300","2230","32890","27570"
"In post","2022","Yorkshire and The Humber","Female","Declared disabled","2670","2360","30380","27570"
"In post","2022","Yorkshire and The Humber","Female","Declared non-disabled","14610","13020","31360","27570"
"In post","2022","Yorkshire and The Humber","Female","Undeclared","1020","910","30970","27570"
"In post","2022","Yorkshire and The Humber","Female","Unknown","3290","3090","31960","27370"
"In post","2022","Yorkshire and The Humber","Male","Declared disabled","1700","1600","31480","27570"
"In post","2022","Yorkshire and The Humber","Male","Declared non-disabled","11470","11070","33390","28710"
"In post","2022","Yorkshire and The Humber","Male","Undeclared","1230","1170","32720","31650"
"In post","2022","Yorkshire and The Humber","Male","Unknown","3260","3190","32260","27120"
"Leaver CS","2021","East Midlands (England)","Female","Declared disabled","110","90","27670","22020"
"Leaver CS","2021","East Midlands (England)","Female","Declared non-disabled","530","440","25810","21590"
"Leaver CS","2021","East Midlands (England)","Female","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Unknown","180","160","25350","21170"
"Leaver CS","2021","East Midlands (England)","Male","Declared disabled","70","60","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Declared non-disabled","420","390","29610","27570"
"Leaver CS","2021","East Midlands (England)","Male","Undeclared","60","60","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Unknown","170","160","26740","25770"
"Leaver CS","2021","East of England","Female","Declared disabled","120","100","26000","25710"
"Leaver CS","2021","East of England","Female","Declared non-disabled","540","460","28040","24580"
"Leaver CS","2021","East of England","Female","Undeclared","90","70","[c]","[c]"
"Leaver CS","2021","East of England","Female","Unknown","210","190","27370","26550"
"Leaver CS","2021","East of England","Male","Declared disabled","100","90","[c]","[c]"
"Leaver CS","2021","East of England","Male","Declared non-disabled","470","430","33330","27470"
"Leaver CS","2021","East of England","Male","Undeclared","80","80","[c]","[c]"
"Leaver CS","2021","East of England","Male","Unknown","180","170","32370","26390"
"Leaver CS","2021","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Declared disabled","230","200","38050","31880"
"Leaver CS","2021","London","Female","Declared non-disabled","1540","1360","40380","32540"
"Leaver CS","2021","London","Female","Undeclared","150","130","39440","34390"
"Leaver CS","2021","London","Female","Unknown","800","700","36940","31060"
"Leaver CS","2021","London","Male","Declared disabled","210","190","39810","32330"
"Leaver CS","2021","London","Male","Declared non-disabled","1410","1300","45670","37640"
"Leaver CS","2021","London","Male","Undeclared","150","140","43410","38830"
"Leaver CS","2021","London","Male","Unknown","750","670","39020","31300"
"Leaver CS","2021","London","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Unknown","70","70","45660","40010"
"Leaver CS","2021","North East (England)","Female","Declared disabled","130","100","25960","26120"
"Leaver CS","2021","North East (England)","Female","Declared non-disabled","600","460","25700","21010"
"Leaver CS","2021","North East (England)","Female","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Unknown","230","180","26790","21070"
"Leaver CS","2021","North East (England)","Male","Declared disabled","80","70","[c]","[c]"
