"Status","Year","Disability","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","South West (England)","Food Standards Agency","70","60","35680","30280"
"In post","2022","Declared non-disabled","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Health and Safety Executive","70","60","45820","46320"
"In post","2022","Declared non-disabled","South West (England)","HM Courts and Tribunals Service","690","610","25290","20970"
"In post","2022","Declared non-disabled","South West (England)","HM Land Registry","950","840","34510","33840"
"In post","2022","Declared non-disabled","South West (England)","HM Prison and Probation Service","3070","2860","29480","27260"
"In post","2022","Declared non-disabled","South West (England)","HM Revenue and Customs (excl. agencies)","870","820","38610","33370"
"In post","2022","Declared non-disabled","South West (England)","Home Office","340","300","29420","26450"
"In post","2022","Declared non-disabled","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Legal Aid Agency","60","60","30120","25120"
"In post","2022","Declared non-disabled","South West (England)","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Met Office","1680","1600","40730","39650"
"In post","2022","Declared non-disabled","South West (England)","Ministry of Defence (excl. agencies)","5690","5480","33960","33000"
"In post","2022","Declared non-disabled","South West (England)","Ministry of Justice (excl. agencies)","100","90","39250","36050"
"In post","2022","Declared non-disabled","South West (England)","National Crime Agency","100","100","39180","36740"
"In post","2022","Declared non-disabled","South West (England)","Office for Standards in Education, Children's Services and Skills","250","240","48970","39850"
"In post","2022","Declared non-disabled","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Planning Inspectorate","340","310","36180","32780"
"In post","2022","Declared non-disabled","South West (England)","Rural Payments Agency","250","230","27550","25280"
"In post","2022","Declared non-disabled","South West (England)","Submarine Delivery Agency","1170","1140","40990","39100"
"In post","2022","Declared non-disabled","South West (England)","The Insolvency Service","80","80","33550","32060"
"In post","2022","Declared non-disabled","South West (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","UK Health Security Agency","740","690","35820","30020"
"In post","2022","Declared non-disabled","South West (England)","UK Hydrographic Office","530","510","35700","33290"
"In post","2022","Declared non-disabled","South West (England)","UK Space Agency","60","60","45900","49080"
"In post","2022","Declared non-disabled","South West (England)","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","South West (England)","Valuation Office Agency","380","350","32290","27000"
"In post","2022","Declared non-disabled","South West (England)","Vehicle Certification Agency","100","100","34230","33950"
"In post","2022","Declared non-disabled","South West (England)","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Cabinet Office (excl. agencies)","150","140","41820","37300"
"In post","2022","Declared non-disabled","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Department for Work and Pensions (excl. agencies)","440","410","30570","27570"
"In post","2022","Declared non-disabled","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Ministry of Defence (excl. agencies)","150","140","32470","27570"
"In post","2022","Declared non-disabled","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Animal and Plant Health Agency","250","230","28930","25190"
"In post","2022","Declared non-disabled","Wales","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Companies House","700","650","32380","27460"
"In post","2022","Declared non-disabled","Wales","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Crown Commercial Service","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Crown Prosecution Service","270","250","41080","38180"
"In post","2022","Declared non-disabled","Wales","Defence Electronics and Components Agency","210","200","29510","29470"
"In post","2022","Declared non-disabled","Wales","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","35310","30360"
"In post","2022","Declared non-disabled","Wales","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Department for Work and Pensions (excl. agencies)","4320","3880","26070","27570"
"In post","2022","Declared non-disabled","Wales","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Driver and Vehicle Licensing Agency","4380","3910","26950","21840"
"In post","2022","Declared non-disabled","Wales","Driver and Vehicle Standards Agency","360","340","30310","26830"
"In post","2022","Declared non-disabled","Wales","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Estyn","100","90","58540","72940"
"In post","2022","Declared non-disabled","Wales","Food Standards Agency","100","90","36830","31390"
"In post","2022","Declared non-disabled","Wales","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Health and Safety Executive","80","70","40350","41480"
"In post","2022","Declared non-disabled","Wales","HM Courts and Tribunals Service","690","630","26160","20970"
"In post","2022","Declared non-disabled","Wales","HM Land Registry","520","460","30400","27130"
"In post","2022","Declared non-disabled","Wales","HM Prison and Probation Service","2120","2020","29750","27120"
"In post","2022","Declared non-disabled","Wales","HM Revenue and Customs (excl. agencies)","2560","2420","31100","26820"
"In post","2022","Declared non-disabled","Wales","Home Office","490","450","28750","25310"
"In post","2022","Declared non-disabled","Wales","Intellectual Property Office","1170","1100","39400","33640"
"In post","2022","Declared non-disabled","Wales","Legal Aid Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Maritime and Coastguard Agency","60","60","35790","31700"
"In post","2022","Declared non-disabled","Wales","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Ministry of Defence (excl. agencies)","540","520","26140","21830"
"In post","2022","Declared non-disabled","Wales","Ministry of Justice (excl. agencies)","120","110","38330","36050"
"In post","2022","Declared non-disabled","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","The Insolvency Service","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wales","UK Statistics Authority","1570","1470","37260","36840"
"In post","2022","Declared non-disabled","Wales","Valuation Office Agency","190","180","38250","33740"
"In post","2022","Declared non-disabled","Wales","Welsh Government (excl. agencies)","5010","4730","42220","38160"
"In post","2022","Declared non-disabled","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Animal and Plant Health Agency","210","190","29380","26520"
"In post","2022","Declared non-disabled","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Crown Prosecution Service","380","360","41490","38180"
"In post","2022","Declared non-disabled","West Midlands (England)","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Defence Equipment and Support","140","140","26790","23240"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","180","170","43220","37460"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Education (excl. agencies)","330","320","42970","36960"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","210","200","40710","36970"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","220","220","37160","34760"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Transport (excl. agencies)","100","100","37130","30810"
"In post","2022","Declared non-disabled","West Midlands (England)","Department for Work and Pensions (excl. agencies)","5690","5010","26210","27570"
"In post","2022","Declared non-disabled","West Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Driver and Vehicle Licensing Agency","100","90","23800","21840"
"In post","2022","Declared non-disabled","West Midlands (England)","Driver and Vehicle Standards Agency","290","270","28820","26780"
"In post","2022","Declared non-disabled","West Midlands (England)","Education and Skills Funding Agency","410","400","42950","37510"
"In post","2022","Declared non-disabled","West Midlands (England)","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Food Standards Agency","80","80","31800","28660"
"In post","2022","Declared non-disabled","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Government Property Agency","60","60","48160","44000"
"In post","2022","Declared non-disabled","West Midlands (England)","Health and Safety Executive","60","60","45260","46320"
"In post","2022","Declared non-disabled","West Midlands (England)","HM Courts and Tribunals Service","1360","1230","25060","21190"
"In post","2022","Declared non-disabled","West Midlands (England)","HM Land Registry","380","340","31430","27130"
"In post","2022","Declared non-disabled","West Midlands (England)","HM Prison and Probation Service","4040","3840","29650","27120"
"In post","2022","Declared non-disabled","West Midlands (England)","HM Revenue and Customs (excl. agencies)","2630","2500","35560","33370"
"In post","2022","Declared non-disabled","West Midlands (England)","Home Office","810","750","29090","26030"
"In post","2022","Declared non-disabled","West Midlands (England)","Institute for Apprenticeships and Technical Education","80","80","46230","49960"
"In post","2022","Declared non-disabled","West Midlands (England)","Legal Aid Agency","90","80","26990","25120"
"In post","2022","Declared non-disabled","West Midlands (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Ministry of Defence (excl. agencies)","1640","1580","31190","27720"
"In post","2022","Declared non-disabled","West Midlands (England)","Ministry of Justice (excl. agencies)","350","340","34940","31740"
"In post","2022","Declared non-disabled","West Midlands (England)","National Crime Agency","150","140","41760","40210"
"In post","2022","Declared non-disabled","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","130","120","57040","51360"
"In post","2022","Declared non-disabled","West Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Office of Qualifications and Examinations Regulation","190","180","43970","38760"
"In post","2022","Declared non-disabled","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Office of the Public Guardian","640","590","23860","20970"
"In post","2022","Declared non-disabled","West Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Rural Payments Agency","170","160","25590","24920"
"In post","2022","Declared non-disabled","West Midlands (England)","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","Teaching Regulation Agency","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","The Insolvency Service","240","230","31680","28280"
"In post","2022","Declared non-disabled","West Midlands (England)","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","West Midlands (England)","UK Health Security Agency","230","200","38000","28590"
"In post","2022","Declared non-disabled","West Midlands (England)","Valuation Office Agency","180","160","36640","33370"
"In post","2022","Declared non-disabled","West Midlands (England)","Water Services Regulation Authority","150","140","49990","45000"
"In post","2022","Declared non-disabled","West Midlands (England)","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Animal and Plant Health Agency","150","150","30030","25730"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Cabinet Office (excl. agencies)","410","390","36640","33300"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Crown Prosecution Service","600","550","40120","34480"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Education (excl. agencies)","770","730","43680","39360"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","540","530","40180","36780"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","90","80","43150","37300"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Transport (excl. agencies)","100","100","40880","38650"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","7130","6380","30320","27570"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","370","350","45480","48310"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Driver and Vehicle Standards Agency","310","280","28070","26780"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Education and Skills Funding Agency","250","240","41620","36960"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Food Standards Agency","180","180","36880","31110"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Government Internal Audit Agency","50","50","45810","42020"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Government Legal Department","70","60","52770","51790"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Government Property Agency","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Health and Safety Executive","310","300","38910","35910"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","HM Courts and Tribunals Service","870","740","25620","20970"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","HM Land Registry","240","210","30500","27130"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","HM Prison and Probation Service","4940","4620","29570","27120"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","2940","2740","33540","33080"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Home Office","2660","2460","28710","25220"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Legal Aid Agency","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Maritime and Coastguard Agency","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","1340","1290","28610","26670"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","380","370","40820","36050"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","National Crime Agency","90","90","39530","37800"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","90","90","63860","70500"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Rural Payments Agency","260","250","26540","24920"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","The Insolvency Service","70","60","36140","39170"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","UK Health Security Agency","280","270","40470","36330"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Valuation Office Agency","290","270","35640","32890"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Yorkshire and The Humber","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Department for Work and Pensions (excl. agencies)","230","210","25690","27570"
"In post","2022","Undeclared","East Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","HM Courts and Tribunals Service","90","80","24150","20970"
"In post","2022","Undeclared","East Midlands (England)","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","HM Prison and Probation Service","550","510","30640","31650"
"In post","2022","Undeclared","East Midlands (England)","HM Revenue and Customs (excl. agencies)","220","210","35590","33370"
"In post","2022","Undeclared","East Midlands (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Ministry of Defence (excl. agencies)","130","130","27080","22330"
"In post","2022","Undeclared","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Department for Work and Pensions (excl. agencies)","180","170","28560","29050"
"In post","2022","Undeclared","East of England","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2022","Undeclared","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","HM Courts and Tribunals Service","60","50","25860","21490"
"In post","2022","Undeclared","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","HM Prison and Probation Service","650","590","31040","31650"
"In post","2022","Undeclared","East of England","HM Revenue and Customs (excl. agencies)","100","90","34080","33370"
"In post","2022","Undeclared","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Home Office","110","100","28640","27260"
"In post","2022","Undeclared","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Ministry of Defence (excl. agencies)","290","280","32880","33300"
"In post","2022","Undeclared","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Cabinet Office (excl. agencies)","180","180","50200","54700"
"In post","2022","Undeclared","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","49970","53380"
