"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Operational Delivery","Criminal Injuries Compensation Authority","160","140","25810","22570"
"In post","2021","Female","Operational Delivery","Crown Commercial Service","100","100","39290","36740"
"In post","2021","Female","Operational Delivery","Crown Office and Procurator Fiscal Service","950","860","25870","22220"
"In post","2021","Female","Operational Delivery","Crown Prosecution Service","2220","2000","27040","25480"
"In post","2021","Female","Operational Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Defence Science and Technology Laboratory","230","220","34660","28660"
"In post","2021","Female","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","280","44010","40050"
"In post","2021","Female","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Department for Education (excl. agencies)","360","340","41140","36780"
"In post","2021","Female","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","34390","32560"
"In post","2021","Female","Operational Delivery","Department for International Trade","50","50","35070","32120"
"In post","2021","Female","Operational Delivery","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Operational Delivery","Department of Health and Social Care (excl. agencies)","80","70","47690","32790"
"In post","2021","Female","Operational Delivery","Driver and Vehicle Licensing Agency","2960","2380","21500","21590"
"In post","2021","Female","Operational Delivery","Driver and Vehicle Standards Agency","1030","930","26820","26700"
"In post","2021","Female","Operational Delivery","Education and Skills Funding Agency","420","410","40800","36960"
"In post","2021","Female","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Food Standards Agency","160","160","34140","30810"
"In post","2021","Female","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","390","370","33250","28000"
"In post","2021","Female","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Health and Safety Executive","880","800","37610","31710"
"In post","2021","Female","Operational Delivery","HM Courts and Tribunals Service","10340","9040","22240","20440"
"In post","2021","Female","Operational Delivery","HM Land Registry","3160","2760","27780","27130"
"In post","2021","Female","Operational Delivery","HM Prison and Probation Service","24330","22520","28660","26630"
"In post","2021","Female","Operational Delivery","HM Revenue and Customs (excl. agencies)","16020","13380","25330","21440"
"In post","2021","Female","Operational Delivery","HM Treasury (excl. agencies)","120","110","30980","28520"
"In post","2021","Female","Operational Delivery","Home Office (incl. agencies)","13080","11570","27460","25310"
"In post","2021","Female","Operational Delivery","Insolvency Service","760","700","27480","24960"
"In post","2021","Female","Operational Delivery","Institute for Apprenticeships and Technical Education","90","90","47350","49960"
"In post","2021","Female","Operational Delivery","Legal Aid Agency","560","510","24040","21170"
"In post","2021","Female","Operational Delivery","Maritime and Coastguard Agency","250","230","29960","26590"
"In post","2021","Female","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","110","110","37700","32970"
"In post","2021","Female","Operational Delivery","Met Office","70","60","38730","39650"
"In post","2021","Female","Operational Delivery","Ministry of Defence (excl. agencies)","480","450","28080","26670"
"In post","2021","Female","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","230","220","37770","33490"
"In post","2021","Female","Operational Delivery","Ministry of Justice (excl. agencies)","900","860","35420","31480"
"In post","2021","Female","Operational Delivery","National Crime Agency","2050","1970","36770","36200"
"In post","2021","Female","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Office for Standards in Education, Children's Services and Skills","150","130","28460","21160"
"In post","2021","Female","Operational Delivery","Office of Gas and Electricity Markets","80","70","31760","27010"
"In post","2021","Female","Operational Delivery","Office of Qualifications and Examinations Regulation","60","50","41510","38000"
"In post","2021","Female","Operational Delivery","Office of Rail and Road","60","50","45370","43090"
"In post","2021","Female","Operational Delivery","Office of the Public Guardian","760","680","21720","19930"
"In post","2021","Female","Operational Delivery","Planning Inspectorate","170","150","27290","22560"
"In post","2021","Female","Operational Delivery","Public Health England","2310","2060","37940","33100"
"In post","2021","Female","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Registers of Scotland","460","430","31100","30080"
"In post","2021","Female","Operational Delivery","Rural Payments Agency","1170","1010","25370","22430"
"In post","2021","Female","Operational Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Scottish Courts and Tribunals Service","1110","980","26520","22820"
"In post","2021","Female","Operational Delivery","Scottish Prison Service","1000","950","29570","28410"
"In post","2021","Female","Operational Delivery","Standards and Testing Agency","60","60","44160","42100"
"In post","2021","Female","Operational Delivery","Submarine Delivery Agency","110","100","31520","27040"
"In post","2021","Female","Operational Delivery","Teaching Regulation Agency","50","40","[c]","[c]"
"In post","2021","Female","Operational Delivery","The National Archives","100","90","29990","28460"
"In post","2021","Female","Operational Delivery","UK Export Finance","90","80","46370","41620"
"In post","2021","Female","Operational Delivery","UK Hydrographic Office","190","170","31860","29290"
"In post","2021","Female","Operational Delivery","UK Intellectual Property Office","390","350","26700","23320"
"In post","2021","Female","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","United Kingdom Statistics Authority","1800","1480","26340","23050"
"In post","2021","Female","Operational Delivery","Valuation Office Agency","780","700","26770","21100"
"In post","2021","Female","Operational Delivery","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","Female","Operational Delivery","Veterinary Medicines Directorate","50","50","32580","32560"
"In post","2021","Female","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Welsh Government (excl. agencies)","950","860","35000","28850"
"In post","2021","Female","Operational Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Defence Science and Technology Laboratory","160","150","40950","40130"
"In post","2021","Female","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","HM Revenue and Customs (excl. agencies)","50","50","43510","38630"
"In post","2021","Female","Operational Research","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Operational Research","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Defence Equipment and Support","1420","1310","29890","27010"
"In post","2021","Female","Other","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Department for Digital, Culture, Media and Sport","60","60","36790","34280"
"In post","2021","Female","Other","Department for International Trade","100","100","37230","32120"
"In post","2021","Female","Other","Department for Transport (excl. agencies)","210","200","35650","30270"
"In post","2021","Female","Other","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Female","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Foreign, Commonwealth and Development Office (excl. agencies)","140","130","66790","66710"
"In post","2021","Female","Other","Government Actuary's Department","60","60","65110","65470"
"In post","2021","Female","Other","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Government Legal Department","240","230","31500","27580"
"In post","2021","Female","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","HM Revenue and Customs (excl. agencies)","260","220","40370","36160"
"In post","2021","Female","Other","Home Office (incl. agencies)","1010","950","35260","30950"
"In post","2021","Female","Other","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Medicines and Healthcare Products Regulatory Agency","160","150","48970","46200"
"In post","2021","Female","Other","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Ministry of Defence (excl. agencies)","5450","5150","24200","21130"
"In post","2021","Female","Other","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Other","National Savings and Investments","50","50","46870","42420"
"In post","2021","Female","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Office for Standards in Education, Children's Services and Skills","180","170","28140","25880"
"In post","2021","Female","Other","Office of Gas and Electricity Markets","250","240","41370","35760"
"In post","2021","Female","Other","Royal Fleet Auxiliary","160","160","33120","32700"
"In post","2021","Female","Other","Scottish Prison Service","270","240","29080","25870"
"In post","2021","Female","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","The National Archives","40","40","[c]","[c]"
"In post","2021","Female","Other","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Welsh Government (excl. agencies)","410","390","40640","37410"
"In post","2021","Female","Planning","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Female","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Planning Inspectorate","130","110","57850","58810"
"In post","2021","Female","Policy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Female","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","1840","1770","48090","47310"
"In post","2021","Female","Policy","Department for Digital, Culture, Media and Sport","600","590","48110","51730"
"In post","2021","Female","Policy","Department for Education (excl. agencies)","1830","1720","45110","40780"
"In post","2021","Female","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","1400","1330","42920","38750"
"In post","2021","Female","Policy","Department for International Trade","100","100","44780","38540"
"In post","2021","Female","Policy","Department for Transport (excl. agencies)","410","390","48180","45810"
"In post","2021","Female","Policy","Department of Health and Social Care (excl. agencies)","1130","1090","45710","40650"
"In post","2021","Female","Policy","Driver and Vehicle Licensing Agency","90","80","29280","26780"
"In post","2021","Female","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Education and Skills Funding Agency","120","120","47870","41730"
"In post","2021","Female","Policy","Food Standards Agency","100","90","41520","37910"
"In post","2021","Female","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","2000","1950","49150","47600"
"In post","2021","Female","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","Female","Policy","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","HM Prison and Probation Service","380","370","36080","31180"
"In post","2021","Female","Policy","HM Revenue and Customs (excl. agencies)","550","510","50590","52580"
"In post","2021","Female","Policy","HM Treasury (excl. agencies)","620","600","48080","52500"
"In post","2021","Female","Policy","Home Office (incl. agencies)","1160","1120","48760","42460"
"In post","2021","Female","Policy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Maritime and Coastguard Agency","100","90","36120","31380"
"In post","2021","Female","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Ministry of Defence (excl. agencies)","540","520","40570","37640"
"In post","2021","Female","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","650","630","47710","48200"
"In post","2021","Female","Policy","Ministry of Justice (excl. agencies)","440","420","42270","36800"
"In post","2021","Female","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Female","Policy","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Female","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Office of Rail and Road","30","30","[c]","[c]"
"In post","2021","Female","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","UK Intellectual Property Office","50","50","40460","39240"
"In post","2021","Female","Policy","UK Space Agency","70","70","45740","40220"
"In post","2021","Female","Policy","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Female","Policy","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Welsh Government (excl. agencies)","950","890","41620","37410"
"In post","2021","Female","Policy","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Competition and Markets Authority","200","190","58740","55860"
"In post","2021","Female","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Defence Equipment and Support","870","820","36330","34240"
"In post","2021","Female","Project Delivery","Defence Science and Technology Laboratory","260","240","38430","37320"
"In post","2021","Female","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Department for Digital, Culture, Media and Sport","110","110","46650","51730"
"In post","2021","Female","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","130","120","42720","38750"
"In post","2021","Female","Project Delivery","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Female","Project Delivery","Department for Transport (excl. agencies)","220","210","49650","44030"
"In post","2021","Female","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Female","Project Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","FCDO Services","40","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","220","210","42850","38600"
"In post","2021","Female","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Female","Project Delivery","HM Courts and Tribunals Service","180","180","42290","36800"
"In post","2021","Female","Project Delivery","HM Land Registry","80","70","40820","38550"
"In post","2021","Female","Project Delivery","HM Revenue and Customs (excl. agencies)","1330","1260","41990","38630"
"In post","2021","Female","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Home Office (incl. agencies)","710","690","44370","41630"
"In post","2021","Female","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Met Office","100","90","39260","39650"
"In post","2021","Female","Project Delivery","Ministry of Defence (excl. agencies)","2370","2280","37070","33300"
"In post","2021","Female","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","70","60","46710","48200"
"In post","2021","Female","Project Delivery","Ministry of Justice (excl. agencies)","150","150","41260","36800"
"In post","2021","Female","Project Delivery","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Female","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Rural Payments Agency","70","60","38490","35900"
"In post","2021","Female","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Submarine Delivery Agency","160","160","38420","36370"
"In post","2021","Female","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","United Kingdom Statistics Authority","150","150","39170","36030"
"In post","2021","Female","Project Delivery","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Female","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Education (excl. agencies)","240","240","48080","50130"
"In post","2021","Female","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","210","200","34030","30040"
"In post","2021","Female","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Female","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","FCDO Services","60","50","35880","31420"
"In post","2021","Female","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","HM Revenue and Customs (excl. agencies)","110","100","38350","38630"
"In post","2021","Female","Property","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Ministry of Defence (excl. agencies)","900","860","30030","33000"
"In post","2021","Female","Property","Ministry of Justice (excl. agencies)","60","60","38910","35140"
"In post","2021","Female","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","The National Archives","[c]","[c]","[c]","[c]"
