"Status","Year","Disability","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","No function","1230","1210","46980","51730"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Education","Analysis","120","110","47250","49860"
"In post","2022","Declared non-disabled","Department for Education","Commercial","140","130","41970","36780"
"In post","2022","Declared non-disabled","Department for Education","Communications","140","140","43060","37190"
"In post","2022","Declared non-disabled","Department for Education","Digital, Data & Technology","520","500","42260","38270"
"In post","2022","Declared non-disabled","Department for Education","Finance","860","830","42190","37100"
"In post","2022","Declared non-disabled","Department for Education","Human Resources","100","100","38330","36500"
"In post","2022","Declared non-disabled","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Education","Legal","60","60","54220","58980"
"In post","2022","Declared non-disabled","Department for Education","No function","3000","2860","46680","45850"
"In post","2022","Declared non-disabled","Department for Education","Project Delivery","50","50","46050","49860"
"In post","2022","Declared non-disabled","Department for Education","Property","350","340","54210","56260"
"In post","2022","Declared non-disabled","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Analysis","350","340","32740","29750"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Commercial","150","150","36010","35900"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Communications","210","200","39280","36970"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","670","660","42420","40580"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Finance","320","310","42120","37700"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Grants Management","2090","1920","25070","21300"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Human Resources","220","210","41710","37360"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","No function","4920","4720","37780","34960"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Project Delivery","240","230","34770","31240"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Property","290","270","39750","36520"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","130","120","40600","38750"
"In post","2022","Declared non-disabled","Department for International Trade","Analysis","150","150","44970","42870"
"In post","2022","Declared non-disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for International Trade","Communications","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Department for International Trade","Digital, Data & Technology","80","80","46830","44200"
"In post","2022","Declared non-disabled","Department for International Trade","Finance","60","60","48090","44030"
"In post","2022","Declared non-disabled","Department for International Trade","Human Resources","70","70","45340","48100"
"In post","2022","Declared non-disabled","Department for International Trade","No function","1060","1050","47790","47190"
"In post","2022","Declared non-disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Analysis","180","180","47710","53130"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Commercial","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Communications","70","70","43960","39600"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Digital, Data & Technology","130","120","45290","40720"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Finance","110","110","50000","48200"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Human Resources","80","80","42280","37170"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","No function","2180","2090","45910","42880"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Project Delivery","140","140","44880","40550"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Transport","Analysis","280","270","46820","45540"
"In post","2022","Declared non-disabled","Department for Transport","Commercial","290","280","39710","34710"
"In post","2022","Declared non-disabled","Department for Transport","Communications","160","150","38050","33350"
"In post","2022","Declared non-disabled","Department for Transport","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Transport","Digital, Data & Technology","900","890","39800","38650"
"In post","2022","Declared non-disabled","Department for Transport","Finance","360","340","41060","38650"
"In post","2022","Declared non-disabled","Department for Transport","Human Resources","350","330","36430","32250"
"In post","2022","Declared non-disabled","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Transport","No function","8180","7490","31420","26780"
"In post","2022","Declared non-disabled","Department for Transport","Project Delivery","430","420","47410","42890"
"In post","2022","Declared non-disabled","Department for Transport","Property","100","100","33340","30730"
"In post","2022","Declared non-disabled","Department for Transport","Security","160","160","39130","37660"
"In post","2022","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Analysis","530","500","43270","37380"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Commercial","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Communications","150","140","42300","41020"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Counter Fraud","4860","4330","27560","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Debt","1890","1610","22690","21260"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Digital, Data & Technology","3100","2970","42290","36970"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Finance","1530","1440","38670","35310"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Human Resources","1210","1130","34710","31880"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Legal","60","60","36020","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","No function","54300","48570","27120","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Project Delivery","1140","1020","35360","32660"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Property","170","160","42240","37710"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Security","100","90","31440","31990"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Unknown","1290","1210","39010","35310"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Analysis","150","140","53540","53360"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Commercial","140","140","49710","49530"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Communications","160","150","45440","41010"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Digital, Data & Technology","190","180","44710","40450"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Finance","220","210","42920","40650"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Human Resources","210","200","42480","36110"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department of Health and Social Care","No function","3980","3670","42050","36330"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Property","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Unknown","80","70","51400","50620"
"In post","2022","Declared non-disabled","Estyn","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Project Delivery","80","80","65000","75480"
"In post","2022","Declared non-disabled","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Communications","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","No function","700","680","35980","30810"
"In post","2022","Declared non-disabled","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Analysis","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Commercial","120","110","42920","39630"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Communications","60","60","51360","50840"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Digital, Data & Technology","190","190","44060","41610"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Finance","200","200","44650","40930"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Human Resources","250","240","47920","43160"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Internal Audit","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Legal","110","90","56570","57540"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","No function","2680","2650","48270","40120"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Project Delivery","1020","990","53120","55060"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Property","350","340","42790","40330"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Security","470","450","39180","34770"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","160","160","50980","49430"
"In post","2022","Declared non-disabled","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Digital, Data & Technology","420","400","39560","38450"
"In post","2022","Declared non-disabled","HM Land Registry","Finance","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Human Resources","80","70","40820","38550"
"In post","2022","Declared non-disabled","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Legal","170","150","49730","56870"
"In post","2022","Declared non-disabled","HM Land Registry","No function","3270","2890","30130","27130"
"In post","2022","Declared non-disabled","HM Land Registry","Project Delivery","110","110","40760","38550"
"In post","2022","Declared non-disabled","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Analysis","580","560","47080","40520"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Commercial","100","100","38580","40180"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Communications","2610","2520","31160","26820"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Counter Fraud","5880","5560","35840","33370"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Debt","2360","2140","24990","22080"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Digital, Data & Technology","1810","1750","42480","40180"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Finance","1720","1560","35630","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Human Resources","1130","1060","38490","33370"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Internal Audit","50","50","47270","43560"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Legal","780","740","44150","37930"
"In post","2022","Declared non-disabled","HM Revenue and Customs","No function","19070","17570","32070","28570"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Project Delivery","3250","3110","46700","40520"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Property","2380","2210","35930","31900"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Security","110","110","43700","40520"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Finance","80","80","49250","52500"
"In post","2022","Declared non-disabled","HM Treasury","Human Resources","80","80","41840","39040"
"In post","2022","Declared non-disabled","HM Treasury","Internal Audit","280","260","49310","47060"
"In post","2022","Declared non-disabled","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","No function","1300","1280","48870","52500"
"In post","2022","Declared non-disabled","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Home Office","Unknown","26120","24320","32690","28650"
"In post","2022","Declared non-disabled","Ministry of Defence","Analysis","710","680","40410","38070"
"In post","2022","Declared non-disabled","Ministry of Defence","Commercial","1240","1200","38430","35000"
"In post","2022","Declared non-disabled","Ministry of Defence","Communications","410","400","35760","33300"
"In post","2022","Declared non-disabled","Ministry of Defence","Digital, Data & Technology","2090","2050","34280","33000"
"In post","2022","Declared non-disabled","Ministry of Defence","Finance","1570","1510","38370","33300"
"In post","2022","Declared non-disabled","Ministry of Defence","Human Resources","1530","1440","32830","26930"
"In post","2022","Declared non-disabled","Ministry of Defence","Internal Audit","100","100","38110","36050"
"In post","2022","Declared non-disabled","Ministry of Defence","Legal","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Defence","No function","3190","3080","39400","38070"
"In post","2022","Declared non-disabled","Ministry of Defence","Project Delivery","10580","10240","39310","37830"
"In post","2022","Declared non-disabled","Ministry of Defence","Property","1710","1670","32360","33000"
"In post","2022","Declared non-disabled","Ministry of Defence","Security","4570","4480","30360","26680"
"In post","2022","Declared non-disabled","Ministry of Defence","Unknown","11770","11320","31210","26670"
"In post","2022","Declared non-disabled","Ministry of Justice","Analysis","370","360","47430","42440"
"In post","2022","Declared non-disabled","Ministry of Justice","Commercial","180","170","35430","36050"
"In post","2022","Declared non-disabled","Ministry of Justice","Communications","110","110","45500","41750"
"In post","2022","Declared non-disabled","Ministry of Justice","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Justice","Digital, Data & Technology","850","840","46530","42580"
"In post","2022","Declared non-disabled","Ministry of Justice","Finance","500","490","42740","41100"
"In post","2022","Declared non-disabled","Ministry of Justice","Human Resources","770","740","41630","36210"
"In post","2022","Declared non-disabled","Ministry of Justice","Internal Audit","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Justice","No function","53260","49870","29870","27120"
"In post","2022","Declared non-disabled","Ministry of Justice","Project Delivery","200","200","43100","41750"
"In post","2022","Declared non-disabled","Ministry of Justice","Property","410","400","42980","41100"
"In post","2022","Declared non-disabled","Ministry of Justice","Security","540","530","39700","37740"
"In post","2022","Declared non-disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Digital, Data & Technology","90","80","45270","45480"
"In post","2022","Declared non-disabled","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Human Resources","60","60","42820","40600"
"In post","2022","Declared non-disabled","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","No function","1380","1340","43750","41000"
"In post","2022","Declared non-disabled","National Crime Agency","Project Delivery","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","No function","70","70","47790","41750"
"In post","2022","Declared non-disabled","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Analysis","110","100","41030","35010"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Communications","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","60","50","47570","39850"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Human Resources","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","No function","1180","1140","53670","51360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Project Delivery","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Analysis","150","150","44260","37040"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Communications","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Digital, Data & Technology","60","60","55180","52000"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Human Resources","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Legal","80","70","61880","63000"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","No function","760","750","40600","33400"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","No function","150","140","44640","38000"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Analysis","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","No function","220","210","55710","55410"
"In post","2022","Declared non-disabled","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","Unknown","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Communications","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Digital, Data & Technology","110","110","40320","37710"
"In post","2022","Declared non-disabled","Scottish Government","Finance","60","60","36140","32380"
"In post","2022","Declared non-disabled","Scottish Government","Human Resources","100","100","37910","35000"
"In post","2022","Declared non-disabled","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Legal","650","610","54060","53490"
"In post","2022","Declared non-disabled","Scottish Government","No function","2320","2190","29140","26900"
"In post","2022","Declared non-disabled","Scottish Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Unknown","8630","8310","41000","36130"
"In post","2022","Declared non-disabled","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","Digital, Data & Technology","90","90","39620","38120"
"In post","2022","Declared non-disabled","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The National Archives","No function","200","190","35310","33500"
"In post","2022","Declared non-disabled","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Commercial","190","190","51950","47000"
"In post","2022","Declared non-disabled","UK Export Finance","Communications","60","60","57070","52500"
"In post","2022","Declared non-disabled","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Finance","60","60","47070","41000"
"In post","2022","Declared non-disabled","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Analysis","1080","1020","39160","36840"
"In post","2022","Declared non-disabled","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Digital, Data & Technology","270","260","43470","40750"
"In post","2022","Declared non-disabled","UK Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Human Resources","80","70","40510","36840"
"In post","2022","Declared non-disabled","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","No function","1270","1040","28650","23880"
"In post","2022","Declared non-disabled","UK Statistics Authority","Project Delivery","130","120","42000","36840"
"In post","2022","Declared non-disabled","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Security","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
