"Status","Year","Function_of_post","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","Female","Undeclared","170","160","48730","51670"
"In post","2022","Legal","Female","Unknown","890","810","46830","49470"
"In post","2022","Legal","Female","White","5450","4940","45670","48080"
"In post","2022","Legal","Male","Asian","370","360","44740","48080"
"In post","2022","Legal","Male","Black","180","170","43020","37930"
"In post","2022","Legal","Male","Mixed","110","110","48730","50500"
"In post","2022","Legal","Male","Other ethnicity","50","40","[c]","[c]"
"In post","2022","Legal","Male","Undeclared","170","170","50040","52730"
"In post","2022","Legal","Male","Unknown","500","490","48850","51070"
"In post","2022","Legal","Male","White","2960","2870","50180","51830"
"In post","2022","No function","Female","Asian","10190","9170","31230","27570"
"In post","2022","No function","Female","Black","6620","6280","31340","30210"
"In post","2022","No function","Female","Mixed","3210","3000","32370","28990"
"In post","2022","No function","Female","Other ethnicity","870","810","34120","30750"
"In post","2022","No function","Female","Undeclared","4600","4040","31040","27570"
"In post","2022","No function","Female","Unknown","21550","19790","29630","26820"
"In post","2022","No function","Female","White","112630","100420","30830","27570"
"In post","2022","No function","Male","Asian","7750","7510","31850","27570"
"In post","2022","No function","Male","Black","3610","3530","32250","31060"
"In post","2022","No function","Male","Mixed","2140","2090","34980","31060"
"In post","2022","No function","Male","Other ethnicity","720","700","35930","31650"
"In post","2022","No function","Male","Undeclared","5350","5110","34640","31060"
"In post","2022","No function","Male","Unknown","18010","17390","31320","27570"
"In post","2022","No function","Male","White","77280","74220","34000","29290"
"In post","2022","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","Asian","620","580","41570","37930"
"In post","2022","Project Delivery","Female","Black","400","390","39670","37930"
"In post","2022","Project Delivery","Female","Mixed","230","220","41610","37930"
"In post","2022","Project Delivery","Female","Other ethnicity","50","50","42410","40000"
"In post","2022","Project Delivery","Female","Undeclared","380","360","39540","38070"
"In post","2022","Project Delivery","Female","Unknown","1230","1170","42420","40000"
"In post","2022","Project Delivery","Female","White","8940","8340","40910","38000"
"In post","2022","Project Delivery","Male","Asian","640","630","42400","39920"
"In post","2022","Project Delivery","Male","Black","280","280","39700","37610"
"In post","2022","Project Delivery","Male","Mixed","220","210","43140","40050"
"In post","2022","Project Delivery","Male","Other ethnicity","70","70","45740","45590"
"In post","2022","Project Delivery","Male","Undeclared","890","870","43530","40850"
"In post","2022","Project Delivery","Male","Unknown","1470","1450","42400","40000"
"In post","2022","Project Delivery","Male","White","11150","10910","43240","40520"
"In post","2022","Project Delivery","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Asian","220","200","35560","31890"
"In post","2022","Property","Female","Black","130","120","37280","34260"
"In post","2022","Property","Female","Mixed","60","60","36220","32890"
"In post","2022","Property","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","Undeclared","290","250","34730","31660"
"In post","2022","Property","Female","Unknown","540","510","29660","26030"
"In post","2022","Property","Female","White","2900","2720","35430","33000"
"In post","2022","Property","Male","Asian","250","240","36550","32280"
"In post","2022","Property","Male","Black","80","70","38430","34550"
"In post","2022","Property","Male","Mixed","50","50","37630","37610"
"In post","2022","Property","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Property","Male","Undeclared","420","400","39220","34720"
"In post","2022","Property","Male","Unknown","800","780","33850","29900"
"In post","2022","Property","Male","White","3800","3710","39150","35410"
"In post","2022","Security","Female","Asian","120","120","35030","32260"
"In post","2022","Security","Female","Black","40","40","[c]","[c]"
"In post","2022","Security","Female","Mixed","50","50","36830","34670"
"In post","2022","Security","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Security","Female","Undeclared","90","90","36860","34660"
"In post","2022","Security","Female","Unknown","340","330","31650","28700"
"In post","2022","Security","Female","White","2100","2020","33050","31180"
"In post","2022","Security","Male","Asian","200","200","32690","30320"
"In post","2022","Security","Male","Black","90","90","31930","28890"
"In post","2022","Security","Male","Mixed","80","80","37390","34380"
"In post","2022","Security","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Security","Male","Undeclared","440","430","36690","38630"
"In post","2022","Security","Male","Unknown","1090","1080","31730","27700"
"In post","2022","Security","Male","White","6020","5900","32650","30890"
"In post","2022","Unknown","Female","Asian","3120","2840","32270","28990"
"In post","2022","Unknown","Female","Black","1440","1350","33230","29250"
"In post","2022","Unknown","Female","Mixed","660","620","36310","30830"
"In post","2022","Unknown","Female","Other ethnicity","150","140","34340","29430"
"In post","2022","Unknown","Female","Undeclared","1300","1190","34010","29430"
"In post","2022","Unknown","Female","Unknown","5100","4870","34270","28650"
"In post","2022","Unknown","Female","White","29740","27470","34590","29430"
"In post","2022","Unknown","Male","Asian","2280","2210","32940","29030"
"In post","2022","Unknown","Male","Black","780","760","33940","29080"
"In post","2022","Unknown","Male","Mixed","470","460","35930","30830"
"In post","2022","Unknown","Male","Other ethnicity","130","130","33980","28670"
"In post","2022","Unknown","Male","Undeclared","2100","2020","35650","31100"
"In post","2022","Unknown","Male","Unknown","6090","5970","35760","31540"
"In post","2022","Unknown","Male","White","26300","25580","35820","30820"
"Leaver CS","2021","Analysis","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Female","White","70","70","33510","29540"
"Leaver CS","2021","Analysis","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Male","White","90","90","41670","35770"
"Leaver CS","2021","Commercial","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Female","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","Female","White","70","70","39320","34090"
"Leaver CS","2021","Commercial","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","Male","White","80","80","42820","40000"
"Leaver CS","2021","Communications","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Communications","Female","White","70","60","36950","33340"
"Leaver CS","2021","Communications","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Male","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Communications","Male","White","70","70","39170","31420"
"Leaver CS","2021","Communications","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Female","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Female","White","80","70","41980","38100"
"Leaver CS","2021","Digital, Data & Technology","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Male","Unknown","90","80","41270","38450"
"Leaver CS","2021","Digital, Data & Technology","Male","White","150","140","43050","39210"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Female","White","90","80","36170","32430"
"Leaver CS","2021","Finance","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Male","White","70","70","47220","46890"
"Leaver CS","2021","Finance","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","Female","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Grants Management","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Female","White","140","130","36260","32000"
"Leaver CS","2021","Human Resources","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Male","White","90","90","40770","36800"
"Leaver CS","2021","Human Resources","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Female","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Female","Unknown","110","90","36130","26550"
"Leaver CS","2021","Legal","Female","White","220","180","45880","45960"
"Leaver CS","2021","Legal","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Male","Unknown","100","90","37220","29350"
"Leaver CS","2021","Legal","Male","White","150","130","50780","52440"
"Leaver CS","2021","No function","Female","Asian","200","180","29780","23610"
"Leaver CS","2021","No function","Female","Black","120","120","28380","23510"
"Leaver CS","2021","No function","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Female","Mixed","80","70","[c]","[c]"
"Leaver CS","2021","No function","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Female","Undeclared","210","170","28510","22680"
"Leaver CS","2021","No function","Female","Unknown","1120","1050","27670","22430"
"Leaver CS","2021","No function","Female","White","2860","2480","30740","23360"
"Leaver CS","2021","No function","Male","Asian","140","130","32730","26790"
"Leaver CS","2021","No function","Male","Black","90","90","[c]","[c]"
"Leaver CS","2021","No function","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Male","Mixed","60","60","[c]","[c]"
"Leaver CS","2021","No function","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Male","Undeclared","200","180","32850","30460"
"Leaver CS","2021","No function","Male","Unknown","1180","1120","32690","26380"
"Leaver CS","2021","No function","Male","White","2820","2550","35730","27830"
"Leaver CS","2021","No function","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Female","White","220","200","35940","32880"
"Leaver CS","2021","Project Delivery","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","Male","Unknown","90","80","33880","30760"
"Leaver CS","2021","Project Delivery","Male","White","400","380","40640","37390"
"Leaver CS","2021","Property","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Female","Unknown","70","60","27010","23670"
"Leaver CS","2021","Property","Female","White","110","90","29190","26000"
"Leaver CS","2021","Property","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Male","Unknown","100","80","27840","25100"
"Leaver CS","2021","Property","Male","White","230","210","33320","30660"
"Leaver CS","2021","Security","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Female","White","40","40","[c]","[c]"
"Leaver CS","2021","Security","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Male","Unknown","80","80","28240","25680"
"Leaver CS","2021","Security","Male","White","240","230","30290","27050"
"Leaver CS","2021","Unknown","Female","Asian","380","310","26910","25120"
"Leaver CS","2021","Unknown","Female","Black","170","150","29180","25740"
"Leaver CS","2021","Unknown","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Mixed","110","100","28840","25220"
"Leaver CS","2021","Unknown","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Undeclared","310","250","27230","26670"
"Leaver CS","2021","Unknown","Female","Unknown","1700","1420","29860","27570"
"Leaver CS","2021","Unknown","Female","White","5410","4310","28540","26120"
"Leaver CS","2021","Unknown","Male","Asian","300","270","28600","26890"
"Leaver CS","2021","Unknown","Male","Black","100","100","29180","25630"
"Leaver CS","2021","Unknown","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Mixed","80","70","30110","27570"
"Leaver CS","2021","Unknown","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Undeclared","360","320","31350","27570"
"Leaver CS","2021","Unknown","Male","Unknown","1460","1310","32660","28170"
"Leaver CS","2021","Unknown","Male","White","3690","3290","31620","27570"
"Leaver CS","2021","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","White","50","50","49630","41090"
"Leaver CS","2022","Analysis","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Female","White","140","120","36560","33150"
"Leaver CS","2022","Analysis","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Analysis","Male","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Male","White","170","150","41370","36560"
"Leaver CS","2022","Commercial","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
