"Status","Year","Function_of_post","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Finance","65+","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","16-19","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Cumbria","110","110","22190","21300"
"In post","2022","Grants Management","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2022","Grants Management","20-29","North Yorkshire","30","30","[c]","[c]"
"In post","2022","Grants Management","20-29","Northumberland, and Tyne and Wear","100","100","22140","21300"
"In post","2022","Grants Management","20-29","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","20-29","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Cumbria","140","130","22950","21300"
"In post","2022","Grants Management","30-39","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2022","Grants Management","30-39","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","North Yorkshire","50","40","[c]","[c]"
"In post","2022","Grants Management","30-39","Northumberland, and Tyne and Wear","80","70","23740","21300"
"In post","2022","Grants Management","30-39","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","30-39","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Berkshire, Buckinghamshire and Oxfordshire","50","50","25850","24920"
"In post","2022","Grants Management","40-49","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Cumbria","280","240","24760","21300"
"In post","2022","Grants Management","40-49","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Devon","70","60","27140","25320"
"In post","2022","Grants Management","40-49","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2022","Grants Management","40-49","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Northumberland, and Tyne and Wear","110","100","25330","21300"
"In post","2022","Grants Management","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","40-49","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Berkshire, Buckinghamshire and Oxfordshire","60","60","32020","29180"
"In post","2022","Grants Management","50-59","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Cumbria","170","150","25820","21300"
"In post","2022","Grants Management","50-59","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Devon","70","60","26570","25880"
"In post","2022","Grants Management","50-59","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2022","Grants Management","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","North Yorkshire","50","50","30420","26420"
"In post","2022","Grants Management","50-59","Northumberland, and Tyne and Wear","80","70","27290","24920"
"In post","2022","Grants Management","50-59","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","50-59","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Cumbria","60","50","23550","21300"
"In post","2022","Grants Management","60-64","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","60-64","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Cheshire","40","30","[c]","[c]"
"In post","2022","Human Resources","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Derbyshire and Nottinghamshire","70","70","31970","33080"
"In post","2022","Human Resources","20-29","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","East Wales","60","60","27570","26590"
"In post","2022","Human Resources","20-29","Eastern Scotland","50","40","[c]","[c]"
"In post","2022","Human Resources","20-29","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","120","120","26130","24050"
"In post","2022","Human Resources","20-29","Greater Manchester","90","90","30740","28460"
"In post","2022","Human Resources","20-29","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2022","Human Resources","20-29","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Inner London - East","80","80","35880","32330"
"In post","2022","Human Resources","20-29","Inner London - West","480","470","35890","32940"
"In post","2022","Human Resources","20-29","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Lancashire","30","30","[c]","[c]"
"In post","2022","Human Resources","20-29","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Merseyside","80","80","26910","25480"
"In post","2022","Human Resources","20-29","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Northumberland, and Tyne and Wear","120","120","25520","24100"
"In post","2022","Human Resources","20-29","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","West Central Scotland","60","60","26150","23330"
"In post","2022","Human Resources","20-29","West Midlands","40","40","[c]","[c]"
"In post","2022","Human Resources","20-29","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","West Yorkshire","70","70","33350","30450"
"In post","2022","Human Resources","30-39","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Cheshire","50","50","29020","23390"
"In post","2022","Human Resources","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Derbyshire and Nottinghamshire","110","100","36760","33370"
"In post","2022","Human Resources","30-39","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","East Anglia","50","40","[c]","[c]"
"In post","2022","Human Resources","30-39","East Wales","150","140","37530","33080"
"In post","2022","Human Resources","30-39","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Eastern Scotland","80","80","37130","35680"
"In post","2022","Human Resources","30-39","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","240","220","34490","33070"
"In post","2022","Human Resources","30-39","Greater Manchester","180","170","37390","34550"
"In post","2022","Human Resources","30-39","Hampshire and Isle of Wight","60","50","32780","27570"
"In post","2022","Human Resources","30-39","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Inner London - East","120","110","44650","40600"
"In post","2022","Human Resources","30-39","Inner London - West","500","480","46690","42440"
"In post","2022","Human Resources","30-39","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Lancashire","70","70","28030","26670"
"In post","2022","Human Resources","30-39","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Merseyside","90","80","32950","30450"
"In post","2022","Human Resources","30-39","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Northumberland, and Tyne and Wear","230","210","29590","27570"
"In post","2022","Human Resources","30-39","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Outer London - South","30","30","[c]","[c]"
"In post","2022","Human Resources","30-39","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2022","Human Resources","30-39","South Yorkshire","50","40","[c]","[c]"
"In post","2022","Human Resources","30-39","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","West Central Scotland","120","120","27340","26500"
"In post","2022","Human Resources","30-39","West Midlands","80","70","37930","32760"
"In post","2022","Human Resources","30-39","West Wales and The Valleys","80","80","30710","30730"
"In post","2022","Human Resources","30-39","West Yorkshire","80","80","39720","36050"
"In post","2022","Human Resources","40-49","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Cheshire","50","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Derbyshire and Nottinghamshire","150","140","39190","33840"
"In post","2022","Human Resources","40-49","Devon","60","60","38930","33840"
"In post","2022","Human Resources","40-49","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","East Anglia","50","50","[c]","[c]"
"In post","2022","Human Resources","40-49","East Wales","120","110","39920","36770"
"In post","2022","Human Resources","40-49","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Eastern Scotland","70","60","36570","33540"
"In post","2022","Human Resources","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","210","190","39620","36740"
"In post","2022","Human Resources","40-49","Greater Manchester","150","150","39950","37300"
"In post","2022","Human Resources","40-49","Hampshire and Isle of Wight","70","70","40530","33300"
"In post","2022","Human Resources","40-49","Herefordshire, Worcestershire and Warwickshire","40","30","[c]","[c]"
"In post","2022","Human Resources","40-49","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Inner London - East","120","120","50310","44360"
"In post","2022","Human Resources","40-49","Inner London - West","520","500","51040","50400"
"In post","2022","Human Resources","40-49","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Lancashire","100","90","33100","27570"
"In post","2022","Human Resources","40-49","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Merseyside","100","90","36890","33370"
"In post","2022","Human Resources","40-49","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","North Yorkshire","40","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Northumberland, and Tyne and Wear","210","190","33120","27570"
"In post","2022","Human Resources","40-49","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Outer London - South","30","30","[c]","[c]"
"In post","2022","Human Resources","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","South Yorkshire","60","50","40630","37710"
"In post","2022","Human Resources","40-49","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Surrey, East and West Sussex","50","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","West Central Scotland","150","150","27870","23090"
"In post","2022","Human Resources","40-49","West Midlands","90","80","42040","38040"
"In post","2022","Human Resources","40-49","West Wales and The Valleys","80","80","33100","30890"
"In post","2022","Human Resources","40-49","West Yorkshire","150","140","43740","41370"
"In post","2022","Human Resources","50-59","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Berkshire, Buckinghamshire and Oxfordshire","60","60","43280","40190"
"In post","2022","Human Resources","50-59","Cheshire","90","90","30970","27570"
"In post","2022","Human Resources","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Derbyshire and Nottinghamshire","150","140","39270","33840"
"In post","2022","Human Resources","50-59","Devon","40","40","[c]","[c]"
"In post","2022","Human Resources","50-59","Dorset and Somerset","30","30","[c]","[c]"
"In post","2022","Human Resources","50-59","East Anglia","70","60","38840","35310"
"In post","2022","Human Resources","50-59","East Wales","110","110","37730","33370"
"In post","2022","Human Resources","50-59","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Eastern Scotland","80","80","38390","36360"
"In post","2022","Human Resources","50-59","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","240","230","41410","38650"
"In post","2022","Human Resources","50-59","Greater Manchester","170","160","40570","37390"
"In post","2022","Human Resources","50-59","Hampshire and Isle of Wight","100","90","36860","34550"
"In post","2022","Human Resources","50-59","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2022","Human Resources","50-59","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Inner London - East","150","150","51360","47240"
"In post","2022","Human Resources","50-59","Inner London - West","510","500","50240","44640"
"In post","2022","Human Resources","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Lancashire","180","170","32950","27570"
"In post","2022","Human Resources","50-59","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Merseyside","130","130","39020","34110"
"In post","2022","Human Resources","50-59","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","North Yorkshire","30","30","[c]","[c]"
"In post","2022","Human Resources","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Northumberland, and Tyne and Wear","190","180","33930","31990"
"In post","2022","Human Resources","50-59","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Outer London - South","60","50","49930","46600"
"In post","2022","Human Resources","50-59","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Shropshire and Staffordshire","50","50","[c]","[c]"
"In post","2022","Human Resources","50-59","South Yorkshire","90","80","40230","34290"
"In post","2022","Human Resources","50-59","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Surrey, East and West Sussex","60","50","33120","28920"
"In post","2022","Human Resources","50-59","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","West Central Scotland","290","270","27510","22330"
"In post","2022","Human Resources","50-59","West Midlands","70","70","44970","40000"
"In post","2022","Human Resources","50-59","West Wales and The Valleys","80","80","34770","31610"
"In post","2022","Human Resources","50-59","West Yorkshire","140","140","41140","36400"
"In post","2022","Human Resources","60-64","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","33190","29780"
"In post","2022","Human Resources","60-64","Greater Manchester","30","20","[c]","[c]"
"In post","2022","Human Resources","60-64","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Inner London - West","100","90","48460","43870"
"In post","2022","Human Resources","60-64","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Lancashire","30","20","[c]","[c]"
"In post","2022","Human Resources","60-64","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Merseyside","30","30","[c]","[c]"
"In post","2022","Human Resources","60-64","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Northumberland, and Tyne and Wear","70","50","30410","27190"
