"Status","Year","Region_ITL1","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Wales","SCS","Female","130","130","83450","78460"
"In post","2022","Wales","SCS","Male","190","190","88150","79950"
"In post","2022","Wales","SEO/HEO","Female","5440","5110","37060","37350"
"In post","2022","Wales","SEO/HEO","Male","4690","4570","37810","37770"
"In post","2022","Wales","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Unknown","Female","1080","1010","29030","26820"
"In post","2022","Wales","Unknown","Male","350","340","30510","28760"
"In post","2022","West Midlands (England)","AA/AO","Female","6070","5270","21670","21260"
"In post","2022","West Midlands (England)","AA/AO","Male","4270","4100","23210","21260"
"In post","2022","West Midlands (England)","EO","Female","5730","5140","27110","27570"
"In post","2022","West Midlands (England)","EO","Male","4120","3990","27610","27570"
"In post","2022","West Midlands (England)","G6/G7","Female","1490","1420","56630","54540"
"In post","2022","West Midlands (England)","G6/G7","Male","1380","1350","58050","55210"
"In post","2022","West Midlands (England)","SCS","Female","100","100","94140","85570"
"In post","2022","West Midlands (England)","SCS","Male","120","110","99940","90200"
"In post","2022","West Midlands (England)","SEO/HEO","Female","4220","3990","35780","34000"
"In post","2022","West Midlands (England)","SEO/HEO","Male","3590","3510","36580","35480"
"In post","2022","West Midlands (England)","Unknown","Female","1570","1430","29100","28200"
"In post","2022","West Midlands (England)","Unknown","Male","530","480","30690","28200"
"In post","2022","Yorkshire and The Humber","AA/AO","Female","6040","5150","22010","21260"
"In post","2022","Yorkshire and The Humber","AA/AO","Male","5250","5000","23730","21680"
"In post","2022","Yorkshire and The Humber","EO","Female","6100","5410","27030","27570"
"In post","2022","Yorkshire and The Humber","EO","Male","4890","4710","27620","27380"
"In post","2022","Yorkshire and The Humber","G6/G7","Female","2310","2180","55920","53360"
"In post","2022","Yorkshire and The Humber","G6/G7","Male","2190","2150","57170","55210"
"In post","2022","Yorkshire and The Humber","SCS","Female","140","130","85090","77800"
"In post","2022","Yorkshire and The Humber","SCS","Male","150","150","85640","77630"
"In post","2022","Yorkshire and The Humber","SEO/HEO","Female","5400","5050","35180","33840"
"In post","2022","Yorkshire and The Humber","SEO/HEO","Male","4670","4540","36050","35310"
"In post","2022","Yorkshire and The Humber","Unknown","Female","1590","1450","29580","28200"
"In post","2022","Yorkshire and The Humber","Unknown","Male","500","470","30450","28200"
"Leaver CS","2021","East Midlands (England)","AA/AO","Female","470","390","20090","20180"
"Leaver CS","2021","East Midlands (England)","AA/AO","Male","360","340","20820","20420"
"Leaver CS","2021","East Midlands (England)","EO","Female","210","180","26070","26930"
"Leaver CS","2021","East Midlands (England)","EO","Male","200","180","27910","27570"
"Leaver CS","2021","East Midlands (England)","G6/G7","Female","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Female","140","130","36410","34290"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Male","110","100","35500","34510"
"Leaver CS","2021","East Midlands (England)","Unknown","Female","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","AA/AO","Female","440","380","21160","21010"
"Leaver CS","2021","East of England","AA/AO","Male","410","390","22560","21430"
"Leaver CS","2021","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","EO","Female","260","220","27370","27570"
"Leaver CS","2021","East of England","EO","Male","160","140","27650","27570"
"Leaver CS","2021","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","G6/G7","Female","40","30","[c]","[c]"
"Leaver CS","2021","East of England","G6/G7","Male","50","50","[c]","[c]"
"Leaver CS","2021","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SEO/HEO","Female","160","140","35970","34530"
"Leaver CS","2021","East of England","SEO/HEO","Male","180","160","39450","37600"
"Leaver CS","2021","East of England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","Female","50","40","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","AA/AO","Female","700","620","22770","22680"
"Leaver CS","2021","London","AA/AO","Male","570","540","23180","22890"
"Leaver CS","2021","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","EO","Female","640","560","28490","28860"
"Leaver CS","2021","London","EO","Male","500","450","28980","29390"
"Leaver CS","2021","London","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","G6/G7","Female","500","430","60730","58570"
"Leaver CS","2021","London","G6/G7","Male","560","510","61010","58450"
"Leaver CS","2021","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","SCS","Female","110","90","93400","86540"
"Leaver CS","2021","London","SCS","Male","140","120","104620","96490"
"Leaver CS","2021","London","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","SEO/HEO","Female","680","630","37380","37000"
"Leaver CS","2021","London","SEO/HEO","Male","710","650","37890","37410"
"Leaver CS","2021","London","SEO/HEO","Unknown","30","30","[c]","[c]"
