"Status","Year","Region_ITL1","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Black","Hounslow and Richmond upon Thames","170","170","31040","31060"
"In post","2021","London","Black","Kensington & Chelsea and Hammersmith & Fulham","210","200","31130","31060"
"In post","2021","London","Black","Lambeth","570","550","35810","31880"
"In post","2021","London","Black","Lewisham and Southwark","410","400","30990","31060"
"In post","2021","London","Black","Merton, Kingston upon Thames and Sutton","90","90","30780","31060"
"In post","2021","London","Black","Redbridge and Waltham Forest","180","170","30340","31060"
"In post","2021","London","Black","Tower Hamlets","590","580","38000","34430"
"In post","2021","London","Black","Wandsworth","230","220","31250","31060"
"In post","2021","London","Black","Westminster","3440","3370","38590","34710"
"In post","2021","London","Chinese","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Brent","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Croydon","60","60","40400","36160"
"In post","2021","London","Chinese","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Tower Hamlets","60","60","51640","52970"
"In post","2021","London","Chinese","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Westminster","330","330","45090","41030"
"In post","2021","London","Mixed","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Barnet","70","70","34350","31060"
"In post","2021","London","Mixed","Bexley and Greenwich","60","60","31680","31060"
"In post","2021","London","Mixed","Brent","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Camden and City of London","100","100","36800","31060"
"In post","2021","London","Mixed","Croydon","320","300","36250","32000"
"In post","2021","London","Mixed","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Hackney and Newham","80","70","32000","31060"
"In post","2021","London","Mixed","Haringey and Islington","70","70","31930","31060"
"In post","2021","London","Mixed","Harrow and Hillingdon","70","60","31290","31060"
"In post","2021","London","Mixed","Hounslow and Richmond upon Thames","90","80","30890","31060"
"In post","2021","London","Mixed","Kensington & Chelsea and Hammersmith & Fulham","40","40","[c]","[c]"
"In post","2021","London","Mixed","Lambeth","150","140","37360","32330"
"In post","2021","London","Mixed","Lewisham and Southwark","60","60","32540","31060"
"In post","2021","London","Mixed","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Redbridge and Waltham Forest","30","30","[c]","[c]"
"In post","2021","London","Mixed","Tower Hamlets","260","250","43530","40450"
"In post","2021","London","Mixed","Wandsworth","40","40","[c]","[c]"
"In post","2021","London","Mixed","Westminster","1880","1830","45250","40760"
"In post","2021","London","Other ethnicity","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Barnet","40","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Brent","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Camden and City of London","40","40","[c]","[c]"
"In post","2021","London","Other ethnicity","Croydon","90","90","35480","31060"
"In post","2021","London","Other ethnicity","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Hackney and Newham","40","40","[c]","[c]"
"In post","2021","London","Other ethnicity","Haringey and Islington","30","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Harrow and Hillingdon","40","40","[c]","[c]"
"In post","2021","London","Other ethnicity","Hounslow and Richmond upon Thames","40","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Lambeth","60","60","44580","38240"
"In post","2021","London","Other ethnicity","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Tower Hamlets","110","100","50680","51260"
"In post","2021","London","Other ethnicity","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Westminster","640","620","45740","40140"
"In post","2021","London","Undeclared","Barking & Dagenham and Havering","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Barnet","120","110","42810","36820"
"In post","2021","London","Undeclared","Bexley and Greenwich","80","70","32730","31120"
"In post","2021","London","Undeclared","Brent","50","50","31610","31060"
"In post","2021","London","Undeclared","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Camden and City of London","250","230","38390","36160"
"In post","2021","London","Undeclared","Croydon","530","500","38220","35200"
"In post","2021","London","Undeclared","Ealing","40","40","[c]","[c]"
"In post","2021","London","Undeclared","Enfield","40","30","[c]","[c]"
"In post","2021","London","Undeclared","Hackney and Newham","200","190","32030","30330"
"In post","2021","London","Undeclared","Haringey and Islington","70","70","30260","31060"
"In post","2021","London","Undeclared","Harrow and Hillingdon","290","260","32750","30410"
"In post","2021","London","Undeclared","Hounslow and Richmond upon Thames","90","90","34790","31890"
"In post","2021","London","Undeclared","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Lambeth","270","250","42780","37430"
"In post","2021","London","Undeclared","Lewisham and Southwark","90","80","32830","31060"
"In post","2021","London","Undeclared","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Redbridge and Waltham Forest","80","70","29310","31060"
"In post","2021","London","Undeclared","Tower Hamlets","300","290","48760","44610"
"In post","2021","London","Undeclared","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Westminster","2030","1990","48130","45020"
"In post","2021","London","Unknown","Barking & Dagenham and Havering","60","50","28700","31060"
"In post","2021","London","Unknown","Barnet","70","70","34930","31060"
"In post","2021","London","Unknown","Bexley and Greenwich","250","250","30270","31050"
"In post","2021","London","Unknown","Brent","80","80","31530","30850"
"In post","2021","London","Unknown","Bromley","40","40","[c]","[c]"
"In post","2021","London","Unknown","Camden and City of London","580","570","33680","30160"
"In post","2021","London","Unknown","Croydon","1110","1080","36940","32520"
"In post","2021","London","Unknown","Ealing","50","40","[c]","[c]"
"In post","2021","London","Unknown","Enfield","40","30","[c]","[c]"
"In post","2021","London","Unknown","Hackney and Newham","380","360","36080","32520"
"In post","2021","London","Unknown","Haringey and Islington","280","270","28240","30220"
