"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Heterosexual / straight","UK Hydrographic Office","160","160","34740","33290"
"In post","2022","30-39","Heterosexual / straight","UK Space Agency","60","60","44330","40140"
"In post","2022","30-39","Heterosexual / straight","UK Statistics Authority","950","880","36970","36840"
"In post","2022","30-39","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Heterosexual / straight","Valuation Office Agency","430","410","35910","32890"
"In post","2022","30-39","Heterosexual / straight","Vehicle Certification Agency","50","50","36970","36500"
"In post","2022","30-39","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Heterosexual / straight","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2022","30-39","Heterosexual / straight","Welsh Government (excl. agencies)","1030","980","37980","38160"
"In post","2022","30-39","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Animal and Plant Health Agency","50","40","[c]","[c]"
"In post","2022","30-39","LGBO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Cabinet Office (excl. agencies)","190","190","47590","49700"
"In post","2022","30-39","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2022","30-39","LGBO","Crown Prosecution Service","70","70","37250","30130"
"In post","2022","30-39","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Defence Equipment and Support","80","80","33890","33630"
"In post","2022","30-39","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","160","160","48020","49080"
"In post","2022","30-39","LGBO","Department for Digital, Culture, Media and Sport","70","70","49510","51730"
"In post","2022","30-39","LGBO","Department for Education (excl. agencies)","120","120","45740","42660"
"In post","2022","30-39","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","42780","39000"
"In post","2022","30-39","LGBO","Department for International Trade","60","60","49550","51970"
"In post","2022","30-39","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","90","80","47680","48680"
"In post","2022","30-39","LGBO","Department for Transport (excl. agencies)","70","70","51330","54110"
"In post","2022","30-39","LGBO","Department for Work and Pensions (excl. agencies)","920","890","28640","27570"
"In post","2022","30-39","LGBO","Department of Health and Social Care (excl. agencies)","80","80","46690","40650"
"In post","2022","30-39","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Driver and Vehicle Licensing Agency","80","70","24600","21840"
"In post","2022","30-39","LGBO","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","140","140","48860","51500"
"In post","2022","30-39","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Government Legal Department","50","50","50350","51250"
"In post","2022","30-39","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Health and Safety Executive","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","HM Courts and Tribunals Service","130","130","26670","23720"
"In post","2022","30-39","LGBO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","HM Land Registry","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","HM Prison and Probation Service","970","960","29620","28010"
"In post","2022","30-39","LGBO","HM Revenue and Customs (excl. agencies)","810","790","35210","33080"
"In post","2022","30-39","LGBO","HM Treasury (excl. agencies)","60","60","53040","55530"
"In post","2022","30-39","LGBO","Home Office","380","370","33270","28670"
"In post","2022","30-39","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Met Office","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","Ministry of Defence (excl. agencies)","290","280","34540","33000"
"In post","2022","30-39","LGBO","Ministry of Justice (excl. agencies)","130","130","46490","41750"
"In post","2022","30-39","LGBO","National Crime Agency","80","80","37310","36410"
"In post","2022","30-39","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","30-39","LGBO","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","30-39","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Government (excl. agencies)","180","180","41870","39660"
"In post","2022","30-39","LGBO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Prison Service","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Social Security Scotland","70","70","30020","27230"
"In post","2022","30-39","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","UK Health Security Agency","80","70","38080","36330"
"In post","2022","30-39","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","UK Statistics Authority","80","80","37280","36840"
"In post","2022","30-39","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Valuation Office Agency","40","40","[c]","[c]"
"In post","2022","30-39","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Welsh Government (excl. agencies)","60","60","43060","38160"
"In post","2022","30-39","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Animal and Plant Health Agency","50","50","[c]","[c]"
"In post","2022","30-39","Undeclared","Cabinet Office (excl. agencies)","140","140","50310","54700"
"In post","2022","30-39","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Crown Prosecution Service","50","50","44480","48080"
"In post","2022","30-39","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Defence Equipment and Support","170","160","36620","36540"
"In post","2022","30-39","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","150","51490","53380"
"In post","2022","30-39","Undeclared","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2022","30-39","Undeclared","Department for Education (excl. agencies)","140","140","47480","49860"
"In post","2022","30-39","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","42090","38820"
"In post","2022","30-39","Undeclared","Department for International Trade","50","50","50580","51970"
"In post","2022","30-39","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","48090","48200"
"In post","2022","30-39","Undeclared","Department for Transport (excl. agencies)","60","60","49890","54110"
"In post","2022","30-39","Undeclared","Department for Work and Pensions (excl. agencies)","890","840","28610","27570"
"In post","2022","30-39","Undeclared","Department of Health and Social Care (excl. agencies)","420","410","47500","49530"
"In post","2022","30-39","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Driver and Vehicle Licensing Agency","220","190","25030","21840"
"In post","2022","30-39","Undeclared","Driver and Vehicle Standards Agency","50","50","30660","28230"
"In post","2022","30-39","Undeclared","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2022","30-39","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","130","130","48110","51500"
"In post","2022","30-39","Undeclared","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Government Legal Department","40","40","[c]","[c]"
"In post","2022","30-39","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Health and Safety Executive","50","40","[c]","[c]"
"In post","2022","30-39","Undeclared","HM Courts and Tribunals Service","230","210","26410","23720"
"In post","2022","30-39","Undeclared","HM Land Registry","40","40","[c]","[c]"
"In post","2022","30-39","Undeclared","HM Prison and Probation Service","870","840","30660","30210"
"In post","2022","30-39","Undeclared","HM Revenue and Customs (excl. agencies)","720","700","34520","33080"
"In post","2022","30-39","Undeclared","HM Treasury (excl. agencies)","80","70","53690","53870"
"In post","2022","30-39","Undeclared","Home Office","580","550","33990","28670"
"In post","2022","30-39","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Legal Aid Agency","40","30","[c]","[c]"
"In post","2022","30-39","Undeclared","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2022","30-39","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Met Office","120","110","37560","38200"
"In post","2022","30-39","Undeclared","Ministry of Defence (excl. agencies)","460","450","36660","34540"
"In post","2022","30-39","Undeclared","Ministry of Justice (excl. agencies)","100","100","44080","41750"
"In post","2022","30-39","Undeclared","National Crime Agency","90","90","39490","36410"
"In post","2022","30-39","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","30-39","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Office of the Public Guardian","40","30","[c]","[c]"
"In post","2022","30-39","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Government (excl. agencies)","130","120","43130","40130"
"In post","2022","30-39","Undeclared","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Submarine Delivery Agency","30","30","[c]","[c]"
"In post","2022","30-39","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","UK Health Security Agency","140","130","42140","40070"
"In post","2022","30-39","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","UK Statistics Authority","50","50","35620","36840"
"In post","2022","30-39","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Valuation Office Agency","40","40","[c]","[c]"
"In post","2022","30-39","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Welsh Government (excl. agencies)","110","100","38640","38160"
"In post","2022","30-39","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"In post","2022","30-39","Unknown","Animal and Plant Health Agency","60","50","29420","25210"
"In post","2022","30-39","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Cabinet Office (excl. agencies)","820","810","51810","54700"
"In post","2022","30-39","Unknown","Centre for Environment, Fisheries and Aquaculture Science","90","80","33400","30220"
"In post","2022","30-39","Unknown","Charity Commission","40","40","[c]","[c]"
"In post","2022","30-39","Unknown","Companies House","50","50","28080","24620"
"In post","2022","30-39","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Crown Commercial Service","50","40","[c]","[c]"
"In post","2022","30-39","Unknown","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Crown Prosecution Service","100","90","38290","33020"
"In post","2022","30-39","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Defence Equipment and Support","180","170","34710","33900"
"In post","2022","30-39","Unknown","Defence Science and Technology Laboratory","780","760","40190","38070"
"In post","2022","30-39","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","150","49030","49500"
"In post","2022","30-39","Unknown","Department for Digital, Culture, Media and Sport","70","70","49610","51730"
"In post","2022","30-39","Unknown","Department for Education (excl. agencies)","220","220","46250","49860"
"In post","2022","30-39","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","280","270","43370","38790"
"In post","2022","30-39","Unknown","Department for International Trade","240","240","49160","51710"
"In post","2022","30-39","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","110","100","51190","53250"
"In post","2022","30-39","Unknown","Department for Transport (excl. agencies)","200","190","48630","48770"
"In post","2022","30-39","Unknown","Department for Work and Pensions (excl. agencies)","2830","2510","28100","27570"
"In post","2022","30-39","Unknown","Disclosure Scotland","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","Driver and Vehicle Licensing Agency","230","200","24510","21840"
"In post","2022","30-39","Unknown","Driver and Vehicle Standards Agency","230","230","27380","26350"
"In post","2022","30-39","Unknown","Education and Skills Funding Agency","50","50","39410","36500"
"In post","2022","30-39","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Food Standards Scotland","40","40","[c]","[c]"
"In post","2022","30-39","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","450","440","49190","52230"
"In post","2022","30-39","Unknown","Forestry and Land Scotland","140","130","30590","28980"
"In post","2022","30-39","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Government Legal Department","130","120","52550","52100"
"In post","2022","30-39","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Health and Safety Executive","40","40","[c]","[c]"
"In post","2022","30-39","Unknown","HM Courts and Tribunals Service","430","400","26950","23720"
"In post","2022","30-39","Unknown","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","HM Land Registry","370","350","28730","27130"
"In post","2022","30-39","Unknown","HM Prison and Probation Service","2530","2380","28000","26460"
"In post","2022","30-39","Unknown","HM Revenue and Customs (excl. agencies)","4890","4650","31000","26820"
"In post","2022","30-39","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Home Office","1100","1080","33710","26820"
"In post","2022","30-39","Unknown","Institute for Apprenticeships and Technical Education","40","30","[c]","[c]"
"In post","2022","30-39","Unknown","Intellectual Property Office","130","130","33920","29670"
"In post","2022","30-39","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Medicines and Healthcare Products Regulatory Agency","60","60","44920","41040"
"In post","2022","30-39","Unknown","Ministry of Defence (excl. agencies)","900","860","35060","33200"
"In post","2022","30-39","Unknown","Ministry of Justice (excl. agencies)","290","280","43800","41750"
"In post","2022","30-39","Unknown","National Crime Agency","110","110","40220","36740"
"In post","2022","30-39","Unknown","National Records of Scotland","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office of Gas and Electricity Markets","180","170","47090","45320"
"In post","2022","30-39","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office of the Public Guardian","80","70","22480","20970"
"In post","2022","30-39","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Planning Inspectorate","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Registers of Scotland","60","60","32380","30840"
"In post","2022","30-39","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Royal Fleet Auxiliary","390","390","37370","34460"
"In post","2022","30-39","Unknown","Rural Payments Agency","260","240","23990","21300"
"In post","2022","30-39","Unknown","Scottish Courts and Tribunals Service","320","300","28240","27080"
"In post","2022","30-39","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Scottish Government (excl. agencies)","510","490","40900","39660"
"In post","2022","30-39","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Scottish Prison Service","790","770","30290","29900"
"In post","2022","30-39","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Serious Fraud Office","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","Social Security Scotland","200","190","28990","27230"
"In post","2022","30-39","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2022","30-39","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","The Insolvency Service","140","130","31040","28280"
"In post","2022","30-39","Unknown","The National Archives","50","40","[c]","[c]"
"In post","2022","30-39","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","UK Health Security Agency","330","310","45540","41030"
"In post","2022","30-39","Unknown","UK Hydrographic Office","50","40","[c]","[c]"
"In post","2022","30-39","Unknown","UK Space Agency","30","30","[c]","[c]"
"In post","2022","30-39","Unknown","UK Statistics Authority","340","320","35750","36840"
"In post","2022","30-39","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Valuation Office Agency","190","190","30180","26880"
"In post","2022","30-39","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"In post","2022","30-39","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","180","170","33970","30950"
"In post","2022","40-49","Heterosexual / straight","Animal and Plant Health Agency","540","510","32060","29180"
"In post","2022","40-49","Heterosexual / straight","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Cabinet Office (excl. agencies)","1110","1070","54490","54700"
"In post","2022","40-49","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","60","60","36570","35900"
"In post","2022","40-49","Heterosexual / straight","Charity Commission","80","70","37470","29520"
"In post","2022","40-49","Heterosexual / straight","Companies House","200","180","34720","30660"
"In post","2022","40-49","Heterosexual / straight","Competition and Markets Authority","190","180","72480","74480"
"In post","2022","40-49","Heterosexual / straight","Criminal Injuries Compensation Authority","50","40","[c]","[c]"
"In post","2022","40-49","Heterosexual / straight","Crown Commercial Service","140","140","43600","39360"
