"Status","Year","Region_ITL3","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Kent","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Defence","Unknown","50","50","29140","23280"
"In post","2022","East Kent","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","Ministry of Justice","No function","210","190","28180","25150"
"In post","2022","East Kent","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Kent","National Crime Agency","No function","70","70","36980","35010"
"In post","2022","East Kent","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department for Work and Pensions","No function","310","270","25750","27570"
"In post","2022","East Lancashire","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Lancashire","Ministry of Justice","No function","170","150","27290","24800"
"In post","2022","East Lancashire","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Department for Work and Pensions","No function","70","60","27850","27570"
"In post","2022","East Lothian and Midlothian","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Lothian and Midlothian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Transport","No function","70","60","28890","26830"
"In post","2022","East Merseyside","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Work and Pensions","Counter Fraud","60","50","28290","27570"
"In post","2022","East Merseyside","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Work and Pensions","Finance","70","60","22970","21260"
"In post","2022","East Merseyside","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Work and Pensions","No function","520","450","26650","27570"
"In post","2022","East Merseyside","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Merseyside","Ministry of Justice","No function","310","300","29780","26070"
"In post","2022","East Merseyside","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Transport","No function","80","80","37120","31100"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","No function","90","80","28210","27570"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Security","50","50","36530","39070"
"In post","2022","East Riding of Yorkshire","Ministry of Defence","Unknown","400","380","26370","26670"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","No function","1210","1130","28400","26950"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Riding of Yorkshire","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","No function","140","130","32400","29290"
"In post","2022","East Surrey","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Justice","No function","830","790","33220","33890"
"In post","2022","East Surrey","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Surrey","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Levelling Up, Housing and Communities","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","No function","90","80","31150","27930"
"In post","2022","East Sussex CC","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","Counter Fraud","40","40","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","No function","1100","970","24840","21260"
"In post","2022","East Sussex CC","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","HM Revenue and Customs","Property","40","40","[c]","[c]"
"In post","2022","East Sussex CC","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Home Office","Unknown","60","50","27520","26860"
"In post","2022","East Sussex CC","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Justice","No function","510","480","28780","27260"
"In post","2022","East Sussex CC","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","East Sussex CC","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department for Work and Pensions","No function","250","230","30830","31060"
"In post","2022","Enfield","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Enfield","Ministry of Justice","No function","60","60","29810","25690"
"In post","2022","Enfield","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Transport","No function","30","30","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department for Work and Pensions","No function","280","250","30270","29290"
"In post","2022","Essex Haven Gateway","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","HM Revenue and Customs","Property","70","70","34090","31000"
"In post","2022","Essex Haven Gateway","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Home Office","Unknown","150","130","26520","25220"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Security","80","80","32440","26510"
"In post","2022","Essex Haven Gateway","Ministry of Defence","Unknown","140","130","32530","26670"
"In post","2022","Essex Haven Gateway","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Ministry of Justice","No function","100","90","32520","28200"
"In post","2022","Essex Haven Gateway","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Essex Haven Gateway","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Education","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Levelling Up, Housing and Communities","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","Counter Fraud","70","60","30870","29750"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","No function","660","590","27280","25110"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Essex Thames Gateway","Ministry of Justice","No function","170","150","26950","24090"
"In post","2022","Essex Thames Gateway","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","No function","1020","870","24740","21260"
"In post","2022","Falkirk","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Falkirk","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
