"Status","Year","Sex","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Unknown","North Eastern Scotland","240","220","30010","27570"
"In post","2021","Female","Unknown","North Yorkshire","400","360","32490","27570"
"In post","2021","Female","Unknown","Northern Ireland","400","360","26260","21730"
"In post","2021","Female","Unknown","Northumberland and Tyne and Wear","3500","2890","25180","21440"
"In post","2021","Female","Unknown","Outer London - East and North East","560","490","28940","30330"
"In post","2021","Female","Unknown","Outer London - South","900","840","33880","31060"
"In post","2021","Female","Unknown","Outer London - West and North West","890","810","34800","31060"
"In post","2021","Female","Unknown","Overseas","360","360","49730","46620"
"In post","2021","Female","Unknown","Shropshire and Staffordshire","790","700","28100","26300"
"In post","2021","Female","Unknown","South Yorkshire","850","730","29850","27570"
"In post","2021","Female","Unknown","Southern Scotland","1150","990","26980","24110"
"In post","2021","Female","Unknown","Surrey, East and West Sussex","800","690","29200","27570"
"In post","2021","Female","Unknown","Tees Valley and Durham","1020","870","25310","22350"
"In post","2021","Female","Unknown","Unknown","550","520","33680","30780"
"In post","2021","Female","Unknown","West Central Scotland","2130","1870","28800","25560"
"In post","2021","Female","Unknown","West Midlands","2650","2320","28700","26140"
"In post","2021","Female","Unknown","West Wales and The Valleys","1430","1220","25410","21590"
"In post","2021","Female","Unknown","West Yorkshire","2390","2120","30140","27570"
"In post","2021","Male","Heterosexual / straight","Bedfordshire and Hertfordshire","1380","1340","33950","30830"
"In post","2021","Male","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","3270","3210","34260","31800"
"In post","2021","Male","Heterosexual / straight","Cheshire","1170","1140","33530","31650"
"In post","2021","Male","Heterosexual / straight","Cornwall and Isles of Scilly","500","480","27060","26670"
"In post","2021","Male","Heterosexual / straight","Cumbria","540","530","30980","27570"
"In post","2021","Male","Heterosexual / straight","Derbyshire and Nottinghamshire","3340","3220","32890","28130"
"In post","2021","Male","Heterosexual / straight","Devon","2410","2320","30890","27570"
"In post","2021","Male","Heterosexual / straight","Dorset and Somerset","1860","1800","30790","28400"
"In post","2021","Male","Heterosexual / straight","East Anglia","4120","3990","31500","28400"
"In post","2021","Male","Heterosexual / straight","East Wales","5760","5600","34750","29890"
"In post","2021","Male","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","1640","1570","29060","27130"
"In post","2021","Male","Heterosexual / straight","Eastern Scotland","4780","4650","36650","32140"
"In post","2021","Male","Heterosexual / straight","Essex","1600","1520","32610","29290"
"In post","2021","Male","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","11300","11070","38880","36440"
"In post","2021","Male","Heterosexual / straight","Greater Manchester","5410","5260","32460","27570"
"In post","2021","Male","Heterosexual / straight","Hampshire and Isle of Wight","5410","5160","33840","30980"
"In post","2021","Male","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","1300","1270","29100","26830"
"In post","2021","Male","Heterosexual / straight","Highlands and Islands","490","480","29840","27570"
"In post","2021","Male","Heterosexual / straight","Inner London - East","4610","4500","44490","38500"
"In post","2021","Male","Heterosexual / straight","Inner London - West","17760","17570","48840","44080"
"In post","2021","Male","Heterosexual / straight","Kent","2980","2870","30360","29290"
"In post","2021","Male","Heterosexual / straight","Lancashire","3640","3480","29490","27570"
"In post","2021","Male","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","1700","1650","28860","27130"
"In post","2021","Male","Heterosexual / straight","Lincolnshire","1030","1010","29610","27570"
"In post","2021","Male","Heterosexual / straight","Merseyside","5170","4980","30350","26410"
"In post","2021","Male","Heterosexual / straight","North Eastern Scotland","520","510","42030","33650"
"In post","2021","Male","Heterosexual / straight","North Yorkshire","1540","1510","34140","30280"
"In post","2021","Male","Heterosexual / straight","Northern Ireland","1400","1360","28070","25040"
"In post","2021","Male","Heterosexual / straight","Northumberland and Tyne and Wear","5200","5000","30640","27570"
"In post","2021","Male","Heterosexual / straight","Outer London - East and North East","960","940","31960","31060"
"In post","2021","Male","Heterosexual / straight","Outer London - South","3210","3150","39850","35280"
"In post","2021","Male","Heterosexual / straight","Outer London - West and North West","2870","2710","33190","31060"
"In post","2021","Male","Heterosexual / straight","Overseas","1550","1550","50130","49640"
"In post","2021","Male","Heterosexual / straight","Shropshire and Staffordshire","2610","2540","31350","27570"
"In post","2021","Male","Heterosexual / straight","South Yorkshire","2940","2840","32900","27570"
"In post","2021","Male","Heterosexual / straight","Southern Scotland","1360","1300","31800","27570"
"In post","2021","Male","Heterosexual / straight","Surrey, East and West Sussex","2300","2190","31970","28400"
"In post","2021","Male","Heterosexual / straight","Tees Valley and Durham","2570","2440","29020","27130"
"In post","2021","Male","Heterosexual / straight","Unknown","440","430","34470","28120"
"In post","2021","Male","Heterosexual / straight","West Central Scotland","5110","4910","32310","27570"
"In post","2021","Male","Heterosexual / straight","West Midlands","4660","4530","32460","27570"
"In post","2021","Male","Heterosexual / straight","West Wales and The Valleys","3980","3840","31530","27570"
"In post","2021","Male","Heterosexual / straight","West Yorkshire","4580","4430","33030","28130"
"In post","2021","Male","LGBO","Bedfordshire and Hertfordshire","60","60","31960","29290"
"In post","2021","Male","LGBO","Berkshire, Buckinghamshire and Oxfordshire","160","160","33330","29970"
"In post","2021","Male","LGBO","Cheshire","70","70","30780","28200"
"In post","2021","Male","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Cumbria","30","30","[c]","[c]"
"In post","2021","Male","LGBO","Derbyshire and Nottinghamshire","210","210","30980","27570"
"In post","2021","Male","LGBO","Devon","120","120","27520","27130"
"In post","2021","Male","LGBO","Dorset and Somerset","80","80","28230","27570"
"In post","2021","Male","LGBO","East Anglia","190","180","28650","27570"
"In post","2021","Male","LGBO","East Wales","470","460","32940","28430"
"In post","2021","Male","LGBO","East Yorkshire and Northern Lincolnshire","80","70","27360","27130"
"In post","2021","Male","LGBO","Eastern Scotland","410","400","35430","30650"
"In post","2021","Male","LGBO","Essex","80","80","31270","29290"
"In post","2021","Male","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","530","520","34680","31380"
"In post","2021","Male","LGBO","Greater Manchester","570","550","30970","27570"
"In post","2021","Male","LGBO","Hampshire and Isle of Wight","250","240","31530","27730"
"In post","2021","Male","LGBO","Herefordshire, Worcestershire and Warwickshire","60","50","28060","25660"
"In post","2021","Male","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Inner London - East","450","440","44830","37310"
"In post","2021","Male","LGBO","Inner London - West","2170","2150","48580","45200"
"In post","2021","Male","LGBO","Kent","160","150","30850","29290"
"In post","2021","Male","LGBO","Lancashire","210","200","27420","27570"
"In post","2021","Male","LGBO","Leicestershire, Rutland and Northamptonshire","100","90","27660","27570"
"In post","2021","Male","LGBO","Lincolnshire","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Merseyside","320","310","29810","26370"
"In post","2021","Male","LGBO","North Eastern Scotland","30","30","[c]","[c]"
