"Status","Year","Sex","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Tyneside","50","40","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Walsall","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Westminster","1120","1110","48630","53130"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Wolverhampton","90","90","36970","36340"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Levelling Up, Housing and Communities","York","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Aberdeen City and Aberdeenshire","50","50","35390","30860"
"In post","2022","Male","Department for Transport","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Barnsley, Doncaster and Rotherham","50","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Berkshire","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Bexley and Greenwich","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Birmingham","210","210","30650","26780"
"In post","2022","Male","Department for Transport","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Bristol, City of","220","210","35880","32180"
"In post","2022","Male","Department for Transport","Bromley","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Cardiff and Vale of Glamorgan","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Cornwall and Isles of Scilly","50","50","[c]","[c]"
"In post","2022","Male","Department for Transport","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Darlington","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Derby","50","50","43860","29400"
"In post","2022","Male","Department for Transport","Devon CC","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Ealing","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Cumbria","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","East Kent","90","90","31200","30650"
"In post","2022","Male","Department for Transport","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Merseyside","60","50","30180","27930"
"In post","2022","Male","Department for Transport","East Riding of Yorkshire","60","60","39840","32320"
"In post","2022","Male","Department for Transport","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","East Sussex CC","90","90","34420","32020"
"In post","2022","Male","Department for Transport","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Falkirk","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Flintshire and Wrexham","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Greater Manchester North East","50","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Harrow and Hillingdon","60","60","33510","31320"
"In post","2022","Male","Department for Transport","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Hertfordshire CC","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Inverclyde, East Renfrewshire, and Renfrewshire","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Kingston upon Hull, City of","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Leeds","150","150","33050","28550"
"In post","2022","Male","Department for Transport","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Leicestershire CC and Rutland","70","70","35430","32680"
"In post","2022","Male","Department for Transport","Lewisham and Southwark","90","70","33250","33390"
"In post","2022","Male","Department for Transport","Lincolnshire CC","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Merton, Kingston upon Thames and Sutton","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Mid Kent","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Mid Lancashire","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Monmouthshire and Newport","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North Hampshire","70","70","63370","77220"
"In post","2022","Male","Department for Transport","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Norwich and East Norfolk","40","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Nottingham","140","140","35860","31860"
"In post","2022","Male","Department for Transport","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Peterborough","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Plymouth","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Powys","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Redbridge and Waltham Forest","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Sandwell","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Shropshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","South Hampshire","130","120","33800","31350"
"In post","2022","Male","Department for Transport","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","South Nottinghamshire","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","South West Wales","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Southampton","320","310","42440","39040"
"In post","2022","Male","Department for Transport","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Staffordshire CC","100","90","29030","26830"
"In post","2022","Male","Department for Transport","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Suffolk CC","50","50","[c]","[c]"
"In post","2022","Male","Department for Transport","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Swansea","2700","2610","29520","24720"
"In post","2022","Male","Department for Transport","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Tyneside","140","140","28640","26780"
"In post","2022","Male","Department for Transport","Wakefield","40","30","[c]","[c]"
"In post","2022","Male","Department for Transport","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Essex","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Lothian","30","30","[c]","[c]"
"In post","2022","Male","Department for Transport","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Surrey","40","40","[c]","[c]"
"In post","2022","Male","Department for Transport","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Westminster","1610","1590","51300","54110"
"In post","2022","Male","Department for Transport","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Transport","York","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Aberdeen City and Aberdeenshire","170","170","55600","31680"
"In post","2022","Male","Department for Work and Pensions","Angus and Dundee City","320","310","23730","21260"
"In post","2022","Male","Department for Work and Pensions","Barking & Dagenham and Havering","190","180","31430","31060"
"In post","2022","Male","Department for Work and Pensions","Barnet","90","80","30990","31060"
"In post","2022","Male","Department for Work and Pensions","Barnsley, Doncaster and Rotherham","340","330","25610","27570"
"In post","2022","Male","Department for Work and Pensions","Bath and North East Somerset, North Somerset and South Gloucestershire","100","100","27860","27570"
"In post","2022","Male","Department for Work and Pensions","Bedford","80","80","32940","27570"
"In post","2022","Male","Department for Work and Pensions","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Berkshire","140","130","29570","29290"
"In post","2022","Male","Department for Work and Pensions","Bexley and Greenwich","110","110","31310","31060"
"In post","2022","Male","Department for Work and Pensions","Birmingham","870","840","27790","27570"
"In post","2022","Male","Department for Work and Pensions","Blackburn with Darwen","140","130","26670","27570"
"In post","2022","Male","Department for Work and Pensions","Blackpool","2100","2030","31510","27570"
"In post","2022","Male","Department for Work and Pensions","Bournemouth, Christchurch and Poole","100","100","28020","27570"
"In post","2022","Male","Department for Work and Pensions","Bradford","360","340","25130","27570"
"In post","2022","Male","Department for Work and Pensions","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Brent","80","80","31240","31060"
"In post","2022","Male","Department for Work and Pensions","Bridgend and Neath Port Talbot","130","120","25840","26120"
"In post","2022","Male","Department for Work and Pensions","Brighton and Hove","100","90","28390","27570"
"In post","2022","Male","Department for Work and Pensions","Bristol, City of","360","340","27960","27570"
"In post","2022","Male","Department for Work and Pensions","Bromley","70","70","31970","31060"
"In post","2022","Male","Department for Work and Pensions","Buckinghamshire","50","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Calderdale and Kirklees","270","260","26650","27570"
"In post","2022","Male","Department for Work and Pensions","Cambridgeshire CC","80","80","28420","27570"
"In post","2022","Male","Department for Work and Pensions","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Cardiff and Vale of Glamorgan","180","170","32690","27570"
"In post","2022","Male","Department for Work and Pensions","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Central Hampshire","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Central Valleys","570","560","26940","27570"
"In post","2022","Male","Department for Work and Pensions","Cheshire East","60","50","30050","27570"
"In post","2022","Male","Department for Work and Pensions","Cheshire West and Chester","100","100","24950","27570"
"In post","2022","Male","Department for Work and Pensions","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","City of Edinburgh","140","130","29670","27570"
"In post","2022","Male","Department for Work and Pensions","Clackmannanshire and Fife","100","90","27590","27570"
"In post","2022","Male","Department for Work and Pensions","Conwy and Denbighshire","50","50","26980","27570"
"In post","2022","Male","Department for Work and Pensions","Cornwall and Isles of Scilly","280","260","25740","27570"
"In post","2022","Male","Department for Work and Pensions","Coventry","140","130","25330","27570"
"In post","2022","Male","Department for Work and Pensions","Croydon","80","80","30770","31060"
"In post","2022","Male","Department for Work and Pensions","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Derby","200","200","24220","21260"
"In post","2022","Male","Department for Work and Pensions","Devon CC","410","380","26280","27570"
"In post","2022","Male","Department for Work and Pensions","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Dudley","280","260","25660","27570"
"In post","2022","Male","Department for Work and Pensions","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Durham","220","210","25130","26120"
"In post","2022","Male","Department for Work and Pensions","Ealing","130","120","31150","31060"
"In post","2022","Male","Department for Work and Pensions","East Ayrshire and North Ayrshire mainland","140","140","25890","27570"
"In post","2022","Male","Department for Work and Pensions","East Cumbria","40","30","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","East Derbyshire","90","90","28110","27570"
"In post","2022","Male","Department for Work and Pensions","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","80","80","25340","27570"
"In post","2022","Male","Department for Work and Pensions","East Kent","360","350","28250","29290"
"In post","2022","Male","Department for Work and Pensions","East Lancashire","120","120","26150","27570"
"In post","2022","Male","Department for Work and Pensions","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","East Merseyside","190","180","27270","27570"
"In post","2022","Male","Department for Work and Pensions","East Riding of Yorkshire","30","30","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","East Surrey","50","50","33400","29290"
"In post","2022","Male","Department for Work and Pensions","East Sussex CC","390","380","25300","21260"
"In post","2022","Male","Department for Work and Pensions","Enfield","70","70","30810","31060"
"In post","2022","Male","Department for Work and Pensions","Essex Haven Gateway","120","120","30900","29290"
"In post","2022","Male","Department for Work and Pensions","Essex Thames Gateway","200","190","28320","29290"
"In post","2022","Male","Department for Work and Pensions","Falkirk","270","250","25760","27570"
"In post","2022","Male","Department for Work and Pensions","Flintshire and Wrexham","220","220","25770","26120"
"In post","2022","Male","Department for Work and Pensions","Glasgow City","1060","1000","25900","27570"
"In post","2022","Male","Department for Work and Pensions","Gloucestershire CC","120","110","27100","27570"
"In post","2022","Male","Department for Work and Pensions","Greater Manchester North East","210","200","27100","27570"
"In post","2022","Male","Department for Work and Pensions","Greater Manchester North West","410","390","24840","26120"
"In post","2022","Male","Department for Work and Pensions","Greater Manchester South East","290","280","24290","21260"
"In post","2022","Male","Department for Work and Pensions","Greater Manchester South West","250","240","25360","27570"
"In post","2022","Male","Department for Work and Pensions","Gwent Valleys","160","150","26800","27570"
"In post","2022","Male","Department for Work and Pensions","Gwynedd","170","170","23680","21260"
"In post","2022","Male","Department for Work and Pensions","Hackney and Newham","440","430","29380","31060"
"In post","2022","Male","Department for Work and Pensions","Haringey and Islington","160","150","31030","31060"
"In post","2022","Male","Department for Work and Pensions","Harrow and Hillingdon","130","130","31200","31060"
"In post","2022","Male","Department for Work and Pensions","Hartlepool and Stockton-on-Tees","230","220","25730","27570"
"In post","2022","Male","Department for Work and Pensions","Heart of Essex","60","60","38410","29290"
"In post","2022","Male","Department for Work and Pensions","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Hertfordshire CC","230","230","30080","29290"
"In post","2022","Male","Department for Work and Pensions","Hounslow and Richmond upon Thames","90","80","31310","31060"
"In post","2022","Male","Department for Work and Pensions","Inverclyde, East Renfrewshire, and Renfrewshire","100","90","25290","27570"
"In post","2022","Male","Department for Work and Pensions","Inverness and Nairn, Moray, and Badenoch and Strathspey","70","70","27240","27570"
"In post","2022","Male","Department for Work and Pensions","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Isle of Wight","80","80","24540","21260"
"In post","2022","Male","Department for Work and Pensions","Kensington & Chelsea and Hammersmith & Fulham","70","70","31170","31060"
"In post","2022","Male","Department for Work and Pensions","Kent Thames Gateway","70","70","30320","29290"
"In post","2022","Male","Department for Work and Pensions","Kingston upon Hull, City of","210","190","26430","27570"
"In post","2022","Male","Department for Work and Pensions","Lambeth","150","150","31040","31060"
"In post","2022","Male","Department for Work and Pensions","Lancaster and Wyre","100","100","25100","27570"
"In post","2022","Male","Department for Work and Pensions","Leeds","1230","1190","35790","27570"
"In post","2022","Male","Department for Work and Pensions","Leicester","370","350","25030","27570"
"In post","2022","Male","Department for Work and Pensions","Leicestershire CC and Rutland","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Lewisham and Southwark","120","120","31170","31060"
"In post","2022","Male","Department for Work and Pensions","Lincolnshire CC","180","160","27210","27570"
"In post","2022","Male","Department for Work and Pensions","Liverpool","270","260","27310","27570"
"In post","2022","Male","Department for Work and Pensions","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Luton","70","60","27340","27570"
"In post","2022","Male","Department for Work and Pensions","Manchester","950","930","37350","31990"
"In post","2022","Male","Department for Work and Pensions","Medway","60","50","31310","29290"
"In post","2022","Male","Department for Work and Pensions","Merton, Kingston upon Thames and Sutton","100","100","31070","31060"
"In post","2022","Male","Department for Work and Pensions","Mid Kent","70","60","31280","29290"
"In post","2022","Male","Department for Work and Pensions","Mid Lancashire","700","670","23930","21260"
"In post","2022","Male","Department for Work and Pensions","Milton Keynes","50","50","27450","27570"
"In post","2022","Male","Department for Work and Pensions","Monmouthshire and Newport","100","90","27080","27570"
"In post","2022","Male","Department for Work and Pensions","Na h-Eileanan Siar","40","30","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","North and North East Lincolnshire","130","120","26010","27570"
"In post","2022","Male","Department for Work and Pensions","North and West Norfolk","40","30","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","North Hampshire","70","70","33850","27570"
"In post","2022","Male","Department for Work and Pensions","North Lanarkshire","200","190","24930","25050"
"In post","2022","Male","Department for Work and Pensions","North Northamptonshire","110","110","25320","27570"
"In post","2022","Male","Department for Work and Pensions","North Nottinghamshire","70","70","28480","27570"
"In post","2022","Male","Department for Work and Pensions","North Yorkshire CC","80","80","29360","27570"
"In post","2022","Male","Department for Work and Pensions","Northumberland","70","60","27350","27570"
"In post","2022","Male","Department for Work and Pensions","Norwich and East Norfolk","240","220","28290","27570"
"In post","2022","Male","Department for Work and Pensions","Nottingham","290","280","26050","27570"
"In post","2022","Male","Department for Work and Pensions","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Oxfordshire CC","90","80","28400","27570"
"In post","2022","Male","Department for Work and Pensions","Perth and Kinross, and Stirling","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Peterborough","80","70","28130","27570"
"In post","2022","Male","Department for Work and Pensions","Plymouth","140","140","29500","27570"
"In post","2022","Male","Department for Work and Pensions","Portsmouth","70","70","26000","27570"
"In post","2022","Male","Department for Work and Pensions","Powys","30","30","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Redbridge and Waltham Forest","290","280","29550","31060"
"In post","2022","Male","Department for Work and Pensions","Sandwell","110","110","27980","27570"
"In post","2022","Male","Department for Work and Pensions","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Sefton","830","810","35120","27570"
"In post","2022","Male","Department for Work and Pensions","Sheffield","890","860","36680","31990"
"In post","2022","Male","Department for Work and Pensions","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Shropshire","50","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Solihull","70","70","28110","27570"
"In post","2022","Male","Department for Work and Pensions","Somerset CC","150","150","26500","27570"
"In post","2022","Male","Department for Work and Pensions","South and West Derbyshire","270","250","39230","34340"
"In post","2022","Male","Department for Work and Pensions","South Ayrshire","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","South Hampshire","60","60","28140","27570"
"In post","2022","Male","Department for Work and Pensions","South Lanarkshire","50","50","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","South Nottinghamshire","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","South Teesside","220","210","24590","21260"
"In post","2022","Male","Department for Work and Pensions","South West Wales","150","140","26030","27570"
"In post","2022","Male","Department for Work and Pensions","Southampton","80","80","27080","27570"
"In post","2022","Male","Department for Work and Pensions","Southend-on-Sea","40","40","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Staffordshire CC","150","140","27760","27570"
"In post","2022","Male","Department for Work and Pensions","Stoke-on-Trent","160","140","26190","27570"
"In post","2022","Male","Department for Work and Pensions","Suffolk CC","200","200","27800","27570"
"In post","2022","Male","Department for Work and Pensions","Sunderland","530","500","25900","27570"
"In post","2022","Male","Department for Work and Pensions","Swansea","210","200","25120","24410"
"In post","2022","Male","Department for Work and Pensions","Swindon","50","50","28740","27570"
"In post","2022","Male","Department for Work and Pensions","Telford and Wrekin","120","110","26970","27570"
"In post","2022","Male","Department for Work and Pensions","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Male","Department for Work and Pensions","Torbay","90","80","25140","26120"
"In post","2022","Male","Department for Work and Pensions","Tower Hamlets","170","170","38850","31060"
