"Status","Year","Profession_of_post","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Property","30-39","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","30-39","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","30-39","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2022","Property","50-59","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","50-59","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2022","Property","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","60-64","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Ministry of Defence","50","50","29170","31250"
"Leaver CS","2022","Property","65+","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","65+","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","20-29","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","20-29","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2022","Psychology","20-29","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","30-39","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2022","Psychology","30-39","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","40-49","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","40-49","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","50-59","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","50-59","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","60-64","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","65+","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Department of Health and Social Care","130","130","27920","27520"
"Leaver CS","2022","Science and Engineering","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","20-29","Ministry of Defence","210","210","25870","26350"
"Leaver CS","2022","Science and Engineering","30-39","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","30-39","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","30-39","Department of Health and Social Care","140","130","40280","38730"
"Leaver CS","2022","Science and Engineering","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","30-39","Ministry of Defence","110","110","35490","33480"
"Leaver CS","2022","Science and Engineering","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Department of Health and Social Care","110","100","46130","40320"
"Leaver CS","2022","Science and Engineering","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Ministry of Defence","60","60","38270","38070"
"Leaver CS","2022","Science and Engineering","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Department of Health and Social Care","120","110","50170","45840"
"Leaver CS","2022","Science and Engineering","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Ministry of Defence","100","90","41090","40580"
"Leaver CS","2022","Science and Engineering","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","50-59","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Department of Health and Social Care","40","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Ministry of Defence","100","90","41900","40730"
"Leaver CS","2022","Science and Engineering","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","60-64","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","65+","Ministry of Defence","110","90","36350","34690"
"Leaver CS","2022","Science and Engineering","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","Ministry of Defence","90","90","25830","25680"
"Leaver CS","2022","Security","20-29","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","30-39","Ministry of Defence","90","90","29950","26750"
"Leaver CS","2022","Security","30-39","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","40-49","Ministry of Defence","60","60","30030","26610"
"Leaver CS","2022","Security","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","Ministry of Defence","170","170","33990","39070"
"Leaver CS","2022","Security","50-59","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","60-64","Ministry of Defence","120","110","36420","39070"
"Leaver CS","2022","Security","60-64","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","Ministry of Defence","80","70","26580","21850"
"Leaver CS","2022","Security","65+","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","40-49","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","60-64","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","20-29","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","50-59","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","50-59","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","60-64","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","60-64","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","60-64","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","65+","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","65+","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","20-29","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","40-49","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","50-59","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","60-64","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","65+","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Cabinet Office","220","220","32070","29250"
"Leaver CS","2022","Unknown","20-29","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Department for Transport","70","70","34590","34710"
"Leaver CS","2022","Unknown","20-29","Department for Work and Pensions","420","410","24170","21260"
"Leaver CS","2022","Unknown","20-29","Department of Health and Social Care","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Foreign, Commonwealth and Development Office","90","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","HM Revenue and Customs","930","880","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Ministry of Justice","120","110","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Scottish Government","170","170","27850","27230"
"Leaver CS","2022","Unknown","20-29","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Cabinet Office","200","200","51330","54700"
"Leaver CS","2022","Unknown","30-39","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Department for Transport","60","60","48400","43690"
"Leaver CS","2022","Unknown","30-39","Department for Work and Pensions","260","250","26960","27570"
"Leaver CS","2022","Unknown","30-39","Department of Health and Social Care","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","HM Revenue and Customs","620","570","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Ministry of Justice","130","120","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Scottish Government","120","110","33240","31060"
"Leaver CS","2022","Unknown","40-49","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Cabinet Office","120","110","67620","65000"
"Leaver CS","2022","Unknown","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Department for Transport","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Department for Work and Pensions","230","210","27440","27570"
"Leaver CS","2022","Unknown","40-49","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","HM Revenue and Customs","470","420","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Ministry of Justice","100","90","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Scottish Government","110","100","39320","36390"
"Leaver CS","2022","Unknown","50-59","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Cabinet Office","110","110","67080","61820"
"Leaver CS","2022","Unknown","50-59","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Department for Work and Pensions","240","220","27010","27570"
"Leaver CS","2022","Unknown","50-59","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","HM Revenue and Customs","940","810","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Ministry of Justice","160","140","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Scottish Government","130","120","45070","39520"
"Leaver CS","2022","Unknown","60-64","Cabinet Office","50","40","55230","47460"
"Leaver CS","2022","Unknown","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Department for Work and Pensions","70","60","29460","27570"
"Leaver CS","2022","Unknown","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","HM Revenue and Customs","930","710","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Ministry of Justice","130","110","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Scottish Government","160","140","48440","47250"
"Leaver CS","2022","Unknown","65+","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Department for Work and Pensions","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
