"Status","Year","Ethnicity","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","White","Female","Unknown","360","310","[c]","[c]"
"Leaver CS","2021","White","Male","AA/AO","3260","2970","21680","21010"
"Leaver CS","2021","White","Male","EO","1730","1550","27690","27570"
"Leaver CS","2021","White","Male","G6/G7","910","810","61500","59260"
"Leaver CS","2021","White","Male","SCS","180","160","101270","96920"
"Leaver CS","2021","White","Male","SEO/HEO","1880","1710","37980","37100"
"Leaver CS","2021","White","Male","Unknown","160","140","38570","35530"
"Leaver CS","2021","White","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","AA/AO","460","390","21960","21300"
"Leaver CS","2022","Asian","Female","EO","410","360","28200","27570"
"Leaver CS","2022","Asian","Female","G6/G7","100","90","58470","55380"
"Leaver CS","2022","Asian","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","SEO/HEO","270","250","37070","36770"
"Leaver CS","2022","Asian","Female","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Asian","Male","AA/AO","380","350","22060","21260"
"Leaver CS","2022","Asian","Male","EO","310","290","28220","27570"
"Leaver CS","2022","Asian","Male","G6/G7","120","110","59910","58460"
"Leaver CS","2022","Asian","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","SEO/HEO","250","230","37160","36710"
"Leaver CS","2022","Asian","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","AA/AO","260","230","22610","22530"
"Leaver CS","2022","Black","Female","EO","340","320","29220","29520"
"Leaver CS","2022","Black","Female","G6/G7","60","50","[c]","[c]"
"Leaver CS","2022","Black","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","SEO/HEO","190","180","37610","36500"
"Leaver CS","2022","Black","Female","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","Black","Male","AA/AO","170","160","22500","22570"
"Leaver CS","2022","Black","Male","EO","170","160","28880","28670"
"Leaver CS","2022","Black","Male","G6/G7","60","50","57690","54700"
"Leaver CS","2022","Black","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","SEO/HEO","120","110","37880","36440"
"Leaver CS","2022","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","AA/AO","170","160","21520","21260"
"Leaver CS","2022","Mixed","Female","EO","160","160","27790","27570"
"Leaver CS","2022","Mixed","Female","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","SEO/HEO","100","90","36690","35480"
"Leaver CS","2022","Mixed","Female","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","Male","AA/AO","130","120","21630","21260"
"Leaver CS","2022","Mixed","Male","EO","110","100","28300","27570"
"Leaver CS","2022","Mixed","Male","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","SEO/HEO","70","70","37840","37340"
"Leaver CS","2022","Mixed","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","AA/AO","50","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","EO","40","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","AA/AO","30","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","EO","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","AA/AO","260","210","21140","21010"
"Leaver CS","2022","Undeclared","Female","EO","210","170","27800","27570"
"Leaver CS","2022","Undeclared","Female","G6/G7","70","60","58040","56950"
"Leaver CS","2022","Undeclared","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","SEO/HEO","170","150","36750","36530"
"Leaver CS","2022","Undeclared","Female","Unknown","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","AA/AO","310","280","22780","21260"
"Leaver CS","2022","Undeclared","Male","EO","250","210","28640","27570"
"Leaver CS","2022","Undeclared","Male","G6/G7","140","130","59000","58550"
"Leaver CS","2022","Undeclared","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","SEO/HEO","310","280","38420","37460"
"Leaver CS","2022","Undeclared","Male","Unknown","[c]","[c]","[c]","[c]"
