"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Other Cabinet Office Agencies","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Government Property Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Government Property Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Crown Office and Procurator Fiscal Service","Scotland","90","70","32070","22220"
"Leaver CS","2021","Scottish Government","Disclosure Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Education Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Food Standards Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Forestry and Land Scotland","Scotland","60","60","30150","28120"
"Leaver CS","2021","Scottish Government","National Records of Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Office of the Scottish Charity Regulator","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Revenue Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Courts and Tribunals Service","Scotland","100","90","27950","22820"
"Leaver CS","2021","Scottish Government","Scottish Fiscal Commission","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Forestry","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Government (excl. agencies)","Scotland","270","250","41780","35110"
"Leaver CS","2021","Scottish Government","Scottish Housing Regulator","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Scottish Prison Service","Scotland","240","210","32460","33650"
"Leaver CS","2021","Scottish Government","Scottish Public Pensions Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Social Security Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Student Awards Agency for Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Transport Scotland","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","The National Archives","London","30","30","[c]","[c]"
"Leaver CS","2021","UK Export Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","South East (England)","160","110","24090","19520"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Wales","130","120","32960","29540"
"Leaver CS","2021","Wales Office","Wales Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Wales Office","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government","Welsh Government (excl. agencies)","Wales","140","130","42910","37410"
"Leaver CS","2021","Welsh Government","Welsh Revenue Authority","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","East Midlands (England)","40","30","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","London","110","100","43530","53050"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","North West (England)","40","40","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","South East (England)","50","50","39050","31560"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Crown Prosecution Service","Yorkshire and The Humber","40","40","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","London","200","180","52070","51250"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Government Legal Department","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Serious Fraud Office","London","50","50","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","Serious Fraud Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","London","490","480","52630","54700"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Unknown","90","90","50940","40600"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Cabinet Office (excl. agencies)","Yorkshire and The Humber","60","50","35060","29220"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","Government Property Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Government Actuary's Department","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","National Savings and Investments","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","North West (England)","40","40","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","London","90","90","53200","54190"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Companies House","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Companies House","Wales","80","70","30490","24500"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","280","270","47180","40220"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","Wales","60","50","34730","25700"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","South West (England)","120","110","35040","35630"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Met Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","London","30","30","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","150","140","42480","36520"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","London","150","150","43090","36660"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","North West (England)","70","70","38140","36500"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","West Midlands (England)","40","40","[c]","[c]"
"Leaver CS","2022","Department for Education","Department for Education (excl. agencies)","Yorkshire and The Humber","50","50","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2022","Department for Education","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Institute for Apprenticeships and Technical Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Institute for Apprenticeships and Technical Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Standards and Testing Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Teaching Regulation Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Teaching Regulation Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South East (England)","80","70","31180","24920"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South West (England)","40","40","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","East of England","40","40","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","London","230","230","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","60","60","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","40","30","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North West (England)","50","40","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","London","200","200","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","London","130","120","45460","40000"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","South West (England)","50","50","37710","27530"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","London","210","200","45210","42470"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Transport","Driver and Vehicle Licensing Agency","Unknown","420","340","24530","21840"
