"Status","Year","Region_ITL1","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Wales","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Commercial Service","SEO/HEO","60","60","32000","31000"
"In post","2021","Wales","Crown Prosecution Service","AA/AO","80","70","21970","21950"
"In post","2021","Wales","Crown Prosecution Service","EO","60","50","27440","28430"
"In post","2021","Wales","Crown Prosecution Service","G6/G7","170","150","54990","55610"
"In post","2021","Wales","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Crown Prosecution Service","SEO/HEO","60","50","35480","34480"
"In post","2021","Wales","Defence Electronics and Components Agency","AA/AO","80","70","19970","21000"
"In post","2021","Wales","Defence Electronics and Components Agency","EO","230","220","28200","28750"
"In post","2021","Wales","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Defence Electronics and Components Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Defence Electronics and Components Agency","SEO/HEO","70","70","36170","32850"
"In post","2021","Wales","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Defence Equipment and Support","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","AA/AO","2040","1760","20860","21010"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","EO","3130","2840","27480","27570"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Work and Pensions (excl. agencies)","SEO/HEO","430","400","33720","33170"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","AA/AO","4090","3460","20640","21590"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","EO","900","840","26710","26700"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","G6/G7","280","270","64390","60650"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Driver and Vehicle Licensing Agency","SEO/HEO","950","910","37150","33350"
"In post","2021","Wales","Driver and Vehicle Standards Agency","AA/AO","180","170","22660","21590"
"In post","2021","Wales","Driver and Vehicle Standards Agency","EO","190","180","27860","26780"
"In post","2021","Wales","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Driver and Vehicle Standards Agency","SEO/HEO","130","130","36520","35040"
"In post","2021","Wales","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","ESTYN","G6/G7","70","60","73880","74730"
"In post","2021","Wales","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Food Standards Agency","EO","40","30","[c]","[c]"
"In post","2021","Wales","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Food Standards Agency","SEO/HEO","80","80","35340","37910"
"In post","2021","Wales","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Health and Safety Executive","SEO/HEO","60","50","45850","46320"
"In post","2021","Wales","HM Courts and Tribunals Service","AA/AO","620","550","19120","19160"
"In post","2021","Wales","HM Courts and Tribunals Service","EO","140","130","22390","22070"
"In post","2021","Wales","HM Courts and Tribunals Service","G6/G7","30","30","[c]","[c]"
"In post","2021","Wales","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","HM Courts and Tribunals Service","SEO/HEO","160","150","32230","30990"
"In post","2021","Wales","HM Land Registry","AA/AO","220","200","22350","22350"
"In post","2021","Wales","HM Land Registry","EO","280","250","27130","27130"
"In post","2021","Wales","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","HM Land Registry","SEO/HEO","200","180","36090","33840"
"In post","2021","Wales","HM Prison and Probation Service","AA/AO","1220","1140","24570","24120"
"In post","2021","Wales","HM Prison and Probation Service","EO","250","240","30070","30220"
"In post","2021","Wales","HM Prison and Probation Service","G6/G7","30","30","[c]","[c]"
"In post","2021","Wales","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","HM Prison and Probation Service","SEO/HEO","290","280","39790","38160"
"In post","2021","Wales","HM Prison and Probation Service","Unknown","1090","1020","29720","28470"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","AA/AO","1480","1300","20470","20140"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","EO","1220","1140","25680","25560"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","G6/G7","240","240","53970","52580"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","HM Revenue and Customs (excl. agencies)","SEO/HEO","1200","1150","33190","31810"
"In post","2021","Wales","Home Office (incl. agencies)","AA/AO","180","150","21190","21430"
"In post","2021","Wales","Home Office (incl. agencies)","EO","300","280","25700","25040"
"In post","2021","Wales","Home Office (incl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Home Office (incl. agencies)","SEO/HEO","140","130","33500","31740"
"In post","2021","Wales","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Insolvency Service","AA/AO","30","30","[c]","[c]"
"In post","2021","Wales","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Maritime and Coastguard Agency","AA/AO","50","40","[c]","[c]"
"In post","2021","Wales","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","AA/AO","450","440","20470","20720"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","EO","150","140","27820","26670"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","SEO/HEO","110","110","36210","33300"
"In post","2021","Wales","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","SEO/HEO","70","70","32870","30990"
"In post","2021","Wales","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","National Crime Agency","EO","30","30","[c]","[c]"
"In post","2021","Wales","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Public Health England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Public Health England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Public Health England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Public Health England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","UK Intellectual Property Office","AA/AO","190","180","20780","21140"
"In post","2021","Wales","UK Intellectual Property Office","EO","470","450","25540","23320"
"In post","2021","Wales","UK Intellectual Property Office","G6/G7","330","310","60040","59720"
"In post","2021","Wales","UK Intellectual Property Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","UK Intellectual Property Office","SEO/HEO","470","450","38630","39540"
"In post","2021","Wales","United Kingdom Statistics Authority","AA/AO","400","360","19340","19520"
"In post","2021","Wales","United Kingdom Statistics Authority","EO","430","400","23800","23050"
"In post","2021","Wales","United Kingdom Statistics Authority","G6/G7","570","560","52410","50090"
"In post","2021","Wales","United Kingdom Statistics Authority","SCS","40","40","[c]","[c]"
"In post","2021","Wales","United Kingdom Statistics Authority","SEO/HEO","1270","1220","33460","33020"
"In post","2021","Wales","Valuation Office Agency","AA/AO","50","50","21040","21100"
"In post","2021","Wales","Valuation Office Agency","EO","60","50","26050","25860"
"In post","2021","Wales","Valuation Office Agency","G6/G7","40","40","[c]","[c]"
"In post","2021","Wales","Valuation Office Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Valuation Office Agency","SEO/HEO","110","110","37920","39640"
"In post","2021","Wales","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Government (excl. agencies)","AA/AO","960","880","23350","23830"
"In post","2021","Wales","Welsh Government (excl. agencies)","EO","1010","950","28710","28850"
"In post","2021","Wales","Welsh Government (excl. agencies)","G6/G7","1020","980","61600","60830"
"In post","2021","Wales","Welsh Government (excl. agencies)","SCS","170","170","89900","81760"
"In post","2021","Wales","Welsh Government (excl. agencies)","SEO/HEO","2530","2400","40840","37410"
"In post","2021","Wales","Welsh Revenue Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Revenue Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Revenue Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","EO","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","SEO/HEO","50","50","[c]","[c]"
"In post","2021","West Midlands (England)","Animal and Plant Health Agency","AA/AO","80","70","21030","21050"
"In post","2021","West Midlands (England)","Animal and Plant Health Agency","EO","80","70","25380","25190"
"In post","2021","West Midlands (England)","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Animal and Plant Health Agency","SEO/HEO","100","90","35290","35900"
"In post","2021","West Midlands (England)","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Cabinet Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Prosecution Service","AA/AO","130","120","21790","21950"
"In post","2021","West Midlands (England)","Crown Prosecution Service","EO","110","100","27170","28430"
"In post","2021","West Midlands (England)","Crown Prosecution Service","G6/G7","240","220","55630","55610"
"In post","2021","West Midlands (England)","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Crown Prosecution Service","SEO/HEO","80","70","35120","34480"
"In post","2021","West Midlands (England)","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Defence Electronics and Components Agency","EO","40","30","[c]","[c]"
"In post","2021","West Midlands (England)","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Defence Equipment and Support","EO","130","120","20940","20520"
"In post","2021","West Midlands (England)","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Defence Equipment and Support","SEO/HEO","80","80","32680","30980"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","50","50","53580","49520"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","70","70","33900","34090"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","EO","80","80","25310","25000"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","G6/G7","140","140","55370","50970"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","SEO/HEO","230","230","34490","36370"
"In post","2021","West Midlands (England)","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","70","70","52650","49960"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","110","110","34680","35900"
"In post","2021","West Midlands (England)","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","AA/AO","2400","1990","20720","21010"
"In post","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","EO","4550","4060","27430","27570"
"In post","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","G6/G7","60","50","53730","49170"
"In post","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","SEO/HEO","600","560","33410","32670"
"In post","2021","West Midlands (England)","Driver and Vehicle Standards Agency","AA/AO","100","90","24500","25090"
"In post","2021","West Midlands (England)","Driver and Vehicle Standards Agency","EO","250","230","28050","26780"
"In post","2021","West Midlands (England)","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Driver and Vehicle Standards Agency","SEO/HEO","50","50","34770","33350"
"In post","2021","West Midlands (England)","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Education and Skills Funding Agency","EO","50","50","25550","26000"
"In post","2021","West Midlands (England)","Education and Skills Funding Agency","G6/G7","200","200","54710","50630"
"In post","2021","West Midlands (England)","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Education and Skills Funding Agency","SEO/HEO","300","290","34490","36500"
"In post","2021","West Midlands (England)","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Food Standards Agency","EO","50","50","26950","26750"
"In post","2021","West Midlands (England)","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Food Standards Agency","SEO/HEO","50","50","[c]","[c]"
"In post","2021","West Midlands (England)","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Internal Audit Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Property Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Health and Safety Executive","SEO/HEO","50","40","[c]","[c]"
"In post","2021","West Midlands (England)","HM Courts and Tribunals Service","AA/AO","1360","1200","19360","19830"
"In post","2021","West Midlands (England)","HM Courts and Tribunals Service","EO","310","290","22640","22570"
"In post","2021","West Midlands (England)","HM Courts and Tribunals Service","G6/G7","50","50","54460","52790"
"In post","2021","West Midlands (England)","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","HM Courts and Tribunals Service","SEO/HEO","260","250","33520","30990"
"In post","2021","West Midlands (England)","HM Land Registry","AA/AO","210","200","22370","22350"
"In post","2021","West Midlands (England)","HM Land Registry","EO","200","170","27180","27130"
"In post","2021","West Midlands (England)","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","HM Land Registry","SEO/HEO","170","150","36530","33840"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","AA/AO","2740","2620","25180","24440"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","EO","580","560","30710","31610"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","G6/G7","70","60","72610","70290"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","SEO/HEO","650","630","40510","38160"
"In post","2021","West Midlands (England)","HM Prison and Probation Service","Unknown","1350","1240","29320","28200"
"In post","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","AA/AO","860","770","20470","20140"
"In post","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","EO","900","830","25970","25560"
"In post","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","G6/G7","560","540","55470","52580"
"In post","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","SCS","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","SEO/HEO","1500","1430","34410","31870"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","AA/AO","250","230","21220","21430"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","EO","470","440","25860","25310"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","SEO/HEO","260","250","33870","32680"
"In post","2021","West Midlands (England)","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Insolvency Service","AA/AO","160","150","20530","20880"
"In post","2021","West Midlands (England)","Insolvency Service","EO","60","50","25790","26290"
"In post","2021","West Midlands (England)","Insolvency Service","G6/G7","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","Insolvency Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Insolvency Service","SEO/HEO","170","170","38250","39170"
"In post","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","G6/G7","50","50","[c]","[c]"
"In post","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","SEO/HEO","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Legal Aid Agency","AA/AO","60","60","20210","19930"
"In post","2021","West Midlands (England)","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","AA/AO","930","890","21920","20920"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","EO","550","540","28050","26670"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","G6/G7","150","150","62040","54540"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","SEO/HEO","640","620","37190","36150"
"In post","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2021","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","40","40","[c]","[c]"
