"Status","Year","Profession_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","130","130","47100","45100"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","60","60","49320","47070"
"In post","2022","Communications","Department for Education (excl. agencies)","Department for Education","240","230","37840","33570"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","240","230","41050","37190"
"In post","2022","Communications","Department for International Trade","Department for International Trade","110","110","44510","38540"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","110","110","44770","39600"
"In post","2022","Communications","Department for Transport (excl. agencies)","Department for Transport","90","90","48280","42890"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","70","70","43700","41040"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","340","330","46590","49530"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Department for Transport","70","70","29690","26780"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Department for Transport","50","40","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","Department for Education","90","80","42990","40300"
"In post","2022","Communications","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Food Standards Agency","50","50","41300","37350"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","100","90","50550","47340"
"In post","2022","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
