"Status","Year","Ethnicity","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Social Research","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Tax","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Tax","HM Revenue and Customs","60","60","36050","31810"
"In post","2021","Other ethnicity","Tax","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Tax","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Cabinet Office","70","70","46760","39080"
"In post","2021","Other ethnicity","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Department for Work and Pensions","460","420","29040","27570"
"In post","2021","Other ethnicity","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinarian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Ministry of Defence","110","100","39570","37940"
"In post","2021","Undeclared","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Undeclared","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","80","80","41620","39330"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Education","50","50","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Transport","70","70","42260","41230"
"In post","2021","Undeclared","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","HM Revenue and Customs","90","80","39030","35000"
"In post","2021","Undeclared","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Home Office","80","70","48010","45360"
"In post","2021","Undeclared","Digital, Data and Technology","Ministry of Defence","120","110","36880","36300"
"In post","2021","Undeclared","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Education","40","30","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","HM Revenue and Customs","70","60","33310","28130"
"In post","2021","Undeclared","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Ministry of Defence","110","110","38150","35000"
"In post","2021","Undeclared","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Ministry of Defence","80","70","31890","29200"
"In post","2021","Undeclared","Human Resources","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Undeclared","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Home Office","110","110","30550","28990"
"In post","2021","Undeclared","Intelligence Analysis","Ministry of Defence","70","70","38460","35060"
"In post","2021","Undeclared","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Undeclared","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Ministry of Defence","90","80","38360","34640"
"In post","2021","Undeclared","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Attorney General's Departments","80","80","56750","55000"
"In post","2021","Undeclared","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","HM Revenue and Customs","220","210","35190","32060"
"In post","2021","Undeclared","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Ministry of Justice","60","60","44170","43460"
"In post","2021","Undeclared","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Ministry of Defence","50","40","49080","37890"
"In post","2021","Undeclared","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Attorney General's Departments","50","50","27020","25870"
"In post","2021","Undeclared","Operational Delivery","Department for Business, Energy and Industrial Strategy","100","100","31230","26290"
"In post","2021","Undeclared","Operational Delivery","Department for Education","60","60","42030","37020"
"In post","2021","Undeclared","Operational Delivery","Department for Environment, Food and Rural Affairs","180","170","28220","25930"
"In post","2021","Undeclared","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Department for Transport","690","660","28300","26780"
"In post","2021","Undeclared","Operational Delivery","Department for Work and Pensions","140","130","45540","46320"
"In post","2021","Undeclared","Operational Delivery","Department of Health and Social Care","250","220","42160","39170"
"In post","2021","Undeclared","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","HM Land Registry","190","170","31430","27130"
"In post","2021","Undeclared","Operational Delivery","HM Revenue and Customs","1040","920","26400","25560"
"In post","2021","Undeclared","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Home Office","1540","1410","29640","27370"
"In post","2021","Undeclared","Operational Delivery","Ministry of Defence","80","80","34590","31900"
"In post","2021","Undeclared","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Ministry of Justice","1760","1660","27870","26150"
"In post","2021","Undeclared","Operational Delivery","National Crime Agency","160","160","36600","36200"
"In post","2021","Undeclared","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
