"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","EO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","No function","450","420","29050","28310"
"In post","2022","EO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","EO","Other ethnicity","Unknown","120","110","27750","28650"
"In post","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Communications","60","60","27440","26820"
"In post","2022","EO","Undeclared","Counter Fraud","370","320","28680","27570"
"In post","2022","EO","Undeclared","Debt","50","50","28650","27570"
"In post","2022","EO","Undeclared","Digital, Data & Technology","200","190","28250","27570"
"In post","2022","EO","Undeclared","Finance","90","90","27470","26870"
"In post","2022","EO","Undeclared","Grants Management","40","30","[c]","[c]"
"In post","2022","EO","Undeclared","Human Resources","90","80","28020","27570"
"In post","2022","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Legal","50","50","28340","28420"
"In post","2022","EO","Undeclared","No function","3120","2850","28950","27570"
"In post","2022","EO","Undeclared","Project Delivery","110","110","26000","26670"
"In post","2022","EO","Undeclared","Property","160","150","27850","27000"
"In post","2022","EO","Undeclared","Security","80","80","34400","30620"
"In post","2022","EO","Undeclared","Unknown","1150","1060","27810","27370"
"In post","2022","EO","Unknown","Analysis","120","120","26620","26510"
"In post","2022","EO","Unknown","Commercial","100","90","26590","26630"
"In post","2022","EO","Unknown","Communications","1020","1000","26870","26820"
"In post","2022","EO","Unknown","Counter Fraud","1020","970","28060","26820"
"In post","2022","EO","Unknown","Debt","170","160","27770","26820"
"In post","2022","EO","Unknown","Digital, Data & Technology","560","550","27580","27130"
"In post","2022","EO","Unknown","Finance","210","210","26530","26590"
"In post","2022","EO","Unknown","Grants Management","180","170","25060","24920"
"In post","2022","EO","Unknown","Human Resources","250","240","27120","26820"
"In post","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Legal","230","220","28230","27790"
"In post","2022","EO","Unknown","No function","8210","7780","28730","27570"
"In post","2022","EO","Unknown","Project Delivery","400","380","24540","26030"
"In post","2022","EO","Unknown","Property","310","300","27060","26350"
"In post","2022","EO","Unknown","Security","190","190","29580","26670"
"In post","2022","EO","Unknown","Unknown","2970","2830","27410","27230"
"In post","2022","EO","White","Analysis","590","570","26550","25930"
"In post","2022","EO","White","Commercial","550","520","26600","26360"
"In post","2022","EO","White","Communications","1600","1530","26920","26820"
"In post","2022","EO","White","Counter Fraud","4780","4340","27870","27570"
"In post","2022","EO","White","Debt","840","750","27520","27570"
"In post","2022","EO","White","Digital, Data & Technology","2570","2440","27510","27130"
"In post","2022","EO","White","Finance","1450","1360","26690","26750"
"In post","2022","EO","White","Grants Management","380","340","25580","25190"
"In post","2022","EO","White","Human Resources","1880","1750","27140","27130"
"In post","2022","EO","White","Internal Audit","40","30","[c]","[c]"
"In post","2022","EO","White","Legal","1400","1300","27920","27740"
"In post","2022","EO","White","No function","53490","48860","28170","27570"
"In post","2022","EO","White","Project Delivery","2600","2450","24590","25500"
"In post","2022","EO","White","Property","1190","1120","26550","26670"
"In post","2022","EO","White","Security","1150","1110","32080","28700"
"In post","2022","EO","White","Unknown","15700","14720","27350","26670"
"In post","2022","G6/G7","Asian","Analysis","200","200","59370","57620"
"In post","2022","G6/G7","Asian","Commercial","60","50","60120","59770"
"In post","2022","G6/G7","Asian","Communications","40","40","[c]","[c]"
"In post","2022","G6/G7","Asian","Counter Fraud","60","60","59640","60640"
"In post","2022","G6/G7","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Asian","Digital, Data & Technology","410","400","58240","55280"
"In post","2022","G6/G7","Asian","Finance","210","200","58930","57540"
"In post","2022","G6/G7","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Asian","Human Resources","120","110","57830","55980"
"In post","2022","G6/G7","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Asian","Legal","570","530","57450","54200"
"In post","2022","G6/G7","Asian","No function","1300","1270","58290","55210"
"In post","2022","G6/G7","Asian","Project Delivery","320","310","59630","58030"
"In post","2022","G6/G7","Asian","Property","70","70","58300","55110"
"In post","2022","G6/G7","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Asian","Unknown","440","420","61640","57740"
"In post","2022","G6/G7","Black","Analysis","40","40","[c]","[c]"
"In post","2022","G6/G7","Black","Commercial","30","30","[c]","[c]"
"In post","2022","G6/G7","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Digital, Data & Technology","140","140","56470","54700"
"In post","2022","G6/G7","Black","Finance","80","80","57660","55540"
"In post","2022","G6/G7","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Human Resources","50","50","[c]","[c]"
"In post","2022","G6/G7","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Legal","240","230","58810","57280"
"In post","2022","G6/G7","Black","No function","490","490","57190","54270"
"In post","2022","G6/G7","Black","Project Delivery","150","150","58640","58650"
"In post","2022","G6/G7","Black","Property","30","30","[c]","[c]"
"In post","2022","G6/G7","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Black","Unknown","190","180","60820","57680"
"In post","2022","G6/G7","Mixed","Analysis","70","70","58270","55210"
"In post","2022","G6/G7","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Communications","30","30","[c]","[c]"
"In post","2022","G6/G7","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Digital, Data & Technology","110","110","56490","54700"
"In post","2022","G6/G7","Mixed","Finance","60","50","58200","56340"
"In post","2022","G6/G7","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Human Resources","60","60","57830","57590"
"In post","2022","G6/G7","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Legal","170","160","58870","56360"
"In post","2022","G6/G7","Mixed","No function","580","570","58130","54790"
"In post","2022","G6/G7","Mixed","Project Delivery","130","120","58970","58110"
"In post","2022","G6/G7","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Mixed","Unknown","190","180","60920","57740"
"In post","2022","G6/G7","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Legal","60","60","59750","59850"
"In post","2022","G6/G7","Other ethnicity","No function","200","200","58930","55720"
"In post","2022","G6/G7","Other ethnicity","Project Delivery","40","40","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Analysis","100","100","57920","57030"
"In post","2022","G6/G7","Undeclared","Commercial","50","50","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Counter Fraud","100","100","59820","55410"
"In post","2022","G6/G7","Undeclared","Digital, Data & Technology","290","290","58940","57300"
"In post","2022","G6/G7","Undeclared","Finance","100","100","58920","57400"
"In post","2022","G6/G7","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Human Resources","50","50","58880","57480"
"In post","2022","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Legal","180","170","61470","61360"
"In post","2022","G6/G7","Undeclared","No function","1070","1030","58540","56340"
"In post","2022","G6/G7","Undeclared","Project Delivery","320","310","57770","55710"
"In post","2022","G6/G7","Undeclared","Property","130","120","59460","58250"
"In post","2022","G6/G7","Undeclared","Security","50","50","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Unknown","420","410","62290","61440"
"In post","2022","G6/G7","Unknown","Analysis","280","270","57700","54980"
"In post","2022","G6/G7","Unknown","Commercial","1140","1130","64480","64500"
"In post","2022","G6/G7","Unknown","Communications","250","240","58630","55250"
"In post","2022","G6/G7","Unknown","Counter Fraud","160","150","59680","58600"
"In post","2022","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Digital, Data & Technology","810","790","58260","55620"
"In post","2022","G6/G7","Unknown","Finance","290","280","57950","55210"
"In post","2022","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Human Resources","180","180","57910","56630"
"In post","2022","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Legal","700","650","60790","59990"
"In post","2022","G6/G7","Unknown","No function","2910","2840","58010","55210"
"In post","2022","G6/G7","Unknown","Project Delivery","870","860","57620","55210"
"In post","2022","G6/G7","Unknown","Property","140","140","59070","56500"
"In post","2022","G6/G7","Unknown","Security","70","70","58550","55210"
"In post","2022","G6/G7","Unknown","Unknown","1280","1240","61580","58550"
"In post","2022","G6/G7","White","Analysis","2100","1990","59140","56780"
"In post","2022","G6/G7","White","Commercial","950","920","58390","55270"
"In post","2022","G6/G7","White","Communications","840","810","58490","56340"
"In post","2022","G6/G7","White","Counter Fraud","960","910","59540","55320"
"In post","2022","G6/G7","White","Debt","50","50","[c]","[c]"
"In post","2022","G6/G7","White","Digital, Data & Technology","4210","4120","57600","55210"
"In post","2022","G6/G7","White","Finance","2020","1970","58360","56860"
"In post","2022","G6/G7","White","Grants Management","40","40","[c]","[c]"
"In post","2022","G6/G7","White","Human Resources","1880","1820","57640","55410"
"In post","2022","G6/G7","White","Internal Audit","160","160","58630","58930"
"In post","2022","G6/G7","White","Legal","4080","3750","59420","57750"
"In post","2022","G6/G7","White","No function","18110","17480","58620","55410"
"In post","2022","G6/G7","White","Project Delivery","5410","5250","58040","55390"
"In post","2022","G6/G7","White","Property","1340","1310","58280","57150"
"In post","2022","G6/G7","White","Security","430","430","59390","57990"
"In post","2022","G6/G7","White","Unknown","7640","7350","62320","61440"
"In post","2022","SCS","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","No function","190","180","92470","87600"
"In post","2022","SCS","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","No function","60","60","91960","82510"
"In post","2022","SCS","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","No function","80","70","85020","78000"
"In post","2022","SCS","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","No function","100","100","88540","78230"
"In post","2022","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Commercial","160","150","116690","114950"
"In post","2022","SCS","Unknown","Communications","30","30","[c]","[c]"
"In post","2022","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2022","SCS","Unknown","Finance","30","30","[c]","[c]"
"In post","2022","SCS","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Legal","50","50","[c]","[c]"
"In post","2022","SCS","Unknown","No function","400","390","90710","80900"
"In post","2022","SCS","Unknown","Project Delivery","50","50","95860","84410"
"In post","2022","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","110","110","93500","84850"
"In post","2022","SCS","White","Analysis","160","150","89490","80260"
"In post","2022","SCS","White","Commercial","160","150","104830","93420"
"In post","2022","SCS","White","Communications","90","90","93000","85000"
"In post","2022","SCS","White","Counter Fraud","40","40","[c]","[c]"
"In post","2022","SCS","White","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SCS","White","Digital, Data & Technology","240","240","91120","84270"
"In post","2022","SCS","White","Finance","230","230","88020","80190"
"In post","2022","SCS","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SCS","White","Human Resources","210","200","87760","80000"
"In post","2022","SCS","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SCS","White","Legal","350","330","87950","82720"
"In post","2022","SCS","White","No function","2480","2380","89660","81030"
"In post","2022","SCS","White","Project Delivery","490","480","92330","83980"
"In post","2022","SCS","White","Property","100","90","90290","83740"
"In post","2022","SCS","White","Security","50","50","[c]","[c]"
"In post","2022","SCS","White","Unknown","830","810","89180","83230"
"In post","2022","SEO/HEO","Asian","Analysis","320","320","37310","37150"
"In post","2022","SEO/HEO","Asian","Commercial","170","160","37580","37430"
"In post","2022","SEO/HEO","Asian","Communications","270","260","36000","33370"
"In post","2022","SEO/HEO","Asian","Counter Fraud","360","350","36840","37610"
"In post","2022","SEO/HEO","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Asian","Digital, Data & Technology","660","650","37280","36650"
"In post","2022","SEO/HEO","Asian","Finance","570","560","37770","37030"
"In post","2022","SEO/HEO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Asian","Human Resources","280","280","36510","36570"
"In post","2022","SEO/HEO","Asian","Internal Audit","60","50","41240","40180"
"In post","2022","SEO/HEO","Asian","Legal","180","170","38090","38000"
"In post","2022","SEO/HEO","Asian","No function","3970","3840","37130","36260"
"In post","2022","SEO/HEO","Asian","Project Delivery","640","630","37460","37640"
"In post","2022","SEO/HEO","Asian","Property","180","170","37850","36990"
"In post","2022","SEO/HEO","Asian","Security","110","110","38400","37600"
"In post","2022","SEO/HEO","Asian","Unknown","1550","1510","37650","35860"
"In post","2022","SEO/HEO","Black","Analysis","130","120","37080","37930"
"In post","2022","SEO/HEO","Black","Commercial","100","100","38010","36970"
"In post","2022","SEO/HEO","Black","Communications","90","80","35730","33670"
"In post","2022","SEO/HEO","Black","Counter Fraud","160","150","37670","37930"
"In post","2022","SEO/HEO","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Black","Digital, Data & Technology","350","340","37270","36650"
"In post","2022","SEO/HEO","Black","Finance","240","240","38590","37930"
"In post","2022","SEO/HEO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Black","Human Resources","180","180","37500","37000"
"In post","2022","SEO/HEO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Black","Legal","110","110","37230","37930"
"In post","2022","SEO/HEO","Black","No function","1910","1870","37630","36820"
"In post","2022","SEO/HEO","Black","Project Delivery","380","370","37170","37730"
"In post","2022","SEO/HEO","Black","Property","100","90","38530","37320"
"In post","2022","SEO/HEO","Black","Security","40","40","[c]","[c]"
"In post","2022","SEO/HEO","Black","Unknown","700","690","38240","36650"
"In post","2022","SEO/HEO","Mixed","Analysis","110","110","36500","36840"
"In post","2022","SEO/HEO","Mixed","Commercial","50","50","37500","37160"
"In post","2022","SEO/HEO","Mixed","Communications","90","90","36920","35250"
"In post","2022","SEO/HEO","Mixed","Counter Fraud","70","70","37050","37610"
"In post","2022","SEO/HEO","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Mixed","Digital, Data & Technology","160","160","36880","36050"
"In post","2022","SEO/HEO","Mixed","Finance","100","90","37350","36350"
"In post","2022","SEO/HEO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Mixed","Human Resources","110","100","36380","36320"
"In post","2022","SEO/HEO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Mixed","Legal","50","50","37220","37400"
"In post","2022","SEO/HEO","Mixed","No function","1220","1190","37020","35930"
"In post","2022","SEO/HEO","Mixed","Project Delivery","230","220","36440","37000"
"In post","2022","SEO/HEO","Mixed","Property","50","50","38190","37550"
"In post","2022","SEO/HEO","Mixed","Security","50","50","39180","36510"
"In post","2022","SEO/HEO","Mixed","Unknown","360","350","38070","37450"
"In post","2022","SEO/HEO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Digital, Data & Technology","60","60","37330","37440"
"In post","2022","SEO/HEO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","No function","390","380","38160","36830"
"In post","2022","SEO/HEO","Other ethnicity","Project Delivery","60","50","37530","38330"
"In post","2022","SEO/HEO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Unknown","80","80","38160","36650"
"In post","2022","SEO/HEO","Undeclared","Analysis","110","100","37530","38070"
"In post","2022","SEO/HEO","Undeclared","Commercial","120","120","38030","39010"
"In post","2022","SEO/HEO","Undeclared","Communications","80","80","36910","35060"
"In post","2022","SEO/HEO","Undeclared","Counter Fraud","310","300","36840","35520"
"In post","2022","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Digital, Data & Technology","610","590","38310","38000"
"In post","2022","SEO/HEO","Undeclared","Finance","240","230","37880","36540"
"In post","2022","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Human Resources","160","150","36800","36050"
"In post","2022","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Legal","60","60","39870","38020"
"In post","2022","SEO/HEO","Undeclared","No function","2190","2080","37890","36970"
"In post","2022","SEO/HEO","Undeclared","Project Delivery","700","670","37640","38180"
"In post","2022","SEO/HEO","Undeclared","Property","300","280","38530","37580"
"In post","2022","SEO/HEO","Undeclared","Security","180","180","39310","37640"
"In post","2022","SEO/HEO","Undeclared","Unknown","1150","1110","37920","37320"
"In post","2022","SEO/HEO","Unknown","Analysis","520","510","35740","35660"
"In post","2022","SEO/HEO","Unknown","Commercial","370","360","37620","38260"
"In post","2022","SEO/HEO","Unknown","Communications","720","710","36130","33370"
"In post","2022","SEO/HEO","Unknown","Counter Fraud","820","790","36700","35530"
"In post","2022","SEO/HEO","Unknown","Debt","30","30","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Digital, Data & Technology","1500","1470","37590","36840"
"In post","2022","SEO/HEO","Unknown","Finance","600","580","37200","36820"
"In post","2022","SEO/HEO","Unknown","Grants Management","70","70","31780","30490"
"In post","2022","SEO/HEO","Unknown","Human Resources","420","410","35840","35560"
"In post","2022","SEO/HEO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Legal","240","230","37300","37610"
"In post","2022","SEO/HEO","Unknown","No function","8310","8080","35020","33370"
"In post","2022","SEO/HEO","Unknown","Project Delivery","1190","1160","36700","37620"
"In post","2022","SEO/HEO","Unknown","Property","380","370","36960","36050"
"In post","2022","SEO/HEO","Unknown","Security","280","280","37790","35490"
"In post","2022","SEO/HEO","Unknown","Unknown","2670","2610","38240","37450"
"In post","2022","SEO/HEO","White","Analysis","3110","3010","36140","36580"
"In post","2022","SEO/HEO","White","Commercial","1990","1930","37140","37100"
"In post","2022","SEO/HEO","White","Communications","2200","2140","36770","35010"
"In post","2022","SEO/HEO","White","Counter Fraud","3970","3760","36100","33680"
"In post","2022","SEO/HEO","White","Debt","300","270","35040","33370"
"In post","2022","SEO/HEO","White","Digital, Data & Technology","7580","7330","37350","36840"
"In post","2022","SEO/HEO","White","Finance","3650","3490","36980","36500"
"In post","2022","SEO/HEO","White","Grants Management","250","230","32720","31080"
