"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Overseas","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Medicine","30","30","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Operational Delivery","190","190","44470","38380"
"In post","2022","Overseas","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Other","130","130","52250","55800"
"In post","2022","Overseas","Declared non-disabled","Policy","1250","1250","52110","53370"
"In post","2022","Overseas","Declared non-disabled","Project Delivery","80","80","50290","51500"
"In post","2022","Overseas","Declared non-disabled","Property","140","140","39520","38220"
"In post","2022","Overseas","Declared non-disabled","Science and Engineering","110","110","41780","39650"
"In post","2022","Overseas","Declared non-disabled","Security","60","60","36210","34150"
"In post","2022","Overseas","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Policy","70","70","54160","54500"
"In post","2022","Overseas","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","International Trade","60","60","53480","52400"
"In post","2022","Overseas","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Operational Delivery","70","70","56970","58570"
"In post","2022","Overseas","Unknown","Other","400","390","47080","46600"
"In post","2022","Overseas","Unknown","Policy","240","240","55820","55060"
"In post","2022","Overseas","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Finance","30","30","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Operational Delivery","790","710","27750","27560"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Other","120","110","28130","27570"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Commercial","80","80","38250","33330"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Communications","40","30","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Counter Fraud","80","70","28170","27570"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Digital, Data and Technology","280","270","41190","40000"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Finance","220","210","39060","33300"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Human Resources","80","80","38930","36170"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Knowledge and Information Management","70","70","26590","21170"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Legal","50","50","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Medicine","60","60","48020","39030"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Operational Delivery","3620","3330","28010","27120"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Other","580","560","27470","27570"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Policy","60","50","37570","36620"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Project Delivery","200","190","43270","40520"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Property","210","200","36530","33300"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Psychology","80","80","31270","29060"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Security","130","130","29210","26510"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Tax","50","40","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Unknown","50","40","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Operational Delivery","410","370","28650","27570"
"In post","2022","Shropshire and Staffordshire","Undeclared","Other","70","60","26610","26600"
"In post","2022","Shropshire and Staffordshire","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Digital, Data and Technology","70","70","46470","41380"
"In post","2022","Shropshire and Staffordshire","Unknown","Finance","30","30","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Operational Delivery","610","570","25990","23910"
"In post","2022","Shropshire and Staffordshire","Unknown","Other","70","70","26930","26350"
"In post","2022","Shropshire and Staffordshire","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Unknown","50","50","[c]","[c]"
"In post","2022","Shropshire and Staffordshire","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Digital, Data and Technology","70","60","42240","37900"
"In post","2022","South Yorkshire","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Finance","40","40","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Operational Delivery","810","710","27080","26080"
"In post","2022","South Yorkshire","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Other","80","70","26170","25860"
"In post","2022","South Yorkshire","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Policy","120","110","40030","36500"
"In post","2022","South Yorkshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Commercial","170","160","36360","34290"
"In post","2022","South Yorkshire","Declared non-disabled","Communications","40","30","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Counter Fraud","100","90","28040","27570"
"In post","2022","South Yorkshire","Declared non-disabled","Digital, Data and Technology","430","410","43650","40160"
"In post","2022","South Yorkshire","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Finance","250","240","40710","36500"
"In post","2022","South Yorkshire","Declared non-disabled","Human Resources","140","130","39550","34290"
"In post","2022","South Yorkshire","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Intelligence Analysis","70","70","28040","26250"
"In post","2022","South Yorkshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Legal","70","60","46220","48830"
"In post","2022","South Yorkshire","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Operational Delivery","4400","3940","27680","26100"
"In post","2022","South Yorkshire","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Other","360","310","26620","21680"
"In post","2022","South Yorkshire","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Policy","610","570","45520","45940"
"In post","2022","South Yorkshire","Declared non-disabled","Project Delivery","180","160","40310","37450"
"In post","2022","South Yorkshire","Declared non-disabled","Property","120","110","42280","37360"
"In post","2022","South Yorkshire","Declared non-disabled","Psychology","30","30","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Security","110","110","34520","34750"
"In post","2022","South Yorkshire","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Statistics","40","40","[c]","[c]"
"In post","2022","South Yorkshire","Declared non-disabled","Unknown","60","60","46300","38700"
"In post","2022","South Yorkshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Operational Delivery","330","310","29050","27570"
"In post","2022","South Yorkshire","Undeclared","Other","40","30","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Policy","40","40","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Commercial","40","40","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Digital, Data and Technology","130","130","46920","49860"
"In post","2022","South Yorkshire","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Finance","50","50","35490","32300"
"In post","2022","South Yorkshire","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Operational Delivery","700","670","26550","24880"
"In post","2022","South Yorkshire","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Policy","170","170","36100","32870"
"In post","2022","South Yorkshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Property","40","30","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","South Yorkshire","Unknown","Unknown","50","50","48680","49700"
"In post","2022","Southern Scotland","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Operational Delivery","300","250","26340","26120"
"In post","2022","Southern Scotland","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared disabled","Unknown","60","50","29700","27290"
"In post","2022","Southern Scotland","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Counter Fraud","170","160","23850","21260"
"In post","2022","Southern Scotland","Declared non-disabled","Digital, Data and Technology","90","90","43070","40180"
"In post","2022","Southern Scotland","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Legal","100","90","52520","52520"
"In post","2022","Southern Scotland","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Operational Delivery","1840","1620","26950","26820"
"In post","2022","Southern Scotland","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Other","220","210","29340","26250"
"In post","2022","Southern Scotland","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Policy","80","70","50620","50200"
"In post","2022","Southern Scotland","Declared non-disabled","Project Delivery","120","120","41550","38500"
"In post","2022","Southern Scotland","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Science and Engineering","30","30","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Security","40","40","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Declared non-disabled","Tax","240","220","32440","33080"
"In post","2022","Southern Scotland","Declared non-disabled","Unknown","620","590","32480","30040"
"In post","2022","Southern Scotland","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Southern Scotland","Undeclared","Operational Delivery","100","90","26840","24890"
"In post","2022","Southern Scotland","Undeclared","Other","[c]","[c]","[c]","[c]"
