"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","180","170","42800","33110"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","200","190","52180","41590"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Female","40","40","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","50","40","28400","22220"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","40","30","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","Female","160","140","40480","32050"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","Male","110","100","48090","55000"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Female","140","130","31190","28020"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Male","330","320","36170","32600"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","70","60","31280","28650"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","140","140","31100","28650"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","80","80","46100","40380"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","120","120","50510","43760"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","40","40","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","40","40","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Female","160","150","42340","36970"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Male","130","120","44990","40940"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","140","130","35860","32240"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","120","120","40750","35900"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Female","80","70","35950","31180"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Male","70","70","40520","32250"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","Female","50","40","[c]","[c]"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","Male","60","60","47890","43360"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","2760","2240","26140","26120"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","1630","1490","26970","26890"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","100","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","80","[c]","[c]","[c]"
"Leaver CS","2021","Disclosure Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Driver and Vehicle Licensing Agency","Department for Transport","Female","160","110","22080","21590"
"Leaver CS","2021","Driver and Vehicle Licensing Agency","Department for Transport","Male","120","110","24990","21590"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","Female","70","60","26230","26380"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","Male","150","120","29680","26780"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Female","30","30","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","Male","60","50","40180","34490"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","70","30","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Scottish Government","Male","40","40","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Attorney General's Departments","Female","70","60","55270","53700"
"Leaver CS","2021","Government Legal Department","Attorney General's Departments","Male","40","40","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Department for Work and Pensions","Female","60","50","36240","30820"
"Leaver CS","2021","Health and Safety Executive","Department for Work and Pensions","Male","60","60","51000","45240"
"Leaver CS","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","900","760","23300","20100"
"Leaver CS","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","490","440","23810","20160"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Female","160","130","31110","27130"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Male","110","100","32440","27130"
"Leaver CS","2021","HM Prison and Probation Service","Ministry of Justice","Female","1890","1710","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Ministry of Justice","Male","2240","2080","37370","31650"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","3330","2680","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","2110","1890","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","HM Treasury","Female","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","HM Treasury","Male","50","50","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Home Office","Female","670","560","28790","25120"
"Leaver CS","2021","Home Office (incl. agencies)","Home Office","Male","660","590","31920","27250"
"Leaver CS","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","30","30","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","40","40","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Department for Transport","Female","30","30","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Department for Transport","Male","70","70","41100","38650"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","100","90","46080","40230"
"Leaver CS","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","60","60","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","900","810","29620","26280"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","1390","1330","32460","29930"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","50","50","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","50","40","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","110","100","38400","32500"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","120","120","40180","31500"
"Leaver CS","2021","National Crime Agency","National Crime Agency","Female","60","60","42300","39000"
"Leaver CS","2021","National Crime Agency","National Crime Agency","Male","120","120","44540","41060"
"Leaver CS","2021","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","90","80","50040","51360"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","40","40","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","50","50","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Ministry of Justice","Female","40","30","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","30","30","[c]","[c]"
"Leaver CS","2021","Public Health England","Department of Health and Social Care","Female","520","460","37720","32650"
"Leaver CS","2021","Public Health England","Department of Health and Social Care","Male","230","210","46950","37690"
"Leaver CS","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Registers of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Royal Fleet Auxiliary","Ministry of Defence","Male","140","140","35640","32400"
"Leaver CS","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","50","40","25600","24920"
"Leaver CS","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","40","40","[c]","[c]"
"Leaver CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Courts and Tribunals Service","Scottish Government","Female","50","50","28700","22820"
"Leaver CS","2021","Scottish Courts and Tribunals Service","Scottish Government","Male","50","50","[c]","[c]"
"Leaver CS","2021","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Forestry","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government (excl. agencies)","Scottish Government","Female","130","120","39680","32140"
"Leaver CS","2021","Scottish Government (excl. agencies)","Scottish Government","Male","140","130","43440","35110"
"Leaver CS","2021","Scottish Housing Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Prison Service","Scottish Government","Female","80","70","28390","25870"
"Leaver CS","2021","Scottish Prison Service","Scottish Government","Male","160","140","34430","33650"
"Leaver CS","2021","Scottish Public Pensions Agency","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Public Pensions Agency","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Security Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Standards and Testing Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Student Awards Agency for Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Submarine Delivery Agency","Ministry of Defence","Male","40","40","[c]","[c]"
"Leaver CS","2021","The National Archives","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Transport Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Hydrographic Office","Ministry of Defence","Male","40","40","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","140","110","28830","23050"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","160","140","28480","22130"
"Leaver CS","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","HM Revenue and Customs","Female","120","100","27750","25000"
"Leaver CS","2021","Valuation Office Agency","HM Revenue and Customs","Male","140","120","31520","26000"
"Leaver CS","2021","Vehicle Certification Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Welsh Government","Female","70","60","40490","36500"
"Leaver CS","2021","Welsh Government (excl. agencies)","Welsh Government","Male","70","60","45470","37410"
"Leaver CS","2021","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","30","30","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","30","30","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","160","150","27580","24920"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","120","110","32260","28070"
"Leaver CS","2022","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","Female","340","330","48070","40600"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","Male","380","370","53190","54700"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","30","30","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","Male","40","30","[c]","[c]"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","Female","50","40","[c]","[c]"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","Male","30","30","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Female","50","50","53920","53920"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","Male","40","40","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","Female","30","30","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","Male","50","50","38580","36020"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Female","70","60","33500","23230"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Male","40","30","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","Female","260","230","37580","29270"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","Male","150","140","45570","51500"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","Female","270","240","31670","26950"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","Male","620","600","34180","31600"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","Female","90","80","34470","29850"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","Male","220","210","37310","38070"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","140","140","43680","40050"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","170","160","48550","53380"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","90","80","39170","34020"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","70","70","45480","38010"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","Female","200","190","38340","32940"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","Male","160","160","43780","37100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","240","220","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","200","190","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","Female","100","100","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","Male","120","120","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","80","80","43100","39600"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","80","80","43190","36340"
"Leaver CS","2022","Department for Transport (excl. agencies)","Department for Transport","Female","110","100","43160","35430"
"Leaver CS","2022","Department for Transport (excl. agencies)","Department for Transport","Male","130","120","47160","43360"
"Leaver CS","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","5350","4520","26650","27570"
"Leaver CS","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","3310","3100","27550","27570"
"Leaver CS","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","380","[c]","[c]","[c]"
"Leaver CS","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","260","[c]","[c]","[c]"
"Leaver CS","2022","Disclosure Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","Department for Transport","Female","250","190","23170","21840"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","Department for Transport","Male","170","160","26460","21840"
"Leaver CS","2022","Driver and Vehicle Standards Agency","Department for Transport","Female","120","100","27810","26470"
"Leaver CS","2022","Driver and Vehicle Standards Agency","Department for Transport","Male","340","310","28740","26780"
