"Status","Year","Sexual_orientation","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","West Wales and The Valleys","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","West Yorkshire","280","260","39660","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","East Wales","120","120","29540","27460"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Bedfordshire and Hertfordshire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Berkshire, Buckinghamshire and Oxfordshire","100","100","35490","33950"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Cumbria","80","80","23630","21060"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Devon","70","70","27090","22550"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Dorset and Somerset","290","270","34610","33740"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","East Anglia","130","130","34100","33090"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Eastern Scotland","60","60","34100","30930"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","6460","6240","38170","35630"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Hampshire and Isle of Wight","260","250","28210","25670"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Herefordshire, Worcestershire and Warwickshire","110","110","24130","21430"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Lincolnshire","180","180","35770","34940"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Outer London - West and North West","150","140","24510","21850"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Shropshire and Staffordshire","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Southern Scotland","190","180","25910","24870"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","West Central Scotland","150","150","31760","29650"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","East Anglia","[c]","[c]","[c]","[c]"
