"Status","Year","Region_ITL2","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Dorset and Somerset","SCS","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO/HEO","Bournemouth and Poole","80","70","34550","33300"
"In post","2021","Dorset and Somerset","SEO/HEO","Dorset CC","460","440","37100","35950"
"In post","2021","Dorset and Somerset","SEO/HEO","Somerset","890","850","36500","34170"
"In post","2021","Dorset and Somerset","Unknown","Bournemouth and Poole","100","90","28540","25460"
"In post","2021","Dorset and Somerset","Unknown","Dorset CC","60","50","28640","30210"
"In post","2021","Dorset and Somerset","Unknown","Somerset","70","60","27800","28200"
"In post","2021","East Anglia","AA/AO","Breckland and South Norfolk","300","290","24220","23420"
"In post","2021","East Anglia","AA/AO","Cambridgeshire CC","1140","1060","25360","23490"
"In post","2021","East Anglia","AA/AO","North and West Norfolk","500","470","24190","21240"
"In post","2021","East Anglia","AA/AO","Norwich and East Norfolk","630","570","22200","21010"
"In post","2021","East Anglia","AA/AO","Peterborough","690","600","20990","21430"
"In post","2021","East Anglia","AA/AO","Suffolk","1690","1570","23030","21400"
"In post","2021","East Anglia","EO","Breckland and South Norfolk","130","120","28750","27570"
"In post","2021","East Anglia","EO","Cambridgeshire CC","710","670","27980","27570"
"In post","2021","East Anglia","EO","North and West Norfolk","210","190","28450","27570"
"In post","2021","East Anglia","EO","Norwich and East Norfolk","560","490","27230","27570"
"In post","2021","East Anglia","EO","Peterborough","460","410","26910","27130"
"In post","2021","East Anglia","EO","Suffolk","1230","1150","27320","27570"
"In post","2021","East Anglia","G6/G7","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","G6/G7","Cambridgeshire CC","310","290","60520","57110"
"In post","2021","East Anglia","G6/G7","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","G6/G7","Norwich and East Norfolk","120","120","55780","54770"
"In post","2021","East Anglia","G6/G7","Peterborough","90","90","58660","55610"
"In post","2021","East Anglia","G6/G7","Suffolk","190","180","55740","52580"
"In post","2021","East Anglia","SCS","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","East Anglia","SCS","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SEO/HEO","Breckland and South Norfolk","70","70","38300","36670"
"In post","2021","East Anglia","SEO/HEO","Cambridgeshire CC","1080","1040","37200","35480"
"In post","2021","East Anglia","SEO/HEO","North and West Norfolk","180","170","35650","33840"
"In post","2021","East Anglia","SEO/HEO","Norwich and East Norfolk","350","330","35530","34190"
"In post","2021","East Anglia","SEO/HEO","Peterborough","350","330","35360","33840"
"In post","2021","East Anglia","SEO/HEO","Suffolk","900","860","35130","33300"
"In post","2021","East Anglia","Unknown","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Unknown","Cambridgeshire CC","100","90","30530","30210"
"In post","2021","East Anglia","Unknown","North and West Norfolk","30","30","[c]","[c]"
"In post","2021","East Anglia","Unknown","Norwich and East Norfolk","120","110","29580","29300"
"In post","2021","East Anglia","Unknown","Peterborough","80","70","27900","28200"
"In post","2021","East Anglia","Unknown","Suffolk","160","140","28950","28200"
"In post","2021","East Wales","AA/AO","Cardiff and Vale of Glamorgan","3400","3050","21330","20880"
"In post","2021","East Wales","AA/AO","Flintshire and Wrexham","1020","960","22300","21010"
"In post","2021","East Wales","AA/AO","Monmouthshire and Newport","1100","970","20930","20180"
"In post","2021","East Wales","AA/AO","Powys","220","210","21090","20920"
"In post","2021","East Wales","EO","Cardiff and Vale of Glamorgan","3320","3110","26860","26930"
"In post","2021","East Wales","EO","Flintshire and Wrexham","660","620","27990","27570"
"In post","2021","East Wales","EO","Monmouthshire and Newport","1360","1260","25610","25040"
"In post","2021","East Wales","EO","Powys","160","150","27610","27570"
"In post","2021","East Wales","G6/G7","Cardiff and Vale of Glamorgan","1350","1290","59620","60830"
"In post","2021","East Wales","G6/G7","Flintshire and Wrexham","70","70","56760","55610"
"In post","2021","East Wales","G6/G7","Monmouthshire and Newport","970","930","55060","55440"
"In post","2021","East Wales","G6/G7","Powys","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SCS","Cardiff and Vale of Glamorgan","190","180","90280","82200"
"In post","2021","East Wales","SCS","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SCS","Monmouthshire and Newport","70","60","78790","73210"
"In post","2021","East Wales","SCS","Powys","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SEO/HEO","Cardiff and Vale of Glamorgan","3520","3350","36750","37410"
"In post","2021","East Wales","SEO/HEO","Flintshire and Wrexham","300","290","37930","36710"
"In post","2021","East Wales","SEO/HEO","Monmouthshire and Newport","2030","1950","34870","36030"
"In post","2021","East Wales","SEO/HEO","Powys","130","120","38210","37410"
"In post","2021","East Wales","Unknown","Cardiff and Vale of Glamorgan","290","270","31110","30210"
"In post","2021","East Wales","Unknown","Flintshire and Wrexham","100","100","28660","28200"
"In post","2021","East Wales","Unknown","Monmouthshire and Newport","90","80","28440","28200"
"In post","2021","East Wales","Unknown","Powys","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","East Riding of Yorkshire","1000","930","25270","24440"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","Kingston upon Hull, City of","830","740","23400","21950"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","North and North East Lincolnshire","300","260","20880","21010"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","East Riding of Yorkshire","600","580","28510","27160"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","Kingston upon Hull, City of","710","630","27410","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","North and North East Lincolnshire","350","320","27130","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","Kingston upon Hull, City of","60","60","57880","55610"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SCS","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","East Riding of Yorkshire","220","220","39380","37270"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","Kingston upon Hull, City of","280","260","35700","33840"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","North and North East Lincolnshire","70","60","33740","33170"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","East Riding of Yorkshire","50","40","[c]","[c]"
