"Status","Year","Function_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Communications","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Female","80","70","36170","35590"
"Leaver CS","2021","Communications","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Male","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Female","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Male","90","80","59020","57870"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Female","60","50","38130","38360"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Male","110","100","37830","38000"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Male","30","30","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Female","50","50","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Female","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Female","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Female","70","70","39270","39910"
"Leaver CS","2021","Human Resources","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Female","90","80","22300","22820"
"Leaver CS","2021","Legal","AA/AO","Male","60","60","21770","21000"
"Leaver CS","2021","Legal","EO","Female","60","50","26450","26680"
"Leaver CS","2021","Legal","EO","Male","30","30","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Female","130","110","59580","55610"
"Leaver CS","2021","Legal","G6/G7","Male","120","100","58290","55610"
"Leaver CS","2021","Legal","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Female","100","80","40680","41470"
"Leaver CS","2021","Legal","SEO/HEO","Male","60","50","40820","39100"
"Leaver CS","2021","No function","AA/AO","Female","2540","2230","20340","20100"
"Leaver CS","2021","No function","AA/AO","Male","2580","2380","20650","20170"
"Leaver CS","2021","No function","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","EO","Female","590","530","26030","26380"
"Leaver CS","2021","No function","EO","Male","630","570","28280","26880"
"Leaver CS","2021","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","G6/G7","Female","270","250","58670","55290"
"Leaver CS","2021","No function","G6/G7","Male","330","310","61660","58800"
"Leaver CS","2021","No function","SCS","Female","60","50","101630","98480"
"Leaver CS","2021","No function","SCS","Male","80","70","109850","104930"
"Leaver CS","2021","No function","SEO/HEO","Female","680","610","36130","34530"
"Leaver CS","2021","No function","SEO/HEO","Male","730","670","37690","36470"
"Leaver CS","2021","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Female","490","420","[c]","[c]"
"Leaver CS","2021","No function","Unknown","Male","170","150","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Female","80","80","22940","23270"
"Leaver CS","2021","Project Delivery","EO","Male","120","120","21920","20650"
"Leaver CS","2021","Project Delivery","G6/G7","Female","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","G6/G7","Male","90","90","58310","55730"
"Leaver CS","2021","Project Delivery","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","Female","130","120","34410","33300"
"Leaver CS","2021","Project Delivery","SEO/HEO","Male","260","250","37380","37540"
"Leaver CS","2021","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Male","40","30","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Female","80","70","20330","20170"
"Leaver CS","2021","Property","AA/AO","Male","100","100","21410","20810"
"Leaver CS","2021","Property","EO","Female","60","50","26190","26000"
"Leaver CS","2021","Property","EO","Male","110","90","26690","25970"
"Leaver CS","2021","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2021","Property","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Male","120","110","38410","37620"
"Leaver CS","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Female","50","50","24670","20920"
"Leaver CS","2021","Security","AA/AO","Male","270","260","27840","23540"
"Leaver CS","2021","Security","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","EO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","SEO/HEO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","3640","2840","21230","21010"
"Leaver CS","2021","Unknown","AA/AO","Male","2070","1890","21220","21010"
"Leaver CS","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Female","2400","1930","27820","27570"
"Leaver CS","2021","Unknown","EO","Male","1750","1560","28150","27570"
"Leaver CS","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","460","390","61150","59910"
"Leaver CS","2021","Unknown","G6/G7","Male","540","460","62560","60380"
"Leaver CS","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Female","70","50","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Male","100","70","93520","85850"
"Leaver CS","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","1300","1130","36260","35520"
"Leaver CS","2021","Unknown","SEO/HEO","Male","1290","1140","37220","36610"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","250","230","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","290","280","35520","32700"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Female","60","50","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","Male","70","70","21120","19610"
"Leaver CS","2022","Analysis","EO","Female","30","30","[c]","[c]"
"Leaver CS","2022","Analysis","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Female","50","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","G6/G7","Male","70","50","62690","58400"
"Leaver CS","2022","Analysis","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","Female","90","80","35440","36000"
"Leaver CS","2022","Analysis","SEO/HEO","Male","140","130","36180","35700"
"Leaver CS","2022","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Female","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Female","70","60","64030","64500"
"Leaver CS","2022","Commercial","G6/G7","Male","110","100","67610","65000"
"Leaver CS","2022","Commercial","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Female","100","70","37390","36780"
"Leaver CS","2022","Commercial","SEO/HEO","Male","110","90","37600","37610"
"Leaver CS","2022","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Female","50","40","[c]","[c]"
"Leaver CS","2022","Communications","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","G6/G7","Female","40","30","[c]","[c]"
"Leaver CS","2022","Communications","G6/G7","Male","40","30","[c]","[c]"
"Leaver CS","2022","Communications","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SEO/HEO","Female","130","120","37770","37510"
"Leaver CS","2022","Communications","SEO/HEO","Male","80","80","39050","38000"
"Leaver CS","2022","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","Female","60","40","21810","21260"
"Leaver CS","2022","Counter Fraud","AA/AO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","EO","Female","90","60","27850","27570"
"Leaver CS","2022","Counter Fraud","EO","Male","70","50","27860","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","SEO/HEO","Female","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","SEO/HEO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Debt","AA/AO","Female","120","90","21340","21260"
"Leaver CS","2022","Debt","AA/AO","Male","80","70","21380","21260"
"Leaver CS","2022","Debt","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","Female","50","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","Male","70","70","21030","21170"
"Leaver CS","2022","Digital, Data & Technology","EO","Female","90","80","27340","26720"
"Leaver CS","2022","Digital, Data & Technology","EO","Male","140","130","27360","27130"
"Leaver CS","2022","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","Female","120","100","58050","54700"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","Male","280","270","59030","57810"
"Leaver CS","2022","Digital, Data & Technology","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","Female","180","150","36980","36730"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","Male","450","420","38400","37860"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","Female","40","40","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","Male","30","30","[c]","[c]"
"Leaver CS","2022","Finance","EO","Female","50","30","[c]","[c]"
"Leaver CS","2022","Finance","EO","Male","40","40","[c]","[c]"
"Leaver CS","2022","Finance","G6/G7","Female","50","40","[c]","[c]"
"Leaver CS","2022","Finance","G6/G7","Male","60","50","58500","57560"
"Leaver CS","2022","Finance","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","SEO/HEO","Female","110","80","38220","37790"
"Leaver CS","2022","Finance","SEO/HEO","Male","110","90","39140","38070"
"Leaver CS","2022","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","AA/AO","Female","50","40","[c]","[c]"
"Leaver CS","2022","Grants Management","AA/AO","Male","50","40","[c]","[c]"
"Leaver CS","2022","Grants Management","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","AA/AO","Female","100","90","21470","21170"
"Leaver CS","2022","Human Resources","AA/AO","Male","40","40","[c]","[c]"
"Leaver CS","2022","Human Resources","EO","Female","120","100","26640","27410"
"Leaver CS","2022","Human Resources","EO","Male","50","50","[c]","[c]"
"Leaver CS","2022","Human Resources","G6/G7","Female","70","60","59090","58220"
"Leaver CS","2022","Human Resources","G6/G7","Male","30","30","[c]","[c]"
"Leaver CS","2022","Human Resources","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","SEO/HEO","Female","160","140","37150","36790"
"Leaver CS","2022","Human Resources","SEO/HEO","Male","80","80","37820","36560"
"Leaver CS","2022","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AA/AO","Female","110","100","22100","22200"
"Leaver CS","2022","Legal","AA/AO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Legal","EO","Female","60","60","28060","27460"
"Leaver CS","2022","Legal","EO","Male","40","30","[c]","[c]"
"Leaver CS","2022","Legal","G6/G7","Female","190","170","59050","55610"
"Leaver CS","2022","Legal","G6/G7","Male","150","140","58970","55610"
"Leaver CS","2022","Legal","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","SEO/HEO","Female","70","70","40680","39480"
"Leaver CS","2022","Legal","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2022","No function","AA/AO","Female","5500","4750","21120","21260"
"Leaver CS","2022","No function","AA/AO","Male","5000","4670","21390","21260"
"Leaver CS","2022","No function","EO","Female","3710","3210","27720","27570"
"Leaver CS","2022","No function","EO","Male","2530","2350","28150","27570"
"Leaver CS","2022","No function","G6/G7","Female","960","860","58490","54720"
"Leaver CS","2022","No function","G6/G7","Male","820","750","59740","57480"
"Leaver CS","2022","No function","SCS","Female","190","160","96710","93740"
"Leaver CS","2022","No function","SCS","Male","180","160","96430","92100"
"Leaver CS","2022","No function","SEO/HEO","Female","2130","1880","36540","36080"
"Leaver CS","2022","No function","SEO/HEO","Male","1640","1500","37440","36420"
"Leaver CS","2022","No function","Unknown","Female","1360","1200","[c]","[c]"
"Leaver CS","2022","No function","Unknown","Male","450","410","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","EO","Female","100","90","23900","23500"
"Leaver CS","2022","Project Delivery","EO","Male","140","130","22790","22730"
"Leaver CS","2022","Project Delivery","G6/G7","Female","110","100","58960","57460"
"Leaver CS","2022","Project Delivery","G6/G7","Male","150","140","60120","59410"
"Leaver CS","2022","Project Delivery","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","SEO/HEO","Female","200","180","35250","34910"
"Leaver CS","2022","Project Delivery","SEO/HEO","Male","400","380","36810","37400"
"Leaver CS","2022","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","Male","90","90","38750","39250"
"Leaver CS","2022","Property","AA/AO","Female","130","120","20960","21100"
"Leaver CS","2022","Property","AA/AO","Male","110","110","20980","20830"
"Leaver CS","2022","Property","EO","Female","40","30","[c]","[c]"
"Leaver CS","2022","Property","EO","Male","60","50","25740","26030"
"Leaver CS","2022","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","G6/G7","Male","50","50","[c]","[c]"
"Leaver CS","2022","Property","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","Female","60","60","39650","40580"
"Leaver CS","2022","Property","SEO/HEO","Male","130","120","38530","37550"
"Leaver CS","2022","Security","AA/AO","Female","90","80","25920","22330"
"Leaver CS","2022","Security","AA/AO","Male","440","420","29010","25680"
"Leaver CS","2022","Security","EO","Female","30","30","[c]","[c]"
"Leaver CS","2022","Security","EO","Male","90","80","33780","29250"
"Leaver CS","2022","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SEO/HEO","Female","40","40","[c]","[c]"
"Leaver CS","2022","Security","SEO/HEO","Male","100","90","41060","37610"
"Leaver CS","2022","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Female","2990","2430","21720","21260"
"Leaver CS","2022","Unknown","AA/AO","Male","2050","1880","21780","21260"
"Leaver CS","2022","Unknown","EO","Female","1470","1240","27670","27570"
"Leaver CS","2022","Unknown","EO","Male","1410","1270","28120","27570"
"Leaver CS","2022","Unknown","G6/G7","Female","330","270","63010","61560"
"Leaver CS","2022","Unknown","G6/G7","Male","510","450","64450","62170"
"Leaver CS","2022","Unknown","SCS","Female","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Male","80","60","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Female","1000","880","38260","37450"
"Leaver CS","2022","Unknown","SEO/HEO","Male","1200","1050","38650","37460"
"Leaver CS","2022","Unknown","Unknown","Female","90","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Male","270","230","36440","33570"
"Leaver Dept.","2021","Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","G6/G7","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","G6/G7","Male","50","40","[c]","[c]"
"Leaver Dept.","2021","Analysis","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","SEO/HEO","Female","70","70","34540","33800"
"Leaver Dept.","2021","Analysis","SEO/HEO","Male","80","80","35800","34090"
"Leaver Dept.","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO/HEO","Female","50","40","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
