"Status","Year","Parent_department","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Welsh Government","Flintshire and Wrexham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Flintshire and Wrexham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwent Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwent Valleys","30-39","40","40","[c]","[c]"
"In post","2021","Welsh Government","Gwent Valleys","40-49","70","60","40690","37410"
"In post","2021","Welsh Government","Gwent Valleys","50-59","80","70","40060","37410"
"In post","2021","Welsh Government","Gwent Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwent Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","50-59","40","40","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Gwynedd","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Isle of Anglesey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Isle of Anglesey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Isle of Anglesey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Isle of Anglesey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Isle of Anglesey","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Monmouthshire and Newport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Powys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Powys","30-39","30","30","[c]","[c]"
"In post","2021","Welsh Government","Powys","40-49","50","50","36530","37410"
"In post","2021","Welsh Government","Powys","50-59","70","60","34770","28850"
"In post","2021","Welsh Government","Powys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Powys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","South West Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","South West Wales","20-29","50","50","24870","23830"
"In post","2021","Welsh Government","South West Wales","30-39","130","120","31750","28850"
"In post","2021","Welsh Government","South West Wales","40-49","170","170","38800","37410"
"In post","2021","Welsh Government","South West Wales","50-59","170","160","38300","37410"
"In post","2021","Welsh Government","South West Wales","60-64","40","40","[c]","[c]"
"In post","2021","Welsh Government","South West Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Swansea","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Swansea","30-39","70","70","37610","37410"
"In post","2021","Welsh Government","Swansea","40-49","100","100","42920","47000"
"In post","2021","Welsh Government","Swansea","50-59","70","70","45450","47000"
"In post","2021","Welsh Government","Swansea","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Swansea","65+","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Westminster","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Westminster","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Westminster","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","30-39","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","50-59","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","20-29","60","60","27160","25480"
"In post","2022","Attorney General's Departments","Birmingham","30-39","90","90","38980","38180"
"In post","2022","Attorney General's Departments","Birmingham","40-49","140","130","43840","48080"
"In post","2022","Attorney General's Departments","Birmingham","50-59","170","160","43480","48080"
"In post","2022","Attorney General's Departments","Birmingham","60-64","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","40-49","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","50-59","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","20-29","40","40","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","40-49","40","40","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","50-59","60","50","46240","49580"
"In post","2022","Attorney General's Departments","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","30-39","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","40-49","80","70","39860","38760"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","50-59","80","80","43310","42090"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Central Hampshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Central Hampshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Croydon","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derby","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","50-59","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Derbyshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","40-49","40","40","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","50-59","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Surrey","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Haven Gateway","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Thames Gateway","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Thames Gateway","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","50-59","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gloucestershire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gloucestershire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North East","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North West","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South East","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South West","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South West","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gwent Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gwent Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gwent Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hartlepool and Stockton-on-Tees","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hartlepool and Stockton-on-Tees","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","20-29","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","30-39","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","40-49","60","50","43840","39750"
"In post","2022","Attorney General's Departments","Heart of Essex","50-59","60","60","44200","36240"
"In post","2022","Attorney General's Departments","Heart of Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Herefordshire, County of","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","30-39","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","40-49","60","50","45830","53050"
"In post","2022","Attorney General's Departments","Hertfordshire CC","50-59","50","40","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kent Thames Gateway","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","50-59","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lancaster and Wyre","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lancaster and Wyre","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","20-29","80","80","29370","25480"
"In post","2022","Attorney General's Departments","Leeds","30-39","100","90","44380","48080"
"In post","2022","Attorney General's Departments","Leeds","40-49","130","110","47160","48830"
"In post","2022","Attorney General's Departments","Leeds","50-59","130","120","45010","48080"
"In post","2022","Attorney General's Departments","Leeds","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","40-49","50","40","43650","49110"
"In post","2022","Attorney General's Departments","Leicester","50-59","40","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicestershire CC and Rutland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicestershire CC and Rutland","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicestershire CC and Rutland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","20-29","90","90","27300","25480"
"In post","2022","Attorney General's Departments","Liverpool","30-39","70","70","38080","38000"
"In post","2022","Attorney General's Departments","Liverpool","40-49","80","70","40120","31010"
"In post","2022","Attorney General's Departments","Liverpool","50-59","110","100","41300","38180"
"In post","2022","Attorney General's Departments","Liverpool","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Luton","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","20-29","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","30-39","60","60","38670","43920"
"In post","2022","Attorney General's Departments","Manchester","40-49","130","120","42430","48080"
"In post","2022","Attorney General's Departments","Manchester","50-59","120","110","41390","31010"
"In post","2022","Attorney General's Departments","Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Medway","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","40-49","60","50","41230","42090"
"In post","2022","Attorney General's Departments","Mid Lancashire","50-59","70","70","41110","34480"
"In post","2022","Attorney General's Departments","Mid Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Monmouthshire and Newport","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Monmouthshire and Newport","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North and North East Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Hampshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Northamptonshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Yorkshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Northumberland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Northumberland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","20-29","60","60","26480","25480"
"In post","2022","Attorney General's Departments","Nottingham","30-39","70","60","38480","38090"
"In post","2022","Attorney General's Departments","Nottingham","40-49","70","70","43150","48080"
"In post","2022","Attorney General's Departments","Nottingham","50-59","90","80","42370","41550"
"In post","2022","Attorney General's Departments","Nottingham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Oxfordshire CC","50-59","[c]","[c]","[c]","[c]"
