"Status","Year","Region_ITL1","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","South East (England)","Male","Grants Management","90","90","31080","29180"
"In post","2022","South East (England)","Male","Human Resources","180","180","37990","34080"
"In post","2022","South East (England)","Male","Internal Audit","30","30","[c]","[c]"
"In post","2022","South East (England)","Male","Legal","290","270","46260","53050"
"In post","2022","South East (England)","Male","No function","9870","9370","32350","29290"
"In post","2022","South East (England)","Male","Project Delivery","1000","980","39940","39890"
"In post","2022","South East (England)","Male","Property","630","610","38020","34450"
"In post","2022","South East (England)","Male","Security","1590","1570","32500","30810"
"In post","2022","South East (England)","Male","Unknown","4140","3970","30950","27370"
"In post","2022","South East (England)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Female","Analysis","240","220","36180","32930"
"In post","2022","South West (England)","Female","Commercial","720","680","40510","37420"
"In post","2022","South West (England)","Female","Communications","170","160","36550","33350"
"In post","2022","South West (England)","Female","Counter Fraud","420","370","30970","27570"
"In post","2022","South West (England)","Female","Debt","100","80","22710","21260"
"In post","2022","South West (England)","Female","Digital, Data & Technology","1280","1200","36740","35700"
"In post","2022","South West (England)","Female","Finance","710","660","37320","33300"
"In post","2022","South West (England)","Female","Grants Management","140","120","25380","24920"
"In post","2022","South West (England)","Female","Human Resources","840","760","35450","32810"
"In post","2022","South West (England)","Female","Internal Audit","60","50","42860","40780"
"In post","2022","South West (England)","Female","Legal","320","290","42220","43620"
"In post","2022","South West (England)","Female","No function","10490","9280","30090","27570"
"In post","2022","South West (England)","Female","Project Delivery","3980","3710","36700","34000"
"In post","2022","South West (England)","Female","Property","600","560","31660","27000"
"In post","2022","South West (England)","Female","Security","280","280","28560","26350"
"In post","2022","South West (England)","Female","Unknown","1990","1830","29320","26350"
"In post","2022","South West (England)","Male","Analysis","270","270","38050","36150"
"In post","2022","South West (England)","Male","Commercial","710","700","45520","41500"
"In post","2022","South West (England)","Male","Communications","140","130","35820","33440"
"In post","2022","South West (England)","Male","Counter Fraud","370","350","34310","28920"
"In post","2022","South West (England)","Male","Debt","50","50","22710","21260"
"In post","2022","South West (England)","Male","Digital, Data & Technology","2450","2390","39540","38450"
"In post","2022","South West (England)","Male","Finance","540","530","40990","37530"
"In post","2022","South West (England)","Male","Grants Management","120","110","27950","25190"
"In post","2022","South West (England)","Male","Human Resources","300","290","37850","35000"
"In post","2022","South West (England)","Male","Internal Audit","50","50","44030","42510"
"In post","2022","South West (England)","Male","Legal","190","190","47740","50700"
"In post","2022","South West (England)","Male","No function","8350","8020","33150","28700"
"In post","2022","South West (England)","Male","Project Delivery","6990","6860","40910","39860"
"In post","2022","South West (England)","Male","Property","670","650","35080","33300"
"In post","2022","South West (England)","Male","Security","1020","1000","29300","25000"
"In post","2022","South West (England)","Male","Unknown","2170","2110","33070","29200"
"In post","2022","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Commercial","30","30","[c]","[c]"
"In post","2022","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Debt","60","40","25610","25110"
"In post","2022","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","No function","520","490","30670","29250"
"In post","2022","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Unknown","280","280","34200","32700"
"In post","2022","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Commercial","30","30","[c]","[c]"
"In post","2022","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","No function","370","360","32770","29250"
"In post","2022","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Security","90","90","29470","27370"
"In post","2022","Unknown","Male","Unknown","1660","1660","37990","34460"
"In post","2022","Wales","Female","Analysis","720","670","36670","36840"
"In post","2022","Wales","Female","Commercial","180","170","34720","31470"
"In post","2022","Wales","Female","Communications","500","460","31250","26820"
"In post","2022","Wales","Female","Counter Fraud","550","480","28220","27570"
"In post","2022","Wales","Female","Debt","240","210","23450","21250"
"In post","2022","Wales","Female","Digital, Data & Technology","670","640","37950","36840"
"In post","2022","Wales","Female","Finance","260","240","32990","30730"
"In post","2022","Wales","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Female","Human Resources","550","510","35260","31040"
"In post","2022","Wales","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Female","Legal","320","300","40140","40520"
"In post","2022","Wales","Female","No function","12940","11350","26480","23940"
"In post","2022","Wales","Female","Project Delivery","340","320","40950","35840"
"In post","2022","Wales","Female","Property","240","220","34240","30790"
"In post","2022","Wales","Female","Security","70","60","28360","26670"
"In post","2022","Wales","Female","Unknown","4120","3810","38730","38160"
"In post","2022","Wales","Male","Analysis","590","580","38170","36840"
"In post","2022","Wales","Male","Commercial","180","180","35960","31250"
"In post","2022","Wales","Male","Communications","440","430","31160","26820"
"In post","2022","Wales","Male","Counter Fraud","500","480","30300","27570"
"In post","2022","Wales","Male","Debt","220","210","24050","21250"
"In post","2022","Wales","Male","Digital, Data & Technology","1430","1410","41460","39040"
"In post","2022","Wales","Male","Finance","190","190","38940","36350"
"In post","2022","Wales","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Male","Human Resources","210","210","34390","30880"
"In post","2022","Wales","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Male","Legal","170","160","45120","48080"
"In post","2022","Wales","Male","No function","8400","8050","29050","26780"
"In post","2022","Wales","Male","Project Delivery","300","290","46810","40520"
"In post","2022","Wales","Male","Property","280","270","34510","31900"
"In post","2022","Wales","Male","Security","250","250","27890","24720"
"In post","2022","Wales","Male","Unknown","2990","2910","40530","38160"
"In post","2022","Wales","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Wales","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Female","Analysis","60","50","38660","34910"
"In post","2022","West Midlands (England)","Female","Commercial","160","160","40430","36500"
"In post","2022","West Midlands (England)","Female","Communications","320","310","31220","26820"
"In post","2022","West Midlands (England)","Female","Counter Fraud","730","640","30190","27570"
"In post","2022","West Midlands (England)","Female","Debt","570","480","23150","21260"
"In post","2022","West Midlands (England)","Female","Digital, Data & Technology","550","530","38220","34020"
"In post","2022","West Midlands (England)","Female","Finance","490","470","37970","36500"
"In post","2022","West Midlands (England)","Female","Grants Management","100","90","24880","21300"
"In post","2022","West Midlands (England)","Female","Human Resources","360","340","37600","33300"
"In post","2022","West Midlands (England)","Female","Internal Audit","30","30","[c]","[c]"
"In post","2022","West Midlands (England)","Female","Legal","470","430","40380","38000"
"In post","2022","West Midlands (England)","Female","No function","13110","11740","28690","27570"
"In post","2022","West Midlands (England)","Female","Project Delivery","440","420","38100","36570"
"In post","2022","West Midlands (England)","Female","Property","320","300","35180","32890"
"In post","2022","West Midlands (England)","Female","Security","110","100","33000","31180"
"In post","2022","West Midlands (England)","Female","Unknown","1350","1250","28970","25310"
"In post","2022","West Midlands (England)","Male","Analysis","50","50","39800","37960"
"In post","2022","West Midlands (England)","Male","Commercial","160","150","46190","37100"
"In post","2022","West Midlands (England)","Male","Communications","310","310","30200","26820"
"In post","2022","West Midlands (England)","Male","Counter Fraud","570","540","32530","28920"
"In post","2022","West Midlands (England)","Male","Debt","290","270","22510","21260"
"In post","2022","West Midlands (England)","Male","Digital, Data & Technology","770","750","40500","36600"
"In post","2022","West Midlands (England)","Male","Finance","380","370","38930","36500"
"In post","2022","West Midlands (England)","Male","Grants Management","70","60","25500","24920"
"In post","2022","West Midlands (England)","Male","Human Resources","180","180","39170","33590"
"In post","2022","West Midlands (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Male","Legal","220","220","44040","48080"
"In post","2022","West Midlands (England)","Male","No function","8710","8380","30550","27570"
"In post","2022","West Midlands (England)","Male","Project Delivery","470","460","38890","36530"
"In post","2022","West Midlands (England)","Male","Property","370","370","40330","35200"
"In post","2022","West Midlands (England)","Male","Security","290","290","30870","26820"
"In post","2022","West Midlands (England)","Male","Unknown","1150","1120","30110","27370"
"In post","2022","Yorkshire and The Humber","Female","Analysis","230","210","41350","37380"
"In post","2022","Yorkshire and The Humber","Female","Commercial","290","280","45770","39040"
"In post","2022","Yorkshire and The Humber","Female","Communications","350","330","34640","33080"
"In post","2022","Yorkshire and The Humber","Female","Counter Fraud","730","640","30890","27570"
"In post","2022","Yorkshire and The Humber","Female","Debt","600","490","23600","21260"
"In post","2022","Yorkshire and The Humber","Female","Digital, Data & Technology","590","560","40430","36820"
"In post","2022","Yorkshire and The Humber","Female","Finance","970","860","34170","31780"
"In post","2022","Yorkshire and The Humber","Female","Grants Management","130","110","26230","24920"
"In post","2022","Yorkshire and The Humber","Female","Human Resources","620","580","38820","34290"
"In post","2022","Yorkshire and The Humber","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Female","Legal","620","560","39410","33370"
"In post","2022","Yorkshire and The Humber","Female","No function","12490","11120","29740","27570"
"In post","2022","Yorkshire and The Humber","Female","Project Delivery","380","350","40770","36390"
"In post","2022","Yorkshire and The Humber","Female","Property","400","370","35620","33000"
"In post","2022","Yorkshire and The Humber","Female","Security","370","350","30340","26850"
"In post","2022","Yorkshire and The Humber","Female","Unknown","2800","2540","29270","25220"
"In post","2022","Yorkshire and The Humber","Male","Analysis","260","260","42600","37350"
"In post","2022","Yorkshire and The Humber","Male","Commercial","210","210","47020","40000"
"In post","2022","Yorkshire and The Humber","Male","Communications","400","400","31730","26820"
"In post","2022","Yorkshire and The Humber","Male","Counter Fraud","690","670","32960","28920"
"In post","2022","Yorkshire and The Humber","Male","Debt","370","340","23490","21260"
"In post","2022","Yorkshire and The Humber","Male","Digital, Data & Technology","960","940","42760","39500"
"In post","2022","Yorkshire and The Humber","Male","Finance","800","770","38020","35310"
"In post","2022","Yorkshire and The Humber","Male","Grants Management","120","120","25610","24920"
"In post","2022","Yorkshire and The Humber","Male","Human Resources","260","250","40150","35630"
"In post","2022","Yorkshire and The Humber","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","Male","Legal","320","310","44240","48080"
"In post","2022","Yorkshire and The Humber","Male","No function","8950","8560","31270","27570"
"In post","2022","Yorkshire and The Humber","Male","Project Delivery","320","310","40190","36520"
"In post","2022","Yorkshire and The Humber","Male","Property","480","460","39680","36000"
"In post","2022","Yorkshire and The Humber","Male","Security","630","620","32960","33300"
"In post","2022","Yorkshire and The Humber","Male","Unknown","2860","2780","29260","25900"
"Leaver CS","2021","East Midlands (England)","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","No function","340","300","23090","20100"
"Leaver CS","2021","East Midlands (England)","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Property","30","20","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Female","Unknown","450","380","26140","25080"
"Leaver CS","2021","East Midlands (England)","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","No function","330","300","26560","23480"
"Leaver CS","2021","East Midlands (England)","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Property","30","30","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Male","Unknown","310","290","28300","27570"
"Leaver CS","2021","East of England","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","No function","390","340","28170","22220"
"Leaver CS","2021","East of England","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Female","Unknown","480","400","26050","25110"
"Leaver CS","2021","East of England","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","No function","380","360","38650","29460"
"Leaver CS","2021","East of England","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Male","Unknown","330","300","27540","26890"
"Leaver CS","2021","East of England","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Analysis","60","60","35230","26340"
"Leaver CS","2021","London","Female","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","London","Female","Communications","80","80","38380","37350"
"Leaver CS","2021","London","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Digital, Data & Technology","70","60","46770","43820"
"Leaver CS","2021","London","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Human Resources","70","60","50880","47810"
"Leaver CS","2021","London","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Legal","140","130","50690","50660"
"Leaver CS","2021","London","Female","No function","990","920","37360","30850"
"Leaver CS","2021","London","Female","Project Delivery","50","50","43770","37480"
"Leaver CS","2021","London","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","Unknown","1170","950","35690","31060"
"Leaver CS","2021","London","Male","Analysis","90","90","39650","32540"
"Leaver CS","2021","London","Male","Commercial","30","30","[c]","[c]"
"Leaver CS","2021","London","Male","Communications","60","60","41470","34020"
"Leaver CS","2021","London","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Male","Digital, Data & Technology","90","90","48130","51850"
"Leaver CS","2021","London","Male","Finance","30","30","[c]","[c]"
"Leaver CS","2021","London","Male","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","London","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Male","Legal","100","100","50080","50770"
"Leaver CS","2021","London","Male","No function","860","830","43890","34830"
"Leaver CS","2021","London","Male","Project Delivery","60","60","56540","54600"
"Leaver CS","2021","London","Male","Property","50","50","39510","33610"
"Leaver CS","2021","London","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Male","Unknown","1050","890","39250","31360"
"Leaver CS","2021","London","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Unknown","Unknown","70","70","48570","40850"
"Leaver CS","2021","North East (England)","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","No function","180","150","26730","21590"
"Leaver CS","2021","North East (England)","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Female","Unknown","780","590","24980","21010"
"Leaver CS","2021","North East (England)","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","No function","180","160","26700","22350"
"Leaver CS","2021","North East (England)","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Unknown","450","400","26960","21010"
"Leaver CS","2021","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","No function","470","410","29420","22350"
"Leaver CS","2021","North West (England)","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Unknown","970","770","25560","21430"
"Leaver CS","2021","North West (England)","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","No function","420","370","31390","25880"
"Leaver CS","2021","North West (England)","Male","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Unknown","660","600","27220","24890"
"Leaver CS","2021","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Unknown","110","90","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Unknown","70","60","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Unknown","60","60","37700","36960"
"Leaver CS","2021","Overseas","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Legal","60","50","31330","22820"
"Leaver CS","2021","Scotland","Female","No function","170","150","26330","23450"
"Leaver CS","2021","Scotland","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Unknown","880","710","31370","26890"
"Leaver CS","2021","Scotland","Male","Analysis","[c]","[c]","[c]","[c]"
